Lipid,Ctrl_BTBR_ob._2316,Ctrl_BTBR_ob._2317,Ctrl_BTBR_ob._2318,Ctrl_BTBR_ob._2320,HF_BTBR_ob._2329,HF_BTBR_ob._2331,HF_BTBR_ob._2333,HF_BTBR_ob._2334
Label,CT,CT,CT,CT,HF,HF,HF,HF
MG 17_0,67158.41344,76356.92709,67733.39937,78653.78011,67089.73564,64529.12041,65021.83396,68662.97971
MG 20_4,41467.96832,44000.69101,20151.68497,18421.62302,36437.47498,63494.58693,106419.2266,41841.26089
MG 18_0,11356.28158,14341.16951,12064.01083,10902.16708,14585.69531,15132.72581,27344.22236,12920.70413
MG 18_4,17006.3937,12733.41627,5329.124723,6338.737787,5627.182383,3640.551368,8057.453899,8163.522556
MG 22_4,8706.494307,3603.101732,1739.515204,2848.709868,3723.096411,7206.446886,19877.19952,4432.291771
MG 20_2,4481.246279,3726.702103,3992.416278,4496.553567,6472.296952,6688.383577,16207.15344,2868.877202
PC 35_4,1030525.971,528139.3954,343795.8633,389793.2022,545571.763,947558.7866,721068.7207,582166.0099
PC 40_8,16624255.4,18566883.37,17360298.6,18417735.81,14367969.02,14091596.64,15245648.91,13781562.42
PC 34_4,2786487.844,2795494.919,1959848.101,2086389.932,1189085.118,2144705.468,2635030.327,1691402.017
PC 35_2,3330742.658,2846318.367,1802918.679,2339910.158,3617505.732,4110617.286,3249618.101,2978878.153
PC 38_2,8407825.047,15540872.02,9226613.485,10474161.42,8896680.667,10270936.45,11532007.41,7760325.809
PC 37_4,6121979.076,3424377.415,2158020.507,3002492.066,3953873.241,4665640.757,3246909.073,3729456.263
PC 40_2,326408.7529,533651.5048,239728.2878,283205.0138,257778.1072,268759.6182,438471.019,263569.363
PC 33_2,1939929.489,1037537.537,570023.459,734898.1101,1162170.873,2186703.304,2025718.565,1387625.501
PC 32_0,20860465.36,24091364.66,15892179,17423314.34,14094533.05,17145516.02,17811504.04,19789857.33
PC 44_12,180913.5654,393613.4895,356615.8418,332492.3412,173541.7576,197960.4848,255704.6385,124198.951
PC 39_4,3289703.598,1975602.468,1182559.769,1506068.161,1724176.625,2563138.66,1988550.58,1730724.728
PC 39_6,1925710.816,863786.746,648278.278,871436.5006,1103445.724,1579849.014,1078245.944,1093122.119
PC 36_6,1270049.988,3501976.911,2408240.103,2935490.074,552051.7552,736961.7455,830687.781,902420.6075
PC 32_2,2821431.345,6247923.254,3676234.699,3526517.2,1281990.159,2255204.61,3184253.165,2170902.927
PC 42_8,153227.7011,165725.9627,159323.9135,131026.8047,115716.5123,169617.5031,142678.7608,131712.6246
PC 37_6,954181.889,630286.1843,382331.1975,469887.3769,424031.5154,793845.7524,728268.2073,514250.1625
PC 42_2,110485.0678,112005.4152,50315.89612,82810.83234,49008.78052,72211.6019,127466.6351,54572.65926
PC 36_2,39997281.97,41378087.16,38105059.19,36080696.63,38170457.7,48288388.74,43217379.01,34884365.96
PC 37_2,1740889.679,1923170.011,1547937.111,1419448.015,2373060.298,3138728.253,2383713.447,1392715.928
PC 42_10,4382764.486,5317385.759,4616230.286,5558066.305,2673567.704,4003110.712,3345382.605,2566773.614
PC 36_0,378666.4996,177725.9808,162071.6832,204399.9069,258160.7319,358945.3838,239889.4244,353030.246
PC 41_6,497125.1092,302819.8389,226116.8275,192339.2403,253293.0479,635501.6004,482386.7338,255313.7336
PC 38_8,275199.7023,447531.0243,296204.4125,408339.6564,130982.177,204937.4042,351893.1742,176200.1613
PC 40_6,22672922.03,26338859.95,15606588.38,21123779.3,16842991.65,19683725.66,17568052.47,20718072.84
PC 42_6,737229.1294,883103.3972,425231.8861,375258.3328,711308.4948,1048567.508,1096850.883,441004.4222
PC 35_0,218857.807,309707.3947,237483.3316,199831.6385,160213.6272,274002.1132,217882.4239,212095.1722
PC 40_10,114977.2109,126748.6131,138874.0962,157799.6974,108317.8132,134730.1924,89337.54344,90469.7933
PC 44_4,111741.11,129317.9918,55960.54979,74637.32979,44090.2433,60231.52833,119790.8834,63703.18936
PC 28_0,10021.19324,28822.33614,12193.92435,10898.33399,5249.657477,10628.75742,15572.65192,5846.403796
PC 30_2,29935.01491,37797.49571,10967.74234,16506.93665,7940.527734,8442.203004,41122.60372,12101.33015
PC 31_0,32361.56176,22663.25649,29231.99451,20307.85437,19324.22267,35248.72351,27049.8811,30142.97135
PC 42_4,260572.202,167231.6136,75760.05168,116425.8524,92394.78207,72920.69097,113153.2716,96690.80183
PC 39_8,58108.9265,64794.56986,41127.15121,50890.54349,27709.54627,23839.82905,34022.67492,26469.62035
PC 37_0,211002.7295,164467.3905,71421.61484,96171.50976,39914.54487,121115.965,113748.7522,57488.05646
PC 40_4,48938.01196,49651.38475,20019.21604,31316.29249,42868.01047,38928.50926,39334.70602,24031.13824
PC 39_2,59569.22179,129290.5097,68627.9817,90206.0869,40796.45915,64316.62172,50800.33972,37363.00261
PC 36_4,146913.9324,51092.33922,23574.40035,23885.97382,31404.36806,188453.3276,238873.8652,71272.38792
PC 18_0,25127.17186,26125.20775,13923.19358,11973.4833,10796.80298,15590.78913,23814.09994,15850.93951
PC 38_6,54488.5858,89980.79011,81083.49582,110255.6107,56672.91968,53271.39434,47883.05955,74508.15022
PC 38_0,41098.13612,45718.42275,22201.0308,26916.77345,16320.49772,47945.26016,69845.21986,22976.06311
PC 33_4,9015.769057,28990.84218,14374.98514,12678.16083,9304.037918,14366.88408,18907.64175,6897.104005
PC 32_4,10142.09041,29263.31947,8535.877163,7155.974737,3581.853476,7783.012178,19573.61837,5186.222736
PC 20_2,28608.39543,25930.22587,3755.886156,17702.1673,5142.628161,20297.90905,22070.55052,6942.484765
PC 19_2,5873.598023,6352.668172,5516.921111,5511.946473,13500.29416,8831.79756,16380.93435,11012.54353
PC 33_0,152633.7338,119517.8344,93255.65469,105071.7504,65137.82129,90554.83698,100836.5202,122720.6091
PC 40_0,111525.3516,165657.3959,42695.43798,151677.883,9099.714211,56668.74781,236110.133,88206.57949
PC 44_6,40880.86576,185320.3501,52458.82873,136846.3237,13532.3661,33377.96521,130395.1503,71565.03546
PC 38_4,27099.25259,45283.43838,46278.0377,46570.90564,22050.88636,28894.57809,14616.39063,11537.66829
PC 43_6,12748.83738,25751.58797,10197.35609,10232.13147,11596.0694,16350.20253,17569.31438,10849.84356
PC 28_2,296.1829795,4157.570576,1838.533716,1720.289109,332.3062556,1500.971293,6694.92551,1441.467334
PC 39_0,19506.68232,32569.5707,13742.60418,14341.26582,5314.868233,14077.44607,33248.02318,17547.0855
PC 17_0,792.3891194,1165.449341,620.4593986,880.8433853,559.136649,374.6884427,42289.20992,517.2482703
PC 31_2,9465.882993,27958.60092,9006.352907,17888.31017,7531.868108,14291.5416,16848.63981,10416.53148
PC 41_4,43971.98665,135414.3219,49108.15743,64186.78625,44049.38348,76720.9643,84956.70121,45823.192
PC 31_4,41508.25243,59427.67945,44538.99363,47236.51594,20033.13637,41423.19024,55859.76775,27664.00224
PC 24_6,8058.968935,8681.188603,3116.894045,2373.84962,4547.790012,10751.03177,7380.122536,2548.823984
PC 29_0,11283.6886,2436.166853,6673.124221,5526.776776,4613.325117,12138.72374,12732.08456,3951.270316
PC 30_4,430.0693404,5182.745615,1204.841145,2510.314089,367.966515,965.8700923,1605.554788,2452.823546
PC 30_0,17828.61801,12099.18636,7499.589483,8929.299602,4183.510513,17908.63483,8649.833058,10522.07135
PC 19_0,42447.72607,25720.65883,11020.86699,24088.99427,10319.76338,25814.17299,17940.89069,16026.10969
PC 7_0,3798.671748,8015.878773,560.4471751,2190.331116,2310.649834,1542.901521,12268.21794,2286.633511
PC 12_0,2979.628473,3002.579577,4605.360386,3119.696388,1169.261911,1922.337538,2987.897906,1283.858243
PC 45_4,38324.7838,4977.052337,5515.547401,12986.7127,10319.61166,10827.88944,12301.85685,13060.88795
PC 22_4,14902.3972,31521.81278,5886.584008,15268.41022,5592.490901,8327.302994,12231.87392,4252.269126
PC 21_4,2435.705237,27292.21049,3257.949939,9773.127876,1372.25703,2367.31037,5961.853786,12562.20731
PC 26_0,3744.080378,2823.137271,913.468202,1102.144342,1705.593947,2906.190981,2490.025608,944.3533407
PC 34_6,28231.47073,16380.58384,9993.991206,11074.59406,5293.640743,14686.92713,19596.19491,7742.1251
PC 41_2,15336.67261,11079.68672,12695.70279,6734.815727,9417.164059,13286.15764,17911.10444,10833.34359
PC 36_8,8130.665588,6533.564799,6212.675058,13172.12211,3976.042709,4182.230145,11465.42778,4867.582123
PC 34_2,44807.90488,129888.3281,16638.06028,54352.08262,7487.376057,33054.58436,82415.40121,40437.79677
PC 44_2,13476.15636,11099.49917,10789.5619,3998.312505,4711.21841,12930.59955,3780.19732,6388.196795
PC 46_6,20099.15557,84849.00754,16510.5132,37951.08144,3085.028635,13141.7452,46015.24519,29831.86537
PC 26_6,2651.58845,3098.330994,3434.63439,7074.271743,1963.089973,1032.837473,784.1264445,2193.777247
PC 44_8,9582.296625,33221.81252,2782.338099,19993.98293,984.5112007,1961.903656,13945.74934,19649.53728
PC 24_4,3212.621315,5830.646691,2049.042643,3416.934541,793.015691,3691.983308,7620.714116,2555.679481
plasmenyl-PC 18_0,262744.5956,538908.0692,627013.1021,496665.9163,532434.2013,372451.1081,869305.5513,699071.2087
plasmenyl-PC 20_0,22339.40998,83990.5639,101443.5679,86342.72071,43254.15209,49355.92785,81452.65267,71088.69146
plasmenyl-PC 40_4,4979.981524,5760.964949,5139.767831,5138.079275,658.2025358,8178.65625,6208.311599,5510.158347
plasmenyl-PC 36_4,24565.16767,26201.84346,2754.612632,10245.20929,15019.55575,28856.7141,21221.33474,7056.706923
plasmenyl-PC 38_0,328796.3616,211398.0762,100555.3297,165652.5409,105526.2926,214554.3658,244613.8528,156676.3561
PE 36_0,5467177.563,2557735.242,2367542.925,2212440.077,4546991.819,6378060.461,6277213.014,4707769.689
PE 39_6,840843.3073,291269.5757,229396.3865,271269.1826,421472.7167,724184.8178,633075.1543,459860.1685
PE 34_2,3555743.654,1657224.381,1265154.505,1249735.055,1998661.239,3860092.296,3743979.121,2493409.157
PE 39_4,1119168.344,506752.8236,406827.5684,419635.5813,591787.8343,972239.3654,956005.5225,595658.0831
PE 40_4,2847902.576,1259348.411,773920.0902,912291.699,1615536.189,2947537.967,3827202.956,1786326.308
PE 36_6,124152.199,145973.4482,124240.8646,133737.6656,17608.05244,46371.14536,76834.67491,74444.43993
PE 38_2,1419432.312,1034919.681,990709.172,809893.8805,1148151.748,1654645.046,2086605.585,1247477.089
PE 36_2,5264909.586,2528217.322,1990787.552,1659885.206,3656795.081,7641043.278,8289052.312,3784265.284
PE 40_8,1817008.69,1041695.058,931263.498,1020955.075,1328218.092,1548040.122,1552791.673,1251271.622
PE 36_4,10290419.55,7018193.258,7308871.42,6622328.887,5655045.607,10227524.31,8282040.983,6354057.64
PE 38_4,23813.7267,32534.50672,11747.85887,7940.030122,6848.773382,27977.02077,28577.43489,13511.59871
PE 40_6,11444861.28,3346383.69,2313615.412,2280734.327,3939654.967,11128309.95,13452545.85,4862453.062
PE 37_6,250519.2769,115504.9313,61261.32756,91985.8199,124816.2587,231585.6633,170582.5524,117980.1762
PE 32_2,31471.00288,45263.2217,36258.33912,33483.18647,11485.46112,25907.24583,32073.19884,20594.41586
PE 37_4,355160.877,166143.3376,198816.7162,195398.1739,328213.8615,350644.585,369153.1528,281503.8974
PE 42_6,325858.8987,145857.0473,82665.39225,57206.80301,224015.9059,550339.7569,861157.4065,218203.1731
PE 37_2,324207.9375,119471.3111,70926.90421,133649.293,150251.8968,312687.5026,327334.4831,188588.8392
PE 41_6,303636.928,129381.6278,147925.0266,120820.6763,224316.793,352718.7522,358143.923,189031.9258
PE 34_4,65303.66908,6402.124921,2510.155145,7206.595805,6116.615424,36965.60961,28373.47317,13941.82503
PE 40_2,280920.2829,265838.4816,67775.44705,111858.5506,92464.00962,325582.9497,321378.2108,137905.4378
PE 42_8,110487.1125,69117.26811,68879.4721,71458.10796,78977.75346,135895.7552,88903.40856,67909.81994
PE 42_10,306985.151,410528.0486,237517.712,286782.365,187097.2757,173720.8407,269086.1256,163196.1655
PE 21_4,10090.23902,15410.24019,8674.851635,10888.41778,13527.4732,12368.09631,30577.46453,18977.94222
PE 32_0,24976.34052,12084.97417,12143.11216,10646.13992,11891.3694,27519.63325,17787.28784,16362.46559
PE 44_12,511747.6361,286043.5215,93122.65293,156339.8972,100818.2128,232228.6222,265584.7194,127233.0747
PE 35_4,11084.86858,28868.70781,16467.01632,10513.95044,19950.76818,24455.89333,19584.87475,9189.384438
PE 34_6,3290.127082,7548.397316,1561.525664,3718.502696,105.5610682,1107.197562,6500.46153,3193.358516
PE 36_8,3121.750637,1387.217149,135.425249,439.1935304,515.3749691,2505.456248,2334.118179,2739.668752
PE 34_0,10194.93984,6630.843799,9152.764576,5171.753819,8377.064124,11782.24524,18089.31402,10316.19288
PE 35_2,462670.8868,60640.81694,31481.5003,56693.52914,112788.6389,208721.2121,335829.3918,102492.4011
PE 30_0,9688.399733,5932.340382,1792.964095,9769.930345,137.1862076,4909.046714,10328.52489,8246.708502
PE 35_0,54132.61688,18727.72336,11001.2097,21157.88063,5461.998956,18463.38033,17562.97588,4715.631913
plasmenyl-PE 40_6,1163561.794,532919.8832,401367.2209,521143.1152,727013.7859,1269798.879,1198614.334,858031.1719
plasmenyl-PE 38_6,1002873.353,963880.4271,624404.7475,869529.4835,662973.0236,828559.8878,779817.0621,753179.6817
plasmenyl-PE 38_4,3711146.246,2892260.079,1504660.313,1834729.007,2456600.188,4165795.296,4367528.185,3030882.761
plasmenyl-PE 36_2,180453.3581,135630.2485,108715.4959,115425.0233,168518.4302,208107.9842,284937.717,196408.0582
plasmenyl-PE 40_4,1108503.365,861264.975,532284.699,769223.033,634855.7891,953133.3931,915627.6372,829142.6227
plasmenyl-PE 36_4,733972.9871,596921.8815,476137.38,501500.8173,527607.7213,576844.5047,519231.3234,629187.6887
plasmenyl-PE 38_2,118286.0703,156664.5272,80877.6662,77671.91864,25038.20896,104073.3444,131166.3177,61049.53336
plasmenyl-PE 42_6,134412.502,58642.13604,50066.69194,48383.23293,99290.06161,222476.8959,162297.1502,82882.95601
plasmenyl-PE 34_2,27866.19862,30288.13326,23648.72566,21738.61707,19395.26455,28766.08706,28061.01408,23502.29977
plasmenyl-PE 18_0,53777.44943,49643.44441,36077.02268,26174.36838,79747.14683,107331.5022,204185.418,114790.9928
plasmenyl-PE 42_4,88579.44344,22376.10912,25800.58395,44800.90051,46919.12473,95559.13684,153120.0691,71187.65993
SM 40_2,5104090.032,2734676.712,1606882.32,1900266.853,2291247.662,4114856.287,4426049.43,2631562.65
SM 41_2,4597153.793,3766538.678,2592659.303,3119714.706,1753180.14,3399005.154,2539381.443,2732577.978
SM 42_2,19433767.37,25725116.64,18125585.11,22228235.45,12101219.55,15960909.78,9323910.787,14640574.37
SM 36_2,557396.9423,191816.4441,119796.5696,126370.4096,186213.9915,371887.1606,438535.1658,290918.923
SM 43_2,410595.8673,198721.8204,184651.3957,201756.0949,171592.8978,319206.7241,245506.1784,197352.707
SM 34_2,2015892.91,1372723.808,766432.8764,855468.8945,865422.7635,1607007.763,2401089.508,1142665.412
SM 34_0,643197.6432,750910.4416,607587.0399,514206.1354,614771.5903,932457.0202,688193.062,565865.6248
SM 38_0,569289.0856,348681.0482,183655.9147,209749.8549,292269.1491,752803.2613,697843.4098,369050.6759
SM 40_0,2892729.808,1516174.693,986012.6183,939323.8067,1618862.317,2826039.287,3401492.516,1619748.09
SM 36_0,218471.8699,107415.8875,94612.33151,87027.31599,131810.0541,261989.7734,205595.0229,177252.5206
SM 38_2,94480.55225,31315.33694,31776.9569,29859.5571,65238.50214,95040.7229,69202.85673,67894.18109
SM 21_0,28788.46009,168190.4504,86262.1014,91493.17908,32114.4943,31180.15248,67924.97059,46514.1443
SM 39_2,74028.19035,46084.6698,27691.42603,28315.12403,20932.18383,43470.53618,54133.44872,34051.41964
SM 42_4,226793.5475,135210.6632,118431.1655,121509.3461,200446.6428,263118.956,214302.0176,186378.4563
SM 33_0,102903.7424,31283.09839,26811.58017,22955.58283,45863.52724,102652.9855,87286.82753,60890.18656
SM 32_0,24423.40757,48068.56495,23877.34877,74991.40715,6505.453974,19178.37986,62493.5246,21445.5744
SM 32_2,50108.79949,35355.94216,12378.57087,29829.23403,11726.8533,30934.09301,31749.80992,22002.42281
SM 42_0,24495.10088,9650.320456,7642.252793,12382.93163,11575.89838,20628.10046,16927.17019,16316.61406
SM 44_2,69526.6188,52920.57202,42450.86151,47377.47296,48040.16221,74858.13197,75323.59786,47129.95519
SM 41_0,65786.26162,77737.45937,56162.75144,59174.62196,35077.47242,58777.66027,42266.73972,27870.05537
SM 37_2,9154.426406,6371.95286,1978.981951,2784.052228,5230.503706,12596.29635,8079.700021,5463.510448
SM 35_2,1717.235504,8797.465664,2618.166256,5362.817207,463.9532972,2792.828403,4483.581881,556.3453508
SM 38_4,3662.268439,4354.730499,1793.382697,2345.513485,804.7539902,2679.424844,2504.409178,2477.834652
SM 43_4,19545.60869,37222.8615,7964.903365,33624.03391,3871.02215,12286.68517,23492.07317,22374.2154
SM 33_2,4913.158467,3940.940792,1838.411693,3409.875935,2154.534475,6081.623831,3894.203602,2728.356606
SM 35_0,34119.57656,11207.17135,7508.908906,4293.687634,25553.33689,18489.61638,20164.70305,14307.67776
TG 54_6,29792667.19,4906059.158,4641977.425,6062385.299,19107882.38,25564615.38,28362404.22,21812273.56
TG 56_6,13310438.22,1556887.915,990942.1727,1841918.777,12646930.32,10738364.19,15346448.42,13132282.09
TG 50_4,127483.635,774753.2851,821619.157,735958.8528,178488.3632,174363.2807,225633.4372,222444.0202
TG 50_2,70504.07959,762279.4494,842209.2924,702361.4297,142148.6559,101220.7671,136399.5139,162737.99
TG 46_2,604330.0597,4798484.64,5895771.738,5646561.152,196735.1214,351600.5412,644773.6365,523102.649
TG 62_12,697215.3443,26660.84715,27332.27632,49078.46718,278017.6115,350951.6344,559579.41,406778.6046
TG 64_16,192370.0791,2897.07551,1086.866819,3425.54788,12646.56023,33560.50828,79300.5028,26225.84245
TG 52_4,32859854.81,30883504.81,34194409.13,34916738.43,30035292.57,29953080.3,31043624.96,30531309.98
TG 56_8,33264812.85,2237284.46,1454070.565,2844958.622,16238240.12,24938471.5,26292951.96,19860530.59
TG 51_2,1049612.678,5203106.41,5098742.038,3911370.815,1181764.19,1301266.716,1282752.59,1314821.19
TG 62_8,168354.3838,12866.49771,7111.51165,9972.501142,77862.22743,108810.5075,207313.5538,89018.70319
