"","Ctrl-BL6-2249","Ctrl-BL6-2250","Ctrl-BL6-2251","Ctrl-BL6-2252","HF-BL6-2260","HF-BL6-2261","HF-BL6-2262","HF-BL6-2266"
"Label","CT","CT","CT","CT","HF","HF","HF","HF"
"PE-38-5","399352.7","349336.5","317548.8","317548.8","171136.2","177378.5","227051.0","301137.9"
"PE-42-1","309343.3","291165.4","460567.3","366032.8","349336.5","301137.9","317548.8","382729.0"
"PE-36-5","30998.79","24364.85","16278.44","24808.78","13622.67","13984.41","15544.61","12602.76"
"PE-34-2","190622.32","190622.32","159510.92","145887.16","104090.92"," 89738.12","121471.52","134306.80"
"PE-38-4","23084.99","20971.47","19737.23","20971.47","17483.34","25377.50","20071.88","34757.51"
"PE-38-1","35058.16","42890.12","39141.49","48946.97","33855.22","23252.05","39141.49","46717.12"
"PE-36-3","165366.9","159510.9","117867.0","127405.5","117867.0","115071.0","139440.4","159510.9"
"PE-34-3","19318.27","15544.61","12602.76","17957.41"," 9761.45","11669.97","13984.41","12191.61"
"PE-40-2","36296.68","33855.22","34456.85","33357.69","22048.57","15283.10","23964.20","42125.35"
"PE-40-4","23633.13","25188.67","23633.13","22917.92","18524.63","22426.47","33855.22","31845.30"
"PE-42-5","4749.891","6767.311","6579.473","6853.652","5328.578","4749.891","6129.895","7992.422"
"PE-42-3","11220.690"," 8501.972"," 9416.595"," 8501.972"," 8153.909"," 8628.297"," 8501.972","10269.004"
"PE-38-6","108936.1","177378.5","177378.5","159510.9","159510.9","117867.0","104090.9","150964.9"
"PE-44-3"," 5709.268"," 5564.183"," 5564.183"," 4038.996"," 7147.950"," 5804.773"," 7909.701","11901.900"
"PE-32-1","12765.015","19877.241","19107.074","16541.650"," 9146.558","13122.490","11400.689","16541.650"
"PE-40-5","50349.97","34456.85","32759.56","42125.35","24364.85","40723.40","25827.36","35687.53"
"PE-30-1","1211.7881"," 597.4381"," 467.9799"," 597.4381"," 729.5892"," 300.6340"," 400.5024"," 781.6886"
"PE-32-2","5170.137","4567.159","2607.304","4567.159","2156.379","1870.099","2557.862","3465.963"
"PE-40-3","10165.669","10165.669"," 6476.050"," 7909.701"," 9250.235"," 6129.895"," 2824.906"," 7761.561"
"plasmenyl-PE-36-1","1885919","2755533","2755533","2755533","2113877","1885919","2113877","2755533"
"plasmenyl-PE-34-2"," 93786.88","104090.92","127405.48","117866.98"," 96361.57"," 60911.43"," 84641.53","127405.48"
"plasmenyl-PE-40-1","51683.30","50349.97","40723.40","59352.67","19597.21","18265.90","35687.53","32362.29"
"plasmenyl-PE-38-6","145887.2","145887.2","134306.8","111807.1","108936.1","111807.1","134306.8","139440.4"
"plasmenyl-PE-22-0","6767.311","6853.652","3817.602","6129.895","3368.024","4038.996","3465.963","6129.895"
"plasmenyl-PE-40-4","177378.46","184029.61","199472.74","150964.94","139440.37"," 93786.88","145887.16","165366.94"
"plasmenyl-PE-36-2","  5881.885"," 13984.410"," 22048.567","184029.607"," 17957.408","  9416.595","  9250.235"," 20812.672"
"plasmenyl-PE-38-2","30567.07","35058.16","55093.01","32362.29","25566.34","17392.42","28171.25","55093.01"
"plasmenyl-PE-42-4","37070.38","56627.37","56627.37","42890.12","34456.85","26249.16","39693.22","62677.13"
"plasmenyl-PE-38-1"," 89738.12"," 89738.12","100400.49"," 75897.80"," 45700.53"," 32759.56"," 67729.54","104090.92"
"plasmenyl-PE-32-1","37829.23","38502.18","31442.25","39141.49","11511.73","11400.69","16835.24","24364.85"
"plasmenyl-PE-40-2","25566.34","31442.25","37829.23","35687.53","19318.27","10708.36","15283.10","28171.25"
"plasmenyl-PE-34-1"," 2557.862"," 5170.137","43848.297"," 4347.403"," 6476.050"," 4980.301"," 5328.578"," 8755.324"
"SM-34-2"," 6932.734","12424.589"," 8501.972"," 8628.297"," 5956.970"," 5956.970"," 8153.909"," 7336.891"
"SM-34-1","2755533","1885919","1234821","1506748","1885919","2113877","3459569","1112770"
"SM-36-0","134306.8","115071.0","121471.5","134306.8","199472.7","184029.6","127405.5","111807.1"
"SM-36-1"," 882924.4","1112769.9"," 882924.4"," 981235.4"," 882924.4","1112769.9","1112769.9"," 981235.4"
"SM-32-1","43848.30","43848.30","14273.04","29070.87","15027.14","15544.61","21130.27","13433.75"
"SM-40-1","59352.67","40723.40","30998.79","26756.60","38502.18","26756.60","26249.16","33357.69"
"SM-42-2","16835.240","21429.936","13764.091"," 5241.136","15544.609","41438.223","12602.759","16835.240"
