Lipid	Adduct	RT	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db+_2225	Ctrl_BKS_db+_2226	Ctrl_BKS_db+_2227	Ctrl_BKS_db+_2231	HF_BKS_db+_2239	HF_BKS_db+_2241	HF_BKS_db+_2242	HF_BKS_db+_2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db+_2273	Ctrl_BL6_db+_2274	Ctrl_BL6_db+_2275	Ctrl_BL6_db+_2279	HF_BL6_db+_2286	HF_BL6_db+_2287	HF_BL6_db+_2288	HF_BL6_db+_2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob+_2316	Ctrl_BTBR_ob+_2317	Ctrl_BTBR_ob+_2318	Ctrl_BTBR_ob+_2320	HF_BTBR_ob+_2329	HF_BTBR_ob+_2331	HF_BTBR_ob+_2333	HF_BTBR_ob+_2334
TG 58:2	 [M+NH4]+	11.30	13.4976676	109969.6471	79906.4642	44979.14152	180586.0403	124942.0614	12305.90809	99507.87234	69968.40419	60024.92445	77564.55512	132184.5353	73072.94312	69968.40419	134342.7299	74111.75373	166501.1962	46543.75452	34390.73834	11024.14349	17646.00525	30135.59375	33709.44587	41386.58081	28239.96359	19542.91673	18758.21968	28541.66799	39142.90233	60797.1668	83895.46567	39958.55439	43602.71871	26458.05146	30703.47362	98002.17611	44461.71636	32828.0275	36062.8865	62545.24944	39142.90233	45851.00436	35722.42618	22327.21182	51129.81649	28816.39338	80839.24563	41386.58081	58122.70206
TG 58:3	 [M+NH4]+	11.15	8.170839347	191420.4907	160819.3174	101230.3089	273770.6121	150334.73	12078.49421	155761.5367	132184.5353	101230.3089	160819.3174	208714.825	130490.0362	111645.8634	208714.825	158437.9124	231444.6655	66431.73261	71783.0883	34390.73834	47675.58453	67436.52072	106373.5834	132184.5353	62545.24944	77564.55512	42525.83699	26458.05146	120405.1651	101230.3089	123518.6453	91685.51901	128728.9914	60797.1668	113034.0706	124942.0614	68180.49027	64495.07466	45422.88187	94315.78286	66431.73261	118653.7689	50374.41382	38686.89145	104345.6196	78917.75005	169170.5188	130490.0362	128728.9914
TG 58:4	 [M+NH4]+	10.98	7.809147614	55730.22699	88000.9002	34025.85466	77564.55512	44028.93936	6390.312368	58122.70206	47675.58453	39958.55439	53203.45962	58899.00316	44979.14152	36925.99255	53203.45962	37667.00398	57314.43958	36595.13001	36925.99255	22709.49399	31735.47788	53203.45962	49992.58667	51699.90556	42984.45277	30703.47362	27467.08531	13073.99457	55730.22699	63518.89008	71783.0883	39474.37337	50374.41382	26696.97761	40876.3725	44461.71636	28541.66799	33114.19408	28239.96359	45422.88187	43602.71871	38334.3873	26185.41217	21908.4025	47675.58453	50374.41382	49259.51288	51129.81649	45851.00436
TG 58:5	 [M+NH4]+	10.81	13.72505459	8709.591127	14063.56143	9884.422386	19059.34626	12915.88073	5983.919099	17331.87007	10172.95485	11115.01877	9681.99512	11471.68216	9054.47894	10517.24599	9337.008436	8984.995884	10086.74601	20275.01639	23243.56693	26696.97761	30416.9084	37667.00398	37667.00398	26696.97761	51129.81649	25883.40532	19718.04588	13174.93997	26696.97761	28541.66799	23681.35154	20275.01639	18414.14302	10824.47854	9337.008436	9533.543017	11024.14349	15019.40266	9607.234258	12522.3119	13690.83598	15922.77687	16055.98323	6105.663462	14869.87986	12078.49421	25883.40532	13690.83598	8358.676685
TG 58:6	 [M+NH4]+	10.68	18.47745311	1872.004713	6105.663462	2154.216067	3560.774964	6231.117745	3684.065188	9337.008436	2554.402104	3284.483163	3284.483163	2217.249324	2217.249324	2305.655716	6574.562853	2432.310691	3656.86449	11471.68216	19718.04588	21908.4025	20831.16733	28023.04736	44979.14152	18758.21968	36925.99255	18758.21968	17331.87007	10341.29307	22709.49399	25883.40532	15406.17715	11309.78534	11309.78534	4835.537305	3353.687486	2529.955592	4211.337463	4745.754242	8512.210857	3846.535463	2965.684274	5983.919099	8894.3843	4798.527859	7132.635791	3560.774964	3889.433002	3846.535463	4480.896291
TG 58:7	 [M+NH4]+	10.54	16.9541706	1218.783404	2851.466121	2931.575138	3461.308373	2217.249324	16200.60125	2965.684274	1810.048109	2383.173868	2802.844887	2995.122344	2905.640596	2133.381711	4686.688052	2720.283708	2191.858738	19885.58665	30416.9084	38334.3873	28023.04736	38012.66924	32089.70639	18001.09703	45422.88187	32488.07954	23243.56693	9884.422386	24123.14184	18758.21968	9681.99512	19542.91673	13793.05002	5244.072797	1940.413148	2489.813076	4602.288706	9439.727599	3617.910855	2305.655716	8189.229007	4161.917897	9439.727599	6390.312368	10447.42966	4522.233182	7530.809589	10824.47854	9884.422386
TG 58:8	 [M+NH4]+	10.41	22.62915384	2154.216067	4430.950426	1155.776144	2383.173868	5094.988909	8442.776165	12656.18091	7746.09192	3378.153016	3328.644581	5651.645311	2851.466121	10627.44419	5536.597906	5781.651568	3722.805152	24123.14184	39474.37337	65541.65096	40359.47195	83895.46567	63518.89008	38334.3873	67436.52072	58899.00316	34025.85466	9259.423345	42525.83699	54202.25526	30135.59375	19059.34626	34984.47131	12446.06247	5194.374936	4565.825721	7530.809589	16945.26735	22082.21869	8894.3843	22327.21182	12305.90809	6290.853212	8121.861752	22468.11183	9607.234258	3378.153016	17646.00525	25883.40532
TG 58:9	 [M+NH4]+	10.19	9.882538174	1966.184891	1300.967987	5339.378486	3586.931183	4602.288706	6290.853212	8984.995884	3722.805152	2509.781795	6159.263596	4522.233182	3165.953768	6327.856484	8295.391711	6231.117745	8046.838572	16337.11783	18758.21968	32089.70639	26458.05146	66431.73261	80839.24563	53203.45962	74111.75373	17463.65618	17862.50742	7001.843942	22327.21182	51129.81649	42984.45277	27467.08531	42525.83699	5593.616175	2601.313645	2109.421401	9054.47894	8627.711884	13174.93997	8121.861752	19885.58665	6290.853212	7200.131385	10824.47854	6033.81833	6697.629949	5429.255262	12522.3119	13519.95059
TG 59:2	 [M+NH4]+	11.52	23.05970455	11196.72951	16200.60125	5194.374936	24384.40584	14413.00307	3378.153016	15922.77687	9607.234258	13073.99457	9986.22697	14558.08559	8512.210857	8627.711884	30416.9084	10696.32158	25532.13449	4092.482947	5876.33717	4522.233182	5536.597906	8189.229007	9884.422386	10517.24599	9884.422386	4835.537305	5048.536444	2720.283708	8121.861752	9337.008436	9884.422386	10824.47854	4393.66351	6629.200142	5933.161129	19227.61365	5289.839148	7948.616223	13073.99457	10824.47854	11855.75068	7813.504373	5876.33717	1918.399093	5244.072797	9439.727599	13690.83598	9986.22697	7076.341456
TG 59:3	 [M+NH4]+	11.32	23.49608826	21053.77263	20831.16733	10257.04762	28239.96359	19059.34626	5289.839148	15196.55845	11115.01877	10172.95485	24942.44013	20470.26498	12078.49421	18001.09703	24123.14184	12656.18091	30703.47362	4955.023533	5289.839148	10824.47854	10517.24599	11196.72951	8295.391711	12656.18091	8984.995884	10086.74601	4745.754242	1300.967987	10172.95485	9054.47894	14869.87986	14732.83801	9259.423345	10341.29307	6443.041527	10447.42966	9884.422386	3617.910855	3889.433002	15019.40266	9884.422386	10257.04762	15196.55845	12305.90809	22327.21182	3684.065188	8627.711884	16945.26735	8709.591127
TG 59:4	 [M+NH4]+	11.10	39.20917675	9259.423345	7875.490429	6744.227051	9793.243288	8046.838572	394.0975823	5723.206757	4565.825721	6159.263596	6932.82616	7875.490429	4835.537305	4912.784497	4955.023533	9793.243288	5487.494193	2631.220818	2176.953478	2353.453936	2284.431709	3586.931183	9607.234258	5048.536444	8046.838572	1509.169743	3617.910855	4480.896291	5876.33717	3046.664351	3917.335892	3353.687486	6231.117745	2406.789102	2109.421401	4393.66351	2529.955592	2353.453936	3259.440233	4866.332948	1704.06767	4866.332948	5289.839148	275.7432142	9986.22697	5386.137656	6744.227051	2056.907916	2631.220818
