"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"PE 40:6"," [M+H]+@7.03",241913.250604167,336764.72075,302650.984854167,352193.677083333,233211.262916667,419871.779375,404244.566666667,247168.375354167,278186.300458333,322626.111666667,347218.853979167,271119.96925,278186.300458333,307368.768333333,251937.8936875,296712.433125,283713.82425,302650.984854167,509001.631458333,356390.760270833,307368.768333333,527596.454375,336764.72075,356390.760270833,429112.1025,330147.239958333,459494.973958333,547255.891083333,468410.748333333,283713.82425,341811.438895833,411683.563208333,399230.988541667,302650.984854167,388219.817041667,411683.563208333,361526.916875,437836.651041667,404244.566666667,372957.190208333,477296.5580625,352193.677083333,493910.028604167,341811.438895833,399230.988541667,411683.563208333,347218.853979167,352193.677083333
"PE 41:1"," [M+H]+@8.80",208156.216,171582.499145833,198741.263020833,181745.739229167,163407.243291667,352193.677083333,204916.895395833,176776.171729167,283713.82425,181745.739229167,176776.171729167,241913.250604167,228776.827854167,224222.190395833,133725.740541667,179201.971395833,115677.330875,179201.971395833,228776.827854167,181745.739229167,139969.648395833,142519.639270833,173720.010708333,260950.051770833,233211.262916667,49724.7607916667,173720.010708333,146980.069479167,211527.645625,195059.6044375,179201.971395833,191210.7299375,204916.895395833,146980.069479167,184886.350125,204916.895395833,191210.7299375,188194.112895833,224222.190395833,179201.971395833,163407.243291667,247168.375354167,165482.409145833,139969.648395833,184886.350125,160780.199875,111575.404125,211527.645625
"PE 42:1"," [M+H]+@9.02",951723.740833333,824440.960208333,1237167.635625,695841.508541667,1161463.268125,1750732.02770833,800581.565833333,1121864.07375,837253.079583333,713392.294791667,789340.951979167,1089932.80114583,837253.079583333,1089932.80114583,1237167.635625,824440.960208333,977591.3966875,1005731.8998125,1474755.46979167,1308216.84932292,778100.338125,871241.879375,990908.912125,1223395.68479167,964273.88125,871241.879375,1250939.58645833,661084.090833333,964273.88125,1061740.12947917,990908.912125,895955.378125,1020554.8875,1203162.89197917,964273.88125,1076133.891875,1871071.78145833,1223395.68479167,1076133.891875,1103731.71041667,964273.88125,824440.960208333,990908.912125,661084.090833333,939173.600416667,871241.879375,605053.808916667,850065.198958333
"PE 42:1"," [M+Na]+@9.05",21420.783355625,68491.3312083333,34761.9740416667,30022.8413104167,27178.2921166667,53476.7067916667,46056.3711902083,23233.8706583333,27589.69850625,50262.1638541667,22041.1550416667,46681.8105625,27868.1684854167,29326.2607185417,36301.3078958333,59215.9472708333,16918.440138125,24240.4216354167,79503.6455208333,44412.8627791667,56134.2555625,42716.663326875,38113.9234583333,72765.470375,38113.9234583333,47678.7511041667,47125.753125,37669.1065354167,52558.7783958333,34367.3447854167,35996.6929583333,34367.3447854167,46681.8105625,35132.43426875,54641.9437291667,52558.7783958333,56636.005875,107649.473770833,32320.8331875,54641.9437291667,59215.9472708333,62528.8019791667,59918.9448958333,46681.8105625,46681.8105625,55420.7999375,66285.647119375,52558.7783958333
"PE 42:2"," [M+H]+@8.57",188194.112895833,198741.263020833,204916.895395833,119817.908875,215625.1535625,291149.021291667,160780.199875,195059.6044375,184886.350125,157997.2889375,233211.262916667,233211.262916667,176776.171729167,191210.7299375,146980.069479167,119817.908875,144945.939479167,208156.216,195059.6044375,160780.199875,168578.480083333,88328.4516041667,181745.739229167,201791.992395833,184886.350125,173720.010708333,153230.0098125,106572.533145833,191210.7299375,198741.263020833,204916.895395833,165482.409145833,191210.7299375,201791.992395833,176776.171729167,155197.662166667,179201.971395833,92192.15425,201791.992395833,142519.639270833,127907.580645833,114033.618104167,131894.133770833,100629.472854167,130540.979770833,95637.5254583333,88328.4516041667,176776.171729167
"PE 42:3"," [M+H]+@8.21",23233.8706583333,23896.8732708333,30739.0435416667,17279.6473875,21690.7638125,49724.7607916667,24566.8745625,31880.2057020833,22899.858670625,21147.9798,32726.7258375,32320.8331875,44412.8627791667,28557.1332383333,28943.911,35518.8674583333,32726.7258375,24566.8745625,29326.2607185417,25623.082,25967.2039708333,27178.2921166667,26274.7298125,31880.2057020833,27868.1684854167,41742.3810208333,26523.0429802083,14357.2209229167,39680.7247291667,40094.60165625,38489.1075625,27868.1684854167,17086.0433333333,31125.6742291667,23233.8706583333,20146.66125,9807.16972916667,23233.8706583333,29326.2607185417,18217.042298125,25194.7908854167,43935.3072708333,25623.082,23233.8706583333,22665.9946375,17713.37201125,22041.1550416667,18674.26483125
"PE 42:5"," [M+H]+@7.65",14897.7999666667,9188.67001875,9188.67001875,16456.3332770833,15866.414525,19349.0267854167,18217.042298125,28196.1858279167,17713.37201125,8679.75186597917,15069.44705625,18439.56135,17966.8428285417,37669.1065354167,12371.68410625,17455.5368979167,14357.2209229167,19641.05985625,20381.8806229167,20381.8806229167,16698.2329104167,14897.7999666667,19115.4117291667,24566.8745625,25967.2039708333,16698.2329104167,37669.1065354167,18902.8429770833,15069.44705625,19349.0267854167,29326.2607185417,14132.63154375,21420.783355625,10929.9068270833,13617.5047666667,16060.272025,12521.1103520833,22041.1550416667,12521.1103520833,26523.0429802083,12920.11145,11067.97041875,15469.404285625,21420.783355625,12208.0570270833,17455.5368979167,10661.0348708333,19349.0267854167
"PE 44:1"," [M+H]+@9.43",1781931.46989583,906992.968958333,2053770.25947917,1237167.635625,1907665.00260417,2631671.3521875,1308216.84932292,1842101.34677083,1781931.46989583,1451917.71416667,1451917.71416667,2053770.25947917,2053770.25947917,2418334.21583333,296712.433125,1354686.28395833,1237167.635625,1570143.98479167,1635123.3505625,1781931.46989583,977591.3966875,977591.3966875,1203162.89197917,1507113.58552083,1710081.23025,1268790.96661458,1710081.23025,1121864.07375,1710081.23025,1507113.58552083,1842101.34677083,1237167.635625,1404330.58729167,1507113.58552083,1354686.28395833,1404330.58729167,1507113.58552083,1121864.07375,1451917.71416667,1237167.635625,1237167.635625,906992.968958333,1308216.84932292,722503.482708333,1089932.80114583,906992.968958333,636921.667552083,1268790.96661458
"PE 44:3"," [M+H]+@8.64",15625.6791254167,26523.0429802083,31880.2057020833,18902.8429770833,31491.0594625,51494.8755833333,17279.6473875,19115.4117291667,26801.7846875,22899.858670625,20146.66125,28196.1858279167,35518.8674583333,22309.769875,25623.082,20873.1972125,17086.0433333333,16256.69031875,16918.440138125,12208.0570270833,22309.769875,17713.37201125,24566.8745625,38489.1075625,23587.3646729167,33753.5376708333,15469.404285625,12208.0570270833,17279.6473875,33253.4282083333,17713.37201125,25967.2039708333,14685.4924270833,15469.404285625,16918.440138125,11641.3961297917,19891.18345625,22309.769875,18439.56135,22041.1550416667,13284.17076875,8239.51337916667,16698.2329104167,13955.2876958333,18902.8429770833,11067.97041875,8851.44019166667,21690.7638125
"plasmenyl-PC 18:0"," [M+Na]+@1.81",330147.239958333,72765.470375,296712.433125,124788.458166667,330147.239958333,208156.216,94455.8167916667,352193.677083333,312966.80075,201791.992395833,260950.051770833,307368.768333333,317999.325729167,302650.984854167,356390.760270833,126433.602229167,317999.325729167,241913.250604167,99585.2541875,173720.010708333,62528.8019791667,144945.939479167,115677.330875,108870.446270833,98488.9984166667,64785.3328333333,110340.330791667,79503.6455208333,98488.9984166667,165482.409145833,195059.6044375,176776.171729167,129259.268333333,179201.971395833,160780.199875,171582.499145833,114033.618104167,55420.7999375,135503.866083333,111575.404125,118191.648479167,53476.7067916667,114033.618104167,57840.8919375,129259.268333333,84437.0173333333,54641.9437291667,121385.01425
