"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334"
"PC 42:7"," [M+H]+@6.82",212835.157083333,188368.1531875,350379.253125,153323.423833333,360924.114875,283523.413333333,228379.897395833,222724.331208333,161375.709083333,231540.946,303824.284791667,283523.413333333,181971.252041667,200137.63291875,280419.571875,188368.1531875,174769.821395833,263626.953958333,289788.032708333,242685.963270833,340717.077645833,98260.5272916667,234338.076875,410057.990395833,251586.82925,185539.464520833,110484.336125,100740.069520833,136445.227458333,234338.076875,94730.1410208333,101850.707708333,108033.138,111670.144916667,150585.3229375,176284.2899375,109280.428791667,195306.731166667,115087.080233333,155252.117229167,202561.782458333,159275.822979167,161375.709083333,190996.3430625,380563.533541667,143811.099270833,119485.529083333,116209.972020833
"PC 42:7"," [M+H]+@7.49",28284.1939166667,29762.113875,40902.67475,23723.6795208333,34851.2422541667,23317.4961395833,35524.23825,28284.1939166667,43449.1233958333,36587.5545333333,24843.3131041667,30924.6930833333,32500.0010208333,23050.0030583333,31193.7376458333,28004.9006875,49182.1519375,45489.1891875,38089.6647916667,44578.6333958333,37669.7818354167,27791.6515625,42523.0103958333,35524.23825,46764.6124166667,33229.8076666667,9571.38156875,13726.38215625,40902.67475,51388.8026666667,17811.1429791667,32866.1555895833,24153.4036875,51388.8026666667,31193.7376458333,49182.1519375,47741.2719375,37669.7818354167,50847.8725833333,42830.1605208333,67062.2023958333,33229.8076666667,44578.6333958333,48282.8317916667,40522.6794583333,54933.5999166667,32169.4632708333,19522.6154833333
"PC 42:8"," [M+H]+@6.39",133741.036666667,151788.654625,130738.621270833,48282.8317916667,185539.464520833,105160.493645833,81117.0407291667,92241.2893958333,89687.4014375,113892.5068125,101850.707708333,137923.22225,97384.5068541667,101850.707708333,122037.462229167,111670.144916667,116209.972020833,193173.003604167,183567.370916667,161375.709083333,195306.731166667,106170.603875,165236.349791667,228379.897395833,183567.370916667,93946.0163125,72813.4218333333,79498.598375,106170.603875,197902.64975,58640.6394166667,66545.5362708333,60214.3088354167,113892.5068125,97384.5068541667,102844.1724375,94730.1410208333,127900.660479167,123420.386541667,97384.5068541667,103932.473791667,151788.654625,134879.812770833,174769.821395833,207030.364104167,180189.547083333,133741.036666667,86100.349
"PC 42:9"," [M+H]+@5.99",344742.4775,374936.764166667,449228.08875,263626.953958333,465581.6614375,300258.1775,374936.764166667,296277.1863125,360924.114875,465581.6614375,248330.808395833,869496.868979167,327795.408125,385925.4746875,528776.66375,365470.947354167,1145196.078125,825786.844791667,760910.339791667,563971.843958333,858783.875208333,296277.1863125,988829.731666667,988829.731666667,932383.674083333,222724.331208333,307558.430791667,557058.358125,505749.395,336440.309583333,323138.7884375,310888.675166667,137923.22225,449228.08875,428660.119354167,318394.531166667,380563.533541667,988829.731666667,685782.794166667,510970.744375,380563.533541667,365470.947354167,749885.030625,696936.794166667,932383.674083333,848163.313125,608026.225625,441648.646625
"PC 42:9"," [M+H]+@6.80",7547.3915625,22145.0118125,13299.2098845833,14214.01789375,25893.6357083333,24393.3212729167,10323.214229375,12237.1612479167,9149.34139770833,12734.9498625,8563.15002854167,8301.19985645833,9449.60004583333,8301.19985645833,10184.4060958333,21920.385375,13726.38215625,16310.5423083333,15562.1559541667,18729.967825,12237.1612479167,19522.6154833333,12237.1612479167,15382.4757354167,21639.46958125,34851.2422541667,19195.0620604167,15945.6565854167,13894.24385,45925.7530416667,6831.30403583333,12734.9498625,10753.284748125,13299.2098845833,17670.5568625,14665.7700833333,17811.1429791667,10470.9626208333,15382.4757354167,17488.1589520833,25376.74891875,33546.7016666667,15760.8227958333,14214.01789375,24625.9173416667,25893.6357083333,16998.62016875,16310.5423083333
"PC 43:6"," [M+H]+@7.59",4070.4072975,13002.3994166667,8301.19985645833,11472.6489708333,9006.5733875,9006.5733875,21639.46958125,15945.6565854167,14514.95101875,7425.269565625,13161.08619375,13894.24385,17147.08530625,13299.2098845833,25376.74891875,3812.95717958333,4749.57910291667,9006.5733875,13579.1422708333,14802.1219791667,8157.00187291667,11312.84998125,22826.97823125,13299.2098845833,11472.6489708333,8157.00187291667,2623.87670645833,8820.81390208333,5981.458525,16135.3973,10637.4816333333,15382.4757354167,12406.9505125,10637.4816333333,7260.50949166667,10038.557625,14214.01789375,36045.0457083333,23533.94505,31779.5540395833,21293.78144375,18729.967825,17147.08530625,9312.20374791667,12237.1612479167,18207.3656583333,19697.8504458333,15382.4757354167
"PC 44:11"," [M+H]+@6.05",26685.7790208333,19916.7310125,53471.7117916667,13579.1422708333,27791.6515625,31779.5540395833,27791.6515625,31470.8197414583,25113.4200666667,20669.3788041667,14970.1396020833,45041.3144375,31193.7376458333,34538.0009583333,45925.7530416667,70243.2861041667,60661.0993125,53000.0483541667,47170.469591875,54056.9692291667,63696.1643375,10038.557625,73577.7543125,97384.5068541667,52490.4299791667,16505.2879327083,15760.8227958333,33546.7016666667,10753.284748125,23723.6795208333,2623.87670645833,14514.95101875,8301.19985645833,15226.0996875,21920.385375,24393.3212729167,8157.00187291667,11926.43081,25113.4200666667,13726.38215625,23317.4961395833,28576.6310625,19033.5081041667,35524.23825,55978.3058229167,21639.46958125,12406.9505125,10924.6485541667
"PC 44:12"," [M+H]+@5.61",86100.349,119485.529083333,225865.290833333,70793.0847708333,123420.386541667,212835.157083333,253710.470958333,200137.63291875,251586.82925,157530.846895833,146786.310625,263626.953958333,222724.331208333,292958.7354375,267047.067979167,139219.2994375,228379.897395833,269992.248958333,251586.82925,170742.833791667,234338.076875,165236.349791667,449228.08875,456173.3075,404398.493333333,110484.336125,68385.1153125,197902.64975,89687.4014375,166944.870916667,124789.6565625,99548.0858958333,84577.2832708333,100740.069520833,89687.4014375,69704.9708958333,90607.3503541667,267047.067979167,153323.423833333,185539.464520833,79498.598375,180189.547083333,202561.782458333,188368.1531875,428660.119354167,202561.782458333,200137.63291875,190996.3430625
"PC 44:4"," [M+H]+@8.52",71443.2747291667,72212.0944791667,67747.4288125,40179.6011458333,61206.8063333333,73577.7543125,85265.2634375,81117.0407291667,116209.972020833,95387.1177916667,87865.2452708333,85265.2634375,124789.6565625,93105.01275,84577.2832708333,99548.0858958333,122037.462229167,94730.1410208333,113892.5068125,72212.0944791667,103932.473791667,83722.803875,116209.972020833,77276.4849583333,71443.2747291667,34222.3254291667,60661.0993125,119485.529083333,50847.8725833333,38089.6647916667,86886.1107916667,58134.21025,70243.2861041667,74981.0155,87865.2452708333,96382.5594375,84577.2832708333,113892.5068125,89687.4014375,51825.1675,78770.529875,87865.2452708333,69704.9708958333,83722.803875,90607.3503541667,71443.2747291667,70793.0847708333,102844.1724375
"PC 44:5"," [M+H]+@8.02",72813.4218333333,54056.9692291667,73577.7543125,43449.1233958333,74981.0155,64478.1784166667,82906.6564583333,82906.6564583333,81117.0407291667,112705.888666667,75717.1281666667,75717.1281666667,92241.2893958333,83722.803875,77957.8695416667,166944.870916667,96382.5594375,69704.9708958333,72212.0944791667,64478.1784166667,55978.3058229167,38487.0333208333,86886.1107916667,63084.456975,64478.1784166667,29220.6867291667,39263.0399625,49516.796725,34538.0009583333,42057.9943770833,41638.97925,39748.0320229167,27313.3729041667,65132.0198395833,62369.4054791667,63696.1643375,32866.1555895833,87865.2452708333,56448.8900208333,67747.4288125,65899.794125,44578.6333958333,40179.6011458333,51825.1675,81957.5792083333,60214.3088354167,46764.6124166667,41326.721875
"PC 44:6"," [M+H]+@7.79",37363.3180833333,32169.4632708333,31470.8197414583,21293.78144375,30924.6930833333,34538.0009583333,33546.7016666667,35816.3162291667,39263.0399625,29450.0392083333,33546.7016666667,41326.721875,35177.5056458333,35524.23825,31779.5540395833,59189.7479583333,32866.1555895833,37669.7818354167,39748.0320229167,36587.5545333333,35816.3162291667,29762.113875,43449.1233958333,58134.21025,42830.1605208333,44578.6333958333,42057.9943770833,23317.4961395833,39748.0320229167,15945.6565854167,24843.3131041667,29762.113875,23533.94505,34851.2422541667,39748.0320229167,47170.469591875,29450.0392083333,49516.796725,57560.7078541667,45925.7530416667,40522.6794583333,28816.2794666667,33884.0157104167,26972.9900625,20669.3788041667,48282.8317916667,36944.6941666667,40522.6794583333
"PC 44:7"," [M+H]+@7.40",21920.385375,24625.9173416667,29762.113875,23905.8558791667,19697.8504458333,30032.3190041667,51388.8026666667,41638.97925,35524.23825,36944.6941666667,37669.7818354167,43119.4267291667,32866.1555895833,43832.7248958333,34851.2422541667,38822.9027708333,34538.0009583333,41638.97925,25113.4200666667,35177.5056458333,21478.86160625,16998.62016875,38487.0333208333,20327.2089354167,24625.9173416667,17488.1589520833,8820.81390208333,23050.0030583333,12237.1612479167,23533.94505,18207.3656583333,22145.0118125,28284.1939166667,15108.266075,28816.2794666667,22826.97823125,20484.5264979167,39263.0399625,39748.0320229167,31193.7376458333,31193.7376458333,23050.0030583333,25113.4200666667,25376.74891875,30614.2592604167,43119.4267291667,23050.0030583333,25113.4200666667
"PC 45:4"," [M+H]+@8.76",8157.00187291667,15562.1559541667,5714.38435125,10753.284748125,4749.57910291667,7260.50949166667,6121.53180916667,4070.4072975,8820.81390208333,9449.60004583333,11173.58905125,5266.40966041667,9312.20374791667,5266.40966041667,4461.60743229167,14514.95101875,6831.30403583333,11777.23007875,25376.74891875,11926.43081,20327.2089354167,28816.2794666667,8682.4191375,10924.6485541667,25376.74891875,18545.5991125,14802.1219791667,6259.24568104167,4461.60743229167,38487.0333208333,25594.5102708333,24393.3212729167,41638.97925,21920.385375,16505.2879327083,30326.4873541667,42057.9943770833,7260.50949166667,24393.3212729167,9762.6391775,34222.3254291667,13894.24385,13450.87329375,7260.50949166667,10323.214229375,15108.266075,10184.4060958333,9149.34139770833
"PC 46:7"," [M+H]+@7.93",7697.18435458333,8301.19985645833,7425.269565625,8157.00187291667,5981.458525,9762.6391775,7425.269565625,7260.50949166667,6121.53180916667,14214.01789375,8301.19985645833,7110.71131770833,10924.6485541667,9571.38156875,4867.73271895833,19195.0620604167,10184.4060958333,8820.81390208333,7843.24409583333,7260.50949166667,7425.269565625,3812.95717958333,11312.84998125,8024.2740125,6529.76678333333,6831.30403583333,1406.59453645833,2121.26349979167,1590.20871604167,1033.30628541667,5113.66155583333,5850.51300833333,6121.53180916667,7547.3915625,7110.71131770833,6529.76678333333,9571.38156875,8563.15002854167,8682.4191375,10323.214229375,5431.01512395833,5714.38435125,6368.70267958333,6683.639894375,6831.30403583333,9312.20374791667,5431.01512395833,4327.43820166667
"PC 7:0"," [M+H]+@0.59",6683.639894375,3644.90870729167,4213.114564375,8563.15002854167,4327.43820166667,1406.59453645833,4213.114564375,4867.73271895833,3245.77610041667,6831.30403583333,3812.95717958333,3812.95717958333,2492.598911875,7110.71131770833,3400.52579083333,4070.4072975,1590.20871604167,3245.77610041667,2364.36149895833,3088.31183833333,7547.3915625,3400.52579083333,8157.00187291667,1217.85808291667,2492.598911875,4990.58146791667,8430.471375,4990.58146791667,3088.31183833333,3812.95717958333,2364.36149895833,2492.598911875,4070.4072975,4749.57910291667,5981.458525,6990.41404583333,4213.114564375,5113.66155583333,4990.58146791667,14214.01789375,4070.4072975,1757.67768041667,3400.52579083333,2623.87670645833,5266.40966041667,4070.4072975,1941.58446208333,10184.4060958333
