Sample,Ctrl_BKS_2202,Ctrl_BKS_2203,Ctrl_BKS_2206,Ctrl_BKS_2211,HF_BKS_2214,HF_BKS_2216,HF_BKS_2217,HF_BKS_2218
DG 30_2,940.2618132,2296.768734,1905.782117,5849.40569,1123.46535,709.3398762,1478.388117,753.882162
DG 39_2,7771.934785,42420.08509,16789.57049,24318.924,8376.800724,55419.87122,39556.11778,8376.800724
DG 35_2,1198.946754,2395.438712,1677.2431,5645.94363,1258.626388,2670.795152,2670.795152,1953.222477
DG 37_4,2571.099496,3393.833661,2670.795152,2193.163013,1992.226221,4841.881323,2847.531889,1338.64304
DG 39_0,3580.159886,7294.554314,3443.641128,7673.457635,2670.795152,8099.141441,6314.388822,3043.531228
lysoPC 16_0,1292322.622,294671.8546,873649.2469,397778.3077,817013.1406,656031.4171,319910.3827,905287.045
lysoPC 18_2,54302.35779,26658.08121,61008.80447,48784.89957,61008.80447,51873.63852,35588.27304,72498.61349
lysoPC 17_0,43871.11439,24524.56369,32627.18255,51022.06815,41111.2412,90509.08589,60166.51285,31911.21493
lysoPC 20_4,40539.86786,14673.55229,30553.0862,33305.89256,29882.83473,23720.71467,20723.80873,34190.13359
lysoPC 22_6,36539.01959,12216.46474,34190.13359,36539.01959,32254.25067,27087.48752,21891.55372,36067.10331
lysoPC 18_0,443608.8154,160324.7693,358500.3149,273593.7126,430834.2141,349702.3873,209636.0755,443608.8154
lysoPC 22_0,133617.5635,41964.9398,117834.2755,56628.24896,126906.0295,116292.4847,44920.29082,126906.0295
lysoPC 20_0,38115.5031,10746.73194,34456.0835,17027.91374,35588.27304,32962.54524,16250.10355,32962.54524
lysoPC 14_0,19390.54421,4640.227912,14256.58893,5403.07213,13311.26389,7455.483888,4708.762033,16461.91851
lysoPC 20_2,7122.753315,2511.132278,8643.232976,2847.531889,8743.037373,5849.40569,3998.541151,10866.84645
lysoPC 25_0,17983.8299,9884.693738,17832.18544,11383.99871,17514.11007,25721.1528,10458.92068,19203.34294
lysoPC 23_0,26862.59099,9295.152367,26445.6498,13872.47313,23159.73739,30235.19587,14472.81538,23720.71467
lysoPC 19_0,5563.097563,3818.530117,4708.762033,8376.800724,4841.881323,5718.393777,5183.999485,4772.424055
lysoPC 15_0,7194.968451,2847.531889,5849.40569,4099.041851,5403.07213,4772.424055,4772.424055,4708.762033
lysoPC 26_0,10333.35138,14040.75866,15320.51793,9197.275298,11840.90536,22877.48952,12031.43876,14972.22217
lysoPC 24_0,473514.3963,135780.6347,387270.6176,168295.1522,443608.8154,387270.6176,152548.1415,417740.91
lysoPE 22_6,39556.11778,15320.51793,39556.11778,25721.1528,34190.13359,27286.31802,17832.18544,38115.5031
lysoPE 20_4,34730.49024,10084.52431,31911.21493,18688.35007,29559.61275,24318.924,9884.693738,33717.52563
lysoPE 22_4,23159.73739,6097.541496,24853.39089,8940.032851,20723.80873,19390.54421,6496.087116,23998.07358
lysoPE 18_2,23998.07358,7771.934785,26658.08121,12618.83335,28581.59317,22124.55663,9295.152367,31366.71413
lysoPE 16_0,74499.56274,32962.54524,90509.08589,35588.27304,64201.41395,61008.80447,27902.26069,91651.58385
lysoPE 18_0,5356.209586,5326.537819,7335.744496,4674.494973,6194.869629,3714.173382,3338.76246,4457.287162
lysoPE 24_4,5718.393777,1338.64304,6813.545484,1532.095547,5718.393777,4640.227912,1677.2431,5296.866052
lysoPE 20_2,4532.176991,940.2618132,4493.797921,1808.203482,3172.082571,2902.821074,503.2970677,3515.553054
lysoPE 14_0,3818.530117,569.9816632,2902.821074,753.882162,2945.913759,1338.64304,1063.184742,2805.820427
MG 20_0,12031.43876,9081.688634,15714.06713,16067.46387,9744.923725,23159.73739,23720.71467,11546.16419
MG 16_0,168295.1522,129987.1261,209636.0755,216662.8928,173899.4886,430834.2141,334156.635,186702.7768
MG 17_0,5296.866052,4349.426776,4882.871075,7771.934785,3818.530117,8295.862356,8099.141441,5083.043178
MG 18_0,505819.6734,873649.2469,583382.4614,937247.5266,491092.556,1362378.177,937247.5266,526908.2405
MG 22_0,13311.26389,6314.388822,14040.75866,10585.40305,9980.981454,13472.58,11145.78705,13311.26389
MG 20_4,8195.528634,2445.176486,7569.332703,3172.082571,6813.545484,7122.753315,4882.871075,6496.087116
MG 18_2,5645.94363,5849.40569,5356.209586,6496.087116,7771.934785,11034.5337,7998.193586,8195.528634
MG 19_0,1478.388117,1580.025685,993.7742573,1905.782117,753.882162,1953.222477,2902.821074,1580.025685
MG 21_0,1063.184742,503.2970677,867.3222018,867.3222018,940.2618132,1580.025685,1627.746083,709.3398762
MG 23_0,569.9816632,628.5824116,709.3398762,818.182591,503.2970677,1627.746083,1338.64304,993.7742573
PC 31_0,152548.1415,117834.2755,216662.8928,126906.0295,200904.582,342721.4674,138334.78,177646.6131
PC 36_2,873649.2469,791344.8764,1049340.946,905287.045,1292322.622,2862450.724,873649.2469,1521673.434
PC 44_2,195751.9948,99347.90323,223524.9733,103984.5835,186702.7768,236581.2546,105572.933,180760.1303
PC 32_2,204933.0356,152548.1415,319910.3827,147710.6383,216662.8928,230154.5574,113564.0664,294671.8546
PC 40_2,367151.5642,253046.9487,342721.4674,223524.9733,367151.5642,632064.8839,294671.8546,367151.5642
PC 29_0,41964.9398,21379.16194,51022.06815,26658.08121,49328.28399,54302.35779,20562.96619,44315.87585
PC 38_4,223524.9733,236581.2546,258509.8465,319910.3827,230154.5574,443608.8154,325851.5759,285600.9059
PC 43_2,55419.87122,40070.62489,66257.31825,42420.08509,59264.48706,107262.3125,42420.08509,65353.68373
PC 42_2,1362378.177,714911.8782,1521673.434,656031.4171,1736024.7,2697020.122,791344.8764,714911.8782
PC 36_4,738235.702,905287.045,791344.8764,817013.1406,656031.4171,1049340.946,1362378.177,817013.1406
PC 35_0,32254.25067,18898.07509,28787.52865,16356.01103,26551.8655,33305.89256,21271.5243,24853.39089
PC 28_0,121912.3184,19028.7733,113564.0664,27286.31802,95139.11841,64201.41395,23507.98328,87005.75292
PC 37_4,8643.232976,15714.06713,7860.680748,12488.68397,9513.549069,27670.09367,19028.7733,13146.35455
PC 40_6,39077.77679,77688.32334,56628.24896,114832.4635,36934.22017,68865.41599,99347.90323,43871.11439
PC 48_4,4099.041851,1677.2431,5035.993035,2764.030668,6314.388822,5035.993035,3130.440892,6743.265069
PC 33_2,33717.52563,35072.25717,36539.01959,18187.69391,45464.03727,62980.38348,32627.18255,46346.14514
PC 37_0,11034.5337,15508.05482,19028.7733,9513.549069,9646.40069,27902.26069,12618.83335,13872.47313
PC 38_6,430834.2141,848209.172,473514.3963,605884.4281,526908.2405,848209.172,1049340.946,505819.6734
PC 33_0,101448.8636,74499.56274,154857.4709,68865.41599,121912.3184,177646.6131,80589.25747,116292.4847
PC 32_0,977535.7541,1110766.03,1232916.633,1232916.633,1110766.03,3218141.74,1170172.546,1110766.03
PC 39_6,6905.436348,11546.16419,10217.91015,9884.693738,5950.321398,14040.75866,9413.316983,5035.993035
PC 38_2,52725.25713,65353.68373,71273.27689,67312.54178,44920.29082,110803.3613,68865.41599,67312.54178
PC 40_8,31366.71413,41111.2412,26862.59099,54302.35779,34456.0835,37365.70363,66257.31825,48111.29953
PC 35_4,24688.97729,32440.71661,23859.39413,19470.51145,20251.37618,16356.01103,30394.14103,21037.35088
PC 15_0,19028.7733,15903.16367,22292.22341,32962.54524,16461.91851,31911.21493,33717.52563,17983.8299
PC 35_2,26445.6498,39556.11778,38664.55658,27670.09367,30235.19587,88679.23925,53353.6203,34456.0835
PC 46_6,7455.483888,6235.468472,4841.881323,5718.393777,6673.205761,11546.16419,5296.866052,5183.999485
PC 41_2,51022.06815,31911.21493,70138.2474,37365.70363,58535.51652,135780.6347,64201.41395,54302.35779
PC 44_4,114832.4635,48784.89957,138334.78,154857.4709,133617.5635,294671.8546,184121.8619,143918.3374
PC 44_12,21163.88667,17342.09818,18352.13869,10217.91015,17983.8299,12781.72731,5849.40569,22292.22341
PC 34_4,31911.21493,33305.89256,33305.89256,20910.8151,31911.21493,30997.98222,24524.56369,39077.77679
PC 40_4,13472.58,20723.80873,24318.924,14972.22217,14256.58893,31656.99882,25721.1528,13472.58
PC 39_8,10746.73194,10217.91015,17679.55419,16789.57049,12332.17944,15903.16367,7673.457635,12332.17944
PC 38_8,1338.64304,4772.424055,1953.222477,2805.820427,2347.390965,2847.531889,4219.332944,426.7085475
PC 39_4,2445.176486,9197.275298,2347.390965,3515.553054,2571.099496,4591.859843,3515.553054,5403.07213
PC 34_2,6743.265069,22292.22341,8542.109202,12781.72731,8940.032851,15106.41964,27286.31802,9197.275298
PC 37_2,9744.923725,10585.40305,13311.26389,10084.52431,7017.194696,15508.05482,10866.84645,7376.934678
PC 42_4,22544.18777,19884.77152,19203.34294,18529.4487,25127.75628,35072.25717,21581.12657,21379.16194
PC 43_4,12216.46474,29559.61275,10866.84645,19203.34294,12618.83335,20335.21887,22877.48952,15320.51793
PC 46_4,10458.92068,11383.99871,10333.35138,12332.17944,16789.57049,21581.12657,8542.109202,23507.98328
PC 32_4,3443.641128,3515.553054,4532.176991,3443.641128,1677.2431,3338.76246,3393.833661,3172.082571
PC 45_4,7860.680748,3955.278345,8743.037373,4493.797921,5849.40569,6743.265069,4160.779317,10746.73194
plasmenyl-PC 18_0,105572.933,23507.98328,99347.90323,39556.11778,107262.3125,67312.54178,30997.98222,113564.0664
plasmenyl-PC 22_0,709.3398762,867.3222018,753.882162,228.1624258,628.5824116,503.2970677,228.1624258,940.2618132
plasmenyl-PC 24_0,3130.440892,709.3398762,1854.639013,1338.64304,2089.288137,1123.46535,1198.946754,2445.176486
PE 36_2,1080053.488,458561.6059,1327350.4,726573.7901,1201544.589,2429664.425,726573.7901,1262619.627
PE 38_4,209636.0755,149931.5951,230154.5574,177646.6131,209636.0755,397778.3077,170896.6576,204933.0356
PE 40_6,76079.33503,112273.979,101448.8636,116292.4847,72498.61349,143918.3374,135780.6347,77688.32334
PE 36_4,71273.27689,47317.58333,87005.75292,60166.51285,101448.8636,141350.5078,74499.56274,88679.23925
PE 38_2,28187.2005,17027.91374,33717.52563,15106.41964,30553.0862,25127.75628,17983.8299,32254.25067
PE 42_2,60166.51285,62980.38348,65353.68373,38115.5031,67312.54178,99347.90323,51022.06815,61008.80447
PE 34_2,190994.7706,97562.78014,294671.8546,152548.1415,190994.7706,204933.0356,129987.1261,195751.9948
PE 21_4,2764.030668,3283.390216,2805.820427,4219.332944,3515.553054,7017.194696,5035.993035,4932.641293
PE 40_2,34456.0835,19550.4787,35072.25717,28187.2005,30997.98222,45464.03727,28993.46412,37365.70363
PE 40_4,17027.91374,18529.4487,16635.85686,13311.26389,18898.07509,28993.46412,24853.39089,14040.75866
PE 19_2,4932.641293,2251.81869,2618.569225,2571.099496,1747.808907,5356.209586,2716.306274,3338.76246
PE 23_4,1808.203482,2193.163013,1808.203482,2296.768734,993.7742573,5239.634545,3671.558253,1992.226221
PE 35_2,6154.270785,7376.934678,8195.528634,8643.232976,9413.316983,14256.58893,13021.08677,8940.032851
PE 17_0,3626.565439,3232.935038,3626.565439,3714.173382,4532.176991,9295.152367,4532.176991,3714.173382
PE 38_6,61913.96555,110803.3613,80589.25747,113564.0664,76079.33503,149931.5951,133617.5635,84918.47633
PE 32_2,6235.468472,4160.779317,9980.981454,3998.541151,4066.410691,7294.554314,3955.278345,5239.634545
plasmenyl-PE 38_4,173899.4886,119966.0496,160324.7693,135780.6347,168295.1522,310104.3813,149931.5951,170896.6576
plasmenyl-PE 18_0,35072.25717,13228.80922,38115.5031,22292.22341,32627.18255,24524.56369,14750.05726,36934.22017
plasmenyl-PE 34_2,107262.3125,121912.3184,173899.4886,138334.78,105572.933,223524.9733,126906.0295,110803.3613
plasmenyl-PE 20_0,22292.22341,6813.545484,28187.2005,8195.528634,22292.22341,21891.55372,7860.680748,24318.924
plasmenyl-PE 40_6,117834.2755,72498.61349,133617.5635,76079.33503,129987.1261,173899.4886,110803.3613,95139.11841
plasmenyl-PE 36_2,4364115.823,2051052.904,4145863.071,4145863.071,4000456.57,4686841.934,3002995.031,4000456.57
plasmenyl-PE 38_6,93023.3815,83139.83362,112273.979,72498.61349,116292.4847,184121.8619,119966.0496,105572.933
plasmenyl-PE 22_0,5849.40569,1747.808907,7998.193586,2089.288137,6608.629767,5563.097563,2251.81869,4349.426776
plasmenyl-PE 38_2,28993.46412,35588.27304,36067.10331,21891.55372,37679.23243,43871.11439,28187.2005,26445.6498
plasmenyl-PE 40_4,147710.6383,57845.18798,143918.3374,66257.31825,143918.3374,216662.8928,61913.96555,141350.5078
plasmenyl-PE 42_4,20335.21887,11145.78705,24524.56369,12031.43876,23507.98328,32627.18255,16461.91851,20562.96619
