Sample,Ctrl_BKS_2202,Ctrl_BKS_2203,Ctrl_BKS_2206,Ctrl_BKS_2211,HF_BKS_2214,HF_BKS_2216,HF_BKS_2217,HF_BKS_2218,Ctrl_BKS_db+_2225,Ctrl_BKS_db+_2226,Ctrl_BKS_db+_2227,Ctrl_BKS_db+_2231,HF_BKS_db+_2239,HF_BKS_db+_2241,HF_BKS_db+_2242,HF_BKS_db+_2243,Ctrl_BL6_2249,Ctrl_BL6_2250,Ctrl_BL6_2251,Ctrl_BL6_2252,HF_BL6_2260,HF_BL6_2261,HF_BL6_2262,HF_BL6_2266,Ctrl_BL6_db+_2273,Ctrl_BL6_db+_2274,Ctrl_BL6_db+_2275,Ctrl_BL6_db+_2279,HF_BL6_db+_2286,HF_BL6_db+_2287,HF_BL6_db+_2288,HF_BL6_db+_2289,Ctrl_BTBR_2292,Ctrl_BTBR_2293,Ctrl_BTBR_2297,Ctrl_BTBR_2298,HF_BTBR_2306,HF_BTBR_2307,HF_BTBR_2308,HF_BTBR_2309,Ctrl_BTBR_ob+_2316,Ctrl_BTBR_ob+_2317,Ctrl_BTBR_ob+_2318,Ctrl_BTBR_ob+_2320,HF_BTBR_ob+_2329,HF_BTBR_ob+_2331,HF_BTBR_ob+_2333,HF_BTBR_ob+_2334,Tissue_Test Pool_Positive_01,Tissue_Test Pool_Positive_02,Tissue_Test Pool_Positive_03,Tissue_Test Pool_Positive_04,Tissue_Test Pool_Positive_05,Tissue_Test Pool_Positive_06,Tissue_Test Pool_Positive_07
Label,Ctrl_BKS,Ctrl_BKS,Ctrl_BKS,Ctrl_BKS,HF_BKS,HF_BKS,HF_BKS,HF_BKS,Ctrl_BKS_db,Ctrl_BKS_db,Ctrl_BKS_db,Ctrl_BKS_db,HF_BKS_db,HF_BKS_db,HF_BKS_db,HF_BKS_db,Ctrl_BL6,Ctrl_BL6,Ctrl_BL6,Ctrl_BL6,HF_BL6,HF_BL6,HF_BL6,HF_BL6,Ctrl_BL6_db,Ctrl_BL6_db,Ctrl_BL6_db,Ctrl_BL6_db,HF_BL6_db,HF_BL6_db,HF_BL6_db,HF_BL6_db,Ctrl_BTBR,Ctrl_BTBR,Ctrl_BTBR,Ctrl_BTBR,HF_BTBR,HF_BTBR,HF_BTBR,HF_BTBR,Ctrl_BTBR_ob,Ctrl_BTBR_ob,Ctrl_BTBR_ob,Ctrl_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,QC,QC,QC,QC,QC,QC,QC
CE(16:0); [M+NH4]+@10.97,15588.54386,20763.10669,13231.77819,17648.32973,13404.60307,15460.67337,12418.25855,17615.29807,11029.37273,20157.70074,17256.47371,24222.58853,20880.6295,20298.27692,20966.67895,30806.72136,22402.6306,20477.75249,145766.9701,32723.42936,47246.85386,83636.10526,19227.41964,26936.62631,57474.0998,11595.5266,18400.47136,16110.81765,12168.85694,12475.46322,22158.5269,20177.23525,94340.87004,26208.8793,31110.06612,33799.8114,60945.89342,19512.99384,19758.16387,25996.51896,17000.89587,16609.19508,21910.69883,23559.41651,23373.81197,20492.83792,31290.83123,39489.00197,32057.2451,33679.61456,20868.64212,22838.73086,22745.16683,20931.61261,21201.98619
CE(16:1); [M+NH4]+@10.67,23116.06999,9597.269984,21189.22415,24553.27781,19249.50336,30453.77641,29037.15103,17610.45585,22817.50825,42902.23106,38072.992,30144.84814,38239.93988,26981.27539,42273.29542,207394.0806,28140.83303,50083.58311,83089.67754,57569.57597,53885.56217,56321.54793,31834.7844,57725.40954,65144.02108,9718.967929,14339.10707,5305.258549,13254.60419,12118.05474,19448.19985,16421.88675,76746.11257,14650.87608,15981.72028,25037.66589,32462.78331,11635.14529,5787.540126,8962.222132,22993.27641,13839.44885,12128.07547,14498.09397,20878.1913,9051.284847,17123.42479,11497.75079,27293.56358,27029.94042,26333.99581,26934.36724,27102.50278,31984.67282,28303.23644
CE(16:2); [M+NH4]+@10.09,976.6036002,230.5738894,475.4787045,1678.23054,4771.457663,1567.740909,N/A,N/A,633.4135828,4155.102352,1636.281056,3403.121288,3935.785951,975.5916634,5899.753667,2434.168883,3358.073986,12836.9392,18672.93781,11465.4179,7519.038195,719.4810484,10449.15025,21917.64702,23719.04987,415.3016345,546.6039084,593.5326292,N/A,335.4436814,N/A,921.6569531,1803.48885,197.3694949,1274.228905,74.64996339,372.712875,1388.681619,978.8662196,N/A,375.3871432,1590.301331,776.2360814,1251.647491,12429.92697,854.1365531,N/A,34.32294337,5305.755135,3696.391799,5995.287117,4234.742267,5283.452258,3293.862402,4880.31289
CE(18:0); [M+NH4]+@11.28,20578.71522,N/A,27407.27743,28892.47789,N/A,N/A,22814.37999,24534.39861,20629.57857,36138.87675,3315.085567,63.35114902,N/A,20497.68288,30140.39086,N/A,N/A,28518.33091,139677.0342,613.8450054,77801.37198,113487.2344,24022.06297,1188.118061,71872.91262,31926.16869,60985.41924,28714.40849,16926.95033,16240.25905,35861.21992,5178.3204,132491.4975,N/A,51134.63006,35652.91326,56496.28801,36816.44553,25755.23331,18833.46757,24437.19577,73823.88828,12318.01703,61781.20146,92.44387525,53893.15045,87935.76403,32366.87956,60052.21998,29493.36306,N/A,21836.04502,37491.58831,54516.47804,32883.03144
CE(18:1); [M+NH4]+@10.91,188594.9844,290748.1631,185988.5803,225306.8532,271789.6959,222353.6974,245545.9833,220565.67,189176.6343,359705.2877,392972.9403,348427.018,354150.4408,281630.6469,295358.9594,1398251.93,239901.4335,288958.4979,1405297.736,441311.385,652792.2391,1033481.317,450353.6273,466067.0906,716704.9105,172947.9441,266081.6084,109505.1063,249567.0447,133388.8941,373742.9694,248928.9869,1307110.012,312222.7379,424940.5676,296233.659,571455.3922,293526.8877,205169.3242,266925.3641,265814.3459,254305.6265,240183.9351,386048.1044,274161.74,354299.8591,492776.0472,400104.2451,535157.6013,517940.4715,231785.4398,383492.6535,310488.0939,390323.175,313725.2313
CE(18:2); [M+NH4]+@10.68,127741.5935,169472.8489,115385.2476,111545.0832,111851.3996,131010.9999,160923.5561,149330.2424,140995.4847,71395.25498,99252.69961,82757.41267,118315.8603,90775.80375,83122.10579,217316.0935,36680.75442,104072.0012,139675.1493,113714.5913,66958.90406,703126.2715,53149.34568,67351.22332,99578.25203,148284.4652,235362.8452,161152.0061,205067.3682,156083.1279,251445.6384,164640.5923,846501.3515,75476.56844,191210.5775,79794.15275,189604.1145,197176.5987,129366.49,192328.8862,145592.5139,198909.0312,123660.9518,311711.287,54167.69473,221770.0248,344220.319,240928.3596,169865.4425,121926.3342,91627.863,183805.3495,136391.9575,147356.4158,109643.0315
CE(18:3); [M+NH4]+@10.28,5229.030954,5640.702152,10179.43024,5483.825735,8302.311644,8435.750635,8212.728961,12484.799,7069.332444,7519.066235,6991.439142,11587.0036,10129.15534,4815.949677,16438.91954,23224.37315,5322.102664,15699.89806,67678.77612,25588.53948,32220.57604,34170.82559,31901.00163,49856.82326,42711.33162,8616.194842,6857.725632,19249.65951,1961.225492,3391.03357,14372.26731,6647.899397,17693.87026,4236.591011,8183.15297,1999.854297,3032.484513,6152.102368,3726.999872,13685.43543,4379.444047,8837.458195,5744.386473,12856.15579,28418.35511,7779.579172,10981.99757,12531.54623,8431.725005,7699.883349,3808.348115,6579.366239,11410.49619,8063.22287,10872.86209
CE(20:3); [M+NH4]+@10.76,6622.150243,2925.875125,4106.471065,4462.33813,2283.40699,5836.487162,6445.521528,5005.45159,7723.857309,9545.968712,2870.335997,3358.941456,7133.652496,3114.883336,6358.046702,7563.505912,3682.79575,8252.011572,9004.160456,3881.2253,3992.447755,17609.46259,7103.825813,3074.698121,4615.767498,3908.691211,5957.991068,8270.314989,5998.630682,5492.517388,4531.721735,4513.708229,9761.910491,3759.155853,6983.122489,2809.486202,4953.487513,8032.299612,4060.611523,5468.682563,4059.20128,8170.987379,3164.370525,16664.33814,5036.159937,9166.680668,12025.93615,9920.581767,7475.227742,9440.440488,3229.581531,4089.701824,6387.219166,4908.92705,6757.582917
CE(20:4); [M+NH4]+@10.57,7911.488596,15246.69135,17429.93235,18504.9055,7057.385459,7978.404393,9373.921105,3752.060455,9697.150658,7439.410388,10296.30558,12399.4094,13075.86048,6246.864699,8385.635779,7534.505237,9589.014184,22343.4758,28122.92771,10997.36805,13838.72666,54154.86621,8950.839476,8184.150447,16238.25081,4663.772984,12148.5692,16923.46735,20893.68738,12984.7787,19921.34918,9545.222983,38128.03684,3995.095184,12856.4471,11826.95636,10959.35154,21199.41574,7801.753429,18022.10234,18930.35955,23596.51656,25435.99236,28806.13591,9498.588834,20681.31458,26599.18852,30136.8649,12396.56049,7506.803481,4722.940191,10517.3247,15517.38454,6047.056802,15591.0102
CE(20:5); [M+NH4]+@10.25,2338.599824,971.1965294,2024.554621,783.3447372,1173.505362,859.296096,N/A,N/A,805.9325972,N/A,460.8902628,4368.380942,618.7904496,1214.368862,511.6541051,2474.112457,586.9599089,N/A,1112.385409,358.5643954,1083.13451,2141.514035,1091.579033,6627.133556,14344.81597,1863.879766,1050.777558,1933.475371,N/A,859.3912853,277.7740387,352.8576189,1279.450236,1672.818834,1850.058257,453.2908559,1054.52465,2849.502412,N/A,1478.397694,1070.990599,2187.704185,1940.345503,1205.317746,4125.256399,3094.042061,358.0050518,3219.974495,N/A,5145.846194,592.6752153,3205.715559,2002.020455,N/A,1296.572744
