SCNPos	SCNNeg	LiverPos	LiverNeg	PlasmaPos	PlasmaNeg
[1] 590	[1] 392	[1] 809	[1] 546	[1] 613	[1] 359
[1] 150	[1] 92	[1] 269	[1] 63	[1] 125	[1] 54
[1] 318	[1] 211	[1] 481	[1] 217	[1] 272	[1] 166
[1] 434	[1] 297	[1] 608	[1] 348	[1] 427	[1] 263
[1] 25.42373	[1] 23.46939	[1] 33.25093	[1] 11.53846	[1] 20.39152	[1] 15.04178
[1] 53.89831	[1] 53.82653	[1] 59.45612	[1] 39.74359	[1] 44.37194	[1] 46.23955
[1] 73.55932	[1] 75.76531	[1] 75.15451	[1] 63.73626	[1] 69.65742	[1] 73.25905
[1] 434  49	[1] 297  49	[1] 608  49	[1] 348  49	[1] 427  49	[1] 263  49
