"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6"
"PE 44:1; [M+H]+@9.43",1795719.29027273,923634.896545455,2107219.55818182,1239152.79118182,1942035.78572727,2696653.01736364,1310563.59240909,1873940.62081818,1795719.29027273,1450698.17327273,1450698.17327273,2107219.55818182,2107219.55818182,2497022.25018182,302115.793636364,1358522.48054545,1239152.79118182,1578454.80218182,1639580.44321818,1795719.29027273,992955.375745455,992955.375745455,1206182.32409091,1510404.71554545,1709600.72549091,1269878.32959091,1709600.72549091,1129837.56754545,1709600.72549091,1510404.71554545,1873940.62081818,1239152.79118182,1406087.37072727,1510404.71554545,1358522.48054545,1406087.37072727,1510404.71554545,1129837.56754545,1450698.17327273,1239152.79118182,1239152.79118182,923634.896545455,1310563.59240909,734261.704272727,1099863.37890909,923634.896545455,646115.938954545,1269878.32959091,1709600.72549091,1578454.80218182,1639580.44321818,1639580.44321818,1578454.80218182,1578454.80218182,1639580.44321818
"PE 44:3; [M+H]+@8.64",15953.4562730909,26981.5140009091,32296.6482127273,19248.3127436364,31937.1581127273,52659.7510545455,17628.4040290909,19478.7636,27268.9427454545,23321.6596761818,20518.8130363636,28659.9203770909,35888.5268909091,22727.8978363636,26057.0556,21291.1931309091,17429.1716,16556.9071145455,17244.5331932727,12470.0289309091,22727.8978363636,18064.4312825455,25001.248,38990.7674363636,24006.3551872727,34173.7103127273,15792.1034492727,12470.0289309091,17628.4040290909,33708.2585636364,18064.4312825455,26398.3215745455,14960.4471181818,15792.1034492727,17244.5331932727,11898.8656041818,20273.4056945455,22727.8978363636,18776.3222509091,22455.1957709091,13547.3755890909,8478.83729090909,17011.6993563636,14225.0361927273,19248.3127436364,11314.2910490909,9073.61237109091,22127.6094909091,19010.1250345455,29770.8727907273,19010.1250345455,25001.248,20518.8130363636,17244.5331932727,15792.1034492727
"plasmenyl-PC 18:0; [M+Na]+@1.81",336443.352327273,73674.2682,302115.793636364,125527.029127273,336443.352327273,208616.254927273,95569.2504363636,357355.65,319482.547563636,202332.898,265550.391,314010.530727273,324377.870090909,308174.556236364,361393.256054545,127089.103581818,324377.870090909,243274.044890909,100629.606090909,174617.159327273,63392.8694727273,145129.163909091,116627.565981818,109750.3102,99579.8913454546,65617.5806545455,111179.989963636,80698.3693636364,99579.8913454546,166288.745436364,195514.4102,177743.180781818,129919.826727273,180453.270490909,161402.961890909,172120.025072727,115107.2098,56509.5886181818,136126.877309091,112541.002236364,119024.907763636,54657.5092,115107.2098,58891.8455090909,129919.826727273,85703.7967636364,55738.0478727273,122217.702981818,174617.159327273,202332.898,195514.4102,199062.126454545,177743.180781818,185775.095781818,177743.180781818
"plasmenyl-PC 22:0; [M+Na]+@3.58",2076.60760909091,2586.8158994,2235.14979063636,649.580976290909,1829.85498,1426.08271636364,649.580976290909,2807.06614363636,1426.08271636364,1426.08271636364,1426.08271636364,2235.14979063636,1653.72976909091,1653.72976909091,3300.85320545455,649.580976290909,958.809989581818,958.809989581818,1426.08271636364,1653.72976909091,1207.59834,1207.59834,958.809989581818,958.809989581818,958.809989581818,649.580976290909,649.580976290909,649.580976290909,1653.72976909091,1207.59834,1829.85498,2235.14979063636,958.809989581818,649.580976290909,1207.59834,1426.08271636364,958.809989581818,649.580976290909,649.580976290909,958.809989581818,1653.72976909091,649.580976290909,1207.59834,649.580976290909,649.580976290909,649.580976290909,1653.72976909091,649.580976290909,649.580976290909,958.809989581818,649.580976290909,649.580976290909,649.580976290909,958.809989581818,649.580976290909
"plasmenyl-PC 24:0; [M+Na]+@4.48",9561.66465454546,2076.60760909091,5560.27774181818,3895.49399612727,6283.44562181818,3300.85320545455,3526.56408545455,7362.95283854545,3699.12319818182,4985.86454545454,4095.34489454545,5880.02899454546,5232.34559570909,4639.68148521818,8616.38082,3111.66228545455,6173.07772,3699.12319818182,1829.85498,2586.8158994,1653.72976909091,1426.08271636364,2076.60760909091,1829.85498,2807.06614363636,2076.60760909091,1426.08271636364,2586.8158994,2949.29036592727,2949.29036592727,2413.21429387273,2413.21429387273,2586.8158994,1829.85498,1829.85498,2807.06614363636,1207.59834,1829.85498,2235.14979063636,1829.85498,3526.56408545455,3699.12319818182,2949.29036592727,2076.60760909091,1653.72976909091,1207.59834,2586.8158994,1207.59834,3111.66228545455,3111.66228545455,1829.85498,2413.21429387273,3111.66228545455,2076.60760909091,1829.85498
"plasmenyl-PE 18:0; [M+Na]+@1.79",111179.989963636,40535.5850045455,120617.657745455,70872.1591636364,102872.202327273,75990.2405272727,44600.9718727273,116627.565981818,92070.9993636364,65617.5806545455,81817.6060727273,116627.565981818,108642.957181818,80698.3693636364,115107.2098,58650.4630818182,101727.941818182,87703.3255636364,51110.6934727273,70133.3538181818,53176.8431454545,67071.7863950909,60871.1379090909,54458.2701545455,50849.4264909091,36724.9901636364,55738.0478727273,57713.8218545455,45380.2613163636,60871.1379090909,83905.0134909091,87703.3255636364,50295.1535272727,49286.0710363636,62813.8803818182,44874.2713272727,52659.7510545455,35683.2481809091,91518.0558818182,43029.4435272727,62813.8803818182,37435.6213818182,44600.9718727273,40745.3794454545,46217.6435218182,52044.4208545455,43029.4435272727,44327.6724181818,60871.1379090909,65617.5806545455,57235.7184,55738.0478727273,53176.8431454545,59456.2329636364,61412.3863272727
"plasmenyl-PE 20:0; [M+Na]+@1.92",71641.0117090909,21038.8594309091,89522.0010363636,25304.7201116364,71641.0117090909,67947.4837090909,24006.3551872727,77483.1076749091,83238.6674,32749.1110727273,62813.8803818182,75990.2405272727,76699.4683454545,62813.8803818182,97749.9371272727,26981.5140009091,78279.7154,67947.4837090909,38134.6683763636,62813.8803818182,35888.5268909091,32296.6482127273,37149.6829818182,53734.9651454545,31937.1581127273,24345.2378727273,53176.8431454545,30458.3296163636,44874.2713272727,53734.9651454545,74496.2867454545,74496.2867454545,16376.4568581818,20754.9612527273,20754.9612527273,26398.3215745455,19478.7636,18309.8789049091,24345.2378727273,18064.4312825455,18566.9278965455,17244.5331932727,21583.4031527273,10197.8882358182,16764.0805509091,15792.1034492727,17801.2039654545,18776.3222509091,48730.9416909091,43656.9797216364,40325.7905636364,43029.4435272727,42572.5076545455,45934.1632363636,41176.2133090909
"plasmenyl-PE 22:0; [M+Na]+@2.70",18309.8789049091,5232.34559570909,24691.6429563636,6283.44562181818,20518.8130363636,17011.6993563636,6774.80716545454,13756.2549672727,13547.3755890909,9561.66465454546,9401.40962545455,22727.8978363636,13547.3755890909,23321.6596761818,23677.7103381818,7869.07008254545,20273.4056945455,20273.4056945455,11502.3396818182,18566.9278965455,10722.1093909091,12982.7572054545,11176.7533054545,19010.1250345455,11050.3028194545,9401.40962545455,12470.0289309091,10394.3462054545,10557.9830307818,17801.2039654545,17429.1716,22455.1957709091,7716.29116909091,10197.8882358182,8143.88668890909,6774.80716545454,7716.29116909091,5560.27774181818,7869.07008254545,9694.2835222,5750.06363818182,6437.97570910909,4797.12763818182,3300.85320545455,7869.07008254545,6774.80716545454,5560.27774181818,6919.03179636364,10197.8882358182,12619.5251472727,12619.5251472727,14822.0863290909,9694.2835222,13172.0136563636,12781.1845618182
"plasmenyl-PE 32:1; [M+H]+@6.65",169221.018072727,81817.6060727273,229137.938672727,106509.658654545,115107.2098,224636.7558,82465.2107636364,161402.961890909,270178.934181818,174617.159327273,211913.229818182,216264.997654545,249845.734854545,132515.487109091,122217.702981818,97749.9371272727,115107.2098,115107.2098,106509.658654545,119024.907763636,37721.5597818182,36724.9901636364,54657.5092,82465.2107636364,75329.3198363636,87703.3255636364,106509.658654545,45380.2613163636,41176.2133090909,53176.8431454545,93458.7746181818,80698.3693636364,153919.465727273,149480.446654545,107642.341527273,131187.154527273,58891.8455090909,67071.7863950909,78279.7154,57713.8218545455,96691.3520727273,71641.0117090909,107642.341527273,75329.3198363636,84750.3011636364,62119.0077818182,48161.4923818182,67947.4837090909,76699.4683454545,172120.025072727,174617.159327273,172120.025072727,149480.446654545,164082.804145455,153919.465727273
"plasmenyl-PE 33:1; [M+H]+@7.01",30127.8273272727,48730.9416909091,49867.1029290909,29383.0054727273,34173.7103127273,60209.6586363636,39378.2725654546,32749.1110727273,29770.8727907273,32296.6482127273,39378.2725654546,41644.1939272727,26057.0556,34173.7103127273,27629.6864654545,31544.1779090909,20518.8130363636,21038.8594309091,28052.7168418182,28052.7168418182,28338.46846,17429.1716,21038.8594309091,28338.46846,21038.8594309091,19478.7636,28338.46846,15953.4562730909,19248.3127436364,22727.8978363636,13895.0487781818,18064.4312825455,51371.9604545455,38134.6683763636,42572.5076545455,36362.6618727273,32749.1110727273,47014.1488023636,35117.5425818182,40745.3794454545,42572.5076545455,39862.2790909091,33708.2585636364,40325.7905636364,62813.8803818182,34749.8895763636,26057.0556,40325.7905636364,21291.1931309091,33156.3412945455,30458.3296163636,35477.9694709091,27268.9427454545,38576.2983272727,39378.2725654546
"plasmenyl-PE 34:1; [M+H]+@7.23",3443978.09490909,2235425.09818182,3280131.85381818,2351246.74832727,3126137.992,5373448.60909091,2054232.07745455,2836002.89909091,3636032.51763636,2836002.89909091,3126137.992,3443978.09490909,3280131.85381818,2958039.20727273,2235425.09818182,2548118.16727273,2235425.09818182,2548118.16727273,2445926.33309091,2735573.60509091,1608154.68690909,1608154.68690909,1671006.19952727,2445926.33309091,2160207.03890909,1904637.91254545,2160207.03890909,1748195.25145455,2054232.07745455,2235425.09818182,2445926.33309091,2445926.33309091,3636032.51763636,3827282.29945455,3126137.992,3443978.09490909,3280131.85381818,2735573.60509091,3443978.09490909,2958039.20727273,3280131.85381818,2351246.74832727,2958039.20727273,1904637.91254545,2958039.20727273,2445926.33309091,2235425.09818182,3280131.85381818,2445926.33309091,2548118.16727273,2958039.20727273,2958039.20727273,2836002.89909091,2958039.20727273,2836002.89909091
"plasmenyl-PE 34:1; [M+Na]+@7.28",11176.7533054545,93458.7746181818,12781.1845618182,22727.8978363636,8616.38082,16186.70464,20273.4056945455,8616.38082,10557.9830307818,14626.9808854545,13547.3755890909,9401.40962545455,9858.72197818182,9561.66465454546,11502.3396818182,10394.3462054545,7869.07008254545,15550.3520010909,149480.446654545,13547.3755890909,20518.8130363636,15953.4562730909,17244.5331932727,27268.9427454545,26981.5140009091,129919.826727273,14071.4770527273,12982.7572054545,15168.5086836364,14225.0361927273,10023.3356785455,9858.72197818182,27629.6864654545,13756.2549672727,15375.5682672727,19478.7636,142797.592636364,109750.3102,18064.4312825455,7362.95283854545,195514.4102,99579.8913454546,27268.9427454545,134210.897745455,21846.7412194545,188980.043072727,249845.734854545,15375.5682672727,11898.8656041818,20031.1379927273,18566.9278965455,19478.7636,12619.5251472727,10197.8882358182,12066.2771589091
"plasmenyl-PE 34:2; [M+H]+@6.87",342497.831745455,378295.698545455,545183.790545455,413633.724363636,329057.429454545,638805.549909091,394601.712327273,347298.016309091,438339.015818182,501970.100963636,485883.588854545,461768.031818182,386929.186727273,366983.748363636,347298.016309091,407755.444363636,249845.734854545,296689.507672727,413633.724363636,372476.228109091,275963.763890909,195514.4102,255654.402309091,394601.712327273,446894.067090909,357355.65,454161.326545455,283124.736218182,279177.118436364,296689.507672727,283124.736218182,270178.934181818,485883.588854545,429170.376181818,407755.444363636,485883.588854545,324377.870090909,407755.444363636,394601.712327273,366983.748363636,402103.885290909,352403.601109091,526060.892709091,329057.429454545,386929.186727273,372476.228109091,308174.556236364,402103.885290909,386929.186727273,402103.885290909,378295.698545455,438339.015818182,429170.376181818,429170.376181818,421090.204981818
"plasmenyl-PE 36:1; [M+H]+@11.11",224636.7558,72462.4126181818,234028.268545455,93458.7746181818,208616.254927273,234028.268545455,92070.9993636364,166288.745436364,180453.270490909,112541.002236364,142797.592636364,191893.181581818,205506.971072727,153919.465727273,169221.018072727,78918.3584909091,177743.180781818,185775.095781818,164082.804145455,166288.745436364,78918.3584909091,64839.9528909091,74496.2867454545,128508.222381818,119024.907763636,67947.4837090909,113834.294290909,75990.2405272727,85703.7967636364,117988.788109091,174617.159327273,68645.1984727273,166288.745436364,185775.095781818,151947.385872727,177743.180781818,136126.877309091,117988.788109091,117988.788109091,149480.446654545,140396.293327273,129919.826727273,125527.029127273,89522.0010363636,123554.593418182,92070.9993636364,70872.1591636364,97749.9371272727,132515.487109091,131187.154527273,136126.877309091,128508.222381818,115107.2098,134210.897745455,131187.154527273
"plasmenyl-PE 36:1; [M+H]+@7.80",4944800.21436364,4453427.14,5373448.60909091,4944800.21436364,5373448.60909091,10399925.1018182,5373448.60909091,5373448.60909091,6643977.90181818,5373448.60909091,6226035.13636364,5836062.16545455,7130976.97454545,6643977.90181818,5373448.60909091,5373448.60909091,4944800.21436364,6643977.90181818,8411228.52363636,7130976.97454545,5836062.16545455,5373448.60909091,6226035.13636364,7130976.97454545,8411228.52363636,5836062.16545455,5836062.16545455,3827282.29945455,6226035.13636364,5836062.16545455,5836062.16545455,6643977.90181818,6643977.90181818,6226035.13636364,5836062.16545455,4944800.21436364,4944800.21436364,6226035.13636364,8411228.52363636,4944800.21436364,5836062.16545455,4057441.40327273,6643977.90181818,4057441.40327273,5836062.16545455,4057441.40327273,4453427.14,6226035.13636364,4944800.21436364,6643977.90181818,4944800.21436364,6226035.13636364,5836062.16545455,7130976.97454545,6226035.13636364
"plasmenyl-PE 36:2; [M+H]+@7.41",12346829.6345455,5836062.16545455,11833483.0909091,11833483.0909091,11301212.84,13147242.7345455,8411228.52363636,11301212.84,15588925.1909091,10399925.1018182,12346829.6345455,12346829.6345455,11301212.84,11833483.0909091,11301212.84,10846788.7872727,12346829.6345455,13147242.7345455,9897557.32363636,10399925.1018182,7569965.83054545,6643977.90181818,9897557.32363636,8411228.52363636,9897557.32363636,9002769.61090909,9897557.32363636,9002769.61090909,9477671.92,10399925.1018182,10399925.1018182,13147242.7345455,10399925.1018182,11833483.0909091,10399925.1018182,9897557.32363636,8019612.30181818,7569965.83054545,9477671.92,7569965.83054545,11301212.84,8019612.30181818,9897557.32363636,6643977.90181818,8019612.30181818,8019612.30181818,6643977.90181818,9477671.92,8411228.52363636,10846788.7872727,10846788.7872727,11833483.0909091,10399925.1018182,10846788.7872727,8411228.52363636
"plasmenyl-PE 36:2; [M+Na]+@7.38",15550.3520010909,79774.9632181818,19724.8928672727,34173.7103127273,44327.6724181818,37721.5597818182,53176.8431454545,52044.4208545455,638805.549909091,48730.9416909091,64839.9528909091,55738.0478727273,687745.783090909,4474.12623272727,41644.1939272727,32296.6482127273,18064.4312825455,43029.4435272727,78279.7154,612827.136872727,60871.1379090909,30458.3296163636,29383.0054727273,72462.4126181818,40325.7905636364,75329.3198363636,50849.4264909091,31159.6627818182,45934.1632363636,18776.3222509091,44327.6724181818,25304.7201116364,53734.9651454545,34173.7103127273,30458.3296163636,32296.6482127273,31159.6627818182,53734.9651454545,35477.9694709091,34173.7103127273,33708.2585636364,55738.0478727273,78918.3584909091,66301.4464181818,51371.9604545455,41644.1939272727,71641.0117090909,37721.5597818182,30458.3296163636,30127.8273272727,29383.0054727273,26981.5140009091,36724.9901636364,34749.8895763636,22455.1957709091
