"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6"
"IS CE 17:0; [M+NH4]+",17244.5331932727,20273.4056945455,20518.8130363636,21583.4031527273,11176.7533054545,40325.7905636364,36362.6618727273,12982.7572054545,15168.5086836364,26398.3215745455,23677.7103381818,19478.7636,17801.2039654545,19010.1250345455,14960.4471181818,15168.5086836364,17628.4040290909,19478.7636,22455.1957709091,18064.4312825455,47646.5150727273,11686.0769636364,4797.12763818182,24345.2378727273,36724.9901636364,49286.0710363636,26717.1308181818,32749.1110727273,35117.5425818182,22127.6094909091,25304.7201116364,12066.2771589091,35477.9694709091,26981.5140009091,19724.8928672727,45380.2613163636,32296.6482127273,37149.6829818182,17244.5331932727,37149.6829818182,35888.5268909091,74496.2867454545,54259.0311090909,49286.0710363636,37721.5597818182,44874.2713272727,49867.1029290909,28338.46846,34173.7103127273,22727.8978363636,26981.5140009091,27629.6864654545,30127.8273272727,30772.191804,27268.9427454545
"IS Ceramide;[M-H20]+",249845.734854545,493945.833636364,314010.530727273,501970.100963636,182931.081509091,653426.328,761795.710363636,155852.877163636,158552.247254545,407755.444363636,302115.793636364,202332.898,202332.898,208616.254927273,145129.163909091,589161.665636364,224636.7558,361393.256054545,283124.736218182,216264.997654545,935101.124,589161.665636364,545183.790545455,296689.507672727,578538.120545455,1033245.71090909,485883.588854545,790298.787272727,545183.790545455,600773.490727273,421090.204981818,407755.444363636,516807.886181818,454161.326545455,386929.186727273,589161.665636364,554925.877672727,653426.328,438339.015818182,501970.100963636,578538.120545455,980171.731818182,956432.847272727,1005739.01967273,673446.489636364,687745.783090909,1334212.05254545,638805.549909091,446894.067090909,516807.886181818,446894.067090909,413633.724363636,446894.067090909,438339.015818182,501970.100963636
"IS D31-TAG",12470.0289309091,75329.3198363636,58409.0806545455,26057.0556,9561.66465454546,1286915.13227273,59456.2329636364,12781.1845618182,28338.46846,24006.3551872727,20031.1379927273,35117.5425818182,7188.67688912727,7051.10208363636,7539.76609272727,4095.34489454545,15550.3520010909,37721.5597818182,166288.745436364,52044.4208545455,45934.1632363636,24691.6429563636,4639.68148521818,69354.2205818182,205506.971072727,347298.016309091,125527.029127273,35117.5425818182,37149.6829818182,6283.44562181818,19248.3127436364,5560.27774181818,68645.1984727273,28338.46846,4474.12623272727,39862.2790909091,92070.9993636364,123554.593418182,4095.34489454545,28338.46846,7539.76609272727,243274.044890909,319482.547563636,57713.8218545455,26717.1308181818,17244.5331932727,56509.5886181818,18566.9278965455,48161.4923818182,39378.2725654546,37149.6829818182,39378.2725654546,31937.1581127273,26057.0556,30458.3296163636
"IS d5-DAG",627076.909636364,1059684.85472727,743134.024,1112980.90527273,509721.681454545,2160207.03890909,1608154.68690909,516807.886181818,386929.186727273,790298.787272727,725389.384545455,485883.588854545,446894.067090909,687745.783090909,589161.665636364,1112980.90527273,501970.100963636,707677.198363636,834955.634363636,516807.886181818,1252841.52690909,1146694.22981818,935101.124,566335.208181818,1382832.90854545,1979433.65890909,1112980.90527273,1252841.52690909,1472054.51363636,861005.148181818,761795.710363636,790298.787272727,1334212.05254545,1252841.52690909,935101.124,1225464.05545455,1979433.65890909,1979433.65890909,912168.669090909,1671006.19952727,1186900.59272727,2657732.42963636,2548118.16727273,1608154.68690909,1146694.22981818,1608154.68690909,2548118.16727273,1186900.59272727,1286915.13227273,1033245.71090909,1005739.01967273,956432.847272727,935101.124,725389.384545455,600773.490727273
"IS DG 34:1; [M+NH4]+",324377.870090909,372476.228109091,361393.256054545,526060.892709091,357355.65,361393.256054545,386929.186727273,407755.444363636,566335.208181818,526060.892709091,501970.100963636,429170.376181818,378295.698545455,438339.015818182,342497.831745455,812795.232,394601.712327273,352403.601109091,461768.031818182,296689.507672727,378295.698545455,516807.886181818,725389.384545455,413633.724363636,296689.507672727,288986.679709091,347298.016309091,446894.067090909,413633.724363636,516807.886181818,352403.601109091,566335.208181818,612827.136872727,600773.490727273,673446.489636364,516807.886181818,446894.067090909,438339.015818182,885457.405636364,461768.031818182,653426.328,493945.833636364,468611.239090909,600773.490727273,534808.245272727,600773.490727273,743134.024,812795.232,372476.228109091,493945.833636364,477492.638545455,429170.376181818,421090.204981818,501970.100963636,485883.588854545
"IS lysoPC 17:0;[M+H]+",1186900.59272727,885457.405636364,1033245.71090909,1429341.83290909,885457.405636364,2351246.74832727,1979433.65890909,861005.148181818,600773.490727273,1186900.59272727,1112980.90527273,885457.405636364,812795.232,980171.731818182,956432.847272727,1252841.52690909,1059684.85472727,1086745.85254545,812795.232,885457.405636364,2235425.09818182,1904637.91254545,1252841.52690909,761795.710363636,1429341.83290909,2351246.74832727,1548754.91745455,1671006.19952727,1979433.65890909,1671006.19952727,1112980.90527273,1146694.22981818,1472054.51363636,1334212.05254545,1252841.52690909,1748195.25145455,2445926.33309091,1548754.91745455,1252841.52690909,2235425.09818182,1429341.83290909,2445926.33309091,2657732.42963636,2160207.03890909,1979433.65890909,2160207.03890909,2836002.89909091,1671006.19952727,1472054.51363636,1429341.83290909,1382832.90854545,1472054.51363636,1429341.83290909,1472054.51363636,1382832.90854545
"IS MG 17:0; [M+NH4]+",53176.8431454545,50849.4264909091,60209.6586363636,75329.3198363636,46501.1238072727,149480.446654545,106509.658654545,49286.0710363636,41644.1939272727,82465.2107636364,69354.2205818182,58409.0806545455,57235.7184,58891.8455090909,54657.5092,101727.941818182,62813.8803818182,69354.2205818182,37149.6829818182,44874.2713272727,131187.154527273,92070.9993636364,79774.9632181818,39378.2725654546,93458.7746181818,127089.103581818,82465.2107636364,94541.6636363636,90965.1124,89522.0010363636,60209.6586363636,66301.4464181818,90965.1124,86509.2381090909,83238.6674,117988.788109091,112541.002236364,87703.3255636364,83238.6674,105234.515672727,94541.6636363636,166288.745436364,145129.163909091,129919.826727273,116627.565981818,111179.989963636,145129.163909091,89522.0010363636,97749.9371272727,81817.6060727273,95569.2504363636,88543.1133454545,102872.202327273,90965.1124,90965.1124
"IS PC 34:0; [M+H]+",612827.136872727,1225464.05545455,673446.489636364,980171.731818182,526060.892709091,1671006.19952727,1252841.52690909,526060.892709091,361393.256054545,578538.120545455,526060.892709091,516807.886181818,413633.724363636,545183.790545455,673446.489636364,885457.405636364,612827.136872727,673446.489636364,1186900.59272727,935101.124,1472054.51363636,1472054.51363636,912168.669090909,790298.787272727,1252841.52690909,1548754.91745455,1382832.90854545,1225464.05545455,956432.847272727,743134.024,687745.783090909,743134.024,956432.847272727,707677.198363636,812795.232,1005739.01967273,1429341.83290909,1671006.19952727,980171.731818182,1472054.51363636,1059684.85472727,2235425.09818182,1472054.51363636,1671006.19952727,1225464.05545455,1843243.32909091,1843243.32909091,956432.847272727,956432.847272727,743134.024,743134.024,673446.489636364,687745.783090909,761795.710363636,707677.198363636
"IS PS 34:0;[M+H]+",48730.9416909091,122217.702981818,39862.2790909091,62813.8803818182,54259.0311090909,129919.826727273,155852.877163636,25001.248,64260.9531818182,50295.1535272727,48730.9416909091,27268.9427454545,71641.0117090909,38990.7674363636,39862.2790909091,28338.46846,42572.5076545455,59456.2329636364,87703.3255636364,41176.2133090909,125527.029127273,155852.877163636,51371.9604545455,95569.2504363636,111179.989963636,108642.957181818,123554.593418182,129919.826727273,125527.029127273,76699.4683454545,82465.2107636364,75329.3198363636,79774.9632181818,57235.7184,38134.6683763636,57235.7184,69354.2205818182,140396.293327273,58891.8455090909,90965.1124,64260.9531818182,402103.885290909,155852.877163636,357355.65,80698.3693636364,211913.229818182,216264.997654545,86509.2381090909,67947.4837090909,77483.1076749091,79774.9632181818,66301.4464181818,44874.2713272727,88543.1133454545,55207.9209454545
"IS SM 35:1;[M+H]+",220988.005963636,1033245.71090909,342497.831745455,1059684.85472727,260709.985581818,1382832.90854545,1843243.32909091,260709.985581818,151947.385872727,516807.886181818,296689.507672727,249845.734854545,155852.877163636,283124.736218182,195514.4102,790298.787272727,283124.736218182,438339.015818182,468611.239090909,324377.870090909,2351246.74832727,1334212.05254545,790298.787272727,438339.015818182,956432.847272727,1843243.32909091,1225464.05545455,1472054.51363636,1286915.13227273,761795.710363636,509721.681454545,477492.638545455,885457.405636364,578538.120545455,566335.208181818,1059684.85472727,1086745.85254545,2235425.09818182,707677.198363636,1429341.83290909,812795.232,2836002.89909091,1979433.65890909,2351246.74832727,1548754.91745455,1748195.25145455,2958039.20727273,980171.731818182,885457.405636364,725389.384545455,707677.198363636,725389.384545455,707677.198363636,653426.328,761795.710363636
"CerP 44:2; [M+H]+@7.43",438339.015818182,653426.328,534808.245272727,612827.136872727,477492.638545455,761795.710363636,687745.783090909,429170.376181818,366983.748363636,454161.326545455,279177.118436364,347298.016309091,255654.402309091,407755.444363636,566335.208181818,707677.198363636,413633.724363636,324377.870090909,454161.326545455,454161.326545455,638805.549909091,627076.909636364,461768.031818182,372476.228109091,627076.909636364,834955.634363636,725389.384545455,653426.328,509721.681454545,454161.326545455,461768.031818182,429170.376181818,461768.031818182,653426.328,743134.024,812795.232,1186900.59272727,1252841.52690909,638805.549909091,861005.148181818,912168.669090909,1146694.22981818,1112980.90527273,912168.669090909,885457.405636364,980171.731818182,1186900.59272727,707677.198363636,707677.198363636,554925.877672727,554925.877672727,468611.239090909,407755.444363636,342497.831745455,413633.724363636
"DG 30:1; [M+NH4]+@6.96",4474.12623272727,24691.6429563636,1207.59834,23085.9977018182,3895.49399612727,5405.89216181818,5750.06363818182,1426.08271636364,6596.50616363636,11686.0769636364,8616.38082,3526.56408545455,2413.21429387273,2413.21429387273,1653.72976909091,1653.72976909091,8746.44234583636,9236.71384361818,6437.97570910909,7051.10208363636,4985.86454545454,8478.83729090909,5880.02899454546,4316.57966,7188.67688912727,9858.72197818182,12619.5251472727,24006.3551872727,3111.66228545455,4474.12623272727,958.809989581818,1207.59834,12781.1845618182,11502.3396818182,37721.5597818182,13358.6582116364,2413.21429387273,4095.34489454545,5560.27774181818,2586.8158994,19724.8928672727,14071.4770527273,9401.40962545455,27268.9427454545,4639.68148521818,4797.12763818182,5232.34559570909,8616.38082,4639.68148521818,4095.34489454545,5880.02899454546,5405.89216181818,4797.12763818182,7051.10208363636,7539.76609272727
"DG 30:2; [M+NH4]+@6.49",2807.06614363636,6919.03179636364,5750.06363818182,17801.2039654545,3300.85320545455,2076.60760909091,4316.57966,2235.14979063636,9858.72197818182,17011.6993563636,10197.8882358182,4316.57966,4474.12623272727,4095.34489454545,4316.57966,12781.1845618182,12781.1845618182,11686.0769636364,6173.07772,7188.67688912727,13172.0136563636,7716.29116909091,10394.3462054545,4095.34489454545,8478.83729090909,12619.5251472727,9073.61237109091,30772.191804,3300.85320545455,8143.88668890909,5750.06363818182,14071.4770527273,18309.8789049091,8746.44234583636,42102.7588727273,8143.88668890909,4095.34489454545,5405.89216181818,6596.50616363636,4474.12623272727,31937.1581127273,11050.3028194545,8478.83729090909,21583.4031527273,3699.12319818182,9073.61237109091,7188.67688912727,8746.44234583636,11502.3396818182,4797.12763818182,12982.7572054545,10197.8882358182,8019.7261,7362.95283854545,10557.9830307818
"DG 32:0; [M+NH4]+@7.99",38576.2983272727,90965.1124,42102.7588727273,131187.154527273,35477.9694709091,108642.957181818,158552.247254545,39862.2790909091,51371.9604545455,96691.3520727273,63392.8694727273,50849.4264909091,42102.7588727273,55207.9209454545,40325.7905636364,117988.788109091,35477.9694709091,53734.9651454545,89522.0010363636,50849.4264909091,220988.005963636,134210.897745455,120617.657745455,93458.7746181818,123554.593418182,195514.4102,109750.3102,109750.3102,138497.939527273,93458.7746181818,64260.9531818182,67947.4837090909,188980.043072727,102872.202327273,109750.3102,111179.989963636,98715.0489818182,128508.222381818,132515.487109091,158552.247254545,105234.515672727,296689.507672727,169221.018072727,265550.391,153919.465727273,138497.939527273,296689.507672727,115107.2098,105234.515672727,113834.294290909,116627.565981818,129919.826727273,145129.163909091,125527.029127273,145129.163909091
"DG 32:1; [M+NH4]+@7.54",55207.9209454545,89522.0010363636,50295.1535272727,108642.957181818,32749.1110727273,10557.9830307818,34749.8895763636,37149.6829818182,67071.7863950909,116627.565981818,84750.3011636364,57235.7184,27629.6864654545,45380.2613163636,37149.6829818182,99579.8913454546,75329.3198363636,45934.1632363636,39862.2790909091,57235.7184,40325.7905636364,58891.8455090909,76699.4683454545,31937.1581127273,48161.4923818182,46501.1238072727,64260.9531818182,119024.907763636,30458.3296163636,50849.4264909091,26398.3215745455,47646.5150727273,102872.202327273,95569.2504363636,202332.898,94541.6636363636,42572.5076545455,37721.5597818182,74496.2867454545,46501.1238072727,147384.414454545,87703.3255636364,75990.2405272727,172120.025072727,70872.1591636364,72462.4126181818,67947.4837090909,83238.6674,49867.1029290909,44327.6724181818,55738.0478727273,47014.1488023636,61412.3863272727,63392.8694727273,50849.4264909091
"DG 32:2; [M+NH4]+@7.09",57235.7184,78279.7154,44327.6724181818,142797.592636364,23677.7103381818,5560.27774181818,35477.9694709091,27629.6864654545,63392.8694727273,166288.745436364,99579.8913454546,67071.7863950909,23321.6596761818,44874.2713272727,26398.3215745455,86509.2381090909,149480.446654545,70133.3538181818,48730.9416909091,62119.0077818182,51371.9604545455,55207.9209454545,100629.606090909,28052.7168418182,52659.7510545455,79774.9632181818,89522.0010363636,220988.005963636,39862.2790909091,55207.9209454545,34749.8895763636,55738.0478727273,180453.270490909,131187.154527273,342497.831745455,125527.029127273,37149.6829818182,29008.1747170909,79774.9632181818,50295.1535272727,229137.938672727,116627.565981818,90965.1124,229137.938672727,67071.7863950909,71641.0117090909,45934.1632363636,80698.3693636364,74496.2867454545,76699.4683454545,81817.6060727273,85703.7967636364,70133.3538181818,78918.3584909091,85703.7967636364
"DG 33:0; [M+NH4]+@8.26",6437.97570910909,17244.5331932727,4474.12623272727,19478.7636,7869.07008254545,12781.1845618182,26717.1308181818,7051.10208363636,6774.80716545454,15792.1034492727,14225.0361927273,9561.66465454546,9694.2835222,8910.78444667273,4797.12763818182,17429.1716,6437.97570910909,12247.7855169091,11050.3028194545,8019.7261,30772.191804,17628.4040290909,18566.9278965455,11050.3028194545,20031.1379927273,41644.1939272727,11898.8656041818,17244.5331932727,17801.2039654545,17628.4040290909,12781.1845618182,11176.7533054545,33708.2585636364,15550.3520010909,13547.3755890909,26057.0556,12470.0289309091,16186.70464,21291.1931309091,14405.5111109091,13756.2549672727,24006.3551872727,43029.4435272727,45380.2613163636,23321.6596761818,14225.0361927273,47646.5150727273,25304.7201116364,15550.3520010909,18309.8789049091,33156.3412945455,24691.6429563636,18776.3222509091,29770.8727907273,22127.6094909091
"DG 33:1; [M+NH4]+@7.81",8019.7261,8308.4443118,3699.12319818182,10908.5285236364,6774.80716545454,6437.97570910909,1653.72976909091,4095.34489454545,12066.2771589091,9694.2835222,9236.71384361818,6173.07772,7362.95283854545,6774.80716545454,6283.44562181818,11898.8656041818,4474.12623272727,9401.40962545455,4316.57966,4474.12623272727,3699.12319818182,12247.7855169091,6173.07772,4985.86454545454,4474.12623272727,5405.89216181818,5405.89216181818,9561.66465454546,4639.68148521818,4095.34489454545,5560.27774181818,6919.03179636364,4985.86454545454,10557.9830307818,13172.0136563636,5880.02899454546,5880.02899454546,6173.07772,12982.7572054545,5750.06363818182,11314.2910490909,16764.0805509091,6596.50616363636,13172.0136563636,3300.85320545455,7051.10208363636,15953.4562730909,8308.4443118,5750.06363818182,5880.02899454546,5750.06363818182,6173.07772,3526.56408545455,5750.06363818182,4797.12763818182
"DG 34:0; [M+NH4]+@8.50",935101.124,2054232.07745455,980171.731818182,3126137.992,1112980.90527273,3280131.85381818,3636032.51763636,790298.787272727,1186900.59272727,2657732.42963636,1382832.90854545,1059684.85472727,1005739.01967273,956432.847272727,707677.198363636,2054232.07745455,790298.787272727,1186900.59272727,2160207.03890909,956432.847272727,3636032.51763636,2548118.16727273,1904637.91254545,2160207.03890909,3636032.51763636,5373448.60909091,2351246.74832727,2836002.89909091,3443978.09490909,2054232.07745455,2054232.07745455,1904637.91254545,4057441.40327273,2235425.09818182,1548754.91745455,2657732.42963636,2160207.03890909,3126137.992,2445926.33309091,2657732.42963636,2160207.03890909,4944800.21436364,4057441.40327273,4453427.14,3280131.85381818,2836002.89909091,5373448.60909091,3126137.992,2351246.74832727,3443978.09490909,3443978.09490909,3636032.51763636,3827282.29945455,3636032.51763636,3280131.85381818
"DG 34:2; [M+NH4]+@7.62",468611.239090909,600773.490727273,347298.016309091,743134.024,378295.698545455,202332.898,361393.256054545,438339.015818182,413633.724363636,812795.232,589161.665636364,421090.204981818,361393.256054545,638805.549909091,493945.833636364,1086745.85254545,673446.489636364,329057.429454545,270178.934181818,279177.118436364,429170.376181818,725389.384545455,1086745.85254545,288986.679709091,243274.044890909,279177.118436364,275963.763890909,861005.148181818,438339.015818182,638805.549909091,386929.186727273,687745.783090909,534808.245272727,627076.909636364,1059684.85472727,526060.892709091,485883.588854545,361393.256054545,1033245.71090909,566335.208181818,935101.124,545183.790545455,366983.748363636,1086745.85254545,743134.024,812795.232,912168.669090909,1033245.71090909,516807.886181818,438339.015818182,454161.326545455,485883.588854545,477492.638545455,461768.031818182,454161.326545455
"DG 34:3; [M+NH4]+@7.21",96691.3520727273,195514.4102,64839.9528909091,191893.181581818,65617.5806545455,12066.2771589091,75990.2405272727,64839.9528909091,117988.788109091,216264.997654545,195514.4102,99579.8913454546,61412.3863272727,129919.826727273,78918.3584909091,224636.7558,174617.159327273,90965.1124,64260.9531818182,82465.2107636364,105234.515672727,140396.293327273,234028.268545455,76699.4683454545,58409.0806545455,75990.2405272727,38990.7674363636,288986.679709091,78918.3584909091,128508.222381818,90965.1124,120617.657745455,174617.159327273,161402.961890909,255654.402309091,134210.897745455,74496.2867454545,60871.1379090909,191893.181581818,138497.939527273,216264.997654545,164082.804145455,89522.0010363636,366983.748363636,134210.897745455,151947.385872727,161402.961890909,229137.938672727,122217.702981818,108642.957181818,103935.133381818,117988.788109091,112541.002236364,117988.788109091,105234.515672727
"DG 35:0; [M+NH4]+@8.75",50295.1535272727,94541.6636363636,35477.9694709091,102872.202327273,51371.9604545455,90965.1124,127089.103581818,42572.5076545455,31544.1779090909,56509.5886181818,40325.7905636364,31544.1779090909,47014.1488023636,49867.1029290909,35477.9694709091,67947.4837090909,33708.2585636364,35888.5268909091,71641.0117090909,22127.6094909091,145129.163909091,96691.3520727273,70872.1591636364,46501.1238072727,107642.341527273,172120.025072727,68645.1984727273,74496.2867454545,108642.957181818,66301.4464181818,55738.0478727273,45934.1632363636,115107.2098,72462.4126181818,75329.3198363636,113834.294290909,105234.515672727,119024.907763636,98715.0489818182,106509.658654545,79774.9632181818,279177.118436364,182931.081509091,174617.159327273,107642.341527273,115107.2098,202332.898,111179.989963636,109750.3102,111179.989963636,120617.657745455,113834.294290909,122217.702981818,92070.9993636364,82465.2107636364
"DG 35:1; [M+NH4]+@8.27",26057.0556,8478.83729090909,25635.3951909091,20518.8130363636,23085.9977018182,30127.8273272727,21846.7412194545,22455.1957709091,29008.1747170909,30127.8273272727,21583.4031527273,29383.0054727273,29770.8727907273,24691.6429563636,22727.8978363636,40325.7905636364,21583.4031527273,26981.5140009091,24006.3551872727,21846.7412194545,18566.9278965455,23321.6596761818,30458.3296163636,26057.0556,12247.7855169091,18064.4312825455,9236.71384361818,17801.2039654545,18309.8789049091,21038.8594309091,21846.7412194545,23677.7103381818,49286.0710363636,30458.3296163636,32749.1110727273,25635.3951909091,21291.1931309091,21846.7412194545,49867.1029290909,25304.7201116364,28659.9203770909,18776.3222509091,24345.2378727273,37149.6829818182,32749.1110727273,21038.8594309091,35888.5268909091,38990.7674363636,23085.9977018182,26981.5140009091,29770.8727907273,34173.7103127273,27629.6864654545,28659.9203770909,28338.46846
"DG 35:2; [M+NH4]+@7.88",3526.56408545455,7188.67688912727,4985.86454545454,17244.5331932727,3699.12319818182,8019.7261,8019.7261,5880.02899454546,12781.1845618182,10023.3356785455,11898.8656041818,5984.88111392727,6283.44562181818,9073.61237109091,1829.85498,23677.7103381818,5750.06363818182,4474.12623272727,13547.3755890909,3300.85320545455,12619.5251472727,20518.8130363636,26057.0556,13172.0136563636,4639.68148521818,8143.88668890909,3526.56408545455,14071.4770527273,12470.0289309091,12781.1845618182,9073.61237109091,10557.9830307818,13172.0136563636,8143.88668890909,16376.4568581818,7362.95283854545,11314.2910490909,12470.0289309091,21038.8594309091,14225.0361927273,17011.6993563636,8910.78444667273,7362.95283854545,17011.6993563636,17011.6993563636,21846.7412194545,28338.46846,16186.70464,8746.44234583636,9858.72197818182,6596.50616363636,12470.0289309091,9401.40962545455,15792.1034492727,8143.88668890909
"DG 36:0; [M+NH4]+@8.93",10399925.1018182,9002769.61090909,10399925.1018182,15588925.1909091,9897557.32363636,15588925.1909091,13147242.7345455,9897557.32363636,7569965.83054545,13602633.1581818,11833483.0909091,7130976.97454545,8411228.52363636,9897557.32363636,9477671.92,15588925.1909091,6643977.90181818,10846788.7872727,9002769.61090909,8019612.30181818,15588925.1909091,15588925.1909091,13602633.1581818,6643977.90181818,15588925.1909091,15588925.1909091,15588925.1909091,15588925.1909091,13147242.7345455,13147242.7345455,12346829.6345455,13602633.1581818,15588925.1909091,15588925.1909091,13147242.7345455,15588925.1909091,15588925.1909091,10846788.7872727,13147242.7345455,15588925.1909091,15588925.1909091,15588925.1909091,15588925.1909091,15588925.1909091,12346829.6345455,15588925.1909091,15588925.1909091,13147242.7345455,15588925.1909091,15588925.1909091,15588925.1909091,15588925.1909091,15588925.1909091,12346829.6345455,13147242.7345455
"DG 36:1; [M+NH4]+@8.53",834955.634363636,526060.892709091,956432.847272727,554925.877672727,812795.232,1186900.59272727,638805.549909091,761795.710363636,1429341.83290909,743134.024,673446.489636364,956432.847272727,1059684.85472727,566335.208181818,687745.783090909,687745.783090909,812795.232,790298.787272727,980171.731818182,834955.634363636,673446.489636364,438339.015818182,600773.490727273,687745.783090909,761795.710363636,812795.232,501970.100963636,516807.886181818,554925.877672727,627076.909636364,812795.232,673446.489636364,1086745.85254545,761795.710363636,638805.549909091,761795.710363636,516807.886181818,612827.136872727,790298.787272727,526060.892709091,600773.490727273,743134.024,885457.405636364,687745.783090909,761795.710363636,589161.665636364,885457.405636364,743134.024,653426.328,885457.405636364,861005.148181818,885457.405636364,885457.405636364,1086745.85254545,885457.405636364
"DG 36:2; [M+NH4]+@8.12",761795.710363636,812795.232,861005.148181818,1186900.59272727,1033245.71090909,956432.847272727,1086745.85254545,1005739.01967273,1112980.90527273,1286915.13227273,1059684.85472727,912168.669090909,1252841.52690909,1033245.71090909,1146694.22981818,2445926.33309091,935101.124,761795.710363636,885457.405636364,687745.783090909,1033245.71090909,1429341.83290909,2054232.07745455,956432.847272727,725389.384545455,526060.892709091,461768.031818182,1033245.71090909,1429341.83290909,1382832.90854545,1334212.05254545,1472054.51363636,980171.731818182,1005739.01967273,885457.405636364,687745.783090909,861005.148181818,812795.232,1671006.19952727,935101.124,1033245.71090909,790298.787272727,600773.490727273,1252841.52690909,1472054.51363636,1112980.90527273,1608154.68690909,2054232.07745455,743134.024,1005739.01967273,1059684.85472727,1059684.85472727,1086745.85254545,1059684.85472727,956432.847272727
"DG 36:3; [M+NH4]+@7.73",386929.186727273,438339.015818182,243274.044890909,627076.909636364,446894.067090909,145129.163909091,545183.790545455,509721.681454545,336443.352327273,673446.489636364,578538.120545455,378295.698545455,468611.239090909,861005.148181818,638805.549909091,1286915.13227273,446894.067090909,265550.391,224636.7558,229137.938672727,653426.328,1186900.59272727,1548754.91745455,378295.698545455,208616.254927273,147384.414454545,108642.957181818,578538.120545455,790298.787272727,912168.669090909,627076.909636364,861005.148181818,357355.65,501970.100963636,485883.588854545,296689.507672727,493945.833636364,366983.748363636,1186900.59272727,578538.120545455,687745.783090909,413633.724363636,238734.441981818,638805.549909091,812795.232,790298.787272727,1059684.85472727,1429341.83290909,438339.015818182,446894.067090909,493945.833636364,402103.885290909,485883.588854545,485883.588854545,461768.031818182
"DG 36:4; [M+NH4]+@7.50",164082.804145455,107642.341527273,149480.446654545,205506.971072727,140396.293327273,164082.804145455,96691.3520727273,169221.018072727,260709.985581818,122217.702981818,116627.565981818,224636.7558,260709.985581818,103935.133381818,216264.997654545,238734.441981818,191893.181581818,174617.159327273,161402.961890909,188980.043072727,122217.702981818,265550.391,352403.601109091,101727.941818182,134210.897745455,97749.9371272727,115107.2098,191893.181581818,140396.293327273,243274.044890909,134210.897745455,131187.154527273,265550.391,243274.044890909,275963.763890909,249845.734854545,174617.159327273,279177.118436364,220988.005963636,202332.898,180453.270490909,136126.877309091,202332.898,270178.934181818,191893.181581818,131187.154527273,220988.005963636,224636.7558,147384.414454545,166288.745436364,151947.385872727,151947.385872727,191893.181581818,202332.898,158552.247254545
"DG 37:0; [M+NH4]+@9.14",8746.44234583636,30127.8273272727,17011.6993563636,35117.5425818182,13895.0487781818,29383.0054727273,45934.1632363636,8746.44234583636,14225.0361927273,11176.7533054545,10557.9830307818,8143.88668890909,5560.27774181818,10722.1093909091,7716.29116909091,25635.3951909091,7539.76609272727,9858.72197818182,17628.4040290909,8478.83729090909,43656.9797216364,17801.2039654545,15375.5682672727,20754.9612527273,37721.5597818182,58409.0806545455,28052.7168418182,42102.7588727273,28338.46846,13358.6582116364,18309.8789049091,11050.3028194545,36724.9901636364,24691.6429563636,18309.8789049091,41176.2133090909,38990.7674363636,49286.0710363636,28052.7168418182,29770.8727907273,23677.7103381818,103935.133381818,94541.6636363636,73674.2682,28338.46846,53176.8431454545,59456.2329636364,27629.6864654545,32296.6482127273,27268.9427454545,26057.0556,28659.9203770909,28659.9203770909,16376.4568581818,17628.4040290909
"DG 37:1; [M+NH4]+@8.77",9694.2835222,12470.0289309091,6283.44562181818,4639.68148521818,10023.3356785455,8308.4443118,5560.27774181818,6173.07772,13756.2549672727,6173.07772,10394.3462054545,11898.8656041818,6919.03179636364,6596.50616363636,10557.9830307818,11502.3396818182,8019.7261,9694.2835222,8308.4443118,5232.34559570909,3300.85320545455,7539.76609272727,4985.86454545454,6596.50616363636,4095.34489454545,8616.38082,5984.88111392727,9401.40962545455,6919.03179636364,8019.7261,7539.76609272727,14225.0361927273,16764.0805509091,6919.03179636364,10023.3356785455,9401.40962545455,6774.80716545454,9561.66465454546,10197.8882358182,10722.1093909091,14071.4770527273,8616.38082,16764.0805509091,24006.3551872727,8019.7261,14960.4471181818,11898.8656041818,7869.07008254545,9401.40962545455,8019.7261,8143.88668890909,3895.49399612727,5560.27774181818,7188.67688912727,8478.83729090909
