"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","Test.Pool_Positive_01","Test.Pool_Positive_02","Test.Pool_Positive_03","Test.Pool_Positive_03a","Test.Pool_Positive_04","Test.Pool_positive_05","Test.Pool_positive_06","Test.Pool_positive_07"
"PC 34:2; [M+H]+@6.15",48418207,38003231,41478509,38963052,42874081,42157104,37766400,51028076,38564479,32929071,39639971,34491360,43165056,41895159,32253828,40372088,37662773,31493961,37908031,36033381,33635912,37419721,39895122,41153422,45961156,45453491,47386394,47607910,37418800,45612705,46177537,50111632,39324571,42234849,34660565,42667038,45197837,44518881,43712487,42896619,43158161,38646963,41225503,38708112,38610580,40224260,43178763,44135394,43767324,43751437,42593936,36363310,41516915,42784088,43717237,44613472
"PC 34:3; [M+H]+@5.80",13915549,6674101,7684409,7028178,9299708,6046671,8000464,15462015,10236445,11175107,10760205,7100818,7426914,7366643,1676789,7350353,3328635,3076933,3922453,4360195,3871347,3419546,4565749,3467816,4856730,2445545,6811480,8954937,2534852,5491438,5703758,5755379,7737381,9275137,10094067,4961586,2957335,3491239,5121095,7834316,3133136,3400738,2298588,2558480,2489648,1459837,1801095,2524114,4225547,4072705,4075873,3954343,4389509,4401700,4548329,4391600
"PC 34:3; [M+H]+@6.56",66083.66,55595.84,53607.51,52739.31,57398.53,75096.03,60453.65,71703.22,50298.08,54073.54,50521.39,50710.72,60311.39,57043.68,63735.45,54485.44,55800.85,43236.89,46588.6,50995.06,35645.93,39714.39,32548.51,39984.9,51385.17,66006.89,62609.18,66050.8,39084.07,63521.32,60946.53,57182.35,53679.02,61994.86,52008.45,48260.13,52717.46,48426.56,48500.45,60848.82,59106.24,55154.23,46907.33,48135.52,35061.21,42626.14,45176.36,42028.05,49631.2,36749.79,57614.22,49293.03,50040.88,55310.35,49658.31,61385.62
"PC 34:3; [M+Na]+@5.73",262386.67,184561.95,245681.18,213313.74,219812.26,209684.27,221139.09,241658.17,213494.68,241073.21,207076.61,207594.37,209849.87,216582.2,112142.75,173568.08,119158.76,130417.41,179545.38,147814.88,121049.68,115289.75,136011.34,109696.38,215762.65,107479.23,169296.67,220437.74,115005.97,181866.79,213218.56,164908.03,125437.57,173325.26,166270.11,145528.64,138024.6,161035.65,174691.82,164878.25,109494.39,136109.79,113669.96,130734.12,105599.14,75466.28,99746.91,101054.51,194709.55,195779.89,173279.72,162886.3,179613.45,182712.21,175456.13,187220.79
"PC 34:4; [M+H]+@5.43",366317.14,243010.62,155527.81,225872.16,248919.75,173318.86,179565.71,440983.5,351785.51,366519.94,399571.88,262124.44,305295.4,247862.9,76414.91,259523.56,115952.49,137113.76,135385.25,168168.88,144560.72,148631,190888.7,162498.27,135139.05,85926.08,218109.42,199504.62,67559.46,123487.72,125417.95,125517.6,222425.14,219433.73,278294.92,151899.76,104867.38,117235.48,151629.17,288904.24,82191.58,66602.18,67755.26,69169.92,59754.07,27229.66,45798.74,60460.59,140547.71,134018.6,151546.3,142969.5,135440.64,134495.1,155513.49,121508.6
"PC 34:4; [M+H]+@6.06",37174.105,47877.357,55403.134,73626.103,50376.373,62321.01,35770.441,64616.59,29419.855,24031.91,18206.733,23433.973,51628.658,47177.83,89497.668,66670.789,16501.431,40197.542,63508.194,57527.812,43221.074,48932.081,48153.716,72343.159,11333.122,7589.359,13594.207,8190.837,18847.23,15496.208,15730.684,14953.703,6387.399,15922.512,12025.564,12927.8,26406.712,28008.158,31843.353,35906.993,26986.778,7058.467,20493.516,9233.56,10880.601,9851.656,21401.887,5981.632,19896.382,18500.741,16388.611,18243.501,15918.254,14922.197,22071.664,32263.369
"PC 34:5; [M+H]+@5.28",54077.53,33915.175,35603.913,32218.989,32285.621,25731.484,35821.633,48232.481,41637.289,27558.819,39410.074,28073.535,32596.182,42175.825,9889.647,21180.076,18509.136,17656.973,24677.771,18945.545,16262.306,21979.34,28696.584,19401.968,15805.774,14327.319,32603.878,26955.533,2948.82,21003.905,19794.084,15522.788,32120.717,32279.534,46235.565,15909.173,10485.501,15723.837,23519.232,35491.976,17214.444,15946.013,10786.165,13546.798,12225.303,9836.99,11606.756,11482.94,25780.577,22085.511,24310.654,18688.653,15200.216,26239.205,24472.019,19976.042
"PC 34:5; [M+H]+@5.61",54077.53,33915.175,35603.913,32218.989,32285.621,25731.484,35821.633,48232.481,41637.289,27558.819,39410.074,28073.535,32596.182,42175.825,9889.647,21180.076,18509.136,17656.973,24677.771,18945.545,16262.306,21979.34,28696.584,19401.968,15805.774,14327.319,32603.878,26955.533,2948.82,21003.905,19794.084,15522.788,32120.717,32279.534,46235.565,15909.173,10485.501,15723.837,23519.232,35491.976,17214.444,15946.013,10786.165,13546.798,12225.303,9836.99,11606.756,11482.94,25780.577,22085.511,24310.654,18688.653,15200.216,26239.205,24472.019,19976.042
"PC 35:0; [M+H]+@7.37",43332.841,21849.379,13324.382,18802.079,33315.639,21292.399,41447.214,48239.71,22945.311,34765.97,25120.301,25289.774,25463.402,31305.008,9001.169,21164.92,35985.021,24165.556,25141.391,42943.08,26980.129,45263.231,46209.052,29234.803,30819.777,15499.26,52966.755,25334.846,27075.395,35755.124,30120.498,32482.555,51111.997,36930.345,41263.985,31211.697,39060.681,24584.069,18705.081,39733.299,41497.79,27634.768,17736.28,32159.093,32309.273,18763.612,9501.464,38716.785,68555.513,72786.129,92701.096,61864.936,74868.577,73919.933,61934.797,62007.816
"PC 35:1; [M+H]+@6.97",761199.6,316765,283600.8,356412.7,464644.7,352419.9,578455.1,697906.5,499353.1,495042.7,542106.6,561410.3,626774.3,634172.6,257975.7,672778.6,440632.9,523171.7,497975.1,650774.2,624344.3,720890.1,877156.8,615671.3,405047.5,295823.8,547651.3,606094.8,205504.2,471935.5,524478.7,501174.2,656844.1,634859.8,681041.3,421563.2,317583.7,339184.4,447792.8,512245.9,470917.8,532070.7,242080.1,391942.7,448434.4,279392,255861.6,389507.5,389047.8,396074.2,405408.4,380926.2,387735.5,368804.8,403266,399639.9
"PC 35:2; [M+H]+@6.47",2394364.5,1161123.7,1130405.5,1310243.9,1701701.7,1532211.7,1893249,2620332.4,1332071.9,1389273.7,1573014.2,2004418.4,1643197.7,1735243.1,764265.4,1479379,1609293.7,1505980.4,1538145.4,1877995.1,1790220.8,1952722,2383227.3,2125193.8,2043195,2077721.2,4347552.7,3133154.3,1449095.1,2244698.2,2532839.8,2501765.7,2681924.9,2664968.4,2260571.1,2202361.7,1835000,1745248.2,2672072.6,2884203.3,2664043.7,2721030.8,1785069.9,2110518.9,2870379.8,1426885.2,1438429.6,2131930.2,1928093.9,1920959.7,1885681.2,1729743,1791186.8,1879022.2,1859231,1822876.4
"PC 35:2; [M+Na]+@6.57",34456.92,28593.48,30098.16,35135,34660.42,34233.04,47590.59,80297.12,13581.16,20501.99,31085.86,41844.14,37128.64,32792.81,26270.94,17350.39,33756.89,23964.34,32268.56,35880.05,31704.26,38423.56,22193.78,22933.44,36764.44,50876.05,59546.73,62892.66,37075.89,54547.17,48265.87,56551.37,43329.41,55037.35,25709.55,44763.88,44135.34,45849.55,61590.01,38807.33,52165.93,50077.31,31101.71,40249.83,65306.62,49482.72,52746.03,56499.67,40569.87,21661.18,28812.34,45276.54,23623.69,38365.66,33361.95,32330.5
"PC 35:3; [M+H]+@6.04",618625.3,412512.6,419342.7,407446.8,488427.1,408037.5,525705.6,590491.6,368082.7,386453.1,493323.8,454349.5,383707.3,400002.6,155092.2,358367.4,326305.2,265713.7,280167,417790,267866.8,381422.4,396890.8,423140.6,479311,380157.7,805213.1,636733.7,426195.7,476209.7,538703.7,639184.8,556564.9,572573.7,558360.1,492095.5,439520.8,422476.7,511666.9,567285.3,406365.1,422283.9,336000.9,332493.1,451213.6,280891.2,284441.1,432147.5,321744.9,406634.5,388826.1,395710.9,438038,376843.4,458062.4,418863.7
"PC 35:4; [M+H]+@5.76",240348.66,135050.63,83371.76,171377.18,171743.94,114482.79,143721.33,230485.27,267771.53,227761.21,211302.96,259474.78,222372.68,175184.51,67685.41,154907.89,119538.24,96637.3,109150.82,150787.06,140290.08,166854.32,150295.9,129537.38,124246.37,84130.54,265224.06,192695.19,82612.54,149960.75,143324.1,141108.43,363297.5,312295.94,415200.28,169503.07,115334.52,148384.67,142786.31,291272.26,165132.34,166723.56,82494.69,147063.18,125182.97,58449.78,73888.84,122020.33,140265.01,137282.21,128531.06,112380.25,142664.6,140886.99,142431.34,137609.24
"PC 36:0; [M+H]+@7.68",310303.77,162135.9,89418.67,195823.76,165150.83,176373.38,200510.78,282698.96,255301.75,182704.42,221046.14,244306.02,212895.72,182354.52,42876.54,222876.63,301153.29,301013.15,284513.2,349795.36,345043.49,340470.52,370251.83,208249.22,227821.68,236059.69,411688.95,262747.3,175518.55,222013.37,225548.26,204635.55,372712.58,303837.31,366752.48,216832.72,301499.61,236458.98,188037.09,333246.05,450146.43,430666.59,283395.1,386082.69,403250.33,254755,249218.25,440069.37,199838.32,162788.96,147958.1,147134.07,159691.88,167455.92,150056.01,169959.63
"PC 36:1; [M+H]+@7.21",10820059,4739832,3894783,6869235,6867914,5879666,10007256,12926419,15753576,10143039,13144439,8754224,12662886,10993417,4246566,17878172,10609019,13860242,11081573,13384870,20697928,18808735,21837988,17014312,5395170,5827694,11330440,7834427,4117074,5165429,6633443,6771328,10900614,10517625,13283111,6531471,6048475,5952976,6384319,10262587,9220626,8197785,6174070,6739528,10920703,4515302,4637710,9649363,9187348,8896871,8767015,10296437,10010630,13559960,11682215,12357960
"PC 36:2; [M+H]+@6.75",48105991,29923723,27089006,33528862,34659000,34438751,32518272,40645208,37079088,30346916,38967638,31423626,40492554,41682269,28437755,38896336,35134154,34498722,37926182,39067315,35283531,39784482,46827096,46116283,33096022,43417470,44290193,40061230,34667989,34780016,42165122,37956926,36707715,35961786,34909794,38884360,39360098,37739694,37966675,39555705,37758498,34004215,37327899,34178134,39265428,34568577,38453942,43028815,39305502,38142503,38002904,35200233,39175225,41192788,40457922,39900145
"PC 36:2; [M+Na]+@6.94",135261.96,146348.24,212743.82,101796.93,127130.38,188529.18,120734.93,98737.75,55806.67,122325.12,103058.65,128353.02,121697.03,190463.61,220301.91,120399.04,116668.61,102343.93,142718.73,120434.25,71083.29,63969.92,79844.99,118476.97,160560.52,235162.26,148274.07,121428.81,213534.36,178591.41,175411.13,167033.07,85553.38,97354.08,85487.12,119281.76,209405.5,184313.49,185893.23,113825.45,114215.26,92203.24,143472.81,143083.15,166017.23,217096.01,232750.55,174129.3,141369.92,169371.1,132841.36,148223.89,132803.67,138717.8,142300.69,148156.7
"PC 36:3; [M+H]+@6.34",48423015,29657845,19956720,30439775,30788841,20538093,27472712,43008040,44128892,31193876,41631283,30234323,40334376,40717146,13754286,43153053,31691972,35798418,35360671,39187734,46402430,46247686,53927962,47784746,15902645,17825647,37162221,28756760,19878237,26233955,29570405,26136311,38377136,36005281,41326916,29576654,24377672,25227598,25488601,45380133,27058899,30512987,24249243,20572031,32244700,15127024,15167548,31712870,29708938,34684956,32507474,30527129,33290014,33994095,33966826,26575608
"PC 36:3; [M+H]+@7.16",141707,140606.99,158752.89,181579.56,163357.03,134896.18,115351.44,127221.59,131862.2,154034.37,138086.43,110589.25,152297.75,144311.13,192810,110669.42,145692.67,111707.6,160570.08,151097.75,117024.59,122630.73,89870.63,146715.78,129184.29,185545.43,119825.71,124954.81,169275.38,158878.96,112160.41,159934.58,161048.74,127154.26,137071.97,169790.4,188616.25,177148.33,124935.07,105323.26,145104.36,119796.88,136491.98,140292.27,135906.1,161496.59,176626.28,159380.86,179406.73,178455.57,187235.26,166878.72,166094.6,183528.76,171340.66,175753.31
"PC 36:3; [M+Na]+@6.36",38863119,31915121,22625121,33501506,36496966,31862816,35153843,40814992,42854734,38025176,40208807,40903344,40465201,36257863,18248763,39817226,33501662,39195315,31027613,38376795,38518088,39017221,40931204,39503966,35217042,25266091,38313828,42623202,30575849,38185306,39248801,35043962,48719957,46108989,48005546,41940117,29360241,30549462,35122806,48691351,38779255,41039638,34465362,35439315,37874757,26566250,25159943,34349515,30701563,28039009,25070918,34888679,26969304,33338742,34828179,33024727
"PC 36:4; [M+H]+@6.00",29500088,26194282,20717733,30994922,27721951,19997053,19165585,27066844,35119113,23951347,28844585,24498669,31696110,27115186,19804201,30774860,31419512,27592715,29764316,28798298,30391268,29444134,29856256,29945076,20199081,17724819,24444551,23831648,18584902,23107538,23780387,18645153,36162565,30777713,38374857,26802055,29249413,24902599,16875164,31711933,29847985,26731879,19199372,26175163,20154772,19491252,18241135,27618675,28627926,28157438,27396726,22407195,27474087,27304221,25716863,26685805
"PC 36:4; [M+Na]+@5.94",48026.26,69949.23,37414.81,61726.5,45088.53,64531.75,27514.76,30121.16,40993.66,43169.31,40767.14,57312.67,48557.53,52903.11,76260.02,57932.42,75881.3,60771.89,60542.6,44984.71,51149.74,52397.69,51907.71,50172.66,698769.85,252364.02,64180.11,30095.18,54364.04,837764.81,1051684.22,43516.14,2085756.59,1652957.55,2737842.55,1163327.99,591996.7,667481.95,533826.9,1443950.46,597214.68,881207.82,614950.81,764476.91,746892.3,275276.29,335208.42,462999.16,45408.73,55126.91,59424.12,59630.98,50157.18,55476.91,47591.35,39153.68
"PC 36:5; [M+H]+@5.63",4797085.2,2690404.3,1105299.1,2636715,2406806.6,2015082.7,2041712.5,4499430.4,4923081.1,3216627.5,4740642.2,3512836.6,3802490.6,3763612.2,716597.2,4038952.1,1854931.3,2446935.4,2248825.7,3286713.1,4461345.1,3261824.6,4837104.4,3525055.7,752611.6,565674.1,2211502.4,1754665.6,792124.7,973209.8,1029288,809537.4,2502540.5,1910004.9,3518511.7,1356594.3,933624.5,1015998.8,1138518.3,2416290.5,854978.7,995080,621978.3,759920.3,729780.5,317597.5,393690,858539.9,1917832.2,1738021.3,1907260.4,1637760.6,1790050.1,1752404.1,1665191.4,1691026.9
