"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6"
"PC 37:2"," [M-Ac-H]-@7.21",64777.9603545455,45841.7542554546,94150.0360454545,81639.2280272727,51285.9458909091,113153.488518182,83682.1603454546,81639.2280272727,42001.6355054545,49527.11608,56524.1981818182,69290.7004909091,51285.9458909091,72610.6971818182,52138.1599636364,44315.2820736364,70922.2683727273,53271.5483818182,79590.4157636364,60584.3015818182,72610.6971818182,74046.5267818182,83682.1603454546,74046.5267818182,68116.8675818182,85697.1204363636,103947.338172727,74046.5267818182,122957.964772727,69290.7004909091,74046.5267818182,77790.3615,65890.3964727273,60584.3015818182,51285.9458909091,55515.9063090909,125814.222763636,91843.9096545455,106902.765572727,54454.8876363636,81639.2280272727,81639.2280272727,63732.5107272727,67039.7514636364,113153.488518182,87641.651,106902.765572727,60584.3015818182,61460.7823672727,83682.1603454546,68116.8675818182,67039.7514636364,77790.3615,62577.1822090909,85697.1204363636
"PC 37:3"," [M-Ac-H]-@7.02",29402.5963909091,24826.0364181818,23308.7433072727,8709.07516363636,17548.8040236364,25843.01804,13106.4799327273,20377.7579981818,56038.5704,28814.0675636364,37989.7489563636,23830.6759872727,21130.3930763636,11142.6323054545,7028.74746545455,31629.8523345455,18116.0346363636,60988.4211163636,40968.4490581818,40968.4490581818,40203.6584909091,21547.6614,40203.6584909091,36156.6902181818,28113.76454,18745.5195018182,36156.6902181818,26888.5792545455,26372.0165672727,30768.1272727273,30768.1272727273,8889.12027272727,47326.6418818182,52626.5637090909,36156.6902181818,43146.7638545455,14681.0309272727,27572.9905781818,25843.01804,31629.8523345455,15413.1013036364,28814.0675636364,42410.7590545455,44727.9883654545,57009.8259636364,22409.6534854545,37351.5887636364,57009.8259636364,48294.6786672727,37989.7489563636,35426.3408036364,51649.7562181818,29402.5963909091,23308.7433072727,37351.5887636364
"PC 37:4"," [M-Ac-H]-@6.61",95166.5004909091,90554.2477090909,48294.6786672727,131142.469127273,121625.567363636,80580.2439818182,52626.5637090909,53916.5330545455,121625.567363636,111709.622727273,88555.1697454546,150665.151781818,131142.469127273,68622.9051272727,58943.4986,117917.763036364,179711.890909091,179711.890909091,170768.642,194599.768545455,231001.406363636,156974.483272727,131142.469127273,156974.483272727,71886.0408909091,105297.919727273,95166.5004909091,71886.0408909091,150665.151781818,86728.1322545455,90554.2477090909,86728.1322545455,163793.023636364,134060.288181818,183178.331090909,147460.492181818,179711.890909091,156974.483272727,127338.083345455,147460.492181818,156974.483272727,127338.083345455,140227.209272727,163793.023636364,156974.483272727,170768.642,147460.492181818,183178.331090909,131142.469127273,117917.763036364,111709.622727273,117917.763036364,131142.469127273,137249.682272727,137249.682272727
"PC 37:5"," [M-Ac-H]-@6.17",41592.5119563636,29402.5963909091,29402.5963909091,30130.8315818182,43146.7638545455,19107.8860654545,18116.0346363636,35426.3408036364,78600.5875454545,34257.5131836364,46157.4479872727,44727.9883654545,61933.1436181818,25275.5612727273,28113.76454,65312.1200545455,33655.2162072727,51649.7562181818,28113.76454,40203.6584909091,38782.4138890909,44727.9883654545,69958.4958545455,80580.2439818182,34257.5131836364,12915.2874909091,30768.1272727273,33655.2162072727,35426.3408036364,32310.8818436364,36859.4703418182,34257.5131836364,60180.1820472727,61933.1436181818,80580.2439818182,42410.7590545455,23308.7433072727,47326.6418818182,28113.76454,58943.4986,56038.5704,36156.6902181818,32310.8818436364,33655.2162072727,60180.1820472727,17022.6279036364,16174.2238418182,24385.52956,40203.6584909091,39474.9633090909,39474.9633090909,44727.9883654545,35426.3408036364,37989.7489563636,29402.5963909091
"PC 37:6"," [M-Ac-H]-@5.80",156974.483272727,111709.622727273,68622.9051272727,134060.288181818,183178.331090909,99862.3395272727,105297.919727273,143925.925636364,204184.841272727,143925.925636364,170768.642,188525.255090909,209157.165090909,127338.083345455,65312.1200545455,175207.422545455,127338.083345455,209157.165090909,134060.288181818,216000.790363636,156974.483272727,216000.790363636,231001.406363636,216000.790363636,170768.642,111709.622727273,156974.483272727,183178.331090909,111709.622727273,137249.682272727,204184.841272727,167565.376909091,285415.938545455,216000.790363636,321176.399272727,209157.165090909,134060.288181818,131142.469127273,156974.483272727,204184.841272727,216000.790363636,124290.362181818,170768.642,231001.406363636,194599.768545455,121625.567363636,102596.756618182,121625.567363636,163793.023636364,198668.458545455,170768.642,179711.890909091,179711.890909091,143925.925636364,163793.023636364
"PC 38:1"," [M-Ac-H]-@7.80",52626.5637090909,63221.2208,63221.2208,78600.5875454545,86728.1322545455,73335.3534727273,63221.2208,57009.8259636364,67610.8300363636,64243.8006545454,67610.8300363636,73335.3534727273,66468.6728909091,84666.1086181818,54993.2422181818,82698.2120727273,90554.2477090909,71886.0408909091,68622.9051272727,67610.8300363636,86728.1322545455,86728.1322545455,74757.7000909091,71886.0408909091,50922.1355636364,53916.5330545455,30130.8315818182,49150.1218727273,68622.9051272727,49150.1218727273,54993.2422181818,39474.9633090909,64243.8006545454,56038.5704,61933.1436181818,57009.8259636364,78600.5875454545,71886.0408909091,54993.2422181818,69958.4958545455,58943.4986,51649.7562181818,71886.0408909091,49904.1102872727,71886.0408909091,61933.1436181818,69958.4958545455,51649.7562181818,49150.1218727273,50922.1355636364,46157.4479872727,58124.6517781818,86728.1322545455,74757.7000909091,82698.2120727273
"PC 38:2"," [M-Ac-H]-@7.40",194599.768545455,253369.842909091,294771.417636364,276343.669454545,269006.216181818,308293.047454545,369559.635636364,260124.072909091,231001.406363636,276343.669454545,285415.938545455,260124.072909091,245811.292909091,276343.669454545,147460.492181818,276343.669454545,204184.841272727,167565.376909091,253369.842909091,223622.827454545,285415.938545455,260124.072909091,253369.842909091,209157.165090909,167565.376909091,239329.325272727,204184.841272727,194599.768545455,465168.971609091,223622.827454545,231001.406363636,216000.790363636,294771.417636364,321176.399272727,269006.216181818,294771.417636364,353515.473272727,337570.076363636,353515.473272727,223622.827454545,209157.165090909,216000.790363636,216000.790363636,183178.331090909,369559.635636364,231001.406363636,245811.292909091,198668.458545455,198668.458545455,223622.827454545,253369.842909091,245811.292909091,245811.292909091,239329.325272727,276343.669454545
"PC 38:3"," [M-Ac-H]-@7.05",608321.032076364,608321.032076364,556947.104294545,706810.559552727,1017021.16727273,706810.559552727,581592.259027273,581592.259027273,1017021.16727273,752440.079609091,752440.079609091,752440.079609091,957108.236418182,752440.079609091,896593.072727273,1017021.16727273,1017021.16727273,1160500.59090909,1017021.16727273,1082862.48254545,1347442.71636364,1160500.59090909,1160500.59090909,1082862.48254545,465168.971609091,488966.456238182,556947.104294545,465168.971609091,1160500.59090909,581592.259027273,581592.259027273,556947.104294545,1082862.48254545,1017021.16727273,1277478.01454545,1082862.48254545,1017021.16727273,1160500.59090909,788947.408934545,1017021.16727273,1082862.48254545,896593.072727273,896593.072727273,957108.236418182,1415509.70727273,896593.072727273,957108.236418182,957108.236418182,1082862.48254545,1017021.16727273,957108.236418182,896593.072727273,1017021.16727273,957108.236418182,1082862.48254545
"PC 38:4"," [M-Ac-H]-@6.70",1597384.78545455,1597384.78545455,1017021.16727273,1745886.05636364,2244690.44909091,1745886.05636364,1415509.70727273,1415509.70727273,2425731.10181818,1745886.05636364,1745886.05636364,1872070.17818182,1872070.17818182,1745886.05636364,1745886.05636364,1872070.17818182,2876386.51636364,2629032.78363636,1745886.05636364,2876386.51636364,3278018.17636364,2244690.44909091,2244690.44909091,2425731.10181818,1277478.01454545,2425731.10181818,2425731.10181818,2082336.26909091,2876386.51636364,1597384.78545455,1745886.05636364,1277478.01454545,3278018.17636364,3278018.17636364,4043858.86727273,2876386.51636364,2876386.51636364,2425731.10181818,1872070.17818182,2629032.78363636,3278018.17636364,2876386.51636364,2425731.10181818,2876386.51636364,2876386.51636364,2876386.51636364,2082336.26909091,2876386.51636364,1872070.17818182,1872070.17818182,2082336.26909091,1745886.05636364,1872070.17818182,2082336.26909091,2629032.78363636
