"","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db+_2225","Ctrl_BKS_db+_2226","Ctrl_BKS_db+_2227","Ctrl_BKS_db+_2231","HF_BKS_db+_2239","HF_BKS_db+_2241","HF_BKS_db+_2242","HF_BKS_db+_2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db+_2273","Ctrl_BL6_db+_2274","Ctrl_BL6_db+_2275","Ctrl_BL6_db+_2279","HF_BL6_db+_2286","HF_BL6_db+_2287","HF_BL6_db+_2288","HF_BL6_db+_2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob+_2316","Ctrl_BTBR_ob+_2317","Ctrl_BTBR_ob+_2318","Ctrl_BTBR_ob+_2320","HF_BTBR_ob+_2329","HF_BTBR_ob+_2331","HF_BTBR_ob+_2333","HF_BTBR_ob+_2334","Test Pool_Positive_01","Test Pool_Positive_02","Test Pool_Positive_03","Test Pool_Positive_03a","Test Pool_Positive_04","Test Pool_positive_05","Test Pool_positive_06","Test Pool_positive_07"
"Label","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","HF_BKS","HF_BKS","HF_BKS","HF_BKS","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","HF_BL6","HF_BL6","HF_BL6","HF_BL6","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","QC","QC","QC","QC","QC","QC","QC","QC"
"CE(16:0); [M+NH4]+@10.99","37439.49957","23496.03221","20381.07845","30116.94531","37329.90091","16481.9331","26335.53665","38431.03445","38337.75619","28222.79782","27611.60014","15424.56132","31549.21306","18524.3521","13459.23312","26212.2775","34427.49383","23483.2007","22129.21045","18541.43211","30011.46429","28246.36125","36583.41582","37958.82381","28463.7775","20699.78369","60073.00306","35504.78631","21743.07501","54024.66104","40964.4917","33670.23083","39612.6056","41222.89404","59342.58283","31351.55342","27910.78099","25369.99708","35597.81535","51920.4051","47248.9664","46057.81423","35570.57376","35362.97616","32080.16169","24351.4986","31609.54008","39616.83295","16357.22451","24600.0513","18453.25226","33007.34833","32849.62319","29364.6156","28136.10592","29238.91587"
"CE(16:1); [M+NH4]+@10.69","52309.88914","26949.28281","25364.99268","71769.5674","38433.03418","31211.15413","52402.01513","79070.07242","91546.56483","44580.92479","56976.22258","56026.82234","44434.32722","58183.94786","25402.60168","57352.35828","62815.14592","48077.9465","47894.74141","44852.50057","59153.14372","42526.89337","43646.98894","48790.96048","10499.84858","11119.12076","12136.37373","12690.63338","15505.63456","18494.17919","18615.92188","19806.96229","24663.73336","15439.73685","24380.07451","15334.23992","12857.20084","9908.079024","10528.17308","17672.95646","17654.99547","10008.8299","9882.174071","12376.03554","18432.35023","10389.84867","7212.021405","12995.71195","30012.47104","29669.70886","33406.56057","19404.31863","19337.15817","16421.78182","28271.40656","17250.49681"
"CE(18:0); [M+NH4]+@11.35","4015.301557","585.314842","469.6174773","1964.371097","4092.898158","3008.959198","2393.814327","3050.779077","1107.45168","977.3817277","1429.450557","1782.949086","2387.671737","2029.94034","1933.800523","1489.042105","1859.027436","1910.319525","2147.20789","4692.139396","3105.147887","3347.031416","4187.825204","2260.614633","4706.393103","10288.56897","7929.985577","3821.551709","3073.35767","5055.132911","2698.232177","4615.637446","4504.443585","5191.223866","4369.396817","4969.530685","1819.34124","4867.00036","4243.189465","6912.519656","8026.950123","5379.795878","4733.645144","7261.591129","4754.644647","5496.131031","2975.885928","3364.899469","3062.168432","2007.303966","5669.16586","5061.15304","6585.411428","3501.643174","804.0213897","2291.967536"
"CE(18:1); [M+NH4]+@10.94","438683.7616","264735.5563","204824.7331","319826.5551","340894.787","330041.8245","403434.4536","431415.0089","458141.6014","322658.2127","421763.2053","266862.9697","330673.088","323458.4513","165800.8133","368141.5238","437166.1992","378580.9651","346811.564","333954.5415","427267.7615","420258.6839","435674.6474","406163.7933","342804.4293","338813.523","407599.7911","365213.3547","247812.5724","464916.3583","537821.5134","390485.9992","521113.5236","446605.261","679482.2725","367313.9987","285688.9659","287459.3113","352442.7879","459610.1572","414029.8113","411621.8322","313113.6274","399691.6721","420688.285","278403.7774","276010.9958","341636.3644","293907.8413","363577.2729","310135.3769","303780.4893","421727.7192","307717.842","360062.5581","385605.7692"
"CE(18:2); [M+NH4]+@10.71","1961937.055","1322488.343","1231579.004","1643707.056","1785464.632","2009133.216","2199004.007","2800096.532","2230597.411","1903895.624","2191956.291","1680182.599","2017226.373","1500516.459","726508.4774","1942902.62","1665271.868","2028936.553","1668811.755","1869911.571","2141478.778","1983387.669","2273541.22","1907256.932","2040167.206","1361959.501","2470844.311","2739708.026","2421894.464","2742594.764","3369023.119","2398672.826","3230167.364","3127514.539","4197333.628","2474256.192","1934370.025","2575301.901","2501946.893","3473424.311","2694932.239","2704220.836","2167367.09","3081259.367","2690970.213","1808525.91","2098137.327","2229339.038","1858474.872","2476454.112","2134595.334","1997445.959","2304569.998","1763640.112","2123483.564","2022635.126"
"CE(18:3); [M+NH4]+@10.52","75112.32391","60854.69015","52025.92409","45096.12144","73572.55588","80771.3723","99353.10553","81825.41401","66847.06095","94386.50441","122166.6597","59090.34447","76253.33526","87988.78485","33563.36246","112834.9368","45393.83473","35876.05916","62041.02583","51668.84876","73758.45441","59726.70661","69473.54305","63094.49054","52898.21417","55759.33357","87602.98706","72761.71098","85939.77983","47804.73129","84847.33999","83642.89479","77450.19089","105896.6621","59317.48617","75266.22007","76595.42066","73379.97253","106796.5617","102662.5506","46536.92039","45188.07769","49418.96636","47083.35654","67568.71426","43146.19891","64048.08263","38160.37838","58949.67521","42828.81292","56502.78731","49561.77006","58006.12659","62345.36044","47678.70044","69936.71786"
"CE(20:2); [M+NH4]+@11.04","41840.51532","28696.2695","19278.6132","22200.04929","18564.53955","31676.39094","35152.45902","63903.77017","72422.13121","29905.41392","52993.03543","24233.0373","42975.66622","23388.60638","14772.256","41661.45945","46843.06495","30908.02393","41832.62667","52721.93432","54184.59017","52053.17131","42283.35509","29894.38644","19113.52372","6916.091015","39190.9531","29851.09548","16233.03043","27565.21784","67042.29164","27381.1814","31090.84137","53577.95881","120601.8289","31295.25486","10243.19702","24021.24307","23498.7226","41990.0397","36831.97487","21385.54643","25272.74774","38418.1205","14535.31536","17930.8085","15851.14894","23850.42814","38786.90247","46441.54465","40879.47242","31428.9304","31355.38313","30439.62339","40263.9642","41226.06549"
"CE(20:3); [M+NH4]+@10.78","649078.7843","359620.0392","198445.5266","559266.2276","432274.9047","443432.9543","389729.0311","718902.2717","1005492.422","584336.5958","661629.1463","557193.0175","515861.8278","418986.7271","186650.559","682334.0906","693427.4752","645622.0335","689834.9012","798709.3153","818441.8214","768176.4117","829855.6985","749574.7015","285508.4776","155563.8954","476334.2558","501236.3537","371050.1373","493580.7437","713357.549","416246.3796","941108.4172","769310.4939","1535995.902","709104.3276","293614.6778","364644.1662","320246.1428","716579.931","560448.4832","556122.9891","397820.6965","638641.0644","492734.5329","269748.1678","318071.2039","408044.6486","607357.8998","503164.9631","565029.6591","424647.7867","533761.5018","551274.4738","453296.8439","718867.9295"
"CE(20:4); [M+NH4]+@10.62","3597791.682","3141341.59","1760948.24","3962788.24","2746577.233","2706365.564","2263441.093","4192178.507","5294888.549","4058491.212","4065188.485","4310194.295","2834048.699","2183512.467","1483065.663","3165947.453","4724467.005","4687438.511","3585014.816","4640897.921","4483605.151","3751858.078","4585975.123","3712823.62","3319314.914","1457854.269","4630082.662","5023844.595","3264108.405","3540567.031","5606497.239","3879135.251","7370115.554","4710438.702","7231045.56","4365726.144","3157529.186","3429204.159","2989076.011","6312163.746","3932285.815","4489487.92","3328326.568","4654757.456","4141795.891","2508135.087","3129742.718","3712751.94","3562551.035","2759009.803","3966290.322","3734935.185","2856451.791","3995216.807","3362196.419","4328518.364"
"CE(20:5); [M+NH4]+@10.40","75336.83695","66319.27406","39585.26375","175127.9931","140045.1769","129341.6173","79411.18963","165540.8504","305955.9024","240347.8867","296812.378","172489.1761","131611.9523","164235.3754","41799.80578","254783.0504","174130.3634","219084.1974","165929.1179","274662.8958","503488.4276","376506.1192","489924.9098","323372.9919","74237.93595","38017.7744","152259.3364","97125.23129","89844.0781","63123.16219","112854.6741","75102.92277","183117.8222","150279.4004","269967.616","135573.144","90870.01513","79869.77603","107089.0391","165653.4641","104378.3445","94531.17089","94904.19341","90438.90594","98085.24233","35702.48033","36968.48116","82596.2966","160224.8834","151437.1505","149522.7606","144702.9174","148979.8113","134026.7629","119620.6626","143261.9916"
