"","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db+_2225","Ctrl_BKS_db+_2226","Ctrl_BKS_db+_2227","Ctrl_BKS_db+_2231","HF_BKS_db+_2239","HF_BKS_db+_2241","HF_BKS_db+_2242","HF_BKS_db+_2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db+_2273","Ctrl_BL6_db+_2274","Ctrl_BL6_db+_2275","Ctrl_BL6_db+_2279","HF_BL6_db+_2286","HF_BL6_db+_2287","HF_BL6_db+_2288","HF_BL6_db+_2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob+_2316","Ctrl_BTBR_ob+_2317","Ctrl_BTBR_ob+_2318","Ctrl_BTBR_ob+_2320","HF_BTBR_ob+_2329","HF_BTBR_ob+_2331","HF_BTBR_ob+_2333","HF_BTBR_ob+_2334","Test Pool_Negatve_01","Test Pool_Negatve_02","Test Pool_Negatve_03","Test Pool_Negatve_04","Test Pool_Negatve_05","Test Pool_Negatve_06","Test Pool_Negatve_07"
"Label","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","HF_BKS","HF_BKS","HF_BKS","HF_BKS","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","HF_BL6","HF_BL6","HF_BL6","HF_BL6","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","QC","QC","QC","QC","QC","QC","QC"
"CerP 35:1; [M-H]-@6.16","13208.7954","13106.31479","13121.21341","11009.98748","15103.38279","10975.07595","15661.5205","8280.366645","16517.38722","16949.65994","15605.22753","15123.9171","10225.3946","11335.86357","16084.52763","14515.61102","13593.81323","11288.85465","17457.94346","14152.43245","14372.40261","14354.84411","8798.50205","8816.215742","16403.86706","18339.77636","5997.702449","10754.93143","15991.96764","18200.85424","16190.2515","16704.5918","7243.492227","15733.75389","7384.308505","12493.15452","18967.22129","14492.02885","15186.97699","9468.001817","10247.72967","12668.23529","16938.68153","13838.59751","6950.487562","19217.48592","11764.58789","19066.23677","16170.88273","11969.60769","9313.324912","16324.91975","14484.76663","16917.74869","10631.49245"
"CerP 42:2; [M-H]-@7.70","63111.5771","43545.32955","45194.21965","25096.23134","21729.57668","35135.33439","42703.6956","59049.79238","38576.8421","44221.69112","56713.93487","59891.61123","33202.32651","30941.7067","26786.24675","15795.94424","45263.88726","34355.40079","26634.70916","42380.68413","34240.58795","33119.19802","42694.69224","38084.79817","51227.30764","28917.37823","53817.0668","53809.06364","15453.93857","53589.97756","60895.04959","47468.25899","71048.8749","58666.12227","47664.53393","56948.90283","34259.69067","34201.86308","37664.80042","48947.74479","46622.84508","55101.95498","46132.95684","58406.84313","12432.71478","32188.5926","29268.39149","33654.51643","42935.42763","51247.89588","41619.44881","33061.0313","54045.49057","46291.74897","23079.70359"
"CL 66:1; [M-2H](2-)@6.25","14709.85513","11110.25219","10692.93951","5415.675072","12475.56671","13691.23305","20433.12997","28518.64097","9128.04042","16067.30988","10828.57463","6277.305485","13045.77467","21203.67321","13654.4474","7797.428163","8633.788997","5771.057697","8358.929661","6814.503091","8748.38462","6810.139447","6114.445512","6461.721555","3122.026605","5251.571283","5123.785123","7483.079398","2067.9316","4660.759792","5030.828486","4886.213587","6327.556401","4334.117294","2263.694712","2598.804437","4612.710473","4589.727572","6401.359283","4913.974712","4087.984772","2053.199765","1712.7233","3214.591055","1171.967433","1413.209297","2084.867047","1987.103266","2635.229919","6520.326166","4397.778364","6556.196412","8586.878227","9501.742694","4971.998357"
"CL 70:1; [M-2H](2-)@6.07","45624.16999","19157.91652","16778.34636","7963.732807","33048.34529","21899.12866","51268.48039","51301.56484","20895.17266","32130.63883","31660.11699","35073.13998","32413.46071","39548.68965","20819.9256","36251.34847","21292.41964","26506.23394","30503.56925","19762.53606","24743.66505","30390.91158","45330.54725","36489.78292","22748.41199","23994.43502","53325.43643","47324.3671","5577.889815","20885.61796","45561.68268","30383.31524","12777.57647","18665.99771","17526.72704","18519.2057","12670.31711","23710.53353","31662.56285","34386.95246","21719.24556","26380.76008","18252.44195","27400.82702","2610.369217","17517.88343","18641.14106","21828.99215","22768.54004","32847.18911","21099.7296","40054.34657","30001.6594","34275.60033","19596.27007"
"CL 70:3; [M-2H](2-)@5.57","6937.602544","4322.049138","1983.066368","1657.341329","4415.813037","3573.064932","1649.545619","3957.108943","8913.266832","2402.578567","4624.118401","3331.223016","1029.714173","5684.172766","1061.594739","1895.352514","4759.050204","4721.593572","4652.485721","7129.023376","4579.907878","6438.092307","8852.096249","7415.640926","1315.0674","1655.773059","10201.28946","5129.351852","2389.868695","5419.242986","7652.257252","3805.98953","5987.639613","3474.261752","2103.332578","2673.258213","3058.192766","1531.405008","2165.824618","4678.016816","5897.620018","4379.71992","955.6374767","5114.341748","1092.783423","4526.420017","1902.068164","4360.271294","7432.393706","2178.905989","3755.827192","7168.968897","1527.030282","3073.952452","861.116145"
"CL 70:5; [M-2H](2-)@5.90","114164.4993","46291.0766","48876.24469","26734.61014","23596.93009","47440.2137","99895.68153","144146.5063","33843.068","60875.43681","41051.35121","25393.28379","44371.2533","51746.18854","22078.04281","25420.94723","10701.4933","9637.555986","22079.37829","12322.37287","18341.68512","9678.652374","19987.59264","8323.035131","15998.75763","29888.42028","51499.98617","65206.8534","6602.79655","28431.08632","41138.48553","22985.42655","24966.20496","24291.12137","29402.14074","17149.55708","15523.82654","27385.13546","48734.04845","52487.99469","13924.23852","15263.93407","16567.59295","15698.75181","8913.485574","4861.563968","7535.389253","6237.645316","22957.03347","15848.04756","25618.78727","24569.4968","32073.04568","24135.08748","28633.05396"
"CL 72:3; [M-2H](2-)@6.09","10426.42358","3306.982436","1866.103551","3661.322188","3849.524223","4587.454224","3775.02083","5447.043064","2380.173284","2453.001642","4039.041267","5068.85372","2166.960259","2207.844214","1530.51041","3949.994922","6177.115341","6464.620284","4804.793218","12209.5495","10343.19256","6563.292757","14571.46218","10722.9347","4062.422412","7868.433915","5097.567287","5837.673476","2783.214942","9745.160053","10993.15066","6914.470679","4552.576716","4852.403889","3254.75669","4613.694291","3085.167913","5439.413901","3938.605885","6304.48563","5425.859157","5364.763987","2606.013683","6697.720018","3203.435068","10920.71302","3161.748273","2558.988017","6275.005216","7403.326901","4792.171531","4188.230716","6437.875921","2611.566812","3833.335451"
"CL 72:5; [M-2H](2-)@6.24","14190.931","11802.83218","9316.862135","3780.315535","6451.057249","10825.50837","14333.35245","12776.44677","5477.593542","9256.505193","9398.310881","12679.12659","12014.75845","9784.998031","9990.909","10775.56044","7039.657555","7042.204781","4522.913396","6498.982974","3516.539769","7211.634267","10376.64003","7098.191182","7542.789588","9990.759648","13794.18786","8747.052501","6047.568762","12087.52645","10564.44331","10173.33025","10872.88967","11220.68637","3585.400254","11929.0198","13283.23754","10877.14821","14140.17183","9997.830192","7644.952905","10024.87107","10102.97758","10762.93594","6016.190014","7360.527963","7532.08308","9528.083338","9402.269754","12357.12584","6279.409233","10255.73292","6649.698462","8962.259671","3600.210064"
"CL 74:1; [M-2H](2-)@7.07","87040.85489","56492.89945","66727.80575","65652.74072","85555.87653","63820.46928","95672.12589","115406.0078","79166.01666","71049.63945","70877.72406","63968.3679","84008.72771","59625.69085","86098.26686","83473.57835","62159.00089","67075.918","71566.71631","61110.69486","54292.32818","65627.02003","51730.89237","64690.04024","84089.84413","114572.442","144093.2617","108536.1236","57288.48405","79996.23297","100297.5862","95899.8019","98133.0014","73521.34187","72990.62675","80252.10062","96100.52943","99453.56777","126579.4205","118949.9908","89052.60012","106566.9154","94139.84811","68116.82907","104558.0301","67502.14543","73745.52391","113536.9153","89581.44995","76623.53296","79338.38487","80006.60104","74719.03477","83193.4119","81346.94283"
"CL 74:3; [M-2H](2-)@6.17","250881.374","157934.2262","143590.6458","78919.2636","168535.1531","173967.0367","236807.7391","280509.8827","135022.4582","152689.2123","156305.9412","176906.1975","182568.715","207989.2309","73333.78954","227715.6484","143729.0376","134515.0346","110628.5816","132828.8199","115320.2288","150747.5453","183507.6565","155281.0591","158750.0704","179664.1236","257095.2097","249177.1056","73817.82576","168425.0937","228099.0224","207385.7077","183098.9133","221014.3629","116171.8804","215386.1195","163270.4882","136325.8541","228875.1687","275048.2368","229832.4803","269850.1374","215947.3387","187045.4061","105426.6628","166064.1282","145150.7003","146447.4175","146501.7356","167426.0635","149920.3646","130524.702","164679.8807","206185.3282","91610.41326"
