Sample,Ctrl_BKS_2202,Ctrl_BKS_2203,Ctrl_BKS_2206,Ctrl_BKS_2211,HF_BKS_2214,HF_BKS_2216,HF_BKS_2217,HF_BKS_2218,Ctrl_BKS_db+_2225,Ctrl_BKS_db+_2226,Ctrl_BKS_db+_2227,Ctrl_BKS_db+_2231,HF_BKS_db+_2239,HF_BKS_db+_2241,HF_BKS_db+_2242,HF_BKS_db+_2243,Ctrl_BL6_2249,Ctrl_BL6_2250,Ctrl_BL6_2251,Ctrl_BL6_2252,HF_BL6_2260,HF_BL6_2261,HF_BL6_2262,HF_BL6_2266,Ctrl_BL6_db+_2273,Ctrl_BL6_db+_2274,Ctrl_BL6_db+_2275,Ctrl_BL6_db+_2279,HF_BL6_db+_2286,HF_BL6_db+_2287,HF_BL6_db+_2288,HF_BL6_db+_2289,Ctrl_BTBR_2292,Ctrl_BTBR_2293,Ctrl_BTBR_2297,Ctrl_BTBR_2298,HF_BTBR_2306,HF_BTBR_2307,HF_BTBR_2308,HF_BTBR_2309,Ctrl_BTBR_ob+_2316,Ctrl_BTBR_ob+_2317,Ctrl_BTBR_ob+_2318,Ctrl_BTBR_ob+_2320,HF_BTBR_ob+_2329,HF_BTBR_ob+_2331,HF_BTBR_ob+_2333,HF_BTBR_ob+_2334,Test Pool_Negatve_01,Test Pool_Negatve_02,Test Pool_Negatve_03,Test Pool_Negatve_04,Test Pool_Negatve_05,Test Pool_Negatve_06,Test Pool_Negatve_07
CerP 35:1; [M-H]-@6.16,13208.795,13106.315,13121.213,11009.987,15103.383,10975.076,15661.521,8280.367,16517.387,16949.66,15605.228,15123.917,10225.395,11335.864,16084.528,14515.611,13593.813,11288.855,17457.943,14152.432,14372.403,14354.844,8798.502,8816.216,16403.867,18339.776,5997.702,10754.931,15991.968,18200.854,16190.252,16704.592,7243.492,15733.754,7384.309,12493.155,18967.221,14492.029,15186.977,9468.002,10247.73,12668.235,16938.682,13838.598,6950.488,19217.486,11764.588,19066.237,16170.883,11969.608,9313.325,16324.92,14484.767,16917.749,10631.492
CerP 42:2; [M-H]-@7.70,63111.58,43545.33,45194.22,25096.23,21729.58,35135.33,42703.7,59049.79,38576.84,44221.69,56713.93,59891.61,33202.33,30941.71,26786.25,15795.94,45263.89,34355.4,26634.71,42380.68,34240.59,33119.2,42694.69,38084.8,51227.31,28917.38,53817.07,53809.06,15453.94,53589.98,60895.05,47468.26,71048.87,58666.12,47664.53,56948.9,34259.69,34201.86,37664.8,48947.74,46622.85,55101.95,46132.96,58406.84,12432.71,32188.59,29268.39,33654.52,42935.43,51247.9,41619.45,33061.03,54045.49,46291.75,23079.7
CL 66:1; [M-2H](2-)@6.25,14709.855,11110.252,10692.94,5415.675,12475.567,13691.233,20433.13,28518.641,9128.04,16067.31,10828.575,6277.305,13045.775,21203.673,13654.447,7797.428,8633.789,5771.058,8358.93,6814.503,8748.385,6810.139,6114.446,6461.722,3122.027,5251.571,5123.785,7483.079,2067.932,4660.76,5030.828,4886.214,6327.556,4334.117,2263.695,2598.804,4612.71,4589.728,6401.359,4913.975,4087.985,2053.2,1712.723,3214.591,1171.967,1413.209,2084.867,1987.103,2635.23,6520.326,4397.778,6556.196,8586.878,9501.743,4971.998
CL 70:1; [M-2H](2-)@6.07,45624.17,19157.917,16778.346,7963.733,33048.345,21899.129,51268.48,51301.565,20895.173,32130.639,31660.117,35073.14,32413.461,39548.69,20819.926,36251.348,21292.42,26506.234,30503.569,19762.536,24743.665,30390.912,45330.547,36489.783,22748.412,23994.435,53325.436,47324.367,5577.89,20885.618,45561.683,30383.315,12777.576,18665.998,17526.727,18519.206,12670.317,23710.534,31662.563,34386.952,21719.246,26380.76,18252.442,27400.827,2610.369,17517.883,18641.141,21828.992,22768.54,32847.189,21099.73,40054.347,30001.659,34275.6,19596.27
CL 70:3; [M-2H](2-)@5.57,6937.6025,4322.0491,1983.0664,1657.3413,4415.813,3573.0649,1649.5456,3957.1089,8913.2668,2402.5786,4624.1184,3331.223,1029.7142,5684.1728,1061.5947,1895.3525,4759.0502,4721.5936,4652.4857,7129.0234,4579.9079,6438.0923,8852.0962,7415.6409,1315.0674,1655.7731,10201.2895,5129.3519,2389.8687,5419.243,7652.2573,3805.9895,5987.6396,3474.2618,2103.3326,2673.2582,3058.1928,1531.405,2165.8246,4678.0168,5897.62,4379.7199,955.6375,5114.3417,1092.7834,4526.42,1902.0682,4360.2713,7432.3937,2178.906,3755.8272,7168.9689,1527.0303,3073.9525,861.1161
CL 70:5; [M-2H](2-)@5.90,114164.499,46291.077,48876.245,26734.61,23596.93,47440.214,99895.682,144146.506,33843.068,60875.437,41051.351,25393.284,44371.253,51746.189,22078.043,25420.947,10701.493,9637.556,22079.378,12322.373,18341.685,9678.652,19987.593,8323.035,15998.758,29888.42,51499.986,65206.853,6602.797,28431.086,41138.486,22985.427,24966.205,24291.121,29402.141,17149.557,15523.827,27385.135,48734.048,52487.995,13924.239,15263.934,16567.593,15698.752,8913.486,4861.564,7535.389,6237.645,22957.033,15848.048,25618.787,24569.497,32073.046,24135.087,28633.054
CL 72:3; [M-2H](2-)@6.09,10426.424,3306.982,1866.104,3661.322,3849.524,4587.454,3775.021,5447.043,2380.173,2453.002,4039.041,5068.854,2166.96,2207.844,1530.51,3949.995,6177.115,6464.62,4804.793,12209.549,10343.193,6563.293,14571.462,10722.935,4062.422,7868.434,5097.567,5837.673,2783.215,9745.16,10993.151,6914.471,4552.577,4852.404,3254.757,4613.694,3085.168,5439.414,3938.606,6304.486,5425.859,5364.764,2606.014,6697.72,3203.435,10920.713,3161.748,2558.988,6275.005,7403.327,4792.172,4188.231,6437.876,2611.567,3833.335
CL 72:5; [M-2H](2-)@6.24,14190.931,11802.832,9316.862,3780.316,6451.057,10825.508,14333.352,12776.447,5477.594,9256.505,9398.311,12679.127,12014.758,9784.998,9990.909,10775.56,7039.658,7042.205,4522.913,6498.983,3516.54,7211.634,10376.64,7098.191,7542.79,9990.76,13794.188,8747.053,6047.569,12087.526,10564.443,10173.33,10872.89,11220.686,3585.4,11929.02,13283.238,10877.148,14140.172,9997.83,7644.953,10024.871,10102.978,10762.936,6016.19,7360.528,7532.083,9528.083,9402.27,12357.126,6279.409,10255.733,6649.698,8962.26,3600.21
CL 74:1; [M-2H](2-)@7.07,87040.85,56492.9,66727.81,65652.74,85555.88,63820.47,95672.13,115406.01,79166.02,71049.64,70877.72,63968.37,84008.73,59625.69,86098.27,83473.58,62159,67075.92,71566.72,61110.69,54292.33,65627.02,51730.89,64690.04,84089.84,114572.44,144093.26,108536.12,57288.48,79996.23,100297.59,95899.8,98133,73521.34,72990.63,80252.1,96100.53,99453.57,126579.42,118949.99,89052.6,106566.92,94139.85,68116.83,104558.03,67502.15,73745.52,113536.92,89581.45,76623.53,79338.38,80006.6,74719.03,83193.41,81346.94
CL 74:3; [M-2H](2-)@6.17,250881.37,157934.23,143590.65,78919.26,168535.15,173967.04,236807.74,280509.88,135022.46,152689.21,156305.94,176906.2,182568.71,207989.23,73333.79,227715.65,143729.04,134515.03,110628.58,132828.82,115320.23,150747.55,183507.66,155281.06,158750.07,179664.12,257095.21,249177.11,73817.83,168425.09,228099.02,207385.71,183098.91,221014.36,116171.88,215386.12,163270.49,136325.85,228875.17,275048.24,229832.48,269850.14,215947.34,187045.41,105426.66,166064.13,145150.7,146447.42,146501.74,167426.06,149920.36,130524.7,164679.88,206185.33,91610.41
