Sample,Ctrl_BKS_2202,Ctrl_BKS_2203,Ctrl_BKS_2206,Ctrl_BKS_2211,HF_BKS_2214,HF_BKS_2216,HF_BKS_2217,HF_BKS_2218,Ctrl_BKS_db+_2225,Ctrl_BKS_db+_2226,Ctrl_BKS_db+_2227,Ctrl_BKS_db+_2231,HF_BKS_db+_2239,HF_BKS_db+_2241,HF_BKS_db+_2242,HF_BKS_db+_2243,Ctrl_BL6_2249,Ctrl_BL6_2250,Ctrl_BL6_2251,Ctrl_BL6_2252,HF_BL6_2260,HF_BL6_2261,HF_BL6_2262,HF_BL6_2266,Ctrl_BL6_db+_2273,Ctrl_BL6_db+_2274,Ctrl_BL6_db+_2275,Ctrl_BL6_db+_2279,HF_BL6_db+_2286,HF_BL6_db+_2287,HF_BL6_db+_2288,HF_BL6_db+_2289,Ctrl_BTBR_2292,Ctrl_BTBR_2293,Ctrl_BTBR_2297,Ctrl_BTBR_2298,HF_BTBR_2306,HF_BTBR_2307,HF_BTBR_2308,HF_BTBR_2309,Ctrl_BTBR_ob+_2316,Ctrl_BTBR_ob+_2317,Ctrl_BTBR_ob+_2318,Ctrl_BTBR_ob+_2320,HF_BTBR_ob+_2329,HF_BTBR_ob+_2331,HF_BTBR_ob+_2333,HF_BTBR_ob+_2334,Tissue_Test Pool_Positive_01,Tissue_Test Pool_Positive_02,Tissue_Test Pool_Positive_03,Tissue_Test Pool_Positive_04,Tissue_Test Pool_Positive_05,Tissue_Test Pool_Positive_06,Tissue_Test Pool_Positive_07
Label,Ctrl_BKS,Ctrl_BKS,Ctrl_BKS,Ctrl_BKS,HF_BKS,HF_BKS,HF_BKS,HF_BKS,Ctrl_BKS_db,Ctrl_BKS_db,Ctrl_BKS_db,Ctrl_BKS_db,HF_BKS_db,HF_BKS_db,HF_BKS_db,HF_BKS_db,Ctrl_BL6,Ctrl_BL6,Ctrl_BL6,Ctrl_BL6,HF_BL6,HF_BL6,HF_BL6,HF_BL6,Ctrl_BL6_db,Ctrl_BL6_db,Ctrl_BL6_db,Ctrl_BL6_db,HF_BL6_db,HF_BL6_db,HF_BL6_db,HF_BL6_db,Ctrl_BTBR,Ctrl_BTBR,Ctrl_BTBR,Ctrl_BTBR,HF_BTBR,HF_BTBR,HF_BTBR,HF_BTBR,Ctrl_BTBR_ob,Ctrl_BTBR_ob,Ctrl_BTBR_ob,Ctrl_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,QC,QC,QC,QC,QC,QC,QC
PC 32:1; [M+H]+@6.31,10821637.78,3559278.441,9461520.027,5729898.103,9012716.907,5920510.669,4156358.971,8661541.262,11844760.48,9259899.859,10682819.08,10101659.47,11092168.32,6268732.483,6905790.195,4438226.371,7053944.289,7280956.091,3941704.55,6189233.503,2521948.192,2414379.881,3582249.613,3132938.8,4813501.745,3173050.59,5474787.025,4080747.946,3411931.35,3955655.25,4841273.397,3852853.511,8242475.537,8905651.502,7408437.768,7257255.133,2631818.139,2895068.533,6053562.893,3697759.738,5229897.959,2986641.406,4901857.943,2997913.688,4120392.425,2969340.047,1951279.497,5368675.577,5195429.533,7092383.271,7668753.089,7680332.344,8126616.836,7802872.996,7427991.286
PC 32:1; [M+Na]+@6.31,28884.00895,23208.03391,33970.62639,42594.50799,40732.98007,25559.88041,43568.05748,40117.77162,67700.81682,67316.61781,61674.62627,11526.09332,42300.09755,35994.36789,17477.62235,20560.69231,35712.91893,31774.29958,72279.45067,32404.67207,35276.05714,38095.16127,35942.20144,41298.02401,53408.87177,33859.73977,40316.16024,31700.45311,13486.86785,N/A,25391.04834,29647.09291,87526.48709,51363.03353,14426.04155,32363.68809,16147.03572,16123.11268,31455.86394,15272.70777,27003.87698,23454.18818,44209.58487,24529.55381,42165.65896,17936.66741,29255.7103,53861.64109,21610.78977,45457.03254,56226.42947,71669.40591,59893.89836,58871.30431,58287.80786
PC 32:2; [M+H]+@5.76,1054320.535,250794.2226,1036489.034,435942.3591,932787.6642,497924.4158,301280.5196,1177654.723,1052701.113,694651.2158,1049821.552,1028132.196,1588106.433,880511.667,1132272.962,493297.7165,851731.7784,661925.6436,181930.9005,533694.2532,149086.4513,204546.184,338597.1192,180911.7393,323625.4167,185302.9497,463916.6619,261773.9285,327228.0879,371033.1318,573672.136,384221.3486,287878.2448,457386.4456,572554.8439,395351.0001,232093.6756,128628.073,362250.2773,262469.0257,333046.5672,129897.4341,143195.8543,79602.56433,205066.0119,216611.6906,53111.51017,289522.575,510763.0179,545324.4681,526956.2336,521312.1532,528780.9997,524012.7115,434753.4668
PC 32:2; [M+Na]+@5.81,17182.34461,9959.045705,19619.1286,6748.708038,11578.25639,5075.509045,18269.67218,16559.6694,17731.2831,24657.21579,16808.97053,16731.71421,22093.87498,7969.405594,7215.550955,7340.942249,13722.31507,14441.61204,9653.667361,10644.82727,6890.561523,5847.850793,8307.994222,5090.400775,13972.50831,6391.891189,13132.89978,13080.99331,11625.17046,13523.19075,17809.83303,11466.27427,12548.59967,19669.09246,17491.6827,17204.90165,14117.85393,5940.262246,9280.474042,6669.09207,9921.195099,8248.260859,7036.283316,4904.873851,8583.336538,9649.898824,5548.623772,15077.08575,14107.982,14240.67938,14151.74245,12369.77401,11372.87874,12812.81294,14431.75618
PC 32:3; [M+H]+@5.40,50062.13617,6135.042697,30084.20957,N/A,54266.44298,14278.10696,14887.22036,45616.62267,45533.52945,10723.06368,44458.42529,30238.13131,92871.14472,57479.52289,85773.03932,18458.46622,29409.66236,22575.31139,9458.861567,14582.88039,5819.608394,16218.87598,15747.04681,6794.642971,23290.90423,7674.743755,15410.69606,15115.97914,15237.87175,15997.59789,27439.31141,20043.24723,13934.30459,23760.81629,34505.75452,22216.91418,27461.8829,8091.771322,12670.94044,14266.21087,17570.06413,6631.536591,9453.104394,6546.456438,6444.356574,8975.442756,2339.722025,10916.00789,15640.55652,15484.32777,13966.42807,28315.25318,26347.21479,17552.3994,22882.80402
PC 32:4; [M+H]+@5.70,15906.0082,5165.507851,15307.85547,8807.042981,7816.192961,8724.303978,7344.145423,12847.91778,20897.44715,15421.32748,17930.18227,24941.2869,25118.1102,5009.277942,16245.89915,8993.672198,23850.84751,10631.52472,4895.314711,7477.173392,9361.100532,5958.16315,7690.592554,2941.064926,10267.27902,11899.70017,8999.411009,7458.203313,11172.30526,7873.150711,7734.160894,8443.636794,14228.36988,N/A,7532.441498,9659.897966,8016.592414,3561.380904,5230.923108,7535.035989,5962.168949,5067.378764,365.5824099,4370.111433,6201.201437,8048.446916,4574.636651,11953.65609,7066.784801,15352.4752,10035.93839,11064.85915,16929.62312,11042.39003,9778.621074
PC 33:0; [M+H]+@7.03,494713.7367,128415.1035,539199.5379,214949.7875,515938.904,390447.3233,197764.3464,457077.7591,355629.3333,304361.683,443183.5018,443346.4657,430448.6931,452685.7932,552139.9889,286933.6354,502370.8812,423853.8168,159459.3366,319218.1406,152834.772,237962.6406,253898.5749,174463.8744,208287.9389,159936.5259,273345.9658,203478.5784,280131.2413,360257.5643,358270.498,384111.8626,287610.0591,460569.732,415365.9671,349132.1322,334644.6891,174236.0992,360497.0209,315931.5198,325322.7608,133324.5051,181823.5081,117768.4185,237483.7304,280861.6349,149819.5105,336908.8096,352075.933,316267.5037,317666.759,316177.7183,403664.8982,297694.1257,311381.2776
PC 33:1; [M+H]+@6.64,1709106.542,231775.9193,1186152.512,447349.4933,1280803.802,756088.2845,515827.0482,1411969.187,1410566.61,949240.7874,1350729.023,1409001.053,1820615.408,1148510.127,1230097.612,606988.3252,1084030.498,999791.9194,387339.4743,674278.4534,277199.8217,400834.1171,507207.5672,379982.0896,486915.5864,348497.5733,439251.652,356127.8359,443271.5723,658652.2613,708689.9609,645346.667,717701.3115,1035503.008,886468.5206,842654.4378,449897.926,331944.6837,843031.831,571614.53,570277.594,298417.3229,460861.5177,294382.2801,507899.1806,382961.604,214116.3922,756498.2936,701859.5308,897334.5237,869915.8033,859621.3611,933901.0549,802049.0468,839409.3784
PC 33:2; [M+H]+@6.19,184620.8968,60693.50658,129217.7226,52158.99311,210350.2786,140370.394,83195.54155,187748.4517,122743.726,125297.0544,129456.8859,131690.3238,174144.4908,125773.9429,148465.9841,88521.40848,118131.2363,97106.46059,84615.34041,91406.3947,40059.07626,69281.99307,74570.48619,48745.73487,71750.42426,75625.52014,84055.43648,47517.06035,95087.44029,101340.5313,111397.086,93373.47634,68065.61597,85907.3045,88964.16507,80009.07443,78768.71939,59334.93499,95485.94306,58271.19649,63813.34259,56145.53741,45470.92434,52863.89937,73060.56873,80974.45448,60788.15226,87220.47384,105586.5534,100106.8204,114062.0807,106689.6624,118502.1449,92742.37123,108744.8441
PC 33:2; [M+Na]+@6.18,1752150.78,196095.6315,1462690.564,560176.5758,1366628.359,746505.8517,500012.7269,1584827.738,1405668.646,1044807.655,1452246.663,1632113.79,1897549.012,1126915.414,1202033.364,544665.2362,2108220.797,1759644.665,675351.2714,1220259.809,416544.0536,611024.4883,869837.8581,754283.2758,785371.902,508715.0466,779505.0312,697741.9871,625186.2161,1059877.705,1557709.402,1308430.917,743929.4468,861283.6821,713328.1728,662635.5433,302467.0219,199067.1447,609760.0918,348225.5872,550122.6816,175551.44,334374.7567,211467.4032,374736.9791,335707.2898,204142.167,571422.1636,721591.0772,1190492.917,1161866.253,1230855.355,1271854.449,1100954.375,1096914.951
PC 33:3; [M+H]+@5.84,143067.6444,30671.59291,58987.64417,44217.37258,95354.99106,48774.24799,39133.71941,105198.4563,49686.07016,76507.31886,81525.69053,80893.48117,51125.46499,38221.77876,45103.36318,26095.94773,71137.16045,90367.87988,13342.72851,34308.15287,27985.70234,31735.39159,58148.56409,16158.45742,34598.12512,19252.10176,47670.8333,51455.29676,21885.29572,30052.42076,41042.20809,44829.1248,36868.76877,73135.03091,89716.90623,48119.65907,51259.69896,20053.8509,55217.37256,57440.16375,34089.93348,15632.75979,28938.8094,15950.43629,42654.63241,66352.74593,7783.290057,63245.94858,45454.76577,41326.67599,64923.60848,45329.0026,47234.12755,42378.22625,43095.38124
PC 34:1; [M+H]+@3.49,9019.885878,7669.924543,11286.4559,N/A,N/A,6625.599612,12611.24878,8346.200268,9879.3701,N/A,22348.18788,30699.7481,8343.559541,17505.67476,3079.677313,13296.08478,7031.287862,10433.91135,18935.19351,15594.21739,3493.480282,38549.57721,20818.39967,4393.475081,11072.92101,24505.93429,12211.74269,10441.44961,11414.44601,7592.095612,N/A,13215.39575,N/A,38638.5054,11295.29876,16198.30542,6424.04447,N/A,8926.564039,N/A,10023.85347,45249.50656,12552.36431,10184.15749,N/A,14861.00188,16425.84031,16648.12761,750.0836422,2424.190119,N/A,N/A,7722.514708,7342.606086,5966.038004
PC 34:1; [M+H]+@4.24,949.0941151,26413.87022,N/A,38731.9553,N/A,7695.197009,12611.24878,11141.7439,9879.3701,59138.36481,22348.18788,30699.7481,14979.62583,45962.0573,3079.677313,13296.08478,8448.077975,24390.80989,18935.19351,37832.31877,31564.9623,38549.57721,58948.25171,N/A,30173.55894,24505.93429,18847.03277,16173.821,11414.44601,35816.88116,25312.46111,11721.06121,N/A,38638.5054,9337.882864,16198.30542,N/A,44564.75203,9522.524749,21835.95428,3501.166031,45249.50656,10313.43147,14122.97618,48063.00564,21875.01677,11799.88214,N/A,1058.286407,31386.39994,25580.69281,42041.09861,10614.66862,7342.606086,N/A
PC 34:1; [M+H]+@5.36,N/A,20597.36231,79870.71068,33750.7955,44080.47196,24349.15236,21413.36641,N/A,N/A,78320.00698,N/A,N/A,N/A,143367.8893,15313.8279,23131.94163,N/A,124869.254,67926.54341,82791.7298,43848.93068,44594.37315,141802.6889,67632.95491,29660.80413,26198.84882,51366.88241,N/A,34214.46479,53398.36277,N/A,60110.26079,104195.0667,48504.49432,N/A,36993.26467,55091.64845,34678.68161,N/A,N/A,N/A,62825.71855,51314.27048,N/A,N/A,56678.944,41811.98779,162093.226,8660.710006,33529.66102,N/A,19874.35844,32708.43765,8338.660637,40535.33009
PC 34:1; [M+Na]+@11.43,10667.85647,11468.24504,8925.921567,20902.77153,30284.53186,15403.11778,N/A,63533.38436,N/A,34081.41972,N/A,39129.42286,39669.74223,N/A,50362.89079,14183.87605,25086.08228,17873.78184,20398.96598,32885.75774,6171.186086,12634.51763,7189.655885,11679.35841,14201.91913,17827.5115,22483.12614,20397.2155,19021.37496,12174.86455,27132.38132,13965.30512,27157.20165,22729.18887,19414.39993,35365.94779,18604.51717,13614.14617,32390.06265,18351.1326,32134.25839,8706.584035,7719.924047,14274.20949,19759.31889,N/A,13938.82028,22648.58587,15549.26721,17150.88755,26702.87353,18236.01205,26624.93375,15372.96024,13532.47751
PC 34:1; [M+Na]+@12.44,75957.99974,6360.37312,42333.10346,15906.53357,63488.17912,3416.220542,30452.85467,N/A,56139.74534,24017.58204,38392.56953,12455.9778,24437.54567,67651.96385,N/A,17292.21986,16655.984,22290.88427,7258.472405,19717.37053,5225.584405,10154.86395,10893.35856,10601.22937,4610.781951,4217.647006,11802.45866,4554.397666,19200.82161,13033.12679,14659.34574,17167.33378,5605.678343,23999.10624,15242.70099,8368.099718,7586.089202,4225.822611,7388.600346,21148.47405,4192.847292,5976.6862,9048.227306,2578.299522,9708.750669,30111.45815,3516.12154,10257.26301,5411.00478,30326.01688,10880.3817,14512.07459,26488.96083,16765.64585,19467.71197
PC 34:2; [M+H]+@5.17,3587.976782,7035.113037,N/A,N/A,3019.055729,6282.815554,N/A,793.7192346,N/A,N/A,6553.510803,6698.711649,4623.383817,N/A,436.5624841,5535.415149,1047.750277,8359.768914,2358.59225,N/A,5723.650645,6036.526413,2803.941048,3574.283252,N/A,N/A,2173.100742,N/A,5868.370734,13656.7796,2717.798762,N/A,2161.079776,8567.970748,N/A,3314.74857,5117.833362,3672.190369,5389.609903,2704.187123,2962.494587,6059.365287,2235.562653,N/A,6221.389535,8546.604859,N/A,7812.762741,6137.039868,12938.9469,2892.831575,2935.018725,5751.618385,N/A,7423.397699
PC 34:2; [M+Na]+@6.51,32000.7404,36657.6976,27404.78649,39964.14296,40575.15381,36475.17894,67581.70413,38663.29722,40823.59411,56544.61266,46782.02913,42310.87641,45980.27838,42785.86758,22152.12961,32778.92463,35948.42251,37937.64189,50663.05228,37852.48804,46691.31696,47698.04385,40297.64239,68416.8858,48501.51619,44657.84794,41061.60791,36191.67938,58113.75254,46003.03443,42031.86947,57110.6614,52311.89479,35196.29201,31174.34538,25778.21789,12858.90638,35454.90451,50972.13704,34040.51427,25164.27554,5424.598627,35347.26514,27758.95245,43817.13358,26521.33711,35844.64211,50308.78928,28014.90577,44074.95748,50164.46532,67521.87645,50409.51104,54563.00192,57108.37003
PC 34:3; [M+H]+@5.94,884205.3433,357390.4676,777533.2577,400675.0054,934130.5024,599221.4929,429603.0821,1025598.498,806081.3918,753384.6742,1034466.582,761863.8557,1278905.259,903140.2605,1033573.816,527806.192,703547.5067,634007.758,251614.296,531130.1858,243286.2673,457199.8055,443578.3461,239698.8671,440047.5458,228712.3177,694521.5612,328417.0613,411171.2134,432381.1016,659716.4193,543773.7255,296086.0629,401491.2244,469596.6754,331473.3666,281015.7123,176588.7983,462256.6272,286360.0925,400402.8529,143617.751,190524.949,143140.3261,246876.5542,265652.909,125588.6076,383718.975,517914.4496,568300.0959,560115.8289,581057.4015,623384.1466,570126.2492,488490.588
PC 34:4; [M+H]+@5.71,175867.1842,57526.07403,117578.9775,59965.40696,146896.3552,68258.93427,58705.54141,168415.4866,138136.7449,94485.39637,162346.6462,140384.0903,238553.5212,136974.4284,217120.1428,41142.53296,169051.0513,115509.3353,24935.24917,101648.3421,31036.89919,54075.22307,54025.93558,17886.74483,64339.13688,17008.43088,173503.7792,46662.39472,103753.8742,101194.5521,112175.111,84815.77145,35315.73364,62159.08577,79321.60858,46328.97555,43368.78529,10350.9591,40789.85024,34933.6832,54845.89844,12763.07426,21705.61864,11023.75164,18685.34305,21838.05863,9006.748787,40495.95902,86607.15063,70628.214,74589.514,83282.32695,56056.48372,77832.32309,53118.35311
PC 35:0; [M+H]+@6.78,178414.6709,30799.58779,100500.6299,45494.23011,125465.0102,73180.38161,52716.26546,107958.9022,101622.2343,48894.39538,113280.6055,115836.328,166954.9479,118824.432,137193.7413,55928.97509,115732.6602,97355.72675,56428.51658,88664.38571,10876.58524,48428.50089,52397.33717,60049.20728,52990.87485,44481.08145,51559.40148,51729.97049,64202.35949,65699.19855,74590.09345,70360.16607,51462.90029,78901.26385,81864.80618,66128.46581,50898.59349,27362.94677,81449.53086,48083.29339,52667.25698,32438.93763,48444.43093,28634.29981,42736.58957,36178.68863,26290.94943,71148.18682,67760.56242,70358.8711,78586.46147,68778.19338,86707.80151,73545.40286,80328.95806
PC 35:0; [M+H]+@7.69,89513.67521,33521.18383,100500.6299,45494.23011,125465.0102,73469.80816,52716.26546,90692.35809,101622.2343,48894.39538,113280.6055,102986.179,166954.9479,74131.62732,122705.2533,55928.97509,108341.2346,97355.72675,56428.51658,88664.38571,84557.29922,50187.75526,52397.33717,60049.20728,52990.87485,44481.08145,51559.40148,51729.97049,64202.35949,65699.19855,74590.09345,72657.62057,51462.90029,80362.85866,81864.80618,72119.98194,64551.70515,29243.62002,81449.53086,60360.62176,63489.11689,35534.56603,48444.43093,30527.67398,51078.01213,53686.358,37070.85662,71148.18682,67760.56242,70358.8711,78586.46147,68778.19338,86707.80151,73545.40286,80328.95806
PC 35:1; [M+H]+@7.22,2282916.928,390089.036,1638667.271,668260.0243,1942558.348,1111627.303,671849.3312,1870109.692,1617208.738,1097934.402,1611538.588,1830430.105,2365089.675,1779516.76,2132157.957,973085.5133,2052184.71,1752950.496,681661.4164,1303507.99,699096.2794,724983.7337,1032172.114,853490.1271,848936.0516,638928.9789,796761.4356,720249.8193,881782.7575,1293071.31,1391177.788,1266800.193,995267.9447,1267340.604,1184147.243,991385.4753,847122.4957,497185.9282,1084617.855,848366.571,940510.1194,483684.9477,653097.5905,537104.1662,709363.4483,650275.721,393185.5882,1038743.058,1083135.065,1210401.883,1244959.127,1271391.449,1202240.719,1202292.462,1145216.508
PC 35:2; [M+H]+@6.78,152218.3317,71064.37407,140088.0246,76258.58473,141365.3492,167470.1178,143810.6348,150518.7347,160153.4018,116369.3707,203424.3988,145982.8092,215355.3105,152432.475,169799.0349,138841.1885,105043.1409,122874.7955,84672.47649,114784.6272,74896.37285,97076.01874,113095.1788,97384.46416,104836.4361,80136.56701,75544.21599,70551.93068,118220.3661,136572.4092,150309.7312,165145.1106,116049.5721,115474.5672,84192.85259,62145.56959,94457.40384,80888.34466,106505.4393,111309.9144,65430.19376,50636.87773,63960.72099,46988.25567,83459.00815,81126.39397,70425.33612,125578.5104,100271.1426,141500.1695,113174.6064,147100.5632,131861.6325,102989.1013,120907.4029
PC 35:3; [M+H]+@6.26,76684.98868,39358.90165,39941.5255,36572.6169,67365.12635,60422.86372,55351.94202,70175.46903,42063.88673,60493.62053,68586.72464,58436.09166,53680.28873,49746.00043,61428.08102,45986.98514,63591.18195,48141.3958,28217.19337,38435.04542,33669.60911,50267.85367,51810.13849,26958.1,40126.85507,N/A,48989.13323,51110.40441,48928.20736,38897.94184,72780.49929,65622.87272,35478.58382,46509.60224,47254.84139,39442.74061,40839.69604,32123.59924,52909.35358,57122.28515,42326.4877,29890.52171,33218.72402,25499.43929,36846.87496,45629.05065,41680.89207,44033.33678,52469.34337,57589.66556,49894.46485,55486.15973,61476.14236,58971.41878,65376.07278
PC 35:4; [M+H]+@6.08,132341.3364,56245.42735,84144.1611,55788.02591,96398.78445,38944.23838,79173.23108,94381.77402,100014.6555,83208.04167,97551.50109,107717.796,117378.0157,82625.99319,78420.3412,45134.4161,87611.6352,83580.18913,46633.6397,64511.15688,39675.56124,76520.38763,68404.70637,79408.172,59469.23376,24796.11627,112697.6882,75922.16402,58521.41028,69232.68773,70488.69735,125940.0618,56912.79193,89244.04896,89308.94295,97366.99885,61247.4939,46706.2108,73161.38425,76314.33606,64740.14263,26926.21498,51403.98278,43002.7247,41488.85965,64448.57551,51028.0495,77803.76336,72310.72801,77063.63565,81211.95607,71107.91766,97215.41484,68444.14967,64982.63802
PC 35:5; [M+H]+@5.75,82993.80756,8761.64147,42375.28961,18849.26827,52935.5807,19757.32312,30565.70656,41015.55881,46177.46477,38890.8721,49533.49796,38023.22349,27819.9655,38033.69531,60436.22557,15912.61103,54154.61967,33535.10956,8086.532664,13020.28045,8547.165922,18614.40138,19413.35673,N/A,17516.92883,10923.71299,28348.44732,21566.13437,16938.53884,43118.39973,42104.96179,27476.53019,20174.8596,44117.60933,36442.82188,21525.92925,25095.25721,N/A,28695.82178,45220.18551,23510.59823,8987.24305,N/A,9124.975121,16258.89811,20382.68475,9474.102487,14266.39745,30628.93185,26088.60686,32797.07445,19783.21034,31273.14751,24234.03056,26461.59697
PC 36:1; [M+H]+@2.35,1915.079834,1152.300988,903.5745235,1493.615333,2208.316372,1035.445485,1499.021004,474.0566768,1186.344379,4901.607823,3617.699233,2582.699761,997.0501547,1388.636461,2311.440876,1697.408023,2766.492289,1545.96595,232.3578349,3586.412919,1057.815984,3983.354372,846.5704322,1652.336062,515.2176378,959.2285816,2520.339983,328.0241856,311.3232984,1206.932015,1163.755453,504.9763115,1176.490777,4641.531444,2709.896138,1004.012495,1919.555914,1385.613293,911.1603533,365.3507077,1605.387089,2854.989388,1640.605206,3105.506862,586.3757369,3850.78458,2427.337905,2434.487908,3650.198374,6544.562396,5744.007977,5977.565034,7107.673186,7230.965304,5240.14351
PC 36:1; [M+H]+@4.52,5136.377969,N/A,5761.989438,11342.22756,8444.760382,1777.122733,5362.145283,N/A,5885.120787,12677.69197,13018.12257,13160.68828,1840.137449,15759.63392,1410.429193,17769.5106,2686.183884,18309.26285,4822.641712,N/A,5318.51262,5419.503362,12156.45276,3507.210499,13251.35549,5517.949041,30046.7918,2979.672858,3759.071626,10241.25053,1867.841928,13374.80029,20541.88502,16645.53449,4076.917854,5946.879572,5747.021052,13038.19205,2029.629126,2593.794179,18668.58227,19933.20138,19086.72727,7084.995099,29427.88667,14252.0359,9286.421583,11650.36992,1759.439859,10334.41969,13837.30015,4049.910056,N/A,8339.089857,3036.10611
PC 36:1; [M+H]+@5.24,11664.12849,13151.2494,N/A,11342.22756,17982.52006,N/A,4037.452584,N/A,12639.47291,23467.9839,19029.88397,13160.68828,1840.137449,N/A,6157.418523,3605.865095,6506.528258,18309.26285,4822.641712,11236.03581,5318.51262,19252.82015,6849.875656,22777.51857,N/A,5124.85274,30046.7918,N/A,N/A,10241.25053,10786.58069,13374.80029,20541.88502,N/A,11107.63531,6561.192347,5747.021052,13038.19205,10845.3127,4199.509786,18668.58227,19933.20138,N/A,4871.249195,29427.88667,12989.89755,9286.421583,N/A,1759.439859,10334.41969,13837.30015,12932.35757,N/A,8339.089857,13189.20269
PC 36:2; [M+H]+@7.02,4410167.878,1181701.322,3691422.466,2453224.805,4454234.408,3669708.054,2464018.015,4823804.129,3790704.871,3218418.715,4369778.009,4166931.43,5623975.339,4846664.18,5088267.745,3116087.012,3667332.758,3632186.623,1865067.536,3260790.576,1713298.112,2397919.895,3153853.091,2142377.262,2159517.008,1696140.066,2394937.203,2124554.589,2673754.931,3564709.226,3991279.991,3807914.491,2047200.308,2504322.279,2480174.96,2084384.1,1869266.232,1135492.31,3391528.004,2286387.387,2105792.856,931594.7672,1373604.862,994439.5055,2028941.681,2164212.486,1489510.388,2707119.739,2945412.492,3251315.467,3285202.486,3569309.883,3440684.65,3281337.181,3201514.379
PC 36:4; [M+H]+@5.17,N/A,12547.71052,6001.941585,7106.841876,N/A,4190.653834,2036.714406,7635.129549,1277.221944,8774.297217,10260.35191,5049.235437,3258.454657,9686.073353,3077.606246,7642.863874,1958.837958,6349.667146,N/A,N/A,6456.62754,N/A,4262.278597,5081.914235,N/A,1827.533071,N/A,3025.696631,5105.206086,N/A,3418.666934,2341.349266,N/A,10016.28091,1932.036081,298.9652292,6112.779783,N/A,6695.172946,4630.289251,N/A,5637.396887,8788.750724,2977.697685,5410.691798,N/A,842.7733658,8613.344972,4831.36922,10064.02126,3336.593037,6570.657572,N/A,N/A,4226.745142
PC 36:4; [M+H]+@6.27,3383966.681,1643216.97,2473615.757,2237804.611,3084107.248,2215452.25,3544059.77,3434964.711,4165426.468,3934139.006,4262679.232,3928094.313,4573140.812,2780480.265,3087931.501,1829866.688,4530469.084,4935134.932,2734383.737,4211966.823,2095717.168,4261038.495,3610152.02,2440385.075,4228215.886,1880082.086,5238728.978,3471954.976,3953809.806,3565698.576,4286368.177,4743375.281,3488453.162,3575212.075,3963972.711,3031720.283,1831522.212,1245441.006,3138223.325,2165580.361,3123365.879,1305334.999,2087587.154,1441234.337,2059167.335,1997301.246,908067.307,2638629.427,3124289.267,4102995.061,3884174.39,3897213.366,4025084.759,4055863.561,4031183.194
PC 36:4; [M+Na]+@6.34,9764.445407,17631.86816,12942.98436,18676.05822,9337.269952,12959.20438,27097.10476,N/A,25336.98517,15407.99023,11684.31994,15698.09425,14200.11363,12130.57867,7968.62772,12019.61429,18517.43357,17856.51748,31568.82119,23116.76805,59265.55929,21819.89662,20111.04271,63532.6099,N/A,28434.91713,N/A,22282.00132,20817.56884,22421.67072,N/A,21222.89093,33889.40749,24646.00958,19735.88462,16953.36658,N/A,19203.52736,18691.55183,9471.940071,17583.60963,9961.069565,15603.06521,17651.06836,16295.90218,16972.96419,16233.69628,17035.71733,15995.00652,20444.34531,24743.66615,N/A,N/A,23924.4532,22938.46125
PC 36:5; [M+H]+@5.79,385260.1424,228921.4092,283174.4143,228206.9275,316377.3683,167016.5212,225152.2064,389620.5665,447218.477,380330.2794,596430.3393,379387.4488,502342.4353,313478.7705,394763.1066,161709.5766,477172.8408,353442.6925,143498.4473,458279.925,79395.6448,291204.8101,165897.3692,93147.81244,335064.6231,123581.68,536601.6671,244417.7382,241143.6698,178363.4838,305825.1019,261664.9159,200566.5045,236991.1473,360065.2319,194627.0935,114489.5255,33021.38705,163642.8758,112431.1715,266473.8785,83855.24915,135510.571,85793.27676,77589.28198,148484.7889,51166.16875,138673.282,272920.7845,299103.6213,325569.1982,297730.8298,277937.9613,278014.4647,246274.4332
PC 36:5; [M+Na]+@6.00,4534.347537,5456.671846,2682.153467,3787.139863,N/A,6848.311853,8270.878337,4178.199038,10022.65668,6096.488265,10421.28601,5901.414899,14745.09519,2075.673129,4919.461019,3406.374728,3662.764175,5405.896402,2360.17411,6561.933404,6209.46102,7911.940789,8799.631176,3647.036069,6008.587402,4667.704826,4945.713468,6509.373481,4279.979152,5895.637936,12828.67145,6911.541221,5215.445814,1299.809147,1512.413452,3287.100734,1962.303211,1801.32362,761.3292603,6017.289983,8277.785096,3761.069097,5632.848508,2894.166086,4560.645033,3662.450176,3622.388568,7059.28733,10337.84852,6696.492363,5335.80944,7425.19624,3418.936735,12603.35628,5188.41265
PC 36:7; [M+H]+@5.75,38832.03212,18929.18795,44658.65979,22658.90142,41289.61957,44338.85536,33476.3199,35966.76684,19726.6694,25515.51231,38996.40573,28592.75422,15897.51874,31001.54989,44454.31933,46692.82526,54281.61192,22008.71269,861.0323383,23846.43537,23510.37392,41109.38962,26495.98076,9799.297557,21107.24929,14917.01715,29445.66726,30847.78644,19661.96217,27297.71523,25004.41055,29291.97445,8057.64837,28371.09756,41363.90817,34787.28876,56273.87386,29416.37037,30505.77325,30994.63833,34380.46549,22364.61545,19266.90862,21251.56677,20641.33705,28994.56538,18306.68023,22048.6926,45607.12208,17676.35243,17461.25491,32024.84697,26658.59475,13138.54384,16307.33049
