Sample,Ctrl_BKS_2202,Ctrl_BKS_2203,Ctrl_BKS_2206,Ctrl_BKS_2211,HF_BKS_2214,HF_BKS_2216,HF_BKS_2217,HF_BKS_2218,Ctrl_BKS_db+_2225,Ctrl_BKS_db+_2226,Ctrl_BKS_db+_2227,Ctrl_BKS_db+_2231,HF_BKS_db+_2239,HF_BKS_db+_2241,HF_BKS_db+_2242,HF_BKS_db+_2243,Ctrl_BL6_2249,Ctrl_BL6_2250,Ctrl_BL6_2251,Ctrl_BL6_2252,HF_BL6_2260,HF_BL6_2261,HF_BL6_2262,HF_BL6_2266,Ctrl_BL6_db+_2273,Ctrl_BL6_db+_2274,Ctrl_BL6_db+_2275,Ctrl_BL6_db+_2279,HF_BL6_db+_2286,HF_BL6_db+_2287,HF_BL6_db+_2288,HF_BL6_db+_2289,Ctrl_BTBR_2292,Ctrl_BTBR_2293,Ctrl_BTBR_2297,Ctrl_BTBR_2298,HF_BTBR_2306,HF_BTBR_2307,HF_BTBR_2308,HF_BTBR_2309,Ctrl_BTBR_ob+_2316,Ctrl_BTBR_ob+_2317,Ctrl_BTBR_ob+_2318,Ctrl_BTBR_ob+_2320,HF_BTBR_ob+_2329,HF_BTBR_ob+_2331,HF_BTBR_ob+_2333,HF_BTBR_ob+_2334,Tissue_Test Pool_Positive_01,Tissue_Test Pool_Positive_02,Tissue_Test Pool_Positive_03,Tissue_Test Pool_Positive_04,Tissue_Test Pool_Positive_05,Tissue_Test Pool_Positive_06,Tissue_Test Pool_Positive_07
Label,Ctrl_BKS,Ctrl_BKS,Ctrl_BKS,Ctrl_BKS,HF_BKS,HF_BKS,HF_BKS,HF_BKS,Ctrl_BKS_db,Ctrl_BKS_db,Ctrl_BKS_db,Ctrl_BKS_db,HF_BKS_db,HF_BKS_db,HF_BKS_db,HF_BKS_db,Ctrl_BL6,Ctrl_BL6,Ctrl_BL6,Ctrl_BL6,HF_BL6,HF_BL6,HF_BL6,HF_BL6,Ctrl_BL6_db,Ctrl_BL6_db,Ctrl_BL6_db,Ctrl_BL6_db,HF_BL6_db,HF_BL6_db,HF_BL6_db,HF_BL6_db,Ctrl_BTBR,Ctrl_BTBR,Ctrl_BTBR,Ctrl_BTBR,HF_BTBR,HF_BTBR,HF_BTBR,HF_BTBR,Ctrl_BTBR_ob,Ctrl_BTBR_ob,Ctrl_BTBR_ob,Ctrl_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,HF_BTBR_ob,QC,QC,QC,QC,QC,QC,QC
IS SM 35:1;[M+H]+,359079.1669,623704.3744,334222.8928,1003283.909,348533.5338,988676.5729,1452842.836,313230.1716,169756.8551,613635.3644,402603.9585,307479.8698,214391.2043,345656.6208,274013.9637,769013.0986,358854.6745,553619.7622,292015.6289,345335.6738,1616701.274,1173929.994,887608.7246,311857.9612,757487.0831,1454682.739,891992.9873,1264882.644,1117051.803,891596.1307,570660.3524,521230.0441,833607.4341,699966.2988,710552.4203,1004643.389,928345.5975,1100804.085,755864.5886,1287279.026,834037.5162,1795111.644,1398274.863,1568067.147,1110024.686,1416401.592,1790507.748,1034758.188,950082.8058,799356.6222,783779.0229,832346.2932,811024.6729,780377.9749,778736.2876
IS TG 51:0; [M+NH4]+,2015778.594,1462898.716,2510465.57,1605314.81,918459.4105,5319419.306,1235290.743,1118807.77,1260882.907,1245793.289,1317337.487,1836591.235,885495.1615,573331.4724,1058114.764,235085.6932,1848805.43,1772038.525,858371.5996,1761391.35,938735.7519,491454.7974,176957.3048,1089118.614,3128868.576,4056472.813,1238425.784,1819457.988,1342220.933,467909.88,1255777.443,675643.258,2520366.289,1645829.31,791391.3921,1699926.985,3664090.409,1812072.807,244223.722,2060924.443,815151.4942,4122944.875,3322771.169,1435955.966,980545.9735,894369.3179,1237486.001,1009125.505,3128102.765,2175432.85,1966894.525,1949045.706,1246881.526,675813.0027,495153.9144
CE(16:0); [M+NH4]+@11.01,2849.178581,11298.26044,3539.660686,1183.715591,3546.606312,1362.749849,17888.08206,4370.371935,3428.226257,3734.500721,3919.673019,480.9506378,3545.867268,1954.293582,1750.499099,N/A,2726.778045,605.4139995,947.1047951,646.6963767,15303.53278,1637.776819,1687.840122,741.2985869,2479.426857,3617.033804,4382.768768,3038.200474,2250.442896,909.0507834,1110.52546,525.0681103,1068.090964,3189.434298,1027.224226,3355.673232,1303.387625,3565.204387,3060.462561,8127.250727,1078.832034,65438.84559,923.3364137,N/A,64031.62706,2651.276382,103142.485,3839.292997,1198.853262,1384.342403,3787.282173,2425.984867,1974.712184,2986.142805,6273.600949
CE(16:1); [M+NH4]+@10.70,N/A,N/A,736.2170123,N/A,245.2195212,1794.027267,N/A,N/A,1112.655387,N/A,1111.508603,N/A,871.9185861,1389.438797,3351.381123,871.2099582,1500.165533,N/A,N/A,997.2017341,319.6443161,763.8798984,1222.728823,N/A,N/A,240.8604677,1221.291754,871.6777678,499.9084193,N/A,412.0029937,N/A,880.4807736,N/A,680.6112171,862.3345947,482.2308779,188.312217,558.8808773,1124.708871,764.5429594,N/A,N/A,864.9068421,320.8349233,1110.3962,N/A,460.9961015,278.6586047,N/A,N/A,312.1624032,N/A,N/A,1294.945666
CE(18:1); [M+NH4]+@11.06,11764.42137,2681.653013,13067.10761,4330.812422,4996.027436,1487.677731,1667.730788,6917.063046,11140.31434,5225.140022,6466.42322,11049.71164,6988.956807,4488.168748,8851.008011,3599.667603,5018.439794,11361.04461,2992.467169,4192.025521,3946.489429,2372.269541,2651.406516,4986.24749,4670.11987,1499.276949,3856.065365,4097.868134,2557.434543,1631.938464,4998.78019,2629.818684,6555.630705,4097.173709,2827.213343,3599.546362,2268.915697,2124.423657,4926.830463,4556.690706,3737.205072,2507.203465,1791.614442,2789.821614,9195.409969,2935.811555,6251.847889,10960.16951,6777.67534,2274.561401,3183.524131,4222.734503,4218.311877,3045.030354,5754.303187
CE(18:2); [M+NH4]+@13.05,257.5281478,44.5008514,118.6360186,21.21621685,N/A,53.11086472,60.02395799,110.1385649,26.30502817,44.20514498,22.84214798,237.0002471,89.68784218,58.66432417,199.2576215,79.08404796,6.750682045,216.5871289,77.06966185,110.7170547,32.21523628,33.50726436,214.8069499,28.91751157,106.7282395,53.65979463,13.32553667,34.64305399,149.4287272,148.0018214,96.80202028,4.524179947,35.34966613,46.72828437,173.4700464,163.0069124,155.0513177,78.8351579,53.31907713,32.4970165,176.6459425,229.0681956,161.1206422,180.4171034,15.74630677,220.2915376,171.6212589,34.49588036,90.25856554,495.1353517,179.9556237,273.6102222,31.38181411,14.70744587,244.635128
CE(20:3); [M+NH4]+@10.83,910.2514437,866.9458918,1977.060753,309.2427444,473.3754954,136.6584625,N/A,1136.977654,757.9330621,171.5813932,366.4012404,1098.213139,1683.316992,33.48772766,230.1565521,N/A,1637.115865,2761.592184,2116.541786,2321.141376,816.8231201,578.2247352,N/A,898.0679964,N/A,417.9004725,893.9058985,N/A,814.3010535,869.2746761,1404.069997,387.8375603,1101.634382,448.8401345,865.8642464,504.7112433,N/A,392.7008587,N/A,N/A,912.8950779,N/A,1256.574255,105.2747932,N/A,N/A,N/A,445.3634657,991.5450308,2274.145704,N/A,798.7416644,N/A,N/A,N/A
CE(22:4); [M+NH4]+@10.91,2002.900741,N/A,5367.285596,N/A,919.9225933,3442.570795,N/A,1827.559761,3404.287734,868.3343208,2994.919074,7746.237742,3277.825358,696.7562546,1310.114538,N/A,1949.753294,2071.797978,5297.165911,2965.678388,1010.392273,N/A,N/A,2450.854581,630.4528094,1142.457184,N/A,785.9457021,N/A,727.7411571,2006.618529,490.3354826,653.0376842,429.8505998,335.7519533,867.5695611,N/A,N/A,966.9678084,N/A,N/A,N/A,240.2054797,742.1749186,867.8387724,60.66654164,765.3646133,557.1714158,1095.650462,1248.93798,2367.008685,275.2950155,1685.64949,5821.066322,3595.87567
CerP 44:2; [M+H]+@7.43,624601.8206,377041.4718,597642.417,617264.6873,610230.5868,549547.4962,580034.8161,525589.1603,415328.4211,515985.9533,389710.5234,438374.9356,352866.6739,529443.6243,750711.1178,696519.3109,531039.3388,416787.5567,286589.026,471345.626,478044.8335,629182.9401,515458.7639,282298.2742,517013.9004,598861.5,553475.8845,662305.0849,506965.0803,504940.3718,534998.4423,475928.9598,490243.4156,765611.8717,874342.4362,803781.8892,993682.2835,697169.4925,626679.8328,835493.7651,903461.1694,764095.9499,797054.8634,589803.4151,733333.6391,833663.4603,770353.8774,720952.262,769905.9143,632042.1385,601698.0571,549930.2589,506770.2058,397095.5919,444954.1255
DG 29:0; [M+NH4]+@5.41,N/A,0.971205112,360.3282714,159.2632721,258.6052796,524.5342611,331.3497869,1052.579415,57.2231088,849.3040809,659.8514327,266.1152083,71.42133008,104.574854,848.0233196,124.7948264,653.7752722,640.3694,212.8387113,868.205399,31.58184574,421.9773925,116.7617725,5.5013821,147.2246712,81.42779142,86.76783343,234.4787249,62.30986307,616.6365994,N/A,35.24816562,37.154083,74.37717519,337.2986962,69.78163957,157.7794671,220.4407726,N/A,265.2744533,N/A,145.2741849,490.6966837,697.321716,277.3144412,695.6598362,152.9989086,173.7041533,170.6631332,138.9649601,228.1762173,28.71147516,N/A,120.3891817,273.270516
