"Sample","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","Test.Pool_Negatve_01","Test.Pool_Negatve_02","Test.Pool_Negatve_03","Test.Pool_Negatve_04","Test.Pool_Negatve_05","Test.Pool_Negatve_06","Test.Pool_Negatve_07"
"CL 76:9; [M-2H](2-)@6.21",27379.44,28842.54,20994.92,23364.55,26169.32,17725.48,25161.33,20883.23,21003.26,37321.02,20232.15,33267.09,27168.06,27676.91,28096.91,24214.78,44389.98,20298.57,23779.01,38136.59,27412.15,30760.65,15731.05,31341.1,23850.68,23682.58,27217.8,21276.16,26003.03,22611.36,30045,30036.49,32958.09,31063.72,25274.72,39909.42,26421.23,18005.65,16020.97,25745.18,19927.8,18546.68,13461.05,15255.08,13275.17,15723.86,16649.29,26104.53,26697.58,24262.71,19444.77,20444.36,33587.87,24629.63,24651.56
"CL 78:1; [M-2H](2-)@6.87",23798.53,19092.848,20199.59,9203.921,21760.646,19159.282,12160.985,23152.507,27574.88,18585.729,15691.177,17341.247,22170.472,22010.954,15369.418,21960.13,18114.481,19808.035,16677.356,22217.384,29455.952,24245.727,29014.571,28337.139,23520.349,34796.548,28577.404,25378.234,7127.62,23470.824,30907.095,22219.588,29230.949,39014.497,16269.59,20175.472,19974.825,21928.466,29999.584,40455.581,22296.347,28054.602,32345.943,20534.034,24565.474,22418.263,15511.397,35165.995,23220.606,25676.464,27852.813,23144.764,25892.849,36035.071,12811.999
"CL 78:3; [M-2H](2-)@6.44",8877.4862,4986.9025,5486.1119,3989.2716,12866.1817,6372.9691,6995.7367,12993.228,6862.7749,11793.5899,11829.1176,9168.9068,14904.7469,11804.9768,5052.1461,9716.9825,11033.6871,9671.7991,9949.3534,11444.3404,9201.2772,8208.2906,10576.2548,10066.4743,4206.002,5746.7206,12863.6065,8069.041,898.7791,5281.709,6275.3724,7262.2504,11332.6377,6457.715,8089.4251,7751.4805,8855.4321,4293.9178,10726.989,11198.2637,6640.8651,4385.781,9581.3779,10957.2848,5549.569,5563.5,8328.4146,12717.8109,9383.6044,6622.1688,10384.2346,7714.6091,7049.9494,9570.339,7563.1358
"CL 78:4; [M-2H](2-)@6.50",37689.3,24901.61,29945.44,19421.53,55708.08,39340.51,36641.31,54872.71,32239,45808.73,27956.87,30468.88,38237.74,60473.65,26433.49,33677.7,40622.73,21661.5,31322.12,50520.58,43838.33,34468.73,51635.69,47188.26,25302.04,29943.51,36626.74,27823.32,17669.48,19120.35,35621.71,19040.69,24331.72,50951.21,20527.08,32436.9,36371.29,28633.22,37090.79,50613.88,29346,24015.03,23903.53,34037.98,32778.31,24133.52,27889.85,30502.23,38296.89,24431.97,28234.16,25873.98,35519.2,31142.42,22466.74
"CL 78:6; [M-2H](2-)@5.71",28864.203,10106.443,6299.73,9929.276,12350.753,10393.525,14342.451,22049.765,14995.359,11713.321,17936.393,11450.164,9793.968,12692.308,2221.528,17964.78,5358.391,6384.116,1465.085,12954.052,7961.835,7249.326,10710.11,9437.28,8884.145,6381.844,15929.331,16344.561,7710.349,11341.886,12781.977,8147.786,21365.07,13668.045,27392.283,12203.977,13527.134,6998.004,5564.694,16708.59,6602.264,7051.792,5545.111,8951.334,10386.316,1679.807,4975.073,8594.425,9403.313,11192.769,10749.622,8040.403,6009.124,9551.519,4960.758
"CL 78:9; [M-2H](2-)@5.67",31788.566,23638.603,11123.53,15167.897,30379.747,24437.701,22106.268,32500.553,29019.62,28580.94,37249.472,35053.128,29985.998,32948.608,8127.757,35980.368,34912.671,42189.777,32213.306,70390.121,45247.81,51563.776,62980.369,47274.884,9434.599,8239.799,38172.831,29493.975,7769.21,13201.154,20152.344,15343.558,36704.978,33490.648,18939.435,24046.741,3976.449,11247.688,24289.223,28014.345,52054.211,44381.28,13119.468,34915.253,13798.242,9909.731,9533.698,21665.232,24121.635,22994.637,22266.935,18226.345,22618.559,24999.32,13051.84
"CL 80:11; [M-2H](2-)@6.17",33008.468,9046.393,14733.414,17168.891,14965.928,15108.543,27898.694,44731.781,27537.279,24194.22,23776.945,40064.622,14615.041,17883.799,6906.465,17932.356,17708.035,30114.387,27847.852,34956.425,34996.198,44933.281,67265.319,56274.926,14716.356,13534.481,37749.582,26606.516,16156.949,22965.723,43225.633,43762.626,27497.607,35325.473,18780.771,28606.33,12225.326,7089.638,22187.021,20839.054,22048.292,22236.091,18290.956,25428.189,13314.689,12114.368,10965.594,9970.335,22765.467,16468.302,20834.835,19713.617,27680.093,24486.886,30281.464
"CL 80:12; [M-2H](2-)@7.21",13559.659,7456.039,1828.714,3880.386,5203.398,2317.652,6583.174,5318.296,4542.088,5802.845,4235.909,8305.707,9402.943,6564.167,3314.654,7969.306,6102.671,8202.089,4214.059,4428.132,9367.649,6980.341,4473.448,6356.521,4293.098,5914.207,13218.121,8594.819,2348.985,8091.386,9102.988,11011.305,12446.892,7907.265,4990.277,8193.541,4289.906,5367.56,5877.536,9406.844,2120.171,6816.928,5893.497,7962.466,3586.061,3557.033,3442.749,5859.17,4804.608,6325.781,6730.225,4366.803,5259.345,5519.405,8282.302
"CL 80:3; [M-2H](2-)@6.86",6720.682,8502.098,4910.646,3749.896,9789.758,11570.264,5050.9,9775.587,4600.256,3945.532,6425.713,8928.444,13421.585,13010.258,6506.287,12345.595,6195.98,10192.479,8582.128,7528.306,10320.125,13554.293,13289.988,12622.182,7751.839,8143.585,13019.269,7517.056,8020.282,11191.76,11130.159,8010.872,6354.88,7636.585,4397.17,14978.245,17922.089,12447.142,12588.513,14455.904,7314.472,10323.995,12221.807,9841.461,8058.631,7592.318,10375.845,10572.316,11919.498,10255.278,7261.429,10481.347,12052.664,13012.262,7209.215
"CL 80:7; [M-2H](2-)@6.39",19997.974,8894.964,10531.56,12346.553,14861.667,19749.762,11699.309,7150.229,4414.701,14164.333,24431.19,20106.066,15630.419,17749.454,7586.129,22551.092,13668.195,16867.411,15197.881,19001.92,17577.3,14119.319,23444.506,21113.701,5324.252,10855.985,13597.861,8634.732,6738.505,13942.098,20199.029,10863.459,13904.57,11505.759,12681.919,11792.697,6621.591,11156.741,13298.682,14378.306,21989.836,12641.346,4306.208,17612.007,5107.784,4440.295,12133.862,11265.644,17489.379,15320.183,15323.303,15640.261,17894.567,14124.755,13181.228
