"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6","CV"
"lysoPE 20:3"," [M-H]-@1.62",179298.929454545,143053.768181818,71287.1442545454,139483.979327273,86490.7925272727,67698.6020363636,81127.6161818182,114791.737963636,127503.355363636,139483.979327273,124470.820454545,111330.7374,60206.5804727273,83656.0214545455,55718.0334690909,90218.1907090909,103306.836123636,111330.7374,143053.768181818,157210.216181818,114791.737963636,103306.836123636,99124.7258,107718.237418182,43117.2787272727,71287.1442545454,83656.0214545455,37612.7856727273,36125.2823945455,71287.1442545454,90218.1907090909,57269.966,69659.2434909091,107718.237418182,90218.1907090909,99124.7258,60206.5804727273,50620.7787945455,78165.3384363636,71287.1442545454,90218.1907090909,96517.6226181818,81127.6161818182,96517.6226181818,93546.7015272727,96517.6226181818,99124.7258,90218.1907090909,139483.979327273,127503.355363636,157210.216181818,157210.216181818,131304.184345455,131304.184345455,143053.768181818,8.6962960433911
"PC 33:1"," [M-Ac-H]-@6.48",81127.6161818182,81127.6161818182,107718.237418182,107718.237418182,157210.216181818,86490.7925272727,71287.1442545454,67698.6020363636,93546.7015272727,75820.6981636364,78165.3384363636,69659.2434909091,111330.7374,119022.995709091,127503.355363636,147995.489781818,69659.2434909091,78165.3384363636,111330.7374,86490.7925272727,131304.184345455,96517.6226181818,111330.7374,99124.7258,73825.6349636364,81127.6161818182,44049.3884363636,66402.9799636364,69659.2434909091,64782.2040363636,71287.1442545454,75820.6981636364,67698.6020363636,86490.7925272727,96517.6226181818,62931.4059709091,48505.1502109091,69659.2434909091,73825.6349636364,66402.9799636364,60206.5804727273,51870.9948327273,60206.5804727273,54069.1882545455,54069.1882545455,67698.6020363636,61438.6468545455,41604.3067218182,75820.6981636364,75820.6981636364,86490.7925272727,83656.0214545455,75820.6981636364,96517.6226181818,81127.6161818182,9.27737596616001
"PI 36:4"," [M-H]-@5.32",152256.390363636,250216.77756,310263.776181818,202708.778909091,124470.820454545,179298.929454545,202708.778909091,139483.979327273,185239.947636364,213830.862909091,171690.330545455,202708.778909091,114791.737963636,202708.778909091,411582.838727273,114791.737963636,473383.558363636,157210.216181818,185239.947636364,185239.947636364,152256.390363636,124470.820454545,131304.184345455,119022.995709091,230947.316363636,268555.343818182,202708.778909091,268555.343818182,250216.77756,268555.343818182,185239.947636364,230947.316363636,185239.947636364,284468.479454545,213830.862909091,230947.316363636,111330.7374,111330.7374,96517.6226181818,86490.7925272727,147995.489781818,354420.446909091,171690.330545455,202708.778909091,202708.778909091,213830.862909091,161839.592363636,310263.776181818,96517.6226181818,96517.6226181818,90218.1907090909,93546.7015272727,99124.7258,103306.836123636,119022.995709091,9.46396399999542
"PE 39:4"," [M-H]-@6.30",12550.6860290909,16604.3010472727,20380.9066963636,16075.2071472727,18002.94658,15534.6538327273,14505.2435490909,10003.5508163636,16951.9129636364,14505.2435490909,12550.6860290909,20380.9066963636,11400.04014,16346.9313836364,25230.9040363636,13694.5608363636,22483.9724181818,23574.2598345455,20816.35512,26972.4622490909,30383.8583236364,18646.7552181818,17451.3799636364,17451.3799636364,8124.56497636364,11583.7590145455,16346.9313836364,6796.75228545455,28914.4493818182,13694.5608363636,21710.9855054545,11400.04014,12337.0812727273,13471.0048654545,18646.7552181818,19515.7138218182,15798.6474018182,17198.9299418182,14196.5897563636,18002.94658,17451.3799636364,19515.7138218182,13917.5382454545,19515.7138218182,26972.4622490909,21710.9855054545,23067.03016,16346.9313836364,19124.6620818182,19515.7138218182,19515.7138218182,22483.9724181818,21222.3321545455,22107.0000290909,16951.9129636364,9.6209786559881
"PC 40:6"," [M-Ac-H]-@6.63",411582.838727273,473383.558363636,516913.026936364,551858.800470909,590911.908843636,473383.558363636,440421.132867273,328565.308,516913.026936364,440421.132867273,473383.558363636,590911.908843636,516913.026936364,328565.308,383149.240909091,516913.026936364,776168.315881818,670808.027972727,670808.027972727,670808.027972727,776168.315881818,629691.586558182,590911.908843636,722091.372203636,722091.372203636,551858.800470909,473383.558363636,670808.027972727,961347.904418182,722091.372203636,670808.027972727,670808.027972727,776168.315881818,857569.489090909,857569.489090909,961347.904418182,776168.315881818,670808.027972727,590911.908843636,629691.586558182,1100042.73454545,629691.586558182,1100042.73454545,961347.904418182,1100042.73454545,961347.904418182,1100042.73454545,776168.315881818,551858.800470909,590911.908843636,590911.908843636,629691.586558182,590911.908843636,551858.800470909,722091.372203636,9.69041213124974
"lysoPE 16:1"," [M-H]-@1.24",17451.3799636364,22107.0000290909,11971.2433290909,14505.2435490909,10169.3465090909,10395.2237127273,12337.0812727273,16075.2071472727,14776.9619636364,10560.1358418182,14776.9619636364,11780.2501981818,6945.49301818182,10169.3465090909,10169.3465090909,8246.83139454545,8246.83139454545,7175.75632,13471.0048654545,10560.1358418182,5464.92786727273,5299.97780545454,6945.49301818182,8124.56497636364,3407.08557454545,3263.22954181818,4525.01888181818,5299.97780545454,5598.11642545455,3263.22954181818,2175.32092181818,3096.79024909091,3096.79024909091,3694.46463090909,4915.07942909091,1927.47521272727,5722.79815636364,4392.16932,4525.01888181818,2919.37505818182,3971.26003454545,3096.79024909091,3263.22954181818,2437.01323454545,3854.33792727273,2919.37505818182,4108.29118727273,5900.45238181818,9483.26308545455,7524.79366363636,8901.70754727273,7343.90158363636,9362.89576181818,8901.70754727273,9483.26308545455,10.440095792099
"CerP 33:1"," [M-H]-@5.49",3096.79024909091,3694.46463090909,3971.26003454545,2437.01323454545,1927.47521272727,2175.32092181818,2709.10326,917.153363636364,4771.65126545454,1608.61624,2175.32092181818,5722.79815636364,2919.37505818182,2709.10326,3694.46463090909,2919.37505818182,3971.26003454545,4252.61810181818,5598.11642545455,3407.08557454545,3541.95224727273,3407.08557454545,3541.95224727273,3854.33792727273,7524.79366363636,4771.65126545454,4649.80135272727,3263.22954181818,7343.90158363636,5900.45238181818,5299.97780545454,6032.07269090909,3854.33792727273,4252.61810181818,4252.61810181818,4771.65126545454,7814.74647818182,4252.61810181818,3407.08557454545,2175.32092181818,5722.79815636364,6945.49301818182,2919.37505818182,4649.80135272727,3407.08557454545,4252.61810181818,6796.75228545455,6483.06386727273,3407.08557454545,3407.08557454545,3407.08557454545,3263.22954181818,3407.08557454545,4252.61810181818,3096.79024909091,10.6101171191619
"PC 36:3"," [M-Ac-H]-@6.35",722091.372203636,857569.489090909,1385375.18363636,961347.904418182,1385375.18363636,1100042.73454545,857569.489090909,1100042.73454545,1100042.73454545,1385375.18363636,1385375.18363636,857569.489090909,1100042.73454545,1385375.18363636,961347.904418182,1100042.73454545,1100042.73454545,1100042.73454545,1385375.18363636,1385375.18363636,1385375.18363636,1385375.18363636,1385375.18363636,1385375.18363636,776168.315881818,961347.904418182,670808.027972727,961347.904418182,1100042.73454545,670808.027972727,1100042.73454545,961347.904418182,1385375.18363636,1385375.18363636,1385375.18363636,1100042.73454545,1385375.18363636,1385375.18363636,1385375.18363636,961347.904418182,961347.904418182,1100042.73454545,1385375.18363636,1385375.18363636,1385375.18363636,1100042.73454545,1385375.18363636,1100042.73454545,1100042.73454545,1385375.18363636,1385375.18363636,1385375.18363636,1385375.18363636,1100042.73454545,1385375.18363636,10.6782072503063
"PA 34:2"," [M-H]-@6.24",24763.0487636364,24157.5386745455,41604.3067218182,28230.9407581818,32820.7562618182,36820.9433381818,18646.7552181818,19930.2881272727,26972.4622490909,26428.5938909091,19930.2881272727,38998.2246727273,28914.4493818182,31069.8095018182,39698.9073981818,34936.9045872727,34936.9045872727,28914.4493818182,31859.7229818182,25818.4647272727,19124.6620818182,31859.7229818182,25230.9040363636,36125.2823945455,35430.9966436364,40510.3651636364,34145.46782,23574.2598345455,34936.9045872727,17733.9000709091,26972.4622490909,28230.9407581818,19515.7138218182,25230.9040363636,13294.8019472727,31859.7229818182,42279.5091290909,34145.46782,35430.9966436364,21222.3321545455,29648.2006909091,45005.9789818182,45005.9789818182,29648.2006909091,31859.7229818182,52953.8051636364,47387.1783254545,50620.7787945455,36125.2823945455,35430.9966436364,34145.46782,37612.7856727273,27659.1303090909,31069.8095018182,30383.8583236364,10.7939372226958
"CL 80:7"," [M-2H](2-)@6.39",13694.5608363636,9635.87552909091,13137.3180181818,16951.9129636364,12973.3231490909,21710.9855054545,9030.9233,3263.22954181818,3096.79024909091,13137.3180181818,19124.6620818182,18321.7451418182,13294.8019472727,16951.9129636364,14196.5897563636,19515.7138218182,15798.6474018182,17733.9000709091,18321.7451418182,17733.9000709091,15534.6538327273,12550.6860290909,18002.94658,19515.7138218182,5722.79815636364,13471.0048654545,10560.1358418182,8124.56497636364,12778.1161618182,14505.2435490909,17198.9299418182,9861.82264545455,11400.04014,9861.82264545455,11971.2433290909,12550.6860290909,9635.87552909091,14776.9619636364,12973.3231490909,11583.7590145455,22107.0000290909,11971.2433290909,6032.07269090909,18321.7451418182,7343.90158363636,8572.49414363636,19930.2881272727,14196.5897563636,18646.7552181818,16075.2071472727,16346.9313836364,15534.6538327273,17451.3799636364,12973.3231490909,16346.9313836364,10.8313663786922
