Class	Carbon	Saturation	Adduct	RT	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
DG	40	8	 [M+NH4]+	7.12	4.98	847042.6265	1133432.297	1224497.269	501663.7371	1188734.431	1840907.716	1243581.473	1984257.79	545587.9317	1340504.275	872208.3626	288175.8878	315271.1285	1564684.013	2174527.368	2366001.837	1596318.908	1858050.665	1406096.661	1902172.933	2276433.444	3431633.336	1203967.524	10582148.78	1438710.583	797901.0412	393201.7559	924530.2888	1019093.003	955968.2811	2049593.788	2811558.843	580340.428	660309.8894	208914.5248	249333.1491	2698775.928	1138046.179	1550719.289	389186.3051	1801614.529	379861.5805	160900.1983	352077.1251	1404645.476	1922087.695	3266832.121	1342905.451
DG	32	2	 [M+NH4]+	7.02	5.05	668837.6032	851968.9483	629412.1486	529094.5224	446307.1358	314740.0117	155436.7765	298000.688	709567.3127	841713.7376	418522.601	341194.399	152999.0923	232781.1632	322476.0215	438343.9565	1208790.763	901230.3241	671549.6448	448263.6491	459391.4654	508805.042	512130.4533	1159250.951	444455.5014	905039.7849	619358.0551	980370.2481	130249.3673	188328.8879	295178.7373	766697.4505	503306.8218	1030498.41	816822.7542	631384.4964	236640.9516	134891.2386	142118.3142	1086176.634	232929.0495	783017.8607	798328.6987	931696.9948	146940.7777	138720.9948	202015.1375	282003.0134
DG	32	0	 [M+NH4]+	7.88	5.43	261685.3414	279710.1104	258610.4441	314857.2915	399317.6326	293185.2505	714243.6955	561550.141	305952.7515	369294.7025	360349.5079	269351.9683	416919.2981	532469.1319	530133.2465	374646.2696	634029.3245	445006.7461	431039.3525	380712.9171	969078.3217	704068.3007	942322.0968	921618.1566	397147.5275	335076.7084	661746.9317	1074635.753	370235.8908	486487.3753	458984.0239	710988.2229	355923.63	844557.115	341033.5115	575313.2489	427341.7692	439523.3645	421024.7078	481303.6543	665788.1865	980355.6749	451062.3017	714576.6531	307588.7707	345258.7881	562922.3506	517139.0676
DG	38	2	 [M+NH4]+	8.48	5.63	1310181.574	1763243.245	946047.2565	721435.0817	356373.4401	476565.914	1060826.273	733833.1615	1047709.654	2339713.785	1308178.287	760596.7047	364387.0566	1167583.705	1299296.457	1104280.507	4600019.103	2594152.995	2998603.438	2157524.949	1539020.201	1862447.465	1630244.033	3062386.943	1489834.496	1693872.961	634640.0082	4055056.426	958915.0685	870269.2965	1173769.296	1262477.056	1996483.713	2079755.675	1426972.156	1349482.151	954867.6123	917544.5923	584064.2239	2111345.877	1272768.608	2361352.424	1649759.459	1753511.556	874838.8852	967282.2119	2283700.888	942741.0172
DG	34	4	 [M+NH4]+	6.83	5.69	110951.324	189001.8583	280118.8319	102877.5082	189845.9232	120557.0106	110226.7192	86735.60517	174924.3788	194380.1045	119175.0787	87379.71622	64166.02087	123962.6855	147415.8628	149372.0341	238607.8094	240444.0726	124817.416	142503.6047	129268.5197	139681.8406	144355.6873	326102.3635	102143.7662	169758.9953	75808.246	102253.9408	41376.14411	80933.41739	145506.1897	195026.403	50680.82138	54902.41459	65243.61373	52469.01298	65497.88158	28334.84973	40665.9552	136108.8427	81080.42453	64926.89034	68876.20935	85467.43776	43978.81534	43216.21628	102198.6865	62011.36176
DG	36	4	 [M+NH4]+	7.39	5.96	16403025.27	20136405.2	19370045.55	6330073.992	17029626.87	23698475.94	19648490.05	21566911.68	10912820.63	22347680.57	12614893.89	7986880.491	3228482.291	28409903.79	25843065.79	33846819.28	15807120.97	14919219.24	10150723.72	14262529.2	16903392	24121012.87	12165678.87	44445237.24	11832405.4	9124295.352	6304229.239	9618085.788	12466148.25	12282827.21	17565711.39	22569332.21	8665413.186	11945079.41	5168569.372	5089712.74	14841847.9	8803102.983	9979655.975	7678722.699	16727214.79	12170764.18	3980184.866	6087708.44	11317637.27	15080930.24	30106062.52	11199945.11
DG	35	2	 [M+NH4]+	7.8	6.11	358403.2925	406388.4248	297951.3751	209129.1822	213012.2112	204638.7879	264727.0774	295110.4376	414693.1231	724166.1479	261459.8995	220195.1034	122271.4113	465996.3719	558448.3861	741130.624	1320468.467	816915.3376	674638.744	539731.7851	1095598.709	987027.1913	1032037.05	2556773.909	490774.1816	512397.3494	313911.2266	1246640.163	297454.6101	392814.7003	464153.5744	1211871.054	609129.1236	1433821.298	437499.2416	542786.3405	482844.7406	188234.4439	165401.8632	1115307.417	642822.9158	1254508.861	703616.6669	1117016.094	356809.104	377694.9779	684564.8725	510489.0715
DG	42	8	 [M+NH4]+	7.61	6.41	133455.6435	196569.8028	92968.10467	95903.8647	68978.09735	91963.8585	128678.6334	232994.9664	115068.9226	311851.5823	169107.5264	70018.23882	60321.14452	192710.9028	318715.1344	256982.4267	369995.5799	295793.929	281951.9772	258690.2183	398525.0316	525276.5882	405583.3253	871465.9537	306494.6401	235127.5751	132639.1198	283076.8517	235771.5188	198710.8731	287257.4941	464510.9047	142766.186	141876.7891	80615.71977	70733.66202	432397.6169	229755.5935	223588.6155	77359.52468	496734.3353	90482.43137	64685.07939	98340.0172	246563.2315	274394.3434	616934.3699	468134.698
DG	38	6	 [M+NH4]+	7.33	6.43	2440958.923	3472085.42	6961675.106	2954097.849	5888610.756	6347562.69	4455057.838	8248243.235	2402886.244	2822094.153	3690416.949	2359461.346	5583375.792	6807658.924	10240464.7	6569081.68	6518847.417	5779593.828	6963995.023	5988506.481	11883516.29	9794127.254	11950220.09	20306720.01	8535224.353	6654209.469	6907865.628	12480283.33	4928630.313	5253793.839	8045026.94	14022062.21	4305218.086	11096351.39	4545983.776	7418219.984	9823213.118	8954067.54	7641493.044	5600509.555	12760680.63	10735999.94	6700103.907	10238095.94	4552344.952	7054573.02	10595012.79	6989584.401
DG	36	2	 [M+NH4]+	8.05	6.52	19990427.18	30716611.69	20105425.73	20816793.65	21353949.65	15121613.31	19081518.71	15626587.85	24481473.26	28845151.5	23460161.7	13497282.35	7963436.926	17037303.05	19659837.79	21849348.45	42120637.06	33723423.11	29722293.14	24835753.44	28192260.37	31338719.04	28652776.9	52830258.43	18368095.49	31335385.04	28771816.57	43043157.82	11531023.28	14020028.06	18669933.97	24355616.47	34301880.22	42020758.91	28249003.29	25995644.45	13755979.31	12123086.36	14594397.18	49167260.41	17408216.48	40172260.2	38019737.84	38328896.53	17372899.04	19081499.24	26043606.22	16926356.86
