Sample,Ctrl_BL6_db._2273,Ctrl_BL6_db._2274,Ctrl_BL6_db._2275,Ctrl_BL6_db._2279,HF_BL6_db._2286,HF_BL6_db._2287,HF_BL6_db._2288,HF_BL6_db._2289
Label,CT,CT,CT,CT,HF,HF,HF,HF
SM 34_0,385255.8602,319747.4666,463022.4263,308922.0619,546148.1982,414027.9106,390576.8543,478840.0514
SM 37_0,22564.4391,11663.63733,17909.73884,14922.74669,26646.02747,17326.40359,23976.90912,14095.26241
SM 40_4,13696.90122,11286.72955,22775.57884,10093.56234,9510.279984,14659.6055,18429.50739,21398.58822
SM 41_4,23976.90912,17782.12364,18047.13162,15431.1458,32320.47221,24878.74892,28900.85948,15842.89017
SM 43_2,15975.85865,18588.74409,21398.58822,10202.09952,18906.45718,15559.24676,12863.94281,14659.6055
SM 36_2,504090.1639,426654.8409,1663149.824,504090.1639,1152700.584,1101212.473,1021216.089,1444798.626
SM 21_0,66724.03274,31620.49728,47384.27633,55085.44644,39094.91666,22775.57884,18588.74409,28098.8669
SM 32_0,6246.010047,4103.755015,3416.561226,8204.96775,10440.77393,7599.018089,6246.010047,8058.955017
SM 33_2,4992.326724,2512.862581,1877.023498,2987.341643,5398.484208,8748.179596,4992.326724,5451.162248
TG 52_2,5053750.494,6727414.319,3160636.908,6368275.777,2059032.925,3596321.562,4564994.882,3469989.306
TG 50_2,1321518.681,2059032.925,1444798.626,1510977.876,340290.2038,663682.3478,732261.9102,633297.6342
TG 53_4,41493.90284,35398.04461,20817.17756,30439.74708,27132.93644,37486.80802,86952.37795,40667.67115
TG 56_2,66039.1908,91934.16296,34315.39148,159105.5653,68787.00396,60137.67249,71107.42821,56946.4925
TG 56_6,805568.9706,572463.2624,1257489.017,710072.9634,783327.4494,754323.8708,710072.9634,697334.6274
TG 58_6,131313.273,94232.12223,247667.6099,147412.984,125176.1639,125176.1639,88043.69169,89936.46118
TG 56_4,260385.4205,308922.0619,335483.9618,463022.4263,223317.979,178510.2708,215671.4797,152849.7562
TG 54_4,1730893.744,1444798.626,1799576.667,1730893.744,1321518.681,1730893.744,2339338.535,1321518.681
TG 52_4,414027.9106,524711.8197,223317.979,379055.9334,231468.2405,478840.0514,633297.6342,395772.7509
TG 60_8,39094.91666,25586.96834,96551.43198,66039.1908,55085.44644,34992.82183,26129.04772,38717.9035
TG 56_8,633297.6342,559749.6145,359887.5975,478840.0514,710072.9634,871360.3524,871360.3524,783327.4494
TG 54_6,978544.6528,902038.4319,614369.6069,614369.6069,978544.6528,1380119.109,1257489.017,978544.6528
TG 60_12,31620.49728,22564.4391,20408.15963,24878.74892,52315.61511,66724.03274,47970.33731,77527.60804
TG 62_14,28330.4109,9344.190343,9263.602734,13088.60108,38717.9035,40207.65709,30137.09931,63815.60297
TG 58_2,6590.985409,10614.69499,16136.42632,30137.09931,8623.616821,5137.065394,9773.279469,11081.29933
TG 62_12,24185.59889,13558.0511,32951.19268,21185.7618,30741.45545,37920.01161,15842.89017,42772.6566
TG 48_2,180707.3418,419167.707,227468.4857,260385.4205,83520.44303,72634.99393,100528.7877,88043.69169
TG 64_16,1669.027991,1787.589375,3927.217859,2367.867489,4852.925988,8058.955017,4055.588097,11585.27676
TG 48_0,58766.58296,66724.03274,150671.8615,78590.41593,66724.03274,46940.02636,50397.68698,37486.80802
TG 54_2,572463.2624,586195.0754,514327.2106,978544.6528,319747.4666,409040.8055,448577.7205,433828.2083
TG 51_2,126941.8804,149132.6279,66724.03274,119906.8328,62865.60055,67963.63261,89029.54398,62865.60055
TG 49_2,46014.1659,49443.30779,84729.37693,46014.1659,41886.7757,33279.99224,51282.16087,33279.99224
TG 53_2,47970.33731,95406.13851,66039.1908,80723.32158,43156.70584,71916.48569,64562.88981,60137.67249
TG 50_0,57592.48043,81625.74061,136306.8441,116697.0135,94232.12223,80723.32158,65168.05999,60729.6923
TG 58_8,395772.7509,274413.3305,395772.7509,414027.9106,359887.5975,352472.8775,274413.3305,319747.4666
TG 50_4,198869.5974,352472.8775,89936.46118,198869.5974,79546.63876,115325.4208,198869.5974,110956.0216
TG 60_10,121651.7206,61474.3726,107168.8845,67963.63261,137964.9384,90804.37134,63815.60297,128454.0993
TG 52_0,21605.10297,14922.74669,25586.96834,19278.17359,34992.82183,22564.4391,19074.6501,18429.50739
TG 54_8,69529.13567,74343.49208,42772.6566,46940.02636,48879.55911,79546.63876,75967.0516,89029.54398
TG 49_0,17909.73884,24621.43657,44216.68627,17909.73884,27576.27292,28098.8669,18748.49434,13429.81812
TG 52_6,128454.0993,165248.6492,75967.0516,89936.46118,78590.41593,98056.0822,150671.8615,115325.4208
TG 58_10,265119.8685,134274.7868,134274.7868,109913.347,524711.8197,455176.598,340290.2038,524711.8197
TG 46_2,36684.92517,42772.6566,73483.40295,47384.27633,31620.49728,31019.51807,34652.8868,23573.33416
