"","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db+_2225","Ctrl_BKS_db+_2226","Ctrl_BKS_db+_2227","Ctrl_BKS_db+_2231","HF_BKS_db+_2239","HF_BKS_db+_2241","HF_BKS_db+_2242","HF_BKS_db+_2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db+_2273","Ctrl_BL6_db+_2274","Ctrl_BL6_db+_2275","Ctrl_BL6_db+_2279","HF_BL6_db+_2286","HF_BL6_db+_2287","HF_BL6_db+_2288","HF_BL6_db+_2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob+_2316","Ctrl_BTBR_ob+_2317","Ctrl_BTBR_ob+_2318","Ctrl_BTBR_ob+_2320","HF_BTBR_ob+_2329","HF_BTBR_ob+_2331","HF_BTBR_ob+_2333","HF_BTBR_ob+_2334","Test Pool_Negatve_01","Test Pool_Negatve_02","Test Pool_Negatve_03","Test Pool_Negatve_04","Test Pool_Negatve_05","Test Pool_Negatve_06","Test Pool_Negatve_07"
"Label","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","HF_BKS","HF_BKS","HF_BKS","HF_BKS","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","HF_BL6","HF_BL6","HF_BL6","HF_BL6","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","QC","QC","QC","QC","QC","QC","QC"
"CerP 40:1; [M-H]-@7.69"," 79576.51"," 70565.69"," 62983.06"," 63653.02"," 49075.59"," 76427.43","113974.39"," 94431.13"," 84912.72"," 71758.40","118546.62"," 98128.39"," 79058.97"," 56536.78"," 63480.74"," 33361.91","105394.79"," 72356.46"," 42902.34"," 92040.21"," 84030.83"," 84296.52"," 66431.02"," 54187.33"," 44075.99"," 79328.79"," 36164.58"," 75004.67"," 71914.23"," 85589.32","117035.92","210345.13","128744.26"," 96602.51"," 95933.29","123258.88","108105.43","102442.73","127044.97"," 96048.67","114517.74"," 92355.26","115014.93"," 96787.65"," 71153.56"," 85794.65"," 63943.51"," 80371.84","128337.68"," 86540.81","124995.96","110084.11"," 82806.55"," 72450.22"," 71333.99"
"CL 62:1; [M-2H](2-)@5.59"," 9558.4098"," 1125.4501","13856.3335","19804.8603","13936.1799","10552.6429"," 8862.6752","11090.5604","11320.9265"," 6644.5734"," 7813.3538"," 8988.4542"," 4309.5146"," 9787.5005","10675.1556"," 4307.8769"," 5156.0657"," 4498.1391"," 1854.2315"," 7422.4381"," 2425.9198"," 1056.8347"," 4044.3836"," 4551.4835"," 1843.7851"," 2837.5819"," 5683.1409"," 3373.6204"," 5714.0886","  529.6676"," 3571.2724"," 3613.6979"," 4439.8663"," 1777.1052"," 3046.9922"," 2710.9432"," 1335.6495"," 6039.2185"," 3621.9052"," 4998.4675"," 1072.3061","  438.5905"," 1836.0464","  914.3964"," 4951.6635"," 2125.0111"," 2317.4727","  556.5864"," 3417.0369"," 9109.7754"," 5599.6842"," 4212.0788"," 3046.9844"," 4352.9669"," 5391.0034"
"CL 66:5; [M-2H](2-)@5.70","11900.8916"," 3946.2433","14605.3429","18560.4947","13945.7630"," 9966.7478","10853.4216","28938.1859","13387.4322","13684.5797","18808.6752","10364.1529","11796.6112"," 3932.1578"," 4579.0595","  636.8922"," 2123.4280"," 3138.8964"," 1866.4988"," 6583.6988"," 1744.4560"," 9191.6700"," 2167.9626"," 1653.8070","  303.2186"," 8829.7577"," 8284.3514","28923.1554","21087.8183"," 1377.0797","10773.5083"," 9614.8149","13648.4361"," 3570.6872"," 5011.7587"," 2807.6700"," 3074.0079","11956.2010","12671.8275"," 5077.9009"," 7545.0381"," 4507.6011"," 7733.4347","10639.2733"," 2760.1330"," 1653.0149"," 5420.6145"," 6362.9971"," 8226.9291"," 9595.4290","10199.5719"," 5532.3844"," 7763.2399","16770.7184"," 8269.6651"
"CL 68:0; [M-2H](2-)@7.60"," 20357.657"," 34599.603"," 20899.157"," 22046.578"," 16411.292"," 13050.434"," 19297.385"," 18960.490","  6702.325"," 33603.121"," 31027.436"," 36119.779"," 32371.045"," 41414.633"," 16130.281"," 54051.118"," 33204.400"," 11991.886"," 13494.748"," 17278.021"," 23075.227"," 38264.390"," 18192.532"," 17667.337"," 31976.679"," 15151.081"," 15396.289"," 16998.683"," 27878.584"," 10763.852"," 22742.165"," 27450.200"," 22535.695"," 33945.400"," 64721.274","218826.793"," 57195.509"," 12073.607"," 21708.022"," 16711.047"," 31125.956"," 29329.337"," 18512.183"," 20452.986"," 35789.232"," 36122.622"," 24572.974"," 28756.237"," 23289.721"," 29255.250"," 30027.228"," 40641.615"," 29903.360"," 24297.835"," 36415.007"
"CL 68:1; [M-2H](2-)@5.86","16521.616","10732.004","26601.139","13341.271","21242.306","15671.311","13081.912","26217.874"," 6428.335","19301.289","12099.759"," 8154.702","15924.447"," 7512.812"," 5583.109","12371.524","11068.854","11289.702"," 3677.840","12764.916","10307.922","12829.877","12190.374","16914.018","10767.777","26596.791","17334.223","26328.481","23137.776"," 9145.058","23978.057","21396.232","25598.730","18278.376","21429.948","13370.600"," 7631.257","17881.102","11517.002","25987.529","19294.134"," 7215.569","14267.754","14789.869","10304.765","19997.527","23459.116","13733.970","12513.482","16685.387","14996.213","16229.366","24954.157","24270.299","23126.852"
"CL 68:2; [M-2H](2-)@7.38"," 53887.17","179352.45"," 90078.60","109080.55"," 75124.79"," 63372.43"," 84430.84"," 64136.94"," 26993.32","197821.86","118379.30","137661.61","186611.43","162897.05"," 97680.68","118967.58","162450.63"," 83632.67"," 70003.14"," 68584.57"," 88757.55","123038.90","133199.22","101058.08","162442.00"," 80394.11"," 86269.20"," 59624.77","113261.05"," 65114.54"," 76306.23","127999.67"," 74869.23","164191.38","130889.23","123978.00","135679.25"," 48732.30"," 79819.93"," 73727.94","134946.89","126177.98"," 89373.23"," 80355.43","148299.36","161090.46","106488.97"," 99037.58","168408.46","165694.56","207248.57","206909.62","169554.87","155708.72","159443.07"
"CL 68:2; [M-2H](2-)@9.61"," 31859.789"," 30728.891"," 19512.069"," 65517.977","  9605.218"," 22986.533"," 34272.752"," 26253.519"," 34053.734"," 29422.636","107366.704"," 85806.075"," 34124.852"," 58718.765"," 54282.088"," 48863.627"," 46134.551"," 33332.610"," 16955.040"," 38766.899"," 37901.336"," 50788.575"," 53146.024"," 52020.906"," 28255.677"," 34425.284"," 26087.062"," 33991.591"," 11598.411","  4566.974"," 54312.359"," 63662.872"," 14857.458"," 17901.740"," 35534.970"," 13885.458"," 35888.035"," 39780.139"," 69024.507"," 19126.725"," 22891.138"," 11608.132"," 53926.715"," 20964.731"," 29027.101","  4295.575"," 26887.495"," 48504.807"," 57142.277"," 56134.212"," 48332.165"," 32223.119"," 28046.882"," 18678.584"," 17227.493"
"CL 68:3; [M-2H](2-)@9.45","19372.014","40328.449","18398.151","35063.843"," 8610.325","23998.950","23755.587","31376.637","23497.502","27111.548","68913.173","55723.429","19046.604","44146.114","36617.716","21953.321","39758.434","32488.518"," 8734.234","27239.417","40652.565","32573.929","29161.233","29939.606","12526.543","14262.963","21762.394","44336.582","12094.221"," 6597.281","36874.439","32555.144","18416.059","12992.438","25613.583","11888.026","22414.599","39402.899","51765.133","20783.761","16711.771","11790.733","39808.549","29745.352","25605.607","11094.293","31643.772","50161.581","38387.950","37081.355","32821.069","26002.142","14929.880","17870.277","13918.336"
"CL 68:4; [M-2H](2-)@9.26","37304.069","21990.645","28705.740","15077.809","14788.224","23727.391","25928.953","26444.260","34724.502","33198.833","45952.808","54627.951","39571.169","44008.919","45242.609","21706.377","20796.037","23939.797","11461.236","29171.937","39667.356"," 9198.383","24336.165","22388.405","10731.942"," 7624.499"," 5010.280","19440.470"," 5981.852"," 4967.269","34775.847","24530.497"," 3749.302"," 5364.249","17695.989","13662.234","13334.712","20280.868","23271.238","17105.298","18023.538","10355.002","19981.073","11796.780","24046.197"," 6692.439","13532.216","16973.111","33485.916","38589.928","20268.223","19496.501","19751.842","21891.363","17453.344"
"CL 68:5; [M-2H](2-)@9.08","39529.297","26515.693","47033.668","22027.721","18718.446","34549.992","31526.201","47828.544","53895.390","45255.375","59273.428","51027.740","57832.750","51856.680","74558.740","18230.311","25359.749","39087.987"," 7350.510","30544.353","31923.730","11478.821","26688.609","29346.807","16082.880"," 8935.272","13749.703","32849.580","12731.922"," 6950.822","25170.180","12480.660","14001.513"," 9302.270","15648.235"," 3508.771","11684.095","22733.104","20695.408","11817.849"," 9687.345","10741.259","14078.783","14736.564","24840.798","11776.108","14265.487","17943.088","48934.698","38590.465","41530.300","15867.177","15818.768","16848.074","24376.021"
