"","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db+_2225","Ctrl_BKS_db+_2226","Ctrl_BKS_db+_2227","Ctrl_BKS_db+_2231","HF_BKS_db+_2239","HF_BKS_db+_2241","HF_BKS_db+_2242","HF_BKS_db+_2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db+_2273","Ctrl_BL6_db+_2274","Ctrl_BL6_db+_2275","Ctrl_BL6_db+_2279","HF_BL6_db+_2286","HF_BL6_db+_2287","HF_BL6_db+_2288","HF_BL6_db+_2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob+_2316","Ctrl_BTBR_ob+_2317","Ctrl_BTBR_ob+_2318","Ctrl_BTBR_ob+_2320","HF_BTBR_ob+_2329","HF_BTBR_ob+_2331","HF_BTBR_ob+_2333","HF_BTBR_ob+_2334","Test Pool_Negatve_01","Test Pool_Negatve_02","Test Pool_Negatve_03","Test Pool_Negatve_04","Test Pool_Negatve_05","Test Pool_Negatve_06","Test Pool_Negatve_07"
"Label","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","HF_BKS","HF_BKS","HF_BKS","HF_BKS","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","HF_BL6","HF_BL6","HF_BL6","HF_BL6","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","QC","QC","QC","QC","QC","QC","QC"
"CerP 40:1; [M-H]-@7.69","79576.5132","70565.68789","62983.06157","63653.02206","49075.59318","76427.43421","113974.3864","94431.1286","84912.71951","71758.39855","118546.6184","98128.39312","79058.96725","56536.78449","63480.74015","33361.91433","105394.7899","72356.45922","42902.33762","92040.21077","84030.83","84296.52116","66431.01578","54187.32762","44075.99176","79328.78891","36164.58317","75004.66806","71914.23438","85589.32303","117035.9204","210345.1272","128744.2601","96602.51285","95933.28689","123258.8812","108105.4291","102442.7261","127044.969","96048.67153","114517.735","92355.26063","115014.9258","96787.6481","71153.5556","85794.65459","63943.51059","80371.84099","128337.6806","86540.81463","124995.9638","110084.1051","82806.55382","72450.22479","71333.99268"
"CL 62:1; [M-2H](2-)@5.59","9558.409809","1125.450133","13856.33355","19804.8603","13936.17989","10552.64287","8862.675241","11090.56037","11320.92646","6644.573413","7813.35384","8988.454216","4309.514618","9787.500486","10675.15561","4307.876913","5156.065731","4498.139137","1854.231484","7422.438056","2425.919801","1056.834654","4044.383582","4551.483478","1843.785148","2837.581915","5683.140901","3373.620357","5714.088629","529.6675726","3571.272383","3613.697899","4439.866278","1777.105153","3046.992245","2710.94322","1335.649546","6039.218487","3621.905219","4998.467475","1072.306054","438.5905215","1836.04635","914.396401","4951.66347","2125.011135","2317.472675","556.5863734","3417.036859","9109.77545","5599.684238","4212.078771","3046.984371","4352.96695","5391.003375"
"CL 66:5; [M-2H](2-)@5.70","11900.89158","3946.24326","14605.34289","18560.49465","13945.76302","9966.747772","10853.42156","28938.18595","13387.43223","13684.57966","18808.67521","10364.15291","11796.61116","3932.157767","4579.059503","636.8921721","2123.428017","3138.896365","1866.498794","6583.698791","1744.455967","9191.670035","2167.962563","1653.807016","303.2186376","8829.757667","8284.351366","28923.15539","21087.81827","1377.079669","10773.50826","9614.814918","13648.43615","3570.687214","5011.758719","2807.670042","3074.007853","11956.20101","12671.82748","5077.900884","7545.038085","4507.601112","7733.43467","10639.27325","2760.133044","1653.014931","5420.614538","6362.997082","8226.929058","9595.429044","10199.57194","5532.384437","7763.239899","16770.7184","8269.665093"
"CL 68:0; [M-2H](2-)@7.60","20357.65654","34599.60266","20899.15663","22046.57785","16411.29166","13050.43411","19297.38527","18960.49007","6702.324913","33603.12058","31027.43599","36119.77854","32371.04482","41414.63251","16130.2806","54051.11821","33204.39982","11991.88631","13494.74794","17278.02116","23075.22707","38264.38951","18192.53197","17667.33709","31976.67946","15151.0805","15396.28881","16998.68335","27878.58379","10763.85223","22742.16456","27450.20011","22535.69475","33945.4001","64721.27379","218826.7932","57195.50851","12073.60688","21708.02218","16711.04744","31125.95646","29329.33687","18512.18274","20452.98639","35789.23185","36122.62214","24572.97407","28756.23714","23289.72106","29255.24984","30027.2277","40641.61515","29903.36029","24297.83456","36415.00731"
"CL 68:1; [M-2H](2-)@5.86","16521.61576","10732.00402","26601.13862","13341.27077","21242.30611","15671.3109","13081.9118","26217.87424","6428.33476","19301.28943","12099.75873","8154.701966","15924.44736","7512.812333","5583.109476","12371.52354","11068.85398","11289.70214","3677.840097","12764.91558","10307.92158","12829.87729","12190.37357","16914.01779","10767.77725","26596.79073","17334.22274","26328.48086","23137.77603","9145.057691","23978.05714","21396.23219","25598.73001","18278.37618","21429.94785","13370.59999","7631.256961","17881.10232","11517.00228","25987.52881","19294.13365","7215.569064","14267.7537","14789.86893","10304.76538","19997.52726","23459.11622","13733.97041","12513.48182","16685.38681","14996.21344","16229.36573","24954.15691","24270.29933","23126.85176"
"CL 68:2; [M-2H](2-)@7.38","53887.16754","179352.4488","90078.5997","109080.5474","75124.79039","63372.42571","84430.8384","64136.94268","26993.32239","197821.8621","118379.3025","137661.6131","186611.4329","162897.0528","97680.67807","118967.5773","162450.6331","83632.67222","70003.13568","68584.56793","88757.55439","123038.9043","133199.2217","101058.0807","162441.9953","80394.10559","86269.20336","59624.76842","113261.0459","65114.53886","76306.23386","127999.6741","74869.23068","164191.3775","130889.2276","123978.0016","135679.2483","48732.29848","79819.92768","73727.94329","134946.89","126177.9803","89373.22748","80355.4333","148299.358","161090.4594","106488.9697","99037.58372","168408.4567","165694.5636","207248.5686","206909.6247","169554.8651","155708.7164","159443.0744"
"CL 68:2; [M-2H](2-)@9.61","31859.78922","30728.89064","19512.0685","65517.97683","9605.218458","22986.53316","34272.75174","26253.51913","34053.73388","29422.63576","107366.7044","85806.07514","34124.85179","58718.76532","54282.08815","48863.62677","46134.55082","33332.61027","16955.04035","38766.89913","37901.33644","50788.57505","53146.02394","52020.90568","28255.67744","34425.28439","26087.06235","33991.59114","11598.41105","4566.973515","54312.35917","63662.87161","14857.45801","17901.73963","35534.97042","13885.45829","35888.03545","39780.13853","69024.50669","19126.72469","22891.13762","11608.1321","53926.7155","20964.73118","29027.10058","4295.574753","26887.4951","48504.80684","57142.27661","56134.21245","48332.16464","32223.11874","28046.882","18678.58388","17227.4933"
"CL 68:3; [M-2H](2-)@9.45","19372.01419","40328.44872","18398.1514","35063.84256","8610.325111","23998.94962","23755.587","31376.63679","23497.50194","27111.5481","68913.17256","55723.42917","19046.60398","44146.11386","36617.71577","21953.32119","39758.43366","32488.51821","8734.234204","27239.41672","40652.56472","32573.92941","29161.23271","29939.60616","12526.54345","14262.96296","21762.39426","44336.58157","12094.22058","6597.280826","36874.4394","32555.14396","18416.0594","12992.43841","25613.58347","11888.0257","22414.59911","39402.899","51765.13264","20783.76136","16711.7712","11790.73265","39808.5494","29745.35201","25605.60688","11094.29296","31643.77231","50161.58118","38387.94968","37081.35507","32821.06907","26002.14215","14929.88034","17870.2769","13918.33638"
"CL 68:4; [M-2H](2-)@9.26","37304.06907","21990.64541","28705.73974","15077.80856","14788.22441","23727.39069","25928.95336","26444.2604","34724.50173","33198.83313","45952.80781","54627.95061","39571.16928","44008.91926","45242.60938","21706.37656","20796.03674","23939.79698","11461.23648","29171.93684","39667.35619","9198.383257","24336.16545","22388.40541","10731.94153","7624.499477","5010.279707","19440.47001","5981.851544","4967.268622","34775.84681","24530.49677","3749.301868","5364.248607","17695.98853","13662.2344","13334.71161","20280.86761","23271.23789","17105.29825","18023.53831","10355.00236","19981.0731","11796.77998","24046.19693","6692.438702","13532.21603","16973.11115","33485.91638","38589.92808","20268.2234","19496.50086","19751.84228","21891.36343","17453.3443"
"CL 68:5; [M-2H](2-)@9.08","39529.29706","26515.69266","47033.66767","22027.72059","18718.44637","34549.99156","31526.20142","47828.54423","53895.39005","45255.37547","59273.42784","51027.7398","57832.74962","51856.67972","74558.74016","18230.31085","25359.74918","39087.98727","7350.509503","30544.35328","31923.72962","11478.82093","26688.60851","29346.80707","16082.88018","8935.272398","13749.70335","32849.58042","12731.92232","6950.822008","25170.18014","12480.65983","14001.51299","9302.26954","15648.23547","3508.770814","11684.09462","22733.10434","20695.40794","11817.84925","9687.344816","10741.2592","14078.78348","14736.56361","24840.79766","11776.10752","14265.48676","17943.08807","48934.69814","38590.46481","41530.29954","15867.17685","15818.768","16848.07428","24376.02119"
