Class	Carbon_Chain	Double_Bond	Adduct	RT	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
plasmenyl-PE	38	6	 [M-H]-	6.69	7.18	114703.9856	151459.0678	224415.4907	131769.7383	126585.2327	169145.9357	179418.1977	179418.1977	198076.619	208064.0869	198076.619	224415.4907	208064.0869	198076.619	183135.0713	187271.3489	213043.7072	183135.0713	213043.7072	237615.0777	151459.0678	213043.7072	213043.7072	106441.6223	198076.619	151459.0678	142172.3174	224415.4907	213043.7072	169145.9357	224415.4907	224415.4907	306650.4245	255977.5241	224415.4907	224415.4907	148509.7191	179418.1977	231277.8511	277180.9596	208064.0869	187271.3489	173075.2555	202237.4007	202237.4007	243562.944	202237.4007	243562.944
PI	36	4	 [M-H]-	5.24	7.34	88440.59246	51211.77435	27943.93445	64218.04209	76051.81674	22236.78714	20948.5407	29578.30946	37061.64455	39944.90819	43233.77598	45093.57603	32871.56418	60222.51596	48765.75132	44257.25187	37499.1996	45093.57603	35281.92007	39478.68574	37962.37174	27289.4918	39944.90819	70766.09793	37962.37174	45703.49437	35735.72723	20485.6101	42389.84826	48765.75132	29187.5893	25802.76769	50301.80924	66626.60489	104720.9588	74038.55448	129203.9691	83785.0393	83785.0393	70766.09793	81197.12197	60222.51596	70766.09793	41763.24572	50301.80924	51744.76755	58633.9278	58633.9278
PE	38	2	 [M-H]-	7.6	7.4	41763.24572	37061.64455	64218.04209	29578.30946	41763.24572	39478.68574	34082.40142	57853.41224	51744.76755	42389.84826	45703.49437	47875.14756	54190.84016	44257.25187	53529.73057	37962.37174	51211.77435	39944.90819	41763.24572	47253.25167	37499.1996	34082.40142	34486.44887	29578.30946	38487.4435	37962.37174	43684.48164	39478.68574	23682.2763	34868.88019	54190.84016	38978.40919	41763.24572	45093.57603	37499.1996	41199.72879	24443.49166	30654.64416	33299.66793	38487.4435	27619.98167	34082.40142	33299.66793	39478.68574	28445.85814	29187.5893	27943.93445	33299.66793
PE	38	4	 [M-H]-	7	7.41	349028.5987	286042.0742	349028.5987	277180.9596	306650.4245	317345.8279	349028.5987	349028.5987	306650.4245	349028.5987	362930.2648	330687.3162	399193.1837	340419.6561	428828.1276	306650.4245	462469.0345	428828.1276	462469.0345	399193.1837	428828.1276	384811.8202	557575.5473	362930.2648	399193.1837	330687.3162	362930.2648	557575.5473	330687.3162	362930.2648	428828.1276	428828.1276	362930.2648	428828.1276	330687.3162	349028.5987	255977.5241	269827.2102	384811.8202	340419.6561	384811.8202	362930.2648	349028.5987	428828.1276	330687.3162	428828.1276	399193.1837	384811.8202
PC	36	2	 [M-Ac-H]-	7.08	7.47	179418.1977	330687.3162	213043.7072	349028.5987	277180.9596	219359.9415	295198.1686	202237.4007	213043.7072	198076.619	187271.3489	208064.0869	183135.0713	262780.6788	193314.5815	262780.6788	187271.3489	179418.1977	202237.4007	202237.4007	202237.4007	255977.5241	224415.4907	399193.1837	169145.9357	255977.5241	286042.0742	193314.5815	237615.0777	213043.7072	249459.2657	179418.1977	151459.0678	187271.3489	208064.0869	154573.2128	677220.2516	557575.5473	249459.2657	213043.7072	330687.3162	269827.2102	399193.1837	286042.0742	428828.1276	208064.0869	330687.3162	219359.9415
PS	36	2	 [M-H]-	5.84	7.67	909557.2524	779223.553	661962.0129	779223.553	909557.2524	829975.9717	696875.4639	741287.1161	622670.5545	696875.4639	622670.5545	622670.5545	510022.2909	661962.0129	661962.0129	741287.1161	578106.4411	741287.1161	661962.0129	578106.4411	696875.4639	696875.4639	661962.0129	510022.2909	696875.4639	741287.1161	622670.5545	696875.4639	661962.0129	741287.1161	741287.1161	578106.4411	622670.5545	622670.5545	661962.0129	622670.5545	779223.553	741287.1161	661962.0129	661962.0129	622670.5545	661962.0129	661962.0129	622670.5545	661962.0129	578106.4411	696875.4639	661962.0129
PC	40	8	 [M-Ac-H]-	6.01	8.06	169145.9357	106441.6223	56398.89426	134108.776	154573.2128	61080.5871	34486.44887	53529.73057	58633.9278	72026.48717	59405.41907	35281.92007	45093.57603	66626.60489	55057.96983	69214.02834	64218.04209	63251.252	49543.08057	48765.75132	60222.51596	74038.55448	45093.57603	78597.97508	63251.252	76051.81674	59405.41907	42389.84826	76051.81674	74038.55448	48765.75132	45093.57603	36722.38174	37061.64455	74897.30045	42389.84826	144407.7677	114703.9856	77176.67139	77176.67139	76051.81674	44257.25187	66626.60489	30654.64416	61080.5871	39478.68574	53529.73057	55057.96983
PI	38	4	 [M-H]-	5.86	8.12	428828.1276	306650.4245	154573.2128	428828.1276	428828.1276	243562.944	269827.2102	183135.0713	202237.4007	262780.6788	243562.944	198076.619	129203.9691	269827.2102	243562.944	340419.6561	193314.5815	269827.2102	231277.8511	255977.5241	399193.1837	317345.8279	317345.8279	384811.8202	317345.8279	462469.0345	262780.6788	249459.2657	462469.0345	306650.4245	169145.9357	213043.7072	219359.9415	340419.6561	384811.8202	330687.3162	428828.1276	399193.1837	428828.1276	399193.1837	399193.1837	428828.1276	428828.1276	384811.8202	349028.5987	349028.5987	428828.1276	399193.1837
plasmenyl-PE	38	2	 [M-H]-	7.94	8.14	58633.9278	69214.02834	106441.6223	70766.09793	47253.25167	70766.09793	80034.70033	83785.0393	97755.68716	87289.82942	90112.14407	87289.82942	81197.12197	65460.59059	82659.53858	74038.55448	85754.42052	88440.59246	94865.32867	69214.02834	85754.42052	61080.5871	74897.30045	51744.76755	90112.14407	80034.70033	77176.67139	83785.0393	82659.53858	85754.42052	88440.59246	68237.60186	124468.6574	121966.2598	96106.53588	137699.8923	59405.41907	63251.252	78597.97508	85754.42052	96106.53588	160744.0402	101952.9651	119586.3293	76051.81674	96106.53588	94865.32867	101952.9651
PE	34	2	 [M-H]-	6.47	8.17	137699.8923	119586.3293	243562.944	94865.32867	103196.0064	110425.424	106441.6223	158299.2645	160744.0402	183135.0713	154573.2128	183135.0713	158299.2645	142172.3174	131769.7383	119586.3293	129203.9691	148509.7191	112271.0412	124468.6574	82659.53858	64218.04209	112271.0412	74038.55448	126585.2327	90112.14407	114703.9856	94865.32867	97755.68716	108647.9956	119586.3293	106441.6223	169145.9357	151459.0678	117467.8653	169145.9357	65460.59059	72026.48717	103196.0064	112271.0412	97755.68716	83785.0393	81197.12197	110425.424	87289.82942	119586.3293	124468.6574	117467.8653
PE	44	2	 [M-H]-	9.01	8.21	16155.0574	12400.01111	17892.65563	13569.49853	14823.47311	19958.86136	1772.257132	17711.57012	23682.2763	17513.89417	20948.5407	18090.31269	18903.63174	17711.57012	17326.17679	21458.56925	20671.57952	17513.89417	18090.31269	17513.89417	15159.27264	11666.00003	15159.27264	16744.28873	19746.18393	18730.22753	21458.56925	15302.81742	13893.85198	17326.17679	12400.01111	14981.10005	15504.34571	16984.99167	12084.1991	16547.37591	11973.36019	16342.99024	12084.1991	17156.03394	19210.44861	18483.31402	14292.77451	10802.26325	18483.31402	12974.55601	11095.36142	11666.00003
CL	74	4	 [M-2H](2-)	6.41	8.34	61080.5871	43233.77598	103196.0064	58633.9278	74897.30045	114703.9856	85754.42052	124468.6574	69214.02834	73270.37003	87289.82942	83785.0393	114703.9856	103196.0064	114703.9856	97755.68716	80034.70033	78597.97508	70766.09793	88440.59246	83785.0393	81197.12197	93246.11415	91635.1864	73270.37003	59405.41907	74038.55448	68237.60186	80034.70033	90112.14407	108647.9956	93246.11415	51211.77435	45703.49437	46609.26087	66626.60489	68237.60186	65460.59059	74897.30045	58633.9278	59405.41907	41763.24572	39944.90819	42389.84826	63251.252	82659.53858	82659.53858	61080.5871
PC	36	4	 [M-Ac-H]-	6.32	8.5	83785.0393	126585.2327	81197.12197	78597.97508	87289.82942	72026.48717	119586.3293	112271.0412	106441.6223	88440.59246	103196.0064	110425.424	119586.3293	99870.77939	94865.32867	74897.30045	124468.6574	124468.6574	110425.424	142172.3174	114703.9856	131769.7383	110425.424	93246.11415	142172.3174	91635.1864	154573.2128	110425.424	124468.6574	88440.59246	114703.9856	117467.8653	99870.77939	119586.3293	124468.6574	121966.2598	56398.89426	77176.67139	81197.12197	88440.59246	101952.9651	104720.9588	83785.0393	117467.8653	90112.14407	108647.9956	90112.14407	96106.53588
PC	34	4	 [M-Ac-H]-	5.8	8.66	149984.3935	96931.11152	61659.89151	111348.2326	143290.0426	80615.91115	46931.25627	66043.59774	63734.64704	77887.32324	81928.33027	54624.40499	57126.15325	79316.33771	77887.32324	83222.28894	69990.06313	80615.91115	68725.8151	73654.46225	51478.27095	77887.32324	67432.10338	116085.9254	74467.92747	86522.12497	67432.10338	62745.22396	50756.7918	62745.22396	71396.29255	73654.46225	58243.67002	58243.67002	76614.24407	62745.22396	135904.3341	100911.8722	96931.11152	83222.28894	79316.33771	43459.12881	59813.96751	47564.19962	79316.33771	44675.41395	68725.8151	74467.92747
lysoPE	22	4	 [M-H]-	1.9	8.71	27289.4918	12686.30548	36722.38174	10654.64029	36155.06256	18294.47197	11095.36142	37499.1996	28445.85814	14083.63015	23682.2763	33299.66793	29854.63031	25802.76769	34082.40142	12974.55601	33299.66793	23409.20767	28747.8886	30654.64416	19210.44861	14083.63015	18903.63174	31444.32881	16155.0574	15302.81742	18730.22753	13893.85198	13569.49853	20485.6101	28747.8886	30971.01992	9392.301939	11973.36019	10654.64029	9189.694414	6435.921628	7655.210408	11095.36142	6366.870456	5174.902787	5868.717403	6559.452757	5942.908943	7129.886098	8745.586177	8217.994238	9392.301939
PC	40	0	 [M-Ac-H]-	9.15	8.76	97755.68716	78597.97508	114703.9856	137699.8923	148509.7191	104720.9588	160744.0402	94865.32867	134108.776	160744.0402	110425.424	114703.9856	144407.7677	97755.68716	121966.2598	148509.7191	144407.7677	66626.60489	148509.7191	58633.9278	179418.1977	69214.02834	106441.6223	73270.37003	193314.5815	77176.67139	93246.11415	129203.9691	114703.9856	144407.7677	117467.8653	131769.7383	202237.4007	198076.619	151459.0678	158299.2645	114703.9856	129203.9691	110425.424	96106.53588	104720.9588	164736.2904	144407.7677	62239.19593	137699.8923	121966.2598	87289.82942	169145.9357
lysoPE	20	4	 [M-H]-	1.38	8.88	37061.64455	23682.2763	31817.61754	24056.3064	38978.40919	17892.65563	17513.89417	41199.72879	39944.90819	26227.74215	32475.62351	44257.25187	44257.25187	27943.93445	35735.72723	15828.01721	37061.64455	27943.93445	27943.93445	39944.90819	17513.89417	22236.78714	21458.56925	33299.66793	20948.5407	13569.49853	18483.31402	18483.31402	19746.18393	34486.44887	32475.62351	32475.62351	26543.90368	22019.2577	17711.57012	14292.77451	16984.99167	12516.73734	15302.81742	13145.28056	23409.20767	12516.73734	12686.30548	12974.55601	11542.13922	13737.25158	13893.85198	20210.82603
PA	40	4	 [M-H]-	6.4	9.13	30971.01992	58633.9278	24952.29761	27619.98167	22562.85753	34486.44887	64218.04209	30971.01992	24952.29761	46609.26087	25237.85251	30187.63244	16547.37591	13737.25158	18294.47197	26227.74215	26227.74215	35735.72723	23409.20767	22019.2577	25237.85251	45093.57603	46609.26087	15984.03725	33299.66793	28747.8886	31817.61754	59405.41907	26227.74215	26543.90368	32108.5288	37499.1996	27943.93445	43684.48164	38978.40919	37962.37174	28747.8886	32475.62351	36155.06256	50301.80924	34486.44887	24730.10286	25237.85251	23682.2763	31444.32881	54190.84016	42389.84826	40538.17571
