"Lipid","Adduct","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db._2273","Ctrl_BL6_db._2274","Ctrl_BL6_db._2275","Ctrl_BL6_db._2279","HF_BL6_db._2286","HF_BL6_db._2287","HF_BL6_db._2288","HF_BL6_db._2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob._2316","Ctrl_BTBR_ob._2317","Ctrl_BTBR_ob._2318","Ctrl_BTBR_ob._2320","HF_BTBR_ob._2329","HF_BTBR_ob._2331","HF_BTBR_ob._2333","HF_BTBR_ob._2334","QC","QC.1","QC.2","QC.3","QC.4","QC.5","QC.6","QC.7"
"CE22:5"," [M+NH4]+@10.70",91027.3493928571,169170.56625,132752.419464286,233684.990357143,137903.137857143,177587.820892857,129249.328392857,161801.384107143,348602.556071429,238608.613928571,217027.624642857,208476.134642857,230115.201964286,184039.758214286,159336.401428571,193773.984285714,252427.242857143,300330.617678571,243308.448035714,285347.296428571,271658.989642857,285347.296428571,295686.620535714,335816.517321429,208476.134642857,83724.0643392857,180852.8255,164340.867678571,205717.823821429,155129.416142857,276026.942321429,180852.8255,217027.624642857,252427.242857143,252427.242857143,271658.989642857,143734.935357143,153655.769107143,119141.037589286,157757.314821429,201258.031607143,193773.984285714,177587.820892857,197317.689285714,180852.8255,169170.56625,169170.56625,184039.758214286,208476.134642857,212703.797678571,220961.976607143,226122.400535714,208476.134642857,226122.400535714,226122.400535714,205717.823821429
"CE 22:6"," [M+NH4]+@10.47",729938.209285714,1334914.06285714,1145645.24982143,1927700.38107143,1587400.85357143,1750917.09642857,1145645.24982143,1479117.02589286,2057660.45535714,1927700.38107143,1750917.09642857,1662327.25089286,1662327.25089286,1662327.25089286,1401515.98839286,1750917.09642857,1750917.09642857,1927700.38107143,1927700.38107143,1927700.38107143,2057660.45535714,2057660.45535714,1927700.38107143,1927700.38107143,2377512.36607143,816021.157142857,2194597.62678571,1927700.38107143,3404619.23928571,1587400.85357143,3147640.32142857,1750917.09642857,2917267.36071429,2707890.17321429,2057660.45535714,2917267.36071429,2194597.62678571,1927700.38107143,1830197.00892857,1750917.09642857,1927700.38107143,1830197.00892857,2524491.27857143,2194597.62678571,1750917.09642857,1662327.25089286,1830197.00892857,2194597.62678571,1750917.09642857,1750917.09642857,1750917.09642857,2057660.45535714,1587400.85357143,1750917.09642857,1927700.38107143,1927700.38107143
"CerP 44:2"," [M+H]+@7.44",16305.6618767857,13295.9136892857,12646.7265160714,19707.9837678571,15660.504375,16562.38995,22098.1082571429,19508.9562589286,21115.1249267857,34346.9940660714,18849.0058946429,24338.8607678571,16758.3396607143,13482.9624910714,8885.06739660714,22996.4870714286,13482.9624910714,26837.4808035714,15660.504375,18146.6995535714,26171.2539482143,16758.3396607143,16062.4849892857,18589.3386625,21658.0276339286,14025.1392089286,14779.4399142857,23786.4344803571,21395.8974232143,19915.4671964286,15439.1810178571,30024.804525,19915.4671964286,12961.7473964286,24648.4148571429,25885.5997321429,16305.6618767857,15000.8127196429,14590.6986964286,18589.3386625,15837.7024571429,12054.161475,17905.7529821429,11031.9292982143,19707.9837678571,11664.5865464286,8321.50644589286,18589.3386625,19054.5808375,25187.8067964286,18324.2519410714,29256.8306071429,21870.113375,20466.9086928571,22655.337375,21395.8974232143
"DG 25:2"," [M+NH4]+@4.02",3797.53521178571,1958.08991857143,2111.11652232143,3797.53521178571,2524.25251839286,1958.08991857143,4129.22620732143,3698.57423714286,11515.6484035714,5932.3872675,8568.66695714286,4347.66305482143,1208.25424607143,1009.10998678571,1583.11261982143,3367.97632982143,4677.01265857143,6547.23283035714,4129.22620732143,9064.79783035714,2111.11652232143,1429.82686803571,9366.42718928572,12054.161475,8568.66695714286,1009.10998678571,10821.5161821429,5276.15300892857,9518.17948142857,3481.14064946429,6547.23283035714,5187.78708392857,10660.3970267857,9828.88380535714,8062.34949107143,5083.32325839286,1429.82686803571,656.942895535714,1429.82686803571,3797.53521178571,7288.34971535714,3797.53521178571,7019.53097964286,7019.53097964286,1009.10998678571,656.942895535714,1208.25424607143,1958.08991857143,7674.84652875,10017.8381107143,8568.66695714286,5932.3872675,7149.45778035714,6173.28736053571,8321.50644589286,6074.70763767857
"DG 32:0"," [M+NH4]+@7.91",19915.4671964286,37709.0024642857,49173.166625,49173.166625,40158.8461785714,40158.8461785714,30426.4898571429,26171.2539482143,31812.2950125,47138.1425892857,35409.6194821429,47138.1425892857,28827.6476035714,35409.6194821429,53603.7779642857,42740.6879821429,48140.8671607143,36345.0238035714,47588.3137857143,33549.8261214286,39672.23125,48620.6934642857,34346.9940660714,43291.4779107143,42270.1891785714,53084.9719464286,25187.8067964286,28827.6476035714,58590.797375,51863.2385178571,41284.5769428571,40740.1316785714,41788.9912446429,49856.8851607143,33163.5863571429,44400.4986964286,51863.2385178571,38739.4274821429,32263.4358392857,26171.2539482143,29256.8306071429,31812.2950125,39672.23125,32697.9834678571,31812.2950125,44400.4986964286,64910.1661964286,47138.1425892857,43291.4779107143,48140.8671607143,46570.3652142857,46570.3652142857,44400.4986964286,47138.1425892857,45353.4926071429,57274.9927142857
"DG 32:2"," [M+NH4]+@7.06",6547.23283035714,2623.71107660714,5830.36731714286,2111.11652232143,2962.86339982143,4972.19124428571,5707.80606535714,2524.25251839286,4677.01265857143,3904.26020160714,5083.32325839286,3698.57423714286,3176.56450892857,6894.08267107143,3062.60029232143,3698.57423714286,1208.25424607143,4767.35150946429,1958.08991857143,4003.08042589286,1429.82686803571,2200.30958714286,1208.25424607143,3062.60029232143,4129.22620732143,4565.76887392857,4677.01265857143,1958.08991857143,1958.08991857143,3176.56450892857,2853.8806975,2853.8806975,2200.30958714286,1801.38623892857,2111.11652232143,2623.71107660714,1583.11261982143,3062.60029232143,4233.94117535714,3367.97632982143,656.942895535714,1009.10998678571,656.942895535714,2524.25251839286,3367.97632982143,1958.08991857143,1958.08991857143,1208.25424607143,2301.18930267857,1801.38623892857,3176.56450892857,3797.53521178571,1583.11261982143,4003.08042589286,2623.71107660714,2111.11652232143
"DG 33:0"," [M+NH4]+@8.10",2623.71107660714,2301.18930267857,4129.22620732143,2962.86339982143,2200.30958714286,1208.25424607143,1958.08991857143,1208.25424607143,4233.94117535714,4440.50417821429,1429.82686803571,2301.18930267857,1429.82686803571,2738.26377142857,6547.23283035714,2200.30958714286,1801.38623892857,1208.25424607143,3062.60029232143,5707.80606535714,1583.11261982143,2623.71107660714,4347.66305482143,4003.08042589286,1583.11261982143,1583.11261982143,2200.30958714286,656.942895535714,4440.50417821429,4347.66305482143,656.942895535714,1801.38623892857,2301.18930267857,2301.18930267857,1009.10998678571,2200.30958714286,2524.25251839286,2623.71107660714,5083.32325839286,3062.60029232143,1958.08991857143,1801.38623892857,2409.38093892857,1583.11261982143,1583.11261982143,2853.8806975,4767.35150946429,4129.22620732143,2524.25251839286,2301.18930267857,3367.97632982143,2738.26377142857,2111.11652232143,3481.14064946429,2853.8806975,3481.14064946429
"DG 33:1"," [M+NH4]+@7.76",4347.66305482143,10821.5161821429,7288.34971535714,5276.15300892857,7958.53787553571,6413.77860446429,5510.25820196429,3367.97632982143,5707.80606535714,3698.57423714286,3904.26020160714,4677.01265857143,5276.15300892857,5187.78708392857,5630.22297285714,8885.06739660714,5276.15300892857,9198.65279285714,8453.61662321429,3797.53521178571,4003.08042589286,5276.15300892857,3062.60029232143,6295.60251607143,4233.94117535714,10480.6037157143,5276.15300892857,5510.25820196429,12054.161475,10147.4543035714,5932.3872675,4565.76887392857,4233.94117535714,8182.79665892857,3367.97632982143,1801.38623892857,4003.08042589286,5830.36731714286,6769.99999642857,5830.36731714286,2301.18930267857,6295.60251607143,4233.94117535714,7674.84652875,3176.56450892857,11835.7087017857,6074.70763767857,6547.23283035714,9366.42718928572,3598.08826178571,5707.80606535714,5510.25820196429,6173.28736053571,7818.80072071429,7149.45778035714,6547.23283035714
"DG 34:1"," [M+Li]+@8.02",10296.9797839286,19508.9562589286,20701.8814285714,26171.2539482143,25885.5997321429,22098.1082571429,14779.4399142857,11664.5865464286,25515.7566642857,24878.3242321429,18589.3386625,21115.1249267857,20184.7195535714,21115.1249267857,38222.1059642857,24878.3242321429,31145.2635178571,24878.3242321429,26496.8920107143,22098.1082571429,21658.0276339286,24878.3242321429,20466.9086928571,24045.4217035714,26496.8920107143,32697.9834678571,8885.06739660714,13867.7270535714,37210.6875,18146.6995535714,22098.1082571429,16758.3396607143,24045.4217035714,20896.0796607143,16562.38995,25515.7566642857,26496.8920107143,34815.1407125,22098.1082571429,13295.9136892857,14025.1392089286,19915.4671964286,15248.5211732143,25515.7566642857,21658.0276339286,24045.4217035714,24338.8607678571,31812.2950125,28827.6476035714,24878.3242321429,24648.4148571429,19250.3550410714,24045.4217035714,16305.6618767857,15248.5211732143,18324.2519410714
"DG 34:2"," [M+NH4]+@7.60",134721.242857143,58590.797375,104925.049285714,21395.8974232143,44872.1232142857,47588.3137857143,95086.8434821429,48620.6934642857,17648.0953017857,31145.2635178571,84781.2899285714,17470.1654285714,89732.2299821428,73265.899375,26837.4808035714,41788.9912446429,32697.9834678571,31812.2950125,35409.6194821429,24878.3242321429,38739.4274821429,29256.8306071429,40158.8461785714,33163.5863571429,31521.0185357143,77587.5420535714,43924.0483357143,51078.9281285714,44872.1232142857,40740.1316785714,30828.0614821429,43924.0483357143,31145.2635178571,21870.113375,25515.7566642857,31812.2950125,14251.4973392857,41788.9912446429,52560.8878035714,25187.8067964286,25885.5997321429,26837.4808035714,22098.1082571429,27516.2858410714,38739.4274821429,38739.4274821429,42740.6879821429,29604.2187464286,19508.9562589286,17905.7529821429,19054.5808375,17205.0590267857,22098.1082571429,17905.7529821429,22098.1082571429,21870.113375
"DG 34:3"," [M+NH4]+@7.21",19054.5808375,6547.23283035714,8453.61662321429,2524.25251839286,5932.3872675,8062.34949107143,14025.1392089286,9366.42718928572,3904.26020160714,6413.77860446429,14251.4973392857,2409.38093892857,7560.55331428571,12646.7265160714,656.942895535714,6894.08267107143,6074.70763767857,2200.30958714286,5380.08657803571,2200.30958714286,4767.35150946429,4347.66305482143,4677.01265857143,1208.25424607143,4003.08042589286,11835.7087017857,6074.70763767857,6413.77860446429,3367.97632982143,6646.52262571429,5707.80606535714,6413.77860446429,3904.26020160714,2409.38093892857,2623.71107660714,2409.38093892857,2111.11652232143,3481.14064946429,6413.77860446429,2962.86339982143,2853.8806975,1429.82686803571,4859.26014035714,3904.26020160714,2853.8806975,3481.14064946429,3062.60029232143,2853.8806975,3481.14064946429,4129.22620732143,2962.86339982143,5083.32325839286,5380.08657803571,6295.60251607143,5830.36731714286,5276.15300892857
"DG 36:0"," [M+NH4]+@8.86",8062.34949107143,11324.7492232143,12820.3079732143,7149.45778035714,7149.45778035714,8568.66695714286,7446.81342910714,5276.15300892857,12820.3079732143,19250.3550410714,11835.7087017857,15837.7024571429,12445.6085892857,8182.79665892857,11031.9292982143,8568.66695714286,9828.88380535714,23233.7167285714,13867.7270535714,13295.9136892857,4677.01265857143,8062.34949107143,8568.66695714286,5932.3872675,15000.8127196429,11664.5865464286,8568.66695714286,4859.26014035714,10480.6037157143,10017.8381107143,9666.19391607143,9366.42718928572,9828.88380535714,15660.504375,14025.1392089286,12961.7473964286,10660.3970267857,10147.4543035714,8453.61662321429,6173.28736053571,12820.3079732143,12820.3079732143,20701.8814285714,12961.7473964286,4003.08042589286,10660.3970267857,11031.9292982143,11031.9292982143,8709.31950178571,4440.50417821429,8885.06739660714,8885.06739660714,6295.60251607143,6769.99999642857,7674.84652875,3367.97632982143
"DG 36:1"," [M+NH4]+@8.51",8709.31950178571,6074.70763767857,6894.08267107143,4440.50417821429,5707.80606535714,7560.55331428571,9366.42718928572,4129.22620732143,3598.08826178571,4677.01265857143,5830.36731714286,5830.36731714286,14590.6986964286,6173.28736053571,21870.113375,5932.3872675,7958.53787553571,9064.79783035714,7446.81342910714,5380.08657803571,7560.55331428571,7958.53787553571,9198.65279285714,7958.53787553571,5187.78708392857,10296.9797839286,5707.80606535714,2524.25251839286,6173.28736053571,7288.34971535714,6074.70763767857,7446.81342910714,5083.32325839286,4129.22620732143,8182.79665892857,8453.61662321429,5510.25820196429,7674.84652875,5380.08657803571,4440.50417821429,3904.26020160714,7560.55331428571,4677.01265857143,5830.36731714286,8182.79665892857,8321.50644589286,3176.56450892857,4233.94117535714,4767.35150946429,5630.22297285714,7149.45778035714,5707.80606535714,5083.32325839286,7019.53097964286,6413.77860446429,6173.28736053571
"DG 36:2"," [M+NH4]+@8.09",141663.135,80728.0989821429,91027.3493928571,36345.0238035714,58590.797375,38739.4274821429,99141.5412678571,64910.1661964286,44400.4986964286,60928.3265178571,104925.049285714,44400.4986964286,91027.3493928571,85871.8150892857,69235.555,67625.6619821429,55107.5350232143,49173.166625,50560.2420107143,41788.9912446429,69235.555,57274.9927142857,106251.872142857,88251.3293035714,41788.9912446429,64172.3337857143,38739.4274821429,42270.1891785714,46053.4322303571,46570.3652142857,43291.4779107143,44400.4986964286,47588.3137857143,29256.8306071429,55107.5350232143,40158.8461785714,23233.7167285714,56548.0280714286,72407.9940714286,44400.4986964286,35409.6194821429,38222.1059642857,31812.2950125,46053.4322303571,36345.0238035714,45353.4926071429,35409.6194821429,31145.2635178571,46570.3652142857,52560.8878035714,39180.905925,58039.6899285714,50560.2420107143,45353.4926071429,41788.9912446429,49856.8851607143
"DG 36:3"," [M+NH4]+@7.71",73265.899375,66790.6490892857,77587.5420535714,17905.7529821429,28136.8426732143,25187.8067964286,71418.1367142857,28136.8426732143,12961.7473964286,15837.7024571429,63343.01875,10017.8381107143,60928.3265178571,61580.5224107143,24045.4217035714,30426.4898571429,24338.8607678571,20701.8814285714,21115.1249267857,22996.4870714286,21395.8974232143,15439.1810178571,24648.4148571429,19054.5808375,14429.5051482143,95086.8434821429,43291.4779107143,46570.3652142857,40740.1316785714,41788.9912446429,28136.8426732143,43291.4779107143,15248.5211732143,15000.8127196429,32263.4358392857,12646.7265160714,21870.113375,38222.1059642857,64172.3337857143,19707.9837678571,18589.3386625,23233.7167285714,26171.2539482143,33964.91875,33964.91875,31145.2635178571,26171.2539482143,25885.5997321429,31145.2635178571,34346.9940660714,27852.3630714286,24338.8607678571,25885.5997321429,19915.4671964286,19250.3550410714,30426.4898571429
"DG 36:4"," [M+NH4]+@7.32",53084.9719464286,24338.8607678571,65810.4067678571,10017.8381107143,21115.1249267857,13295.9136892857,54373.6077857143,18849.0058946429,10017.8381107143,11835.7087017857,43924.0483357143,11515.6484035714,28495.2293321429,23786.4344803571,13482.9624910714,10147.4543035714,6173.28736053571,4565.76887392857,8885.06739660714,1583.11261982143,11324.7492232143,6894.08267107143,10147.4543035714,13295.9136892857,14779.4399142857,51863.2385178571,37210.6875,37210.6875,22996.4870714286,31812.2950125,23233.7167285714,27852.3630714286,16305.6618767857,10821.5161821429,12054.161475,9064.79783035714,21658.0276339286,37709.0024642857,36345.0238035714,13867.7270535714,16758.3396607143,21395.8974232143,19707.9837678571,21395.8974232143,12445.6085892857,17205.0590267857,15837.7024571429,19250.3550410714,24878.3242321429,31812.2950125,24338.8607678571,23233.7167285714,36345.0238035714,24648.4148571429,24648.4148571429,24045.4217035714
"DG 37:5"," [M+NH4]+@4.90",18589.3386625,24045.4217035714,16062.4849892857,57274.9927142857,33549.8261214286,31812.2950125,42740.6879821429,50560.2420107143,61580.5224107143,44872.1232142857,58039.6899285714,70122.0761785714,77587.5420535714,74354.0717321429,58039.6899285714,79587.1851607143,54373.6077857143,45353.4926071429,47138.1425892857,54373.6077857143,46053.4322303571,64172.3337857143,67625.6619821429,61580.5224107143,71418.1367142857,29256.8306071429,27516.2858410714,14251.4973392857,23786.4344803571,35409.6194821429,35409.6194821429,27516.2858410714,51863.2385178571,51078.9281285714,53084.9719464286,38739.4274821429,58590.797375,55809.6597678571,45353.4926071429,52560.8878035714,42270.1891785714,27852.3630714286,10660.3970267857,33163.5863571429,33163.5863571429,40158.8461785714,36345.0238035714,20701.8814285714,37210.6875,31521.0185357143,37709.0024642857,39180.905925,30024.804525,56548.0280714286,57274.9927142857,48620.6934642857
