"Lipid","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243"
"PC 40_7",3653398.16071429,2801262.88214286,4212536.26607143,2801262.88214286,2502717.17142857,2502717.17142857,1961062.5375,2801262.88214286
"PC 36_3",35861359.5714286,35861359.5714286,35861359.5714286,35861359.5714286,35861359.5714286,35861359.5714286,35861359.5714286,35861359.5714286
"PC 42_11",40242.4034642857,42558.8972821429,35265.7756053571,45078.8297857143,53310.7435107143,43779.5852857143,24825.9185928571,45819.6608571429
"PC 42_3",14739.9143785714,12732.5940125,20152.4907142857,14944.7673089286,11919.7666446429,14556.9376785714,9632.68153035714,19652.5736517857
"PC 40_10",147937.73625,143503.426964286,134815.647321429,114352.266696429,77117.3579964286,109260.486,31635.0711428571,120659.397669643
"PC 36_4",45819.6608571429,51795.0621428571,33258.4630142857,65292.6203571429,45819.6608571429,50324.3570714286,157279.283625,55779.1466964286
"PC 42_2",11367.4251125,14556.9376785714,8251.11858571429,10837.8805821429,13955.8465,16072.8131107143,20152.4907142857,12103.1438910714
"PC 42_8",29956.5594839286,23579.0024642857,17492.2355,28417.0586892857,18943.2163214286,25881.2709928571,46409.6795535714,29619.9902357143
"PC 44_4",9772.53663392857,8961.33935714286,7497.03831660714,9295.57433928571,9978.52117321429,5631.42895357143,5398.0321,7990.22304464286
"PC 34_5",47799.2093741071,32474.1887410714,30671.9151955357,27448.0734383929,27448.0734383929,42277.9075205357,20945.3625803571,22581.6923651786
"PC 32_2",46409.6795535714,40242.4034642857,34054.3606964286,32236.8801964286,33679.5103964286,44423.4569464286,21607.3120732143,28012.4682160714
"PC 40_1",13797.1867678571,10294.1983232143,11555.0169464286,8125.48476017857,15874.1222107143,11555.0169464286,13797.1867678571,7701.63170017857
"PC 34_3",58747.1725892857,71082.6420714286,39590.5449357143,56709.7669107143,56709.7669107143,55074.1213928571,117295.894107143,51795.0621428571
"PC 40_9",72376.8640464286,75241.3308392857,93647.1940357143,60719.3389107143,67612.5251964286,56709.7669107143,16769.8830410714,67612.5251964286
"PC 40_4",3786.05885392857,2610.50864875,3990.92321571429,5724.02211196429,5520.08360160714,6078.22740089286,6180.84948053571,5088.60001303571
"PC 30_0",389615.907053571,324681.287678571,254837.76625,296685.858607143,275623.213214286,218579.666142857,438294.818267857,285735.851553571
"PC 40_8",60719.3389107143,38131.7161321429,32711.4972857143,46974.5335535714,52724.8140535714,48079.1544821429,28012.4682160714,54177.6545053571
"PC 32_0",67612.5251964286,79935.5262642857,48807.5821428571,66389.0885178571,60719.3389107143,61688.1022857143,120659.397669643,61688.1022857143
"PC 44_12",26555.1806428571,20815.1330178571,37552.3767678571,36431.7635982143,31635.0711428571,33258.4630142857,19857.4815,46409.6795535714
"PC 42_4",43244.4308214286,23860.7347321429,29619.9902357143,28012.4682160714,42558.8972821429,21368.9445339286,31204.8584232143,48079.1544821429
"PC 42_7",2840.1576325,1410.84707142857,2181.38010482143,2072.90318839286,2072.90318839286,2840.1576325,2388.13856553571,1565.000575
"PC 40_0",7050.54476,2181.38010482143,2502.46226125,2726.94451017857,4314.71070089286,4543.34497678571,1195.77037946429,3456.08772910714
"PC 44_5",8512.3501875,5167.27360178571,7701.63170017857,10652.7044571429,8816.23721785714,9162.38664107143,12888.5737714286,5844.98421946429
"PC 38_9",15874.1222107143,13098.9696714286,9632.68153035714,9464.67715821428,9464.67715821428,11700.2718053571,4855.38819928571,18178.1888875
"PC 42_1",6315.46978571429,6180.84948053571,3579.30554910714,6798.03111785714,6315.46978571429,4855.38819928571,11367.4251125,5398.0321
"PC 44_9",6439.62519160714,5844.98421946429,7050.54476,2610.50864875,6551.378575,6551.378575,2283.52759196429,3149.46716821429
"PC 38_3",7990.22304464286,4217.19304410714,2840.1576325,2181.38010482143,3786.05885392857,1565.000575,7186.05634642857,4415.97215875
"PC 44_11",23315.2417571429,13253.6211178571,14161.2389589286,13797.1867678571,14944.7673089286,18418.6395375,24489.6108803571,24825.9185928571
"PC 42_10",30472.3221589286,41435.4854071429,28788.7575339286,26195.5927696429,28012.4682160714,36431.7635982143,7839.17797125,35265.7756053571
"PC 42_5",3260.58485017857,3456.08772910714,3786.05885392857,5631.42895357143,6798.03111785714,7597.96034285714,5934.35367571429,4665.46998178571
"PC 44_8",6180.84948053571,3260.58485017857,3260.58485017857,3880.28439107143,6661.72394821428,7347.25012964286,4415.97215875,4217.19304410714
"PC 34_4",29619.9902357143,26892.403625,14556.9376785714,21849.6822410714,46409.6795535714,47519.2642660714,195603.946214286,63853.8299321429
"PC 38_0",9295.57433928571,6551.378575,6922.36611035714,8512.3501875,5270.37840482143,2388.13856553571,1410.84707142857,3579.30554910714
"plasmenyl-PC 20_0",57238.36125,47799.2093741071,47799.2093741071,55426.6340446429,21974.1002723214,37842.04645,11110.9091625,40553.8151625
"plasmenyl-PC 38_1",139107.900982143,117295.894107143,91582.2723821429,117295.894107143,95782.8210714286,117295.894107143,86236.0747321428,117295.894107143
"plasmenyl-PC 40_0",18943.2163214286,10837.8805821429,15874.1222107143,17936.5455178571,18418.6395375,16769.8830410714,32711.4972857143,16567.6682892857
"plasmenyl-PC 40_3",20152.4907142857,16769.8830410714,16567.6682892857,18418.6395375,11020.5853321429,7497.03831660714,6661.72394821428,11700.2718053571
"plasmenyl-PC 38_5",7186.05634642857,5398.0321,2946.67659517857,11367.4251125,5844.98421946429,5520.08360160714,10294.1983232143,5167.27360178571
"plasmenyl-PC 24_0",2181.38010482143,2502.46226125,2388.13856553571,1195.77037946429,2502.46226125,3047.14357803571,2840.1576325,2072.90318839286
"plasmenyl-PC 40_5",4855.38819928571,5520.08360160714,5270.37840482143,7347.25012964286,10652.7044571429,7990.22304464286,7701.63170017857,2388.13856553571
"PE 40_6",167816.821428571,218579.666142857,98095.1422857143,100624.498053571,65292.6203571429,66389.0885178571,296685.858607143,69792.1983392857
"PE 36_3",131122.470535714,225561.56,127822.838035714,95782.8210714286,105862.877928571,127822.838035714,175201.353928571,91582.2723821429
"PE 36_1",24489.6108803571,50324.3570714286,24825.9185928571,4758.78730589286,25505.1708607143,24825.9185928571,54177.6545053571,21607.3120732143
"PE 38_3",82903.4760714286,105862.877928571,55074.1213928571,42558.8972821429,43244.4308214286,39125.4085535714,71082.6420714286,42558.8972821429
"PE 38_7",69792.1983392857,54177.6545053571,40865.2268607143,35265.7756053571,21607.3120732143,33679.5103964286,22746.1475357143,14944.7673089286
"PE 40_5",59633.1933982143,21075.5921428571,19652.5736517857,12888.5737714286,10837.8805821429,21849.6822410714,29619.9902357143,25505.1708607143
"PE 34_3",11201.2329928571,15215.9790660714,11919.7666446429,10487.4956032143,7701.63170017857,16331.7739839286,16331.7739839286,10837.8805821429
"PE 38_4",11919.7666446429,19427.3070232143,6439.62519160714,9162.38664107143,10133.1685892857,14400.1318625,38668.3322857143,11919.7666446429
"PE 32_0",1772.08722303571,1195.77037946429,3359.53925410714,656.591134821429,984.342505357143,1195.77037946429,3456.08772910714,4099.36693267857
"PE 34_1",30871.5082321429,82903.4760714286,25146.6001785714,21075.5921428571,23315.2417571429,28012.4682160714,139107.900982143,29956.5594839286
"PE 36_0",8648.21050196429,7597.96034285714,4099.36693267857,6661.72394821428,4099.36693267857,6439.62519160714,5520.08360160714,4758.78730589286
"plasmenyl-PE 40_6",412194.21525,389615.907053571,366483.281767857,402282.127178571,438294.818267857,285735.851553571,275623.213214286,356514.397125
"plasmenyl-PE 42_5",71082.6420714286,66389.0885178571,59633.1933982143,86236.0747321428,82903.4760714286,65292.6203571429,41435.4854071429,53310.7435107143
"plasmenyl-PE 38_1",32236.8801964286,24489.6108803571,20605.481,29205.3635535714,41435.4854071429,19149.8252196429,50324.3570714286,23860.7347321429
"plasmenyl-PE 38_5",225561.56,263434.931428571,167816.821428571,285735.851553571,162160.035892857,143503.426964286,124379.788517857,152912.219
"plasmenyl-PE 36_3",66389.0885178571,55074.1213928571,38131.7161321429,53310.7435107143,55074.1213928571,51035.1771285714,39590.5449357143,47519.2642660714
"plasmenyl-PE 36_1",111762.082482143,93647.1940357143,84414.4910535714,127822.838035714,79935.5262642857,62766.6365035714,134815.647321429,81470.3392857143
"plasmenyl-PE 38_6",656382.538178571,519282.5495,484745.8935,630128.590982143,466853.517017857,366483.281767857,254837.76625,484745.8935
"plasmenyl-PE 36_2",40865.2268607143,31204.8584232143,54177.6545053571,43244.4308214286,49582.7215642857,49582.7215642857,114352.266696429,51035.1771285714
"plasmenyl-PE 38_4",305691.987410714,152912.219,218579.666142857,244054.326071429,244054.326071429,157279.283625,209614.510892857,263434.931428571
"plasmenyl-PE 34_1",23010.0447678571,27642.1983946429,13098.9696714286,13599.2526607143,24825.9185928571,17936.5455178571,73784.2439285714,25881.2709928571
"plasmenyl-PE 34_2",31204.8584232143,20152.4907142857,27253.9484821429,39125.4085535714,43779.5852857143,41435.4854071429,30871.5082321429,37552.3767678571
"plasmenyl-PE 40_1",2502.46226125,2388.13856553571,1772.08722303571,1772.08722303571,2840.1576325,4099.36693267857,1932.36239017857,7050.54476
"SM 34_2",175201.353928571,134815.647321429,114352.266696429,152912.219,93647.1940357143,79935.5262642857,100624.498053571,105862.877928571
"SM 40_2",43779.5852857143,37552.3767678571,32236.8801964286,40242.4034642857,25881.2709928571,28417.0586892857,19652.5736517857,20815.1330178571
"SM 42_1",195603.946214286,157279.283625,111762.082482143,139107.900982143,139107.900982143,105862.877928571,95782.8210714286,88055.5859285714
"SM 40_1",114352.266696429,124379.788517857,73784.2439285714,131122.470535714,66389.0885178571,78680.0341964286,53310.7435107143,86236.0747321428
"SM 42_5",296685.858607143,89692.7647232143,81470.3392857143,147937.73625,38668.3322857143,34054.3606964286,72376.8640464286,39125.4085535714
"SM 32_2",19427.3070232143,9978.52117321429,13599.2526607143,15874.1222107143,9162.38664107143,6315.46978571429,8816.23721785714,11201.2329928571
"SM 36_1",7839.17797125,5631.42895357143,3047.14357803571,14556.9376785714,8648.21050196429,8961.33935714286,12525.6698714286,7597.96034285714
"SM 36_0",49582.7215642857,60719.3389107143,39125.4085535714,58747.1725892857,47519.2642660714,32236.8801964286,56709.7669107143,26892.403625
"SM 34_0",502953.747839286,376836.891214286,324681.287678571,453906.612607143,336896.543375,315138.221821429,453906.612607143,296685.858607143
"SM 38_0",41996.9177589286,29619.9902357143,28012.4682160714,37552.3767678571,19149.8252196429,17492.2355,15453.0258392857,19857.4815
"SM 32_1",18418.6395375,9162.38664107143,9464.67715821428,19149.8252196429,13098.9696714286,8816.23721785714,12103.1438910714,11367.4251125
"SM 40_4",15673.4276482143,13955.8465,12103.1438910714,16331.7739839286,12732.5940125,10294.1983232143,23579.0024642857,9632.68153035714
"SM 32_0",15215.9790660714,9772.53663392857,11020.5853321429,5270.37840482143,5724.02211196429,4314.71070089286,3990.92321571429,7497.03831660714
"SM 36_2",1344523.83910714,1060267.31625,606468.134892857,1238585.74196429,453906.612607143,412194.21525,1344523.83910714,466853.517017857
"SM 30_1",5088.60001303571,5088.60001303571,4415.97215875,4543.34497678571,3047.14357803571,2283.52759196429,3579.30554910714,3047.14357803571
"TG 54_4",519282.5495,935039.595,1565259.17232143,1060267.31625,1455147.53910714,1140505.35982143,1455147.53910714,1961062.5375
"TG 52_3",580827.072089286,630128.590982143,769351.43425,606468.134892857,769351.43425,935039.595,580827.072089286,740974.119267857
"TG 52_4",143503.426964286,336896.543375,453906.612607143,324681.287678571,366483.281767857,484745.8935,234177.565178571,346000.597321429
"TG 54_3",1060267.31625,999381.5375,1455147.53910714,999381.5375,1768669.68571429,1768669.68571429,2502717.17142857,2172575.53660714
"TG 58_11",75241.3308392857,109260.486,68793.4987857143,157279.283625,89692.7647232143,53310.7435107143,28417.0586892857,31635.0711428571
"TG 56_5",209614.510892857,195603.946214286,305691.987410714,254837.76625,389615.907053571,376836.891214286,557535.656428571,502953.747839286
"TG 56_4",93647.1940357143,95782.8210714286,175201.353928571,102952.236285714,254837.76625,296685.858607143,336896.543375,438294.818267857
"TG 58_9",117295.894107143,139107.900982143,89692.7647232143,143503.426964286,117295.894107143,71082.6420714286,84414.4910535714,75241.3308392857
"TG 50_2",424657.462660714,466853.517017857,1140505.35982143,424657.462660714,1238585.74196429,1961062.5375,1238585.74196429,1455147.53910714
"TG 50_1",244054.326071429,244054.326071429,402282.127178571,202271.0279625,630128.590982143,740974.119267857,935039.595,769351.43425
"TG 58_7",102952.236285714,86236.0747321428,147937.73625,124379.788517857,234177.565178571,147937.73625,366483.281767857,234177.565178571
"TG 54_5",557535.656428571,881327.144642857,1238585.74196429,881327.144642857,1140505.35982143,1060267.31625,1140505.35982143,1140505.35982143
"TG 54_7",134815.647321429,254837.76625,356514.397125,315138.221821429,296685.858607143,389615.907053571,187605.219642857,195603.946214286
"TG 58_6",73784.2439285714,46409.6795535714,53310.7435107143,52724.8140535714,127822.838035714,86236.0747321428,285735.851553571,131122.470535714
"TG 56_3",34705.7523928571,31635.0711428571,69792.1983392857,25505.1708607143,134815.647321429,114352.266696429,98095.1422857143,180820.683571429
"TG 50_5",14161.2389589286,23315.2417571429,42558.8972821429,26892.403625,34705.7523928571,52724.8140535714,29205.3635535714,36431.7635982143
"TG 50_3",356514.397125,438294.818267857,999381.5375,389615.907053571,935039.595,1238585.74196429,466853.517017857,1060267.31625
"TG 52_2",1961062.5375,1961062.5375,5078044.01785714,1768669.68571429,5078044.01785714,5078044.01785714,3653398.16071429,5078044.01785714
"TG 56_9",100624.498053571,162160.035892857,187605.219642857,209614.510892857,143503.426964286,134815.647321429,75241.3308392857,100624.498053571
"TG 56_2",17936.5455178571,16331.7739839286,44423.4569464286,18639.4317696429,58747.1725892857,82903.4760714286,34054.3606964286,139107.900982143
"TG 54_6",120659.397669643,127822.838035714,234177.565178571,134815.647321429,209614.510892857,209614.510892857,167816.821428571,162160.035892857
"TG 56_7",187605.219642857,202271.0279625,285735.851553571,218579.666142857,305691.987410714,244054.326071429,346000.597321429,244054.326071429
"TG 54_2",263434.931428571,180820.683571429,389615.907053571,187605.219642857,502953.747839286,537086.656732143,502953.747839286,935039.595
"TG 56_6",453906.612607143,412194.21525,557535.656428571,438294.818267857,740974.119267857,519282.5495,999381.5375,656382.538178571
"TG 52_1",315138.221821429,305691.987410714,537086.656732143,167816.821428571,557535.656428571,557535.656428571,484745.8935,630128.590982143
"TG 58_8",324681.287678571,187605.219642857,275623.213214286,305691.987410714,346000.597321429,275623.213214286,412194.21525,376836.891214286
"TG 60_12",105862.877928571,114352.266696429,77117.3579964286,263434.931428571,102952.236285714,63853.8299321429,46974.5335535714,57766.9555892857
"TG 48_2",88055.5859285714,147937.73625,209614.510892857,88055.5859285714,167816.821428571,402282.127178571,244054.326071429,254837.76625
"TG 58_5",25881.2709928571,17724.6697839286,26195.5927696429,11700.2718053571,48807.5821428571,39590.5449357143,79935.5262642857,77117.3579964286
"TG 58_10",285735.851553571,315138.221821429,195603.946214286,356514.397125,263434.931428571,124379.788517857,127822.838035714,98095.1422857143
"TG 56_8",346000.597321429,356514.397125,656382.538178571,466853.517017857,580827.072089286,502953.747839286,376836.891214286,453906.612607143
"TG 48_3",22417.2371946429,52724.8140535714,75241.3308392857,33679.5103964286,55779.1466964286,111762.082482143,57766.9555892857,84414.4910535714
"TG 48_1",79935.5262642857,73784.2439285714,120659.397669643,78680.0341964286,175201.353928571,202271.0279625,263434.931428571,225561.56
"TG 60_8",14400.1318625,16072.8131107143,23315.2417571429,18178.1888875,33258.4630142857,24123.8243571429,93647.1940357143,58747.1725892857
"TG 52_5",180820.683571429,402282.127178571,740974.119267857,366483.281767857,484745.8935,606468.134892857,305691.987410714,389615.907053571
"TG 58_2",6551.378575,2072.90318839286,4665.46998178571,4415.97215875,5934.35367571429,9772.53663392857,17206.6745767857,28788.7575339286
"TG 62_14",21607.3120732143,14400.1318625,15453.0258392857,51795.0621428571,25146.6001785714,8372.5780875,10133.1685892857,12525.6698714286
"TG 60_9",37552.3767678571,21849.6822410714,27642.1983946429,28788.7575339286,51035.1771285714,28788.7575339286,105862.877928571,49582.7215642857
"TG 64_16",5167.27360178571,3149.46716821429,2283.52759196429,5167.27360178571,1772.08722303571,1932.36239017857,4665.46998178571,1772.08722303571
"TG 50_4",37003.3471071429,111762.082482143,296685.858607143,93647.1940357143,195603.946214286,336896.543375,88055.5859285714,175201.353928571
"TG 60_10",95782.8210714286,72376.8640464286,57766.9555892857,82903.4760714286,114352.266696429,54177.6545053571,102952.236285714,60719.3389107143
"TG 62_13",38131.7161321429,21368.9445339286,25881.2709928571,59633.1933982143,23860.7347321429,25146.6001785714,28788.7575339286,23579.0024642857
"TG 60_7",18639.4317696429,8816.23721785714,19149.8252196429,9632.68153035714,28417.0586892857,19427.3070232143,61688.1022857143,34054.3606964286
"TG 48_0",46974.5335535714,43779.5852857143,55779.1466964286,49582.7215642857,51795.0621428571,58747.1725892857,143503.426964286,71082.6420714286
"TG 62_12",20605.481,7839.17797125,11201.2329928571,24489.6108803571,21075.5921428571,12888.5737714286,32236.8801964286,20362.7371928571
"TG 52_7",14944.7673089286,24123.8243571429,21368.9445339286,21607.3120732143,18178.1888875,21607.3120732143,18178.1888875,20605.481
"TG 50_0",35265.7756053571,48807.5821428571,31204.8584232143,48079.1544821429,50324.3570714286,75241.3308392857,131122.470535714,109260.486
"TG 52_0",5724.02211196429,15673.4276482143,10652.7044571429,7050.54476,18639.4317696429,14161.2389589286,26195.5927696429,18418.6395375
"TG 54_1",28012.4682160714,25881.2709928571,40242.4034642857,38668.3322857143,63853.8299321429,77117.3579964286,78680.0341964286,143503.426964286
"TG 60_3",1410.84707142857,3579.30554910714,4981.35488607143,3260.58485017857,3688.59157071429,3880.28439107143,5088.60001303571,10294.1983232143
"TG 54_8",33258.4630142857,59633.1933982143,71082.6420714286,75241.3308392857,62766.6365035714,67612.5251964286,39125.4085535714,43779.5852857143
"TG 62_11",19652.5736517857,9464.67715821428,8816.23721785714,16072.8131107143,20605.481,11020.5853321429,29956.5594839286,17724.6697839286
"TG 56_10",16769.8830410714,26195.5927696429,26555.1806428571,47519.2642660714,17492.2355,19857.4815,8125.48476017857,12888.5737714286
"TG 64_13",4314.71070089286,2283.52759196429,984.342505357143,2840.1576325,3260.58485017857,7186.05634642857,8961.33935714286,1932.36239017857
"TG 62_15",6078.22740089286,1932.36239017857,3456.08772910714,3149.46716821429,2283.52759196429,2181.38010482143,1772.08722303571,1195.77037946429
"CerP 34_1",15534.6538327273,18002.94658,21222.3321545455,22483.9724181818,15299.4310127273,12778.1161618182,24763.0487636364,18002.94658
"CerP 34_2",5900.45238181818,8719.56898727273,7994.68495818182,10720.3181690909,10003.5508163636,7665.97158181818,10395.2237127273,5722.79815636364
"CerP 42_2",34936.9045872727,37612.7856727273,46306.9676709091,54069.1882545455,27659.1303090909,26972.4622490909,45005.9789818182,13471.0048654545
"CL 74_7",440421.132867273,551858.800470909,411582.838727273,411582.838727273,473383.558363636,629691.586558182,590911.908843636,440421.132867273
