"","Ctrl_BKS_2202","Ctrl_BKS_2203","Ctrl_BKS_2206","Ctrl_BKS_2211","HF_BKS_2214","HF_BKS_2216","HF_BKS_2217","HF_BKS_2218","Ctrl_BKS_db+_2225","Ctrl_BKS_db+_2226","Ctrl_BKS_db+_2227","Ctrl_BKS_db+_2231","HF_BKS_db+_2239","HF_BKS_db+_2241","HF_BKS_db+_2242","HF_BKS_db+_2243","Ctrl_BL6_2249","Ctrl_BL6_2250","Ctrl_BL6_2251","Ctrl_BL6_2252","HF_BL6_2260","HF_BL6_2261","HF_BL6_2262","HF_BL6_2266","Ctrl_BL6_db+_2273","Ctrl_BL6_db+_2274","Ctrl_BL6_db+_2275","Ctrl_BL6_db+_2279","HF_BL6_db+_2286","HF_BL6_db+_2287","HF_BL6_db+_2288","HF_BL6_db+_2289","Ctrl_BTBR_2292","Ctrl_BTBR_2293","Ctrl_BTBR_2297","Ctrl_BTBR_2298","HF_BTBR_2306","HF_BTBR_2307","HF_BTBR_2308","HF_BTBR_2309","Ctrl_BTBR_ob+_2316","Ctrl_BTBR_ob+_2317","Ctrl_BTBR_ob+_2318","Ctrl_BTBR_ob+_2320","HF_BTBR_ob+_2329","HF_BTBR_ob+_2331","HF_BTBR_ob+_2333","HF_BTBR_ob+_2334","Test Pool_Negatve_01","Test Pool_Negatve_02","Test Pool_Negatve_03","Test Pool_Negatve_04","Test Pool_Negatve_05","Test Pool_Negatve_06","Test Pool_Negatve_07"
"Label","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","Ctrl_BKS","HF_BKS","HF_BKS","HF_BKS","HF_BKS","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","Ctrl_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","HF_BKS_db","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","Ctrl_BL6","HF_BL6","HF_BL6","HF_BL6","HF_BL6","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","Ctrl_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","HF_BL6_db","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","Ctrl_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","HF_BTBR","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","Ctrl_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","HF_BTBR_ob","QC","QC","QC","QC","QC","QC","QC"
"CL 70:2; [M-2H](2-)@7.60","12414.26468","11448.17879","17238.68837","9257.069766","13270.8677","10282.54685","5415.497238","15499.66621","11677.87503","8889.705992","5598.213653","16953.84124","10915.80498","8664.452589","8904.139129","15051.59311","9245.323858","15253.87904","13943.56187","10875.82048","5536.293479","5727.920378","5874.075994","19135.43206","4253.18692","6660.939771","7149.900291","7491.926602","5545.146186","3174.573523","5229.098303","9165.93495","9897.852818","18800.25735","11656.84396","2742.49235","10286.02182","6172.669288","8218.173166","7594.902372","10663.14867","3256.096557","7646.277281","10645.87745","4961.230006","6773.452627","3219.461092","11407.52286","10391.78778","5417.881457","11096.40375","6704.702708","7745.873856","6221.580927","4898.567938"
"CL 70:4; [M-2H](2-)@6.66","6636.292422","550.4222567","14993.04917","3992.681015","6542.821375","6431.582482","2296.351925","8931.997264","13154.02016","5555.937511","14830.28134","19154.44772","10973.28181","6826.304973","7814.510442","5637.866937","13346.00763","15401.48527","8425.937891","7306.149298","3879.227159","1932.70047","6548.984017","3585.833117","4175.785383","2987.975426","5351.017873","4767.169968","5086.844372","4970.212879","2694.429684","7193.986768","2859.862653","2447.54574","4141.312757","9420.066506","3054.025728","867.5340854","N/A","3263.528617","3443.947057","3879.96031","6155.428765","3967.212612","1361.224134","5632.145544","2395.895016","2898.800344","6500.998478","7036.432255","4188.821436","6992.582845","7669.935307","10892.03458","8102.545752"
"CL 70:5; [M-2H](2-)@6.05","181248.046","164425.688","340093.4569","70702.8521","146585.2822","195674.6299","68994.75418","280216.7129","246165.8367","149896.5315","219800.6726","226875.9327","230245.324","184476.0009","274849.2741","144567.7833","108770.0932","263978.0267","142246.764","240275.4333","24578.23761","111038.1049","97447.1378","123114.8084","77712.16593","66305.98122","117899.5658","82577.06874","85157.18166","117994.5346","201857.5125","184985.4322","60212.55875","91489.25391","115235.1449","89222.51232","71743.47208","79582.04726","81238.46745","72408.23798","127663.8463","26066.24321","37731.70854","35794.54359","79501.39099","83717.63864","42391.33037","102826.4346","88448.7522","85189.62028","120614.5893","124128.7494","163080.4295","114004.2609","99617.56107"
"CL 72:0; [M-2H](2-)@7.89","12912.23854","14214.96741","19658.89022","13956.79873","1806.514383","20519.05643","11214.8083","24090.64351","25271.10568","23952.55405","32225.67617","32995.79802","25229.07333","14095.04649","26198.01887","12334.07444","15477.7382","32924.07528","23363.27455","22121.4382","16690.92273","13171.2861","15389.07538","15928.82314","14770.10638","6970.605067","N/A","12223.2003","16692.8818","12644.06111","23128.05001","22456.72647","16358.80841","13056.07755","15796.88009","39735.95482","17312.10844","7581.396103","13925.48541","19255.18436","11139.95598","8233.931379","13681.86572","22283.1908","5868.582823","19523.25211","11374.73877","21053.3516","10409.01438","13260.50175","8045.786815","15106.20768","9401.372045","13949.42235","20253.84752"
"CL 72:2; [M-2H](2-)@7.33","35256.29687","89460.2524","90642.49305","30726.13859","20666.46737","56565.55724","33779.88747","85668.60584","30101.8446","75836.01561","101969.304","122130.8539","19999.52735","22533.88716","89768.07612","61529.94442","32144.04321","29406.86132","65960.28046","33914.73941","41419.70399","6988.904515","19299.50461","26341.48886","22069.50058","13565.22957","41063.20458","15118.37493","67715.93334","16977.3621","22114.14841","58884.50684","15330.11345","66770.35282","16240.41698","97208.07008","53892.42004","52936.13043","78640.72953","58773.87568","104166.846","13972.6466","47689.42754","34387.92994","10389.3652","52171.82417","39643.69883","81279.62891","49264.76708","51544.08426","17406.61897","73170.84511","18076.71908","25149.17182","52158.79727"
"CL 72:4; [M-2H](2-)@6.98","133028.8065","71127.42168","132834.1653","52859.88943","87525.61099","80478.64997","60986.15801","131445.3318","118614.045","76425.74332","128140.3595","142334.4026","103488.0883","111873.5896","135384.6195","79482.58258","89844.92799","134166.9206","138204.6737","159013.7636","34939.52138","69978.32056","66729.83552","123695.0149","62640.01486","71835.12224","89500.8281","88479.85552","91558.76556","62030.97785","95339.14901","95209.55888","53696.20791","83212.12793","60576.32062","99245.85735","70174.41614","74701.78721","92684.22469","70787.90565","127906.6612","61376.2408","52883.38896","65402.24039","72632.56308","93483.3779","65744.02024","90548.52187","80285.77084","77556.43252","73545.42301","76462.58491","84407.00487","74500.36064","53255.47652"
"CL 72:6; [M-2H](2-)@6.94","28998.56963","19808.51118","24207.97248","14801.36212","22880.84604","25819.56277","17889.18938","45783.14941","21455.67921","21029.75385","24955.01452","29957.15782","30808.7216","25425.74034","21747.81254","23534.20364","25815.82533","37565.69466","10808.74481","40890.46598","13928.78055","19469.46196","22219.88566","31230.10622","18740.55297","12798.72447","23652.15426","22199.36604","26405.04521","20966.51524","34187.23797","40182.94739","19635.72069","13493.53285","6233.581431","15808.45493","28260.97051","18249.72715","23184.46766","13090.33306","15216.11889","13902.97277","3501.26018","13195.70193","18855.35359","19277.0598","13649.58442","25073.23835","7666.421651","23254.90806","19811.12462","15378.72164","21759.29176","19304.41331","23690.93206"
"CL 72:7; [M-2H](2-)@6.20","39939.78662","20643.48781","22350.29432","6766.882392","18213.60786","19559.31847","16085.68192","31198.18647","16600.86797","12107.40169","17805.50997","24270.48968","14038.16441","6539.189184","19031.20036","17961.38708","14327.71037","33751.37449","15744.44391","26064.81323","5252.34594","22816.41445","18756.0444","12896.98556","9287.098189","7417.351851","9961.032751","15212.511","10499.09842","7738.380685","9926.773702","14943.31557","7964.25717","27917.61664","22772.52543","11020.68366","10065.11355","16216.47711","31733.03521","18509.75216","21535.36593","7129.715186","13474.52274","3407.261489","9775.537933","8913.34699","5648.985516","12726.33888","17598.49818","6709.384622","11646.25726","13173.84311","21029.4798","13596.65076","12489.37883"
"CL 72:8; [M-2H](2-)@5.55","24050.00216","29512.67224","22374.22287","4861.297554","24178.62168","16699.46227","10343.39421","27904.5169","22810.98559","25363.31303","26880.59197","24747.13241","9286.202042","14456.02321","22615.76068","13895.29367","29543.20048","41587.09847","15759.00744","20427.53885","2340.203208","19296.02109","13332.59708","11398.11568","7144.872301","15184.42568","18725.10841","21481.09695","11408.34903","5555.627082","12977.19139","23973.60936","6120.882036","32224.45475","19771.2241","13043.88897","16271.58786","9483.414691","23597.34226","11869.61533","21521.73961","N/A","14368.42804","3343.661196","7242.462777","16158.80854","6229.393163","14172.59951","8745.875821","9257.57257","12151.92905","12548.66611","22533.81531","6007.80569","13372.66935"
"CL 72:9; [M-2H](2-)@6.22","4807.483574","4623.496878","3299.73973","7093.849694","3723.10559","3047.220413","2262.779036","4556.947651","2870.969967","4165.379094","8308.311525","1834.959222","956.531675","2816.846597","1921.772815","3935.08571","5630.384561","7767.717925","6758.756266","4001.731301","4019.686591","6420.683946","6224.140783","2410.105075","5217.093214","3682.896479","887.8522825","1231.977994","3399.095847","6888.835907","2507.022468","4410.573067","2190.097532","3393.842385","4143.376809","6394.624935","7494.896971","3001.635268","3540.538478","2555.558164","3603.957835","2598.427396","4696.273135","5134.589602","3662.179892","7778.858274","4521.793351","3146.05754","2704.672215","4340.255942","1862.046791","1452.037802","5279.372211","4103.582879","4689.884329"
