Lipid	Adduct	RT	Class	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
DG 44:6	 [M+NH4]+	8.57	DG	24.45	3447.642126	7491.413295	4414.521689	2273.710583	6208.532433	4865.588299	1472.164112	7125.123677	2558.362996	9783.826961	10652.24483	3055.900304	1948.766721	3378.316511	5810.442498	9787.714049	17322.84384	8827.258518	6726.788717	7123.906832	9427.952026	10078.92121	13724.01835	15513.25502	11340.05587	6871.610459	6115.933834	8560.477727	3410.608215	8619.785284	11296.20505	7976.089997	6405.170751	8612.031734	1830.652234	5891.294089	2167.247439	4755.176705	3589.315516	5290.65464	9287.94252	8028.44888	1971.317844	9465.310763	3137.890857	6015.362816	37756.69375	4629.242963
TG 55:1	 [M+NH4]+	11.17	TG	24.55	65087.7084	118546.1753	450872.3406	36580.02051	70016.2319	174628.781	155655.6781	187540.4293	206548.9278	548424.6433	138104.0472	220950.0309	42506.52334	291396.7008	457300.8672	358446.0264	1261465.362	494358.4688	816975.5437	578355.6612	937486.2592	1472213.952	674056.6356	729795.9251	350366.9276	915557.3541	226880.9789	652907.0546	495803.1953	714859.7246	305758.3274	1691074.337	1226499.414	846225.9611	540856.0211	494770.7136	506710.2289	648538.4606	140249.4209	485329.176	352732.8563	1226593.413	540755.5077	485437.4939	146893.9021	215615.6349	963911.3514	201772.2125
DG 28:2	 [M+NH4]+	5.76	DG	24.56	10583.47454	12970.00885	33615.90287	4847.549723	19759.20806	38098.10204	41472.24668	11395.52582	10776.40752	12025.22238	19183.56914	10300.66323	5655.58385	15430.43472	12613.45004	16894.85757	15795.74513	12318.81261	11295.94217	8576.113123	8486.15727	9159.157484	11426.81788	16115.16735	30143.11306	8812.887433	14180.33245	8696.544534	4622.534848	8756.343161	18946.23224	9829.962057	5541.982486	6707.754796	7963.78795	5159.960749	5251.785752	6847.40821	10487.72992	4982.450129	5595.198562	3770.13882	7881.208607	4911.001702	5952.963344	6261.582283	16743.35514	7492.834907
PC 46:7	 [M+H]+	7.93	PC	24.59	8219.631153	8909.080965	8077.384435	3319.074437	6496.14789	2323.470819	2013.496702	1888.86954	8170.451855	11268.84719	9240.080015	5546.987825	328.8875362	4445.672632	5559.644593	6947.654734	15083.56411	10014.52673	10060.793	12044.96215	7296.921347	9043.298877	5166.890357	11992.63681	11527.05673	7442.833658	15171.7572	10851.17798	10666.6599	12806.8369	11708.34228	4565.992813	10391.41694	10999.34919	8179.217305	6602.907779	6895.337111	6139.74043	5246.60842	6306.672689	4259.270587	13540.49001	5486.832255	5681.90679	5518.92238	4655.548719	5134.372974	6319.969428
PC 31:3	 [M+H]+	5.08	PC	24.72	2918.010048	4981.330821	5083.480134	3368.681358	3307.649881	4912.670047	8571.328633	5028.798415	6195.63153	6270.699728	7945.760252	3611.008541	1696.663498	7204.474256	4293.063111	2831.111278	8676.633143	13765.90825	9691.881216	10954.34842	5500.146164	4999.784675	7168.253122	6754.185053	36431.71604	11753.06405	2964.28486	13241.00139	21572.83106	13734.7564	8079.917163	12191.38364	3040.943241	3404.28879	2947.191019	3794.423909	4489.248001	5997.967924	7135.25129	2612.424145	6027.377679	3449.923923	1520.40745	2406.248244	3116.379768	6057.485071	5248.16114	4643.89797
PC 37:3	 [M+H]+	7.01	PC	24.75	50034.60918	25999.67219	15223.40918	14058.55445	6520.369753	22319.68657	28329.41654	18173.8332	20460.75971	66758.88564	17644.86777	25280.68664	5365.001105	22405.99634	9868.668364	25434.77915	142244.1481	43551.22948	35984.50684	35705.12333	25450.68342	21474.57628	16867.16508	30157.0309	39982.79287	50569.90916	30181.64912	81882.78287	40695.02766	18353.26361	27923.53265	26495.46966	64647.50605	186276.5497	44382.65884	47262.78264	24418.85946	34594.33886	34846.42784	64386.62951	47393.32046	154170.1451	43249.26102	71126.17455	9157.567467	31481.83377	30587.31164	14003.05091
DG 39:2	 [M+NH4]+	8.77	DG	24.76	23338.86037	61032.84478	23896.23501	9373.616593	6460.124934	17545.6399	43889.23857	24487.18174	24931.29739	124813.0263	38750.74427	49750.13813	2294.752783	63122.80817	46281.70441	65938.23985	249347.2251	72085.73359	40576.10153	81033.45868	34164.38829	69122.08939	23661.84597	139296.9379	66562.3749	108136.5788	29616.34599	110707.1322	54930.49889	26516.00459	54525.68489	44675.66475	59083.94038	138925.432	39815.18838	42799.21663	38103.24387	34444.38733	24334.36934	21655.08663	110600.9637	93834.69787	19669.51295	77632.81218	15054.88858	57011.4384	110778.198	19563.76494
DG 39:5	 [M+NH4]+	7.83	DG	24.78	15413.76227	25930.14288	29812.09082	14737.95931	13406.66509	30560.3728	39733.22811	31202.74377	20770.64581	22832.70068	39845.07604	9194.863006	23802.02672	41174.03864	41137.56293	27503.92691	39278.49695	21798.7596	18375.51214	42224.45216	51450.50571	60337.29351	38411.53985	69477.2305	34352.54923	14300.16841	10689.13531	22991.36237	30742.40825	14567.32066	33847.31677	33147.624	9997.698034	18536.96974	12314.35366	12969.258	34072.38528	41662.1507	26742.88064	12071.75633	69918.67711	17614.86235	9073.589349	13595.28673	19413.6126	28484.4537	54527.55742	31836.15512
TG 59:4	 [M+NH4]+	11.03	TG	24.96	7648.481013	7244.892351	65438.58408	15104.35505	10288.56717	54191.81113	13856.2021	19152.79932	6528.560261	56735.12653	18161.63012	22332.59811	16966.92019	59457.78569	63796.50271	112153.5032	171189.6313	187045.8516	181494.8771	26020.21008	95055.30339	57857.26463	52607.36095	126474.5375	28530.59213	84594.88134	162964.697	118044.45	58543.86894	132488.6011	15626.73172	191717.1066	275038.7613	276778.5914	71642.27484	51947.27961	53734.51325	62757.78269	23075.70095	57940.19805	98775.18603	133697.9195	13096.21	59068.57653	10502.10114	48103.01323	247375.4963	70497.15494
TG 52:3	 [M+Na]+	10.22	TG	25	3247576.787	4200464.69	1549495.659	2208129.467	1208351.497	1198483.011	1303244.279	1303321.044	1903884.772	4215739.137	1243438.984	2488689.693	357228.3435	1703639.726	1316430.765	1659597.924	7325912.874	4131918.672	3137222.209	2879136.712	1471036.283	2415285.399	1050960.799	1052030.508	2821516.633	4031239.629	1415721.072	3492672.633	3153411.049	1218636.258	1622614.868	988097.167	4727764.485	5096886.04	3619726.742	2541310.513	1436036.365	2520798.044	2296147.428	3096757.449	2020073.01	4221200.103	1151927.077	3309808.107	847647.2239	2042798.74	1247882.101	1976955.598
