Class	Carbon	Saturation	Adduct	RT	Class.1	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
CL	78	6	 [M-2H](2-)	5.59	CL	12.95135076	105416.9547	81080.45085	70079.39472	48464.51436	47889.30083	74630.20055	123838.3466	76795.28521	74259.59304	91557.48199	108237.0389	213556.0711	87522.14648	71258.52369	55356.51616	49731.28093	65008.30034	56225.81518	59647.55865	68406.68081	84100.64583	69894.07647	26938.14174	39565.41212	162562.1031	138545.6994	77484.301	146383.3971	177178.4663	129381.9521	143354.8043	110487.3795	52835.28373	16044.93874	14764.93405	44030.95501	66400.2066	46548.84119	82827.39219	40959.66553	53135.56426	41863.54233	26972.0945	37127.18231	33899.49766	51234.31329	70744.49291	95914.80404
PG	38	4	 [M-H]-	6.15	PG	13.12752672	177553.3382	129744.0541	107065.9526	72487.84615	177616.4215	192402.8712	180774.6974	81604.07517	117075.3996	156247.973	137000.2394	161380.7712	81445.94899	143474.6153	93145.33966	65233.02732	120433.0189	84381.32458	109934.6815	109306.3422	101316.3414	114316.7456	76100.10517	99577.60688	156147.7139	87817.64911	173756.8159	174005.307	132671.3036	163896.6183	89465.43515	85827.91759	121359.9105	88724.32168	108033.1131	123885.6739	182494.4959	164715.8954	146251.2997	159324.2639	109573.3223	195704.8235	150004.1959	95302.41402	126616.3656	158030.5977	171083.6983	152785.8617
CL	72	8	 [M-2H](2-)	8.94	CL	13.21869485	578332.5258	570002.9784	630917.3704	213256.1481	769082.4458	744428.4037	1427173.059	640489.0567	492059.9595	705822.2206	700602.5061	605957.7007	253369.1104	1214664.349	433145.4826	468189.7947	309120.0681	531577.4214	449593.5821	522330.0654	435596.4195	553536.2712	221183.9832	517784.7863	480736.3093	373370.6997	332107.8452	191210.8367	1024911.228	737461.7088	736953.3374	438288.7524	474605.7642	89096.20262	314732.3351	322275.9998	738522.2983	874629.9094	867489.0814	237040.3299	660867.4239	333461.7975	246582.7752	128995.7228	481143.2852	806281.243	878480.1856	567720.9019
lysoPE	16	0	 [M-H]-	1.69	lysoPE	13.25454428	7127984.993	7918022.628	3362037.954	2422074.165	2747829.88	8209792.516	15321116.54	5003980.185	4617541.434	5921112.42	6428678.201	4822829.289	481358.0186	4726047.515	1770552.972	3623643.343	6757772.767	4501356.537	3109646.196	4035240.654	2851148.092	2440763.151	368959.4344	1039636.195	3793041.419	4346645.689	2861747.69	2428107.151	4735796.266	4617463.409	3211449.721	1769842.472	4707258.929	843212.2683	3129499.428	2525525.699	4065460.209	4972494.054	5383891.494	4471183.938	2657411.503	3290046.465	1513728.392	1488089.234	2617912.664	4174483.72	5679870.705	3131755.78
PE	36	0	 [M-H]-	7.84	PE	13.27263469	156748.5856	230976.5334	169564.2176	102784.6138	44979.06429	267195.7642	253214.7165	302210.8873	100012.942	209182.0544	205096.0807	183471.3384	23283.17875	187931.4556	557559.9582	503220.3898	503100.6323	321712.4037	264473.4769	254166.1807	267468.5525	544133.1769	943550.2718	988204.6754	163143.6287	130696.2882	74787.59761	494123.7039	337892.0844	369178.3209	142451.5519	302786.7551	274662.7287	171092.7414	205906.8562	151194.8741	168590.7033	241257.7771	215858.0427	315603.0005	619206.88	234784.8653	97605.72577	227862.7843	116631.7917	355936.741	302683.4823	211004.9819
CL	82	2	 [M-2H](2-)	7.53	CL	13.34530454	19704.79656	42737.74017	45936.8909	27463.19196	20741.35311	34832.58302	56674.5875	32223.68971	30253.84067	40321.57911	55836.00528	46022.44786	30924.9569	48027.90418	37836.19299	45675.35342	47385.47456	32560.78787	57057.81354	35176.62109	47023.24665	57680.41693	40598.9849	66498.13526	50473.64635	82353.89859	31809.37323	46826.66314	120271.804	87899.10982	68363.23099	68490.27864	55094.02831	14715.78782	54806.16436	37621.39728	43496.40647	64951.5583	62614.20971	56723.85159	59168.18296	80492.15283	52312.0151	50529.07206	87347.72418	90478.23061	89746.8868	63879.41697
PC	38	4	 [M-Ac-H]-	6.59	PC	13.46234123	4687426.173	4973317.198	4277879.276	5011725.636	5229808.496	6074818.818	9288198.282	8299744.913	4583419.575	5269967.348	5508790.1	6424465.06	5190459.096	6748827.002	5892507.418	4996628.459	8388287.879	6273359.381	6532654.846	7945887.823	8398152.699	7211882.387	5120663.95	6553409.766	5322348.2	4172462.382	5306783.878	6231600.991	9266585.734	7895387.066	6302508.078	8966742.977	8708974.893	3285249.506	7795973.285	7710875.77	9311825.53	9547326.825	10379787.51	8362169.056	9228702.774	8668773.19	7129650.003	6968795.803	8831991.932	10167000.73	8512333.443	8360128.848
CL	72	4	 [M-2H](2-)	9.69	CL	13.65691912	37814.18321	54589.97293	17930.52496	4107.450012	34168.49945	61963.52534	62029.93514	17081.68988	17165.80465	31282.68024	19525.22772	26028.25318	3910.281851	36078.72849	17057.0315	17322.54365	43438.38362	41599.7041	25323.79474	45886.37471	14103.08975	18830.68896	5216.202993	26688.14494	48326.48548	50845.15463	31783.50146	27814.4038	67360.98412	54249.70861	15245.18016	21284.61186	45620.06648	56918.78887	15650.01432	35866.508	28428.28302	42995.06916	49877.49878	25070.11015	45410.0629	26854.5589	14249.0024	22246.12723	10487.81224	37898.78246	38110.72265	19564.77708
CL	78	8	 [M-2H](2-)	5.74	CL	13.77104785	79072.23791	77002.22749	67043.94755	106998.4958	25474.73041	52244.89727	75738.90979	60202.96235	51855.64309	61335.88013	78356.08799	59736.07483	45476.60496	45037.0756	35791.26107	53614.83776	104586.3072	89990.25418	83164.39122	78491.54062	50057.56802	61062.61343	154344.8116	69678.49002	62690.30609	96416.43685	48596.7651	68418.78363	71932.27027	58120.93335	33097.96516	47314.99007	79742.68389	51547.81285	109841.6308	103781.1843	43658.76502	55550.60592	34999.47871	92723.90897	52901.88028	77635.14137	84638.30707	87166.6259	51356.45558	49879.44312	67310.87909	44777.40179
PE	41	4	 [M-H]-	7.67	PE	13.8270091	171735.3126	178109.8786	189334.978	64046.75548	52898.05172	99114.07543	184086.3871	92094.37337	132120.8508	196747.987	221287.6322	149516.6585	38241.74022	140483.2473	151322.4558	122380.6916	143556.363	173231.3673	139947.8066	190018.2742	136874.0774	98192.21083	91952.78404	135343.9264	155623.5921	147129.1556	89109.43287	132095.2929	172528.6684	150875.3896	123362.1624	126575.4501	154207.8734	15851.80375	131650.1526	128896.3791	117170.4525	139732.9754	83662.68694	124878.4002	169629.2094	136603.6002	124433.7106	91655.07406	94869.11685	203973.0896	204572.151	115517.7921
