Class	Carbon	Saturation	Adduct	RT	Class.1	CV	Ctrl_BKS_2202	Ctrl_BKS_2203	Ctrl_BKS_2206	Ctrl_BKS_2211	HF_BKS_2214	HF_BKS_2216	HF_BKS_2217	HF_BKS_2218	Ctrl_BKS_db._2225	Ctrl_BKS_db._2226	Ctrl_BKS_db._2227	Ctrl_BKS_db._2231	HF_BKS_db._2239	HF_BKS_db._2241	HF_BKS_db._2242	HF_BKS_db._2243	Ctrl_BL6_2249	Ctrl_BL6_2250	Ctrl_BL6_2251	Ctrl_BL6_2252	HF_BL6_2260	HF_BL6_2261	HF_BL6_2262	HF_BL6_2266	Ctrl_BL6_db._2273	Ctrl_BL6_db._2274	Ctrl_BL6_db._2275	Ctrl_BL6_db._2279	HF_BL6_db._2286	HF_BL6_db._2287	HF_BL6_db._2288	HF_BL6_db._2289	Ctrl_BTBR_2292	Ctrl_BTBR_2293	Ctrl_BTBR_2297	Ctrl_BTBR_2298	HF_BTBR_2306	HF_BTBR_2307	HF_BTBR_2308	HF_BTBR_2309	Ctrl_BTBR_ob._2316	Ctrl_BTBR_ob._2317	Ctrl_BTBR_ob._2318	Ctrl_BTBR_ob._2320	HF_BTBR_ob._2329	HF_BTBR_ob._2331	HF_BTBR_ob._2333	HF_BTBR_ob._2334
CL	70	4	 [M-2H](2-)	9.49	CL	14.88846515	126314.766	120548.1512	75353.10889	27088.67194	84473.03246	114737.7933	189104.049	54303.50523	77626.12721	137254.9541	103825.4822	114834.0475	8140.205135	82324.20363	32187.30125	45702.14995	127999.5611	149213.1638	111665.7746	104570.6017	33765.28948	52647.10735	19160.58662	44512.5066	136706.4651	197611.8698	75752.04031	64966.70899	178423.3489	89826.88122	64683.97493	46985.72597	136954.0499	156463.933	79867.3674	111488.2443	103031.3255	131850.4454	118570.454	91292.60102	90698.13742	132593.7734	58476.65518	49685.11044	45351.69395	114136.8071	128990.7384	73313.36055
PI	39	4	 [M-H]-	6.32	PI	14.92171668	64507.62268	62482.93566	204862.3353	63280.78885	213152.9981	70595.82913	104237.614	64465.84036	209200.9709	224765.5919	225618.3077	196221.0034	52505.06693	131812.9677	96996.16898	60183.65744	135698.0731	164581.4993	206076.3768	67684.83579	62515.22606	151063.9864	505.9746974	119778.0221	152153.971	72124.5731	221781.6723	66977.14001	122637.6277	119347.6586	84348.99663	113124.7401	158262.3787	54569.30167	121180.7024	170982.0108	86113.41492	89534.34106	114114.8345	71035.22399	102006.4708	171782.5084	103225.0052	53880.64887	134586.0444	91698.91214	126715.4854	127875.2058
PG	32	2	 [M-H]-	4.85	PG	15.01988831	6245.240786	8420.687037	6468.856391	3939.586355	3294.320785	2053.854311	10523.42885	2583.124318	1926.588091	10637.40599	10434.87508	14483.26056	588.4395973	3215.883801	699.759247	2468.54496	16267.91165	3026.928147	10015.21757	11825.52285	3619.5202	1892.400914	1046.382231	2706.500383	13541.89761	8593.788763	3674.904312	6545.293794	17583.66727	5308.840477	5127.416214	789.1412301	18231.03157	879.0063746	7015.143937	11051.71194	4000.787243	3161.779272	8133.063723	6195.323351	4309.531596	9985.700688	4821.083286	2841.072397	3047.8917	3702.374923	4222.258814	2406.705942
lysoPE	22	4	 [M-H]-	1.84	lysoPE	15.19694332	71223.67554	65536.5672	42791.08118	13639.07754	24592.4674	62961.08831	147327.4666	42046.82267	46862.37836	56094.69048	63862.59383	23606.68465	8021.135925	56073.53376	44146.16528	29636.88625	81952.11794	47440.23849	41375.75187	58125.54849	35165.17914	56278.22266	3258.718114	15749.49964	69337.86752	41964.55791	45652.72892	28713.73919	46957.75615	33604.51736	36037.13027	19360.89878	26991.66394	2901.466226	21848.37801	29882.04922	14478.08577	27289.62926	48032.56603	52600.7805	16767.99247	19884.42289	25594.25874	10688.59955	34019.26723	37177.37073	71490.07735	56570.71115
PE	37	0	 [M-H]-	8.08	PE	15.26825086	14799.52186	16288.08698	27356.46882	36775.51458	12452.19575	10943.78845	20501.49509	25793.41616	14289.50946	21141.61768	34485.92832	27793.66619	15630.80759	19999.19631	31145.48958	44591.39232	31490.9832	32344.93641	24757.16113	17665.1204	29088.83148	22281.38011	69899.92843	27729.00242	17242.375	16390.98574	14217.89855	41119.56622	24797.44595	32663.08542	26070.17312	33025.21075	18588.50044	26727.52169	41551.46811	22930.77052	19587.10457	24625.57487	17992.07099	30173.00272	31014.78615	33487.95473	28968.61084	38157.21073	22247.02733	42636.64994	25689.87754	29045.49828
PE	38	4	 [M-H]-	6.92	PE	15.48660613	46809219.59	48137368.69	65999874.31	44657303.75	50627867.77	54640582.31	83290978.01	57886608.67	48555615.27	51764839.65	69297022.09	65299091.07	37874891.37	79687224.22	63139236.72	60541088.13	62290302.89	62599591.29	56035368.58	65846528.25	54518296.11	55196628.64	44474669.27	60445206.53	56920457.04	42041937.32	47274607.65	52467550.87	73381694.81	69046110.76	62720790.2	56509917.17	48575570.3	17345547.91	53284569.78	45905331.7	50907895.99	59635980.09	55245606.17	43010531.79	55184857.5	46580292.13	44251872.94	47149218.95	49234676.77	62428577.61	65940879	43822199.1
PE	30	0	 [M-H]-	6.13	PE	15.48797883	41545.70451	66280.34703	30625.27802	41518.08288	13149.00974	36150.20189	30577.42658	40527.06071	35959.7377	28278.45042	41982.53759	34417.70868	5873.633466	13896.05853	7974.356428	20337.75679	40096.19269	29676.96278	18611.41093	24113.90556	11986.5127	5494.138882	12661.68398	6332.015329	27222.78684	39387.41057	25887.29571	18718.54884	17027.65944	15091.50456	13492.72947	11445.27329	16090.11847	42198.10538	15883.88232	11492.75183	5823.558898	8837.38265	12447.60143	9528.916944	5361.364084	13377.50821	8232.326773	10040.32482	5187.349908	10651.21141	8240.453767	8826.140116
PA	39	2	 [M-H]-	5.74	PA	15.53841535	29483.70273	47078.48742	45002.52393	34872.83993	22704.31211	38835.59438	31159.8093	23408.76565	31825.6731	48823.29184	31222.14057	62174.37394	6663.605709	20329.86746	18057.62775	16600.99589	14825.14207	28937.33932	21538.33193	24220.87809	10534.44803	9000.059019	11060.19193	9848.37567	22013.62845	32274.36611	9138.255559	10491.09284	19399.73868	25734.77411	17525.4642	10476.00298	31915.56058	10199.83097	26644.15776	12762.37496	17942.15346	7911.87301	14065.42933	19911.47245	11681.42436	13324.09735	10473.06101	17868.06218	12326.55579	14986.16157	20142.73566	11593.49534
CL	74	6	 [M-2H](2-)	9.57	CL	15.58155743	47617.54595	114356.7489	61672.19004	34409.61629	58227.22785	207907.6436	205945.9918	104058.588	35236.75471	100631.0399	81058.29112	51844.97102	7640.727726	139908.3775	127099.1239	187338.2366	105272.636	94209.32691	47021.79464	57318.68654	56795.13085	119616.9949	120620.0348	178380.0165	60774.27878	77389.59991	16625.84955	88450.24438	186049.5608	96620.84573	72956.47423	63371.08292	112744.7043	75123.14841	50784.91028	39257.98666	84897.33088	119905.7042	92724.63326	112722.7592	199659.912	56106.1905	21128.76197	33649.15687	23706.72852	149302.0097	144710.5446	49950.6683
PA	40	4	 [M-H]-	6.51	PA	15.71088693	244970.3154	287425.5955	154131.3848	115218.3159	481730.0048	343155.4339	413143.7226	88770.51606	429815.7327	180922.1777	268488.9061	154020.678	319861.8952	332796.6444	132611.1162	164264.77	379775.5865	323334.9979	310042.4492	289112.0034	402834.7246	303269.4103	167317.5238	249492.0255	125374.082	181413.9624	203759.2597	152627.3543	479820.2905	267430.5445	306728.3374	510739.1847	262956.8673	83786.65534	172837.4194	170590.9298	266223.1546	418241.2022	309046.8801	248086.6628	289276.2833	246742.6662	350913.5911	150210.6771	471052.4185	607887.9379	188623.4591	314042.8012
PE	38	2	 [M-H]-	7.51	PE	15.71123061	2875676.871	2716053.809	5128776.752	1315897.829	1258530.868	2492404.219	6831756.976	2555551.541	2302879.53	3779726.552	4906580.017	3029298.59	1053533.594	6665216.524	5841989.587	3964709.433	4740527.445	5067174.65	4892251.417	3625640.277	3787565.684	5213176.935	2497643.554	5323577.015	4112459.131	4130287.977	3475264.885	4795033.797	8700629.161	8324760.947	6055651.298	5346973.289	3902839.842	605040.0046	4121695.418	3703220.958	3874559.312	6209715.012	4051676.665	4654040.055	6273099.964	5805667.034	4279316.108	3954644.588	4486329.983	6849614.365	12308430.92	4937377.877
PG	34	2	 [M-H]-	5.31	PG	15.74332601	1504589.241	1416144.872	816180.7408	550630.0083	749434.1381	685351.6738	2342003.787	685591.4029	780872.3065	1411220.051	1324329.909	1750470.485	394956.0974	1739803.274	714313.9404	632045.6788	601384.4696	725826.1987	738360.6758	1050588.142	634656.3049	560023.2277	98179.16533	367036.8783	1052081.235	929106.6137	445622.021	643824.599	1654022.759	1241771.194	847548.4767	526321.4423	772048.2907	111803.6792	735171.2748	650520.9549	827011.6639	1457776.407	1183015.669	480594.1848	617059.3793	721330.6989	567628.6598	371650.7754	702302.7545	1138061.865	1460422.813	591092.1697
PE	37	4	 [M-H]-	6.09	PE	15.7442776	67813.12825	72770.12259	34989.9843	54966.94687	47364.80136	65018.82507	64937.92071	66876.6504	65542.97166	77837.51	49911.98592	57017.80859	55596.57092	59948.86539	74758.34137	100424.8872	78933.92181	40475.30693	58643.29212	56875.52149	42043.84545	76190.71769	53827.479	48493.37827	40138.41826	70924.09422	21211.80075	48287.73556	56824.54415	56046.95564	46789.44296	50315.36772	75483.96859	57995.2526	91981.16833	68283.83894	52942.42239	65444.78622	45441.10836	93981.43451	77573.26706	81187.5776	84942.92346	100786.7528	77017.04184	79158.58362	75500.72168	76454.9889
PE	39	4	 [M-H]-	7.16	PE	15.78142063	1866022	1901240.005	2579193.1	1008697.761	1134064.764	1127412.825	3283341.238	1396085.858	2256714.117	2951578.657	3197237.224	2282668.433	912346.4682	3002326.078	3046168.869	2780265.343	1880107.004	2238538.164	2360671.504	2727738.474	1615212.837	1587099.714	1306029.856	3081393.553	2285435.069	2495190.812	855749.8952	1577865.574	3418731.337	3062977.699	2367040.406	1658943.958	1979092.721	451428.2433	1497737.049	1586614.291	1482936.065	2146989.919	1037028.713	1219782.524	1854773.805	1520378.49	1298140.818	1250743.325	1041534.88	2070025.788	2746901.027	1252749.592
PS	38	4	 [M-H]-	6	PS	15.82540195	19748796.49	22545202.58	28081327.38	21023589.2	28421965.66	32321208.55	16618515.22	19204279.91	28738028.92	24648189.64	21845242.18	27543101.24	17059065.74	26132722.46	25631581.94	22233553.46	23458461.66	29611778.47	28490190.69	26065950.41	25571313.18	45666824.48	23987294.02	46204226.75	22408652.6	19376392.87	23530815.41	23515969.06	25645823.87	28944097.76	27044825.36	26816237.81	26770197.5	3214004.103	28283940.82	28576314.66	27016414.47	18863556.91	30840767.08	25064398.95	32256672.93	28663413.74	28073461.73	25603316.51	25638622.81	27413896.44	21486091.52	29495725.46
lysoPE	19	0	 [M-H]-	2.94	lysoPE	15.85050934	29027.90828	28592.04696	37810.44219	5250.665755	16566.80465	16134.64592	92796.03107	16216.58419	49993.96677	67753.02137	46261.2628	31463.92874	7689.191328	44321.11222	30800.88195	33239.5368	26869.98735	23420.06395	17626.59293	25983.85016	24730.9138	24325.29593	11151.04301	19406.10728	17315.09697	25559.14112	26843.69279	19381.0408	26214.74122	40786.04927	37368.73057	14891.3648	29284.77625	12728.50426	22569.23658	26039.84802	32141.00736	44719.52071	29353.97854	32273.31453	29819.70109	27648.47281	19759.64589	9966.144787	26196.24669	30245.51642	63612.53707	26948.7163
PC	36	6	 [M-Ac-H]-	5.34	PC	15.91646236	212379.8704	183196.0003	281474.4447	236139.3766	125029.5322	90258.84493	211601.3088	180588.3277	186700.0966	164174.8131	192085.9309	272303.4026	88217.33925	109167.3139	92806.95007	122054.6848	292796.2814	252969.1253	272921.1096	295984.167	176559.4658	133487.4262	75796.99216	112331.5376	173442.0031	284170.688	51687.4111	265717.4518	163947.2464	106961.6078	161085.6254	158598.5348	195670.9328	52759.73399	229641.0563	199261.7026	73251.4053	104836.0138	125047.7382	200029.987	76498.30052	189674.2017	219937.3206	243853.2139	80994.39155	71091.94994	76811.39414	80073.29103
PS	42	6	 [M-H]-	6.58	PS	15.93061482	15939.55671	24324.24823	63051.94094	20414.48273	9584.357079	6352.397607	23517.52053	21325.74421	46819.95376	45247.03617	57557.59535	48269.63757	37563.30293	22895.82069	25326.16963	42662.32202	37420.45832	28660.41633	26669.96515	18190.15705	21883.35796	19900.5909	68711.91206	31695.96734	29942.72037	35988.98885	9525.604548	50435.50213	22896.24401	50770.44196	55245.9379	30312.22302	26236.37113	63037.21097	18854.91205	14618.61459	15723.61052	24536.59255	18691.06825	29972.70864	26467.663	17600.81865	24819.15692	17253.14754	34908.25262	21203.24001	34785.53924	28129.2192
PE	41	6	 [M-H]-	7.04	PE	16.14905743	259469.8513	341357.3115	662983.3562	219317.0338	447851.7771	218504.4038	399205.0078	286932.6777	457162.9994	505458.9159	465223.1555	237454.3377	196206.1666	395739.9228	375153.9652	630464.1529	249919.4808	325133.9265	185567.3073	369989.4213	328081.2872	339989.303	289023.5581	476464.6061	140713.8177	289188.5347	321643.0584	101552.9013	332904.8585	275188.2305	388133.9312	278676.9724	358574.4141	249499.7271	302148.3424	266323.0856	542017.5214	474646.3788	327218.383	286252.5274	437184.796	284250.2139	163150.8265	205922.1136	425071.9506	614828.019	510132.1403	243018.816
lysoPE	17	0	 [M-H]-	2.06	lysoPE	16.17052981	48934.5305	31684.69307	53556.92954	20095.83708	32729.70626	68784.00937	239844.4849	52638.29544	69125.12989	63780.40079	77703.02798	43185.25343	26112.61341	88931.11535	66947.04525	63483.16909	44530.70162	48535.13586	31535.58392	56391.86257	51198.28693	69116.94592	14228.36127	28218.53384	34645.6324	37791.87745	66087.05284	31730.85344	44699.13363	76126.87844	63814.04575	31059.42641	55168.14853	14942.16243	32534.09789	40596.95792	47931.28844	67704.79198	79116.91211	42800.97475	47428.07927	22798.56728	18618.80849	27891.20061	71459.00058	66133.50688	89276.15935	65708.05198
PC	40	0	 [M-Ac-H]-	8.78	PC	16.19655264	4039.586321	11072.13291	16892.66223	17644.27214	9379.570757	15274.71589	13533.79456	19517.16905	13552.9842	7168.760265	9883.918568	22292.84674	11256.14879	9934.291132	15992.64164	26438.95079	16462.43593	13918.8113	11022.11265	14212.15644	10935.15559	8251.479539	38200.96733	9312.075603	13964.76591	10677.97511	7681.133789	39728.67914	8720.839665	7243.720513	10514.65233	13255.46257	14657.20277	38502.7584	18466.02991	10437.51209	13125.68693	8943.005289	14010.98575	18008.20809	7481.943758	13358.11149	23685.71864	20627.60585	11733.75188	13634.15168	11557.87906	13262.63961
PC	42	10	 [M-Ac-H]-	5.7	PC	16.32114481	280471.2214	228625.6414	170978.3278	158189.839	347538.3818	139762.6133	163541.826	148890.9346	388073.5229	449484.1582	192099.3425	225024.0448	136328.9637	162433.8363	180907.6584	116967.7823	206139.7241	370425.763	454030.0777	264203.7149	241166.4176	266954.2637	243128.287	258857.403	233727.571	258003.1044	510736.3944	223392.5926	316143.8178	283056.5991	198770.1836	221121.4481	353918.4671	131816.4371	228407.6575	396072.7158	204054.2799	217521.098	201058.8786	283538.6839	191771.6093	378619.5646	412023.8233	375867.2821	207019.1905	229595.1528	195914.9328	220449.8889
PE	40	4	 [M-H]-	7.52	PE	16.37470594	7698607.509	7464876.789	13170955.57	3236241.71	3518259.698	3414002.415	15123668.63	4134828.704	6812536.879	10671553.44	11074916.84	8470423.257	1868365.284	11278977.2	11090026.69	7147647.195	14890811.67	17782933.07	14215824.36	10250657.43	8911736.051	10747342.42	6553514.216	12517791.98	10107534.76	7367932.422	2622032.087	10155724.02	11307870.01	12103836.25	8164874.608	9549502.352	5931392.284	826393.9913	4877429.132	3763965.858	4684226.829	7016267.705	4881387.901	4482987.982	7794449.757	5959728.237	4268323.369	3445147.307	4665803.939	7394501.153	13481660.74	5221847.785
plasmenyl-PE	34	0	 [M-H]-	7.22	plasmenyl-PE	16.45691519	122478.1826	227884.3093	154345.3354	143363.2721	203783.6287	280397.6113	233714.8354	157882.2614	165314.2528	256995.4376	278766.1247	346246.7371	27647.34214	140341.9149	61789.9374	153237.0221	225108.0508	202423.7417	138536.771	166114.72	82955.67675	104404.6171	1923976.13	62452.86689	150066.5665	186290.3433	107014.8461	98062.03353	134859.2566	70423.84793	121287.7895	62194.3909	146731.6661	137478.617	88498.40895	83080.76594	90130.3221	83306.75577	77477.92857	115364.1422	64238.52454	146786.3564	77470.4802	83446.1905	58265.1163	96541.28394	106330.7748	66972.4376
PA	41	4	 [M-H]-	5.7	PA	16.59796765	50038.09743	23072.71403	45885.87623	29868.3885	11867.96216	45333.16949	72503.41518	16404.71055	30304.50378	11873.23091	44476.27302	41145.37066	10216.17887	35533.9777	17792.40434	17904.67704	23288.80572	17973.18105	20335.22166	20330.77263	10703.69688	17419.68558	25203.92927	26199.37844	60691.06143	61318.02465	37898.20823	19978.98485	45916.67074	16388.89266	25874.77905	15192.5713	39769.94645	10583.22363	14714.95592	30871.36674	17062.55685	31861.00903	19162.94507	22966.65447	28977.4506	28040.51502	17699.46973	26004.43822	10096.66945	20203.48691	27532.49517	18469.21289
PE	34	2	 [M-H]-	6.42	PE	16.72537711	6035820.358	7266367.061	10857731.17	5225853.312	7514258.628	15608683.33	15636335.52	9630345.363	5278808.855	6446739.881	10509014.58	7851408.7	3278720.098	11293929.43	11030027.77	9022951.931	3225939.072	4655668.231	3641497.516	5215472.758	3324060.435	3677396.216	2110854.38	3395021.781	4854621.918	4852396.984	5655541.72	2614436.409	7179441.675	8839516.542	10378731.89	3927740.544	3397717.414	1054266.895	4128393.226	2722139.83	5118148.299	7504156.003	6538821.115	2676559.926	6166579.993	2460838.228	2500648.563	2044088.786	4196127.653	9043961.516	9786332.287	4685064.701
PE	35	2	 [M-H]-	6.74	PE	16.94937778	404489.1193	403952.0982	855363.2206	258951.6887	765089.3075	1288355.149	1810667.429	771495.8665	479329.6938	518365.7537	779962.5831	426234.6788	499989.1832	1402329.089	1068866.213	1133550.243	248659.5502	386356.1287	325303.3277	472453.025	308472.4131	417482.7655	248701.4397	493276.0081	353107.9575	454488.1904	249325.2341	201855.8183	1114662.758	1005848.392	926630.3256	496578.5455	333060.2167	112347.6785	310562.5022	248631.3664	637119.6679	949157.5173	511599.124	239804.9524	716064.7313	202248.4359	297365.4957	204384.6753	606056.1062	908838.3922	1156884.157	574347.6743
PC	42	2	 [M-Ac-H]-	8.51	PC	16.98578572	15554.41085	21004.63711	17005.76016	5794.283451	18037.11463	29627.22474	51284.60561	11850.13353	20514.01763	24448.52247	39667.54752	35973.75867	4758.281096	14704.52398	3414.821631	12760.14284	15321.59638	10941.154	8991.434268	8482.749659	8938.810695	4525.648662	2893.913378	1921.256372	21293.75346	19014.37583	12146.65419	13022.46682	35915.72128	20796.62326	14180.06476	7125.338349	20770.68968	10472.26056	7140.848477	10797.42626	15474.25305	18039.43296	15093.96276	5723.715185	10240.24884	13628.56057	6279.846804	9307.797824	11490.44724	23802.7046	28324.7422	11193.67645
PC	31	0	 [M-Ac-H]-	6.23	PC	17.00540845	26573.37502	33457.26806	18761.92229	17745.9373	20035.51298	28378.99983	21846.35614	22054.64785	18019.06069	28487.35014	28072.96201	22003.69216	11148.89052	20021.1685	11639.33235	27192.49246	25202.83677	17962.92837	23090.43351	40170.70042	23660.62096	81055.20009	76052.44736	84531.13152	20796.91985	26510.67652	19123.04983	17953.58285	33931.48223	26520.85417	23795.5988	12795.06547	27600.06092	22078.33001	22168.23663	20608.43424	13012.35026	17352.53516	23477.72919	23123.39956	24777.31667	21295.60584	17127.22354	23164.72757	11893.66295	29357.21814	24246.5786	9700.101191
PS	40	6	 [M-H]-	5.93	PS	17.04704594	3314066.315	4385503.247	5927949.912	2985611.233	6500457.075	2957753.859	4336536.147	3559378.157	5474122.789	5826292.654	4337008.724	4695150.576	3650074.611	4176231.028	2945069.636	6569640.38	2909840.505	3666769.704	2651051.567	4234409.517	3743486.697	4799798.683	3787991.709	5810009.535	3252206.558	4615354.322	4653237.007	2921448.971	2924790.378	3119446.002	5091211.937	3808336.999	5593942.572	3319159.081	3993117.365	4249978.911	6747270.023	3806177.807	6190548.959	5084057.994	6546605.833	5884271.577	4581803.972	4701372.721	5495147.484	4916540.608	3943462.977	3196061.613
lysoPE	20	0	 [M-H]-	3.45	lysoPE	17.16195146	32379.71331	41455.87752	35760.86681	8762.336875	15726.90025	21256.54081	162180.7945	23093.53003	36120.92733	101179.9679	71753.34581	42980.24378	5712.088625	45084.38746	20881.86398	27572.11202	71752.92577	49199.17893	29048.44862	26098.74982	28791.98595	28184.64368	6314.833897	16332.93064	44156.0335	49887.32538	13055.12381	21399.87212	106521.7456	129439.808	73886.1639	34448.7579	33638.61088	22867.83206	15741.57816	14993.89521	43283.4394	90944.84489	51386.1351	16727.08902	26911.12703	27355.93074	6130.313241	10563.54022	27104.919	50322.73181	141103.7118	31526.11933
PC	36	0	 [M-Ac-H]-	6.94	PC	17.17348436	334752.9872	316305.3832	241602.8542	150724.222	199012.9364	446092.6126	355563.6271	289655.4248	175069.1723	250961.8113	342166.0152	355512.7429	8448.881451	208150.0969	127488.5706	224272.6084	362188.095	298850.4102	218669.8816	294288.848	201822.5248	211307.446	122851.7308	158571.4806	351053.492	311549.0525	169005.4699	366601.477	366226.687	250642.3809	204762.483	162464.9059	382689.885	244056.1212	216297.061	197889.2681	221549.2276	274380.7728	233044.7357	386436.5734	259097.4482	405263.201	244724.4364	233184.7075	160509.2338	357734.8019	336257.797	241290.8873
PI	36	2	 [M-H]-	5.98	PI	17.19400992	1038109.463	1196674.609	2195745.423	587437.3333	1244587.255	1167305.467	1095471.774	999521.5976	1275077.058	1931095.069	1887881.543	1837206.42	297326.5843	1383271.726	1433541.762	1358166.739	939827.9215	1650184.871	1473680.199	1155896.414	768321.3524	1000117.916	541902.8174	841616.6642	1403387.27	1067026.014	1496520.047	677189.9483	1310400.209	1278736.901	1416963.592	792709.2369	869160.7043	212796.8188	905746.6183	768499.8609	798633.137	916975.2576	840838.5072	509072.4613	1260453.496	721131.3456	606191.5353	463788.6171	577969.9847	750544.6411	1338656.612	863350.9531
PA	34	2	 [M-H]-	5.29	PA	17.3437427	12529.64715	44204.37555	18798.82206	6390.515321	12080.61248	9441.035135	31369.71536	3798.94356	47113.83598	18248.42002	41609.50863	7570.331059	5944.666831	20349.26125	4565.438366	5623.869275	26821.67477	31086.99226	30726.07653	27152.55892	12896.53261	11692.23322	2452.726678	4145.36972	8132.425322	30052.49254	7155.250729	12805.55718	12669.57082	5381.98198	13589.59158	8851.984901	13594.25036	1222.017065	12706.70209	9889.730942	3271.86635	8407.128363	6595.002049	7236.482754	6670.304333	12719.74218	15929.67948	6894.229317	9646.956313	8969.059441	4907.092089	7810.842855
PG	35	2	 [M-H]-	5.88	PG	17.35717516	18976.47041	20433.22702	18398.23723	10620.11671	37263.31511	27699.33432	84282.67444	21132.30831	20695.95979	28355.39481	37930.7532	27451.20443	17400.42918	53652.39224	23967.28497	16599.21747	7664.354641	13615.83755	18371.5711	20090.22768	20827.02576	24231.15096	9226.252725	21986.00597	21173.11847	9257.271045	20044.47894	10402.06852	34794.9748	43385.39601	22727.13794	24078.99515	15344.68971	4530.070861	12640.31702	14610.69824	37841.30392	34277.41478	28655.55555	13882.07695	25989.67659	19618.17822	18820.56487	8708.350216	35021.31243	39014.70323	49614.02741	19951.49852
CL	68	4	 [M-2H](2-)	9.26	CL	17.51253588	34180.57377	34995.26117	14398.42018	19709.50164	11440.79931	3152.302022	12754.83856	5466.996375	29635.37202	30738.50331	23681.65513	32484.88677	6303.758721	20541.46044	14109.47289	4699.275605	35568.4609	36245.7643	35704.91947	38023.71839	5723.061981	17089.84629	21278.65695	14074.50484	28791.43102	56179.83665	26936.53572	19346.07719	12993.2591	14883.6537	18762.51067	22754.32982	30138.34406	43338.87337	30707.57624	38479.96689	14674.97577	14494.96999	12737.61764	34415.33197	8586.785753	34195.93843	22736.35284	14318.36733	9202.896227	12951.32931	11133.13929	17521.37531
PE	37	2	 [M-H]-	6.52	PE	17.79868259	30074.65956	13721.91252	28644.10863	18858.22784	32013.41401	45870.96391	42118.6974	33266.76612	13669.14125	18421.37128	23868.54552	37477.49973	25383.79017	27948.72975	43172.46259	32630.2377	17867.42981	18260.26439	23544.16897	30566.99126	29111.70561	27220.42696	19060.56168	25765.81371	22140.18615	34063.33539	10485.48278	17122.44014	43154.77451	39998.97943	40161.79856	34090.85527	27907.20124	11013.43283	19825.65308	23822.84397	24642.14816	28191.78167	24430.81374	17396.34955	37023.92503	19423.68692	18709.1476	17425.58474	32176.02688	34635.85107	33402.15664	19865.77682
PE	42	6	 [M-H]-	7.49	PE	17.85608027	413231.4043	619576.1861	1208857.605	395386.2668	488587.6165	159515.7341	653426.2703	316993.6347	544333.6734	1192194.421	948998.5972	495590.6767	300783.1112	725528.4161	929125.4302	1256197.828	1134302.236	907328.749	522867.2032	648317.0644	955142.6189	1203308.878	1215018.733	1610276.514	387533.7615	557299.9965	327159.3202	608302.7437	758079.2138	1029782.357	1105151.541	1507748.376	805948.6752	356114.7865	595915.4625	409633.6377	815259.096	886954.5106	661530.8788	723863.8937	820013.4005	1039852.313	374681.0581	506311.3196	1025136.738	1007685.942	1526428.428	417956.2974
PC	37	6	 [M-Ac-H]-	5.8	PC	17.96970206	70102.31401	85933.12001	84749.36367	149978.697	128027.7023	61652.91912	193713.6052	115422.8042	123044.3158	87925.30008	94826.71087	80086.58843	151645.5393	82521.87841	96669.15402	110891.2451	149744.3628	91953.09185	109735.6045	117069.1519	174569.6698	138228.5837	329336.2127	147945.5137	103675.0676	62358.03466	112073.6681	194033.2815	111433.315	92437.74626	102574.2831	162435.6242	103037.2109	121197.2139	96433.80018	103969.7574	126728.8707	88638.71437	91351.72405	116364.815	121049.7122	120431.0149	122069.0109	199967.361	148563.4954	106849.4182	79977.89522	90940.8521
plasmenyl-PE	42	4	 [M-H]-	8.06	plasmenyl-PE	18.20790819	390237.2399	494045.9301	413769.2459	293675.9014	383842.0857	642898.993	909560.9714	616271.1535	274308.4826	391475.8904	472694.7666	337702.1743	112373.0393	454153.2755	325179.0348	597084.4757	480444.9351	328139.7194	224349.9624	398647.8415	514433.5186	533101.2967	460517.9664	396132.3527	273360.1116	340367.9863	538264.6866	389279.8571	494081.0752	500226.0592	477305.5612	436510.9405	451325.5667	138678.8301	337234.8397	349162.546	670489.4059	347996.2696	864077.7395	544567.9492	536486.6556	560078.46	335979.1805	302365.729	387916.601	673800.4665	655454.1582	469477.0895
CL	74	10	 [M-2H](2-)	8.92	CL	18.23653077	58921.11204	97994.54815	19981.09816	21899.91975	50310.60581	43786.23262	82478.19618	44311.99042	39242.71724	76091.76492	47919.48464	49630.13072	8551.055567	36218.08086	7232.950636	20942.89937	51964.10055	34994.63304	34008.27826	58322.60026	21207.54516	16686.83015	10692.96181	20750.07495	51517.43207	63696.11846	20908.59853	33077.7889	57098.94603	23828.08335	31940.22863	20741.83255	80300.74862	71168.35315	23294.19872	29007.43521	51164.55577	36254.15015	42847.74226	40877.24762	26159.09128	49978.79412	24611.19006	17837.46314	28476.74869	40940.14364	24431.16985	24775.07104
PG	44	8	 [M-H]-	5.73	PG	18.24557094	66524.41569	85664.67043	19740.01021	22445.70038	47915.42948	144689.8742	79451.70751	85872.01537	56909.03071	79872.5705	62897.89804	66362.49881	18103.67659	43249.5923	13706.42832	17275.67135	58839.31213	47681.95685	28604.24342	53647.95531	46157.20598	36995.16909	13938.21031	20243.51036	51789.02142	49188.50874	33615.43748	14099.39178	115933.4511	74799.87483	58305.91224	42567.39352	52284.37985	70596.55485	23788.39116	39854.22061	81042.73777	69722.99442	77295.98037	37207.94315	42147.44644	38159.63168	24774.93648	20842.88535	50991.91228	48580.98154	43720.48128	48630.80161
