Sample,Ctrl_BTBR_ob._2316,Ctrl_BTBR_ob._2317,Ctrl_BTBR_ob._2318,Ctrl_BTBR_ob._2320,HF_BTBR_ob._2329,HF_BTBR_ob._2331,HF_BTBR_ob._2333,HF_BTBR_ob._2334
Label,CT,CT,CT,CT,HF,HF,HF,HF
lysoPC 26_0,5386.137656,3917.335892,6629.200142,4686.688052,7875.490429,4866.332948,5429.255262,5194.374936
lysoPC 15_0,7132.635791,9337.008436,8807.138823,8046.838572,4602.288706,8358.676685,8627.711884,8046.838572
lysoPC 21_0,2660.892641,1810.048109,1850.700572,986.2232358,2217.249324,2133.381711,2037.409481,1966.184891
lysoPC 22_4,5094.988909,1986.190245,2802.844887,1606.746885,3101.702177,3799.791315,812.6641799,4912.784497
lysoPC 26_2,275.7432142,787.3384626,1966.184891,182.9634616,211.4682283,486.462402,966.2630571,718.1761894
lysoPE 22_6,49259.51288,18181.43836,27467.08531,17130.56278,21053.77263,21392.72294,11471.68216,21578.76444
lysoPE 22_4,6159.263596,4393.66351,7530.809589,2237.996123,5593.616175,4835.537305,6159.263596,5933.161129
lysoPE 20_4,17331.87007,8984.995884,13519.95059,12656.18091,13793.05002,15922.77687,10172.95485,15196.55845
lysoPE 18_2,19885.58665,16769.01906,6290.853212,13326.90369,12656.18091,16337.11783,34025.85466,11309.78534
lysoPE 16_0,34680.75675,26696.97761,39958.55439,30135.59375,38686.89145,35305.14154,28541.66799,32828.0275
lysoPE 18_0,99507.87234,65541.65096,74111.75373,70745.84126,79906.4642,91685.51901,63518.89008,70745.84126
lysoPE 24_4,1300.967987,1354.862643,1373.613251,966.2630571,2056.907916,1455.059452,1437.682294,2176.953478
lysoPE 20_2,1105.126401,1256.068293,1437.682294,685.6612332,1277.923821,1078.864738,1078.864738,1218.783404
lysoPE 14_0,124.9332425,486.462402,245.1736324,320.4901795,439.345155,787.3384626,1171.80233,702.8576164
lysoPE 17_0,1966.184891,1547.623228,2777.236643,2965.684274,2133.381711,3586.931183,2660.892641,3434.39012
lysoPE 20_0,9054.47894,9259.423345,10257.04762,5094.988909,6327.856484,6159.263596,5339.378486,3075.951129
MG 20_0,17130.56278,29540.51647,24580.71733,28541.66799,16466.50135,20275.01639,30416.9084,17331.87007
MG 18_0,977996.2115,1129376.353,1129376.353,1129376.353,1129376.353,1042328.166,1348516.389,935802.9037
MG 16_0,260417.1582,520465.6053,409670.8792,444839.6687,368098.6606,361550.5895,418784.4128,285905.1615
MG 17_0,7875.490429,10934.42132,7813.504373,8984.995884,9793.243288,9793.243288,12176.94637,7948.616223
MG 22_0,10824.47854,14732.83801,15721.38306,13690.83598,12915.88073,10172.95485,16466.50135,9986.22697
MG 20_4,3165.953768,1194.49044,468.4455153,486.462402,1479.481756,517.2856136,1105.126401,1354.862643
MG 18_2,8807.138823,14204.14243,7875.490429,11024.14349,10696.32158,9337.008436,10086.74601,6932.82616
MG 19_0,1836.511721,3328.644581,3328.644581,3231.818612,3046.664351,2631.220818,3353.687486,2154.216067
MG 21_0,1171.80233,2056.907916,1704.06767,2154.216067,1105.126401,768.9411996,1750.977985,941.7722162
MG 23_0,468.4455153,2631.220818,1627.852423,3165.953768,842.310761,1056.295484,1606.746885,2056.907916
PC 32_2,128728.9914,67436.52072,68180.49027,39958.55439,91685.51901,85222.35717,33709.44587,101230.3089
PC 44_2,60024.92445,58122.70206,71783.0883,39142.90233,69107.74852,44979.14152,45422.88187,71783.0883
PC 42_2,578458.1021,435164.3255,534418.5089,368098.6606,652889.5402,435164.3255,361550.5895,652889.5402
PC 29_0,28239.96359,32089.70639,30416.9084,12806.8901,23908.99422,24384.40584,13943.38698,26458.05146
PC 31_0,222801.3405,140845.2377,222801.3405,132184.5353,208714.825,174216.0384,128728.9914,198169.6381
PC 36_2,851263.203,473714.663,621994.1168,458617.4125,977996.2115,935802.9037,880423.239,1089010.409
PC 33_0,126704.5429,70745.84126,86274.81925,62545.24944,106373.5834,113034.0706,78917.75005,121906.8834
PC 48_4,2905.640596,1836.511721,3353.687486,2133.381711,3130.667038,2331.339165,1056.295484,1580.165531
PC 28_0,18758.21968,10257.04762,15019.40266,9607.234258,10517.24599,10696.32158,7604.121685,11622.4413
PC 36_4,1129376.353,621994.1168,1013253.079,652889.5402,1013253.079,851263.203,484291.1482,1013253.079
PC 43_2,34984.47131,31387.51938,46543.75452,29540.51647,40359.47195,33114.19408,21578.76444,40876.3725
PC 37_4,16466.50135,9146.108891,12176.94637,14063.56143,15196.55845,15196.55845,10696.32158,13690.83598
PC 32_0,1651171.853,1089010.409,1292234.609,1042328.166,1450031.999,1348516.389,1013253.079,1392216.64
PC 38_4,325325.0093,198169.6381,299460.4494,222801.3405,279768.6265,299460.4494,231444.6655,343459.0345
PC 40_2,200880.9441,171923.3079,231444.6655,140845.2377,242014.7298,155761.5367,153621.1533,200880.9441
PC 37_0,10341.29307,11471.68216,12446.06247,11309.78534,21578.76444,11729.33191,21239.9287,15406.17715
PC 35_0,19227.61365,20831.16733,26321.73182,16769.01906,19885.58665,17130.56278,16769.01906,24253.77384
PC 40_6,166501.1962,96567.18597,128728.9914,101230.3089,107976.7383,118653.7689,111645.8634,98002.17611
PC 33_2,23243.56693,32828.0275,23908.99422,31012.7822,35722.42618,33353.91111,39142.90233,30135.59375
PC 35_4,23795.17288,15822.07997,29327.54601,25097.49588,18836.5402,27635.71304,32288.89296,26829.4362
PC 40_8,102761.4095,15537.39923,26961.89479,25883.40532,31387.51938,47128.76712,24384.40584,32488.07954
PC 39_6,16769.01906,24123.14184,11309.78534,16602.55902,10824.47854,18914.86071,12915.88073,8984.995884
PC 38_2,58122.70206,58899.00316,65541.65096,54202.25526,69968.40419,50374.41382,66431.73261,67436.52072
PC 38_6,1042328.166,534418.5089,807201.0077,520465.6053,851263.203,773041.6783,520465.6053,880423.239
PC 44_12,20643.00615,7604.121685,13073.99457,8358.676685,12446.06247,10824.47854,6231.117745,11196.72951
PC 46_6,6443.041527,3722.805152,6159.263596,3846.535463,5429.255262,3353.687486,4480.896291,4211.337463
PC 15_0,36595.13001,60024.92445,41906.14201,50374.41382,48177.30966,41906.14201,48750.50814,29114.57555
PC 41_2,29830.08109,24384.40584,35722.42618,20078.83511,52416.19861,24580.71733,34390.73834,45422.88187
PC 34_4,21053.77263,6159.263596,10934.42132,6159.263596,7746.09192,9533.543017,4686.688052,13174.93997
PC 35_2,24123.14184,29830.08109,34390.73834,27467.08531,39958.55439,33709.44587,42525.83699,44028.93936
PC 39_8,11729.33191,8358.676685,9986.22697,5147.345466,9146.108891,7948.616223,14413.00307,10696.32158
PC 44_4,138530.4909,186913.6971,219058.2132,27804.34076,186913.6971,158437.9124,27467.08531,186913.6971
PC 39_4,2264.273456,4021.329678,3378.153016,2460.117207,1527.841542,2660.892641,6574.562853,1673.904794
PC 40_4,29114.57555,12656.18091,40359.47195,28239.96359,31735.47788,23681.35154,22468.11183,27197.98077
PC 38_8,3434.39012,2802.844887,2905.640596,787.3384626,1627.852423,1194.49044,1779.687037,2432.310691
PC 34_2,9607.234258,2777.236643,18001.09703,16337.11783,21392.72294,12176.94637,21908.4025,17463.65618
PC 37_2,12078.49421,6105.663462,12656.18091,5826.482158,14204.14243,9439.727599,19718.04588,5876.33717
PC 46_4,10627.44419,7132.635791,7076.341456,4245.932772,11024.14349,9146.108891,7530.809589,11471.68216
PC 42_4,17463.65618,17130.56278,17646.00525,9439.727599,10627.44419,16200.60125,11729.33191,20470.26498
PC 32_4,2012.546104,2574.884081,160.7384096,2191.858738,2777.236643,3231.818612,2777.236643,3954.001667
PC 43_4,20275.01639,27197.98077,24942.44013,19408.08598,20831.16733,21578.76444,23474.77635,23062.94212
PC 42_10,41906.14201,30703.47362,32089.70639,27197.98077,26696.97761,29114.57555,20078.83511,21239.9287
PC 45_4,7374.181445,9644.614689,6744.227051,4073.23888,8121.861752,3970.747887,9146.108891,9054.47894
PC 30_0,7283.003449,12176.94637,18600.08183,19227.61365,13690.83598,5386.137656,19408.08598,16200.60125
PC 40_10,1373.613251,768.9411996,1394.770282,2056.907916,882.4186362,636.8546096,339.0038411,1750.977985
PC 30_2,1009.656055,718.1761894,866.0005218,842.310761,739.5076125,1479.481756,1032.804249,882.4186362
plasmenyl-PC 18_0,40359.47195,17331.87007,39142.90233,19718.04588,44461.71636,28239.96359,18001.09703,41906.14201
plasmenyl-PC 24_0,866.0005218,1078.864738,718.1761894,546.8052098,415.4318931,182.9634616,685.6612332,369.7743645
plasmenyl-PC 36_4,5194.374936,1779.687037,2176.953478,2305.655716,1437.682294,1527.841542,1966.184891,1437.682294
plasmenyl-PC 22_0,787.3384626,19.58724319,297.1848254,160.7384096,275.7432142,50.05390291,415.4318931,245.1736324
PE 36_2,683989.1634,395488.2132,704757.3337,414227.646,725693.9914,494849.194,440001.9971,683989.1634
PE 38_4,253340.3771,123518.6453,215808.0563,138530.4909,231444.6655,191420.4907,180586.0403,215808.0563
PE 40_6,169170.5188,117112.8993,169170.5188,115371.6908,140845.2377,142911.1978,117112.8993,124942.0614
PE 42_2,44461.71636,38686.89145,45851.00436,33353.91111,44979.14152,31735.47788,29540.51647,60797.1668
PE 38_2,18414.14302,16337.11783,16200.60125,21730.22341,19059.34626,22709.49399,17130.56278,14204.14243
PE 36_4,107976.7383,61696.74295,118653.7689,69107.74852,104345.6196,73072.94312,69968.40419,102761.4095
PE 34_2,140845.2377,102761.4095,142911.1978,91685.51901,160819.3174,124942.0614,104345.6196,155761.5367
PE 21_4,3987.494108,8512.210857,9533.543017,6327.856484,6790.29513,6697.629949,7283.003449,5339.378486
PE 19_2,2154.216067,3023.544195,2509.781795,1326.532441,3165.953768,1940.413148,1894.252739,2237.996123
