"Sample","Ctrl_BKS_db._2225","Ctrl_BKS_db._2226","Ctrl_BKS_db._2227","Ctrl_BKS_db._2231","HF_BKS_db._2239","HF_BKS_db._2241","HF_BKS_db._2242","HF_BKS_db._2243"
"CE 16_2",223.545293198864,587.828837963357,401.357430113191,468.12906795181,535.373865591017,223.545293198864,853.57897892234,401.357430113191
"CE 16_0",2111.16915565378,2664.79874083962,2510.72455565872,3460.63880356535,2749.44358075053,2707.36013913356,3326.11617920981,6004.09932241579
"CE 22_6",4780.75993694419,2153.55732639854,3190.39601988978,2831.78157646371,3793.73605084512,1317.34897814317,1713.15670890654,7679.39019365722
"CE 18_2",24103.5313144553,9640.2457246382,12483.9920387019,12265.7524091103,16117.4974673831,11427.4024649282,12774.047051995,40164.9571390481
"DG 34_2",3940207.45922362,6319225.94346054,5570843.99885273,4548799.77765387,4548799.77765387,5268696.54947492,5268696.54947492,4879775.52485589
"DG 37_4",6624.27680289497,14996.1771760577,11057.8169252351,9745.72162595804,9745.72162595804,12023.0136743158,6420.40335731058,9407.2863116555
"DG 40_8",50916.1746091036,184394.056512352,255176.613725738,219895.798058679,255176.613725738,216701.615215464,98929.1672032851,99853.8759968656
"DG 40_4",11275.622571761,50170.3769829691,32628.5052858994,31286.7108140912,25295.5130480684,24103.5313144553,14544.4548822239,23183.7528204903
"DG 38_4",295809.498478796,707252.753175725,621191.591616907,540082.682937104,587562.002076408,731967.529914296,424119.848751484,564000.406396559
"DG 34_0",11850.8956648633,26025.0430099942,15185.1170197429,20649.6422341141,13510.288389398,16434.8192218106,6704.6400958362,29275.2218724974
"DG 36_2",2596807.49799822,5838334.37089802,4879775.52485589,5268696.54947492,3861215.29778433,4152883.96004135,3581928.81366308,4548799.77765387
"DG 42_10",2347.1043421304,11012.8127589136,14996.1771760577,15759.6582710285,9305.37965226405,15441.3314525348,4520.52712664271,13794.9987875219
"DG 38_2",135773.332899154,606113.21030197,485965.537390618,498921.355512567,324367.258046751,263009.855006669,209728.588613599,151525.528020157
"DG 36_4",1300876.63591984,1891315.00930159,2262226.30154771,1509678.80795524,2306544.70134524,1772184.27558777,976513.466727858,1509678.80795524
"DG 32_0",41040.9749646158,133578.194443024,90872.1535862592,69075.0141810134,59295.6593322572,59295.6593322572,45318.3935503201,174653.851017311
"DG 35_2",41371.2783282,169004.920664712,102499.731965587,83607.4237730397,85119.4370989657,77939.4761919844,59295.6593322572,59295.6593322572
"DG 40_6",96776.1655260265,274042.873629878,154467.700290747,250662.54663703,355430.55585346,439588.312701574,161913.223851172,112611.025065258
"DG 32_2",63912.7748038651,159807.161182971,117151.06355283,82430.4668837162,69075.0141810134,69075.0141810134,119146.889017984,114611.226029598
"DG 42_8",14996.1771760577,44779.6960547522,34869.4934917118,34869.4934917118,39345.2861958027,44779.6960547522,29275.2218724974,26025.0430099942
"DG 44_10",11463.9837683774,23183.7528204903,18812.488512923,19402.2718164687,21499.8675767849,19842.3013124,12595.2879669237,15941.6762991514
"DG 26_2",1340.42363876208,1638.48253188433,1638.48253188433,1131.52388753819,2178.42247754476,6811.53938918706,1666.51494721697,2312.02383160553
"DG 33_2",24565.479577935,30940.6936529974,30940.6936529974,22833.0337552682,24774.4929782752,24300.2153389872,18653.8622896869,24103.5313144553
"DG 37_2",12595.2879669237,43516.6518434638,24103.5313144553,24774.4929782752,25038.7220317533,16117.4974673831,19734.4956973106,26507.7173171222
"DG 34_4",19734.4956973106,31586.1301321739,35341.5189546025,20132.9424723763,22122.286032615,21716.9374580112,20786.3918220843,16742.6095476278
"DG 30_0",10956.5558441073,20132.9424723763,11619.1247947076,11133.2459059991,9852.99982527622,9567.20449731463,8298.33160095459,18281.2092683311
"DG 40_2",18653.8622896869,48260.1465277245,30670.7043265908,28375.8745004672,17417.3638930097,20472.7100910555,19153.5206912724,9157.37485495905
"DG 42_6",8451.02017039113,40164.9571390481,17417.3638930097,19516.8618973552,18050.1628732226,31286.7108140912,13180.8142668834,11707.0603577913
"DG 36_0",3348.80427639111,6936.11213049948,5696.39136030385,5061.32673980389,2312.02383160553,3041.7934725039,2868.05496409185,3421.90257155507
"DG 42_2",5061.32673980389,4251.26451468607,3980.09283918553,4449.80068863028,4104.47432342739,5413.99020214328,3421.90257155507,6811.53938918706
"DG 38_6",420031.33529828,1162176.38646214,976513.466727858,1034506.77533707,808430.961338688,1273086.0311756,863411.857229731,1772184.27558777
"DG 36_6",7351.88585211156,8154.35757026881,20132.9424723763,11427.4024649282,12960.1580578633,9252.29667955813,2969.9778247057,4251.26451468607
"DG 30_2",2831.78157646371,4816.92661576776,4596.3214433127,4297.32765293452,3698.46239328225,3576.13659047438,3114.51201113667,3487.41852007017
"DG 33_0",2724.5793195552,2850.89184530722,2362.98400548809,2510.72455565872,1776.60150112924,1990.50457950183,2126.78304823275,2549.9478142938
"DG 38_0",2137.90127913935,1501.14260139955,1990.50457950183,2537.35150865498,251.43706519062,1810.23191887863,1279.04801721954,441.681076871718
"DG 39_4",1160.42517823827,4158.14077645848,4780.75993694419,4016.36413085536,3137.22308896939,3487.41852007017,3190.39601988978,2446.63542175239
"DG 39_6",2072.40265456603,3460.63880356535,1572.0345417168,2178.42247754476,4977.01692965908,8154.35757026881,6302.67907815243,1235.15002263905
"DG 37_6",2153.55732639854,1617.97932022628,2898.12549182328,2590.36775579567,2912.05931400908,2101.85438883992,3947.68276337239,3213.95288849175
"DG 32_6",441.681076871718,1160.42517823827,754.802255867638,1776.60150112924,729.635614895388,2347.1043421304,1433.12521682734,1256.08208159224
